Summary of Shared 'Core' Gates:
Layer | Attn Active / Total (Density) | MLP Active / Total (Density)
----------------------------------------------------------------------
    0 |   271 /  2081 ( 13.0%) |  4089 / 10241 ( 39.9%)
    1 |   276 /  2081 ( 13.3%) |  3913 / 10241 ( 38.2%)
    2 |   178 /  2081 (  8.6%) |  3528 / 10241 ( 34.4%)
    3 |   380 /  2081 ( 18.3%) |  3434 / 10241 ( 33.5%)
    4 |   429 /  2081 ( 20.6%) |  3184 / 10241 ( 31.1%)
    5 |   372 /  2081 ( 17.9%) |  3112 / 10241 ( 30.4%)
    6 |   464 /  2081 ( 22.3%) |  2974 / 10241 ( 29.0%)
    7 |   501 /  2081 ( 24.1%) |  2803 / 10241 ( 27.4%)
    8 |   592 /  2081 ( 28.4%) |  2962 / 10241 ( 28.9%)
    9 |   479 /  2081 ( 23.0%) |  2970 / 10241 ( 29.0%)
   10 |   439 /  2081 ( 21.1%) |  2819 / 10241 ( 27.5%)
   11 |   368 /  2081 ( 17.7%) |  2577 / 10241 ( 25.2%)
   12 |   291 /  2081 ( 14.0%) |  1883 / 10241 ( 18.4%)
   13 |   250 /  2081 ( 12.0%) |  1965 / 10241 ( 19.2%)
   14 |   477 /  2081 ( 22.9%) |  1857 / 10241 ( 18.1%)
   15 |   487 /  2081 ( 23.4%) |  2077 / 10241 ( 20.3%)
