nohup: ignoring input

=======================================================
[1/10] Intersecting 'fruits' and 'animals'
=======================================================

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3887.41it/s]
[ep 0 | step 0] KL_a=0.0322 KL_b=0.0021 margin_a=4.344 margin_b=0.500 acc_a=0.50 acc_b=1.00 | λa=1.094 λb=1.100 λcore=1.646 | sparsity=16933.1855 total=16935.6250
[ep 0 | step 10] KL_a=0.1328 KL_b=0.0044 margin_a=1.453 margin_b=0.203 acc_a=0.88 acc_b=1.00 | λa=1.202 λb=1.542 λcore=2.143 | sparsity=21529.9805 total=21530.7734
[ep 0 | step 20] KL_a=1.0676 KL_b=0.0118 margin_a=0.000 margin_b=0.500 acc_a=1.00 acc_b=1.00 | λa=0.000 λb=2.018 λcore=2.018 | sparsity=17758.5195 total=17759.2559
[ep 0 | step 30] KL_a=0.1091 KL_b=0.0038 margin_a=0.219 margin_b=0.812 acc_a=1.00 acc_b=1.00 | λa=1.955 λb=2.530 λcore=3.507 | sparsity=35119.2227 total=35119.9336
[ep 0 | step 40] KL_a=0.1097 KL_b=0.0410 margin_a=0.016 margin_b=1.031 acc_a=0.88 acc_b=1.00 | λa=2.017 λb=2.935 λcore=3.943 | sparsity=39019.0195 total=39019.9258
[ep 0 | step 50] KL_a=0.4049 KL_b=0.0070 margin_a=1.793 margin_b=0.000 acc_a=0.75 acc_b=1.00 | λa=1.567 λb=3.379 λcore=4.163 | sparsity=39876.7305 total=39877.3867
[ep 0 | step 60] KL_a=0.8735 KL_b=0.0085 margin_a=4.641 margin_b=0.031 acc_a=0.25 acc_b=0.88 | λa=0.810 λb=3.793 λcore=4.198 | sparsity=38444.6641 total=38446.2812
[ep 1 | step 70] KL_a=0.5362 KL_b=0.0434 margin_a=4.660 margin_b=0.797 acc_a=0.38 acc_b=1.00 | λa=1.392 λb=4.149 λcore=4.845 | sparsity=45258.4219 total=45260.5703
[ep 1 | step 80] KL_a=2.3769 KL_b=0.0178 margin_a=4.652 margin_b=0.828 acc_a=0.00 acc_b=1.00 | λa=0.000 λb=4.681 λcore=4.681 | sparsity=40659.3477 total=40661.8906
[ep 1 | step 90] KL_a=3.7297 KL_b=0.0462 margin_a=5.500 margin_b=0.844 acc_a=0.00 acc_b=1.00 | λa=0.000 λb=5.040 λcore=5.040 | sparsity=43625.5234 total=43628.5078
[ep 1 | step 100] KL_a=0.2689 KL_b=0.0328 margin_a=0.523 margin_b=0.266 acc_a=0.62 acc_b=1.00 | λa=1.175 λb=5.525 λcore=6.113 | sparsity=55264.5938 total=55265.2031
[ep 1 | step 110] KL_a=0.3000 KL_b=0.0343 margin_a=3.438 margin_b=0.594 acc_a=0.62 acc_b=1.00 | λa=0.710 λb=5.819 λcore=6.174 | sparsity=54543.8281 total=54545.3086
[ep 1 | step 120] KL_a=0.6989 KL_b=0.0660 margin_a=1.617 margin_b=0.516 acc_a=0.75 acc_b=0.50 | λa=0.000 λb=6.167 λcore=6.167 | sparsity=52669.5547 total=52670.7227
[ep 2 | step 130] KL_a=1.2466 KL_b=0.1108 margin_a=3.742 margin_b=1.047 acc_a=0.50 acc_b=0.50 | λa=0.000 λb=6.387 λcore=6.387 | sparsity=54244.3828 total=54246.4297
[ep 2 | step 140] KL_a=2.4216 KL_b=0.1051 margin_a=5.387 margin_b=1.062 acc_a=0.00 acc_b=0.62 | λa=0.000 λb=6.789 λcore=6.789 | sparsity=57291.4531 total=57294.0000
[ep 2 | step 150] KL_a=0.4153 KL_b=0.1165 margin_a=5.125 margin_b=1.766 acc_a=0.50 acc_b=0.62 | λa=0.252 λb=7.131 λcore=7.257 | sparsity=61364.8125 total=61367.2578
[ep 2 | step 160] KL_a=0.2137 KL_b=0.2741 margin_a=0.984 margin_b=3.844 acc_a=0.62 acc_b=0.00 | λa=0.630 λb=7.028 λcore=7.343 | sparsity=62436.0078 total=62438.6484
[ep 2 | step 170] KL_a=0.7097 KL_b=0.2732 margin_a=5.898 margin_b=2.836 acc_a=0.25 acc_b=0.25 | λa=0.000 λb=7.284 λcore=7.284 | sparsity=59977.5234 total=59980.5625
