loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
fine mode: heads, attn neurons, MLP neurons + MLP blocks active (no attn blocks, no full layers)
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 43690.67it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4821.98it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   3%|▎         | 8/254 [00:00<00:03, 79.43it/s]Loading weights:  19%|█▉        | 48/254 [00:00<00:00, 264.66it/s]Loading weights:  34%|███▍      | 86/254 [00:00<00:00, 312.83it/s]Loading weights:  51%|█████     | 129/254 [00:00<00:00, 352.64it/s]Loading weights:  66%|██████▌   | 167/254 [00:00<00:00, 360.48it/s]Loading weights:  81%|████████▏ | 207/254 [00:00<00:00, 372.17it/s]Loading weights:  96%|█████████▋| 245/254 [00:00<00:00, 373.85it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 344.16it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
loaded masks/sections/sec_03_step_1_word.pt | locked 632 closed gates (log_alpha=-1000000.0, grad=0, reopen-proof) | 84 gate groups not in checkpoint (fresh, open, trainable)
locked 359296 neuron gates under already-closed parents (invisible to the network)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500

training: 500 epochs, lr=0.03, kl=1.5 (span KL), task=1.0 (margin), lambda_mult=1.0
[05:52:01] epoch 1/500 kl=0.0455 task=0.4524 sparsity=0.4430 train_acc=0.9902 gates_open=10.5% (24s) | val acc 1.0000
[05:52:35] epoch 2/500 kl=0.0532 task=0.3164 sparsity=1.3571 train_acc=0.9844 gates_open=10.5% (24s) | val acc 1.0000
[05:53:09] epoch 3/500 kl=0.0068 task=0.0725 sparsity=2.2704 train_acc=1.0000 gates_open=10.5% (24s) | val acc 1.0000
[05:53:43] epoch 4/500 kl=0.0051 task=0.0662 sparsity=3.1822 train_acc=1.0000 gates_open=10.5% (24s) | val acc 1.0000
[05:54:17] epoch 5/500 kl=0.0227 task=0.1514 sparsity=4.0920 train_acc=0.9922 gates_open=10.5% (24s) | val acc 1.0000
[05:54:51] epoch 6/500 kl=0.0021 task=0.0188 sparsity=4.9973 train_acc=1.0000 gates_open=10.4% (24s) | val acc 1.0000
[05:55:25] epoch 7/500 kl=0.0018 task=0.0154 sparsity=5.8934 train_acc=1.0000 gates_open=10.3% (24s) | val acc 1.0000
[05:55:59] epoch 8/500 kl=0.0012 task=0.0066 sparsity=6.7720 train_acc=1.0000 gates_open=10.2% (24s) | val acc 1.0000
[05:56:33] epoch 9/500 kl=0.0005 task=0.0000 sparsity=7.6233 train_acc=1.0000 gates_open=10.0% (24s) | val acc 1.0000
[05:57:06] epoch 10/500 kl=0.0006 task=0.0027 sparsity=8.4404 train_acc=1.0000 gates_open=9.7% (24s) | val acc 1.0000
[05:57:40] epoch 11/500 kl=0.0011 task=0.0073 sparsity=9.2160 train_acc=1.0000 gates_open=9.4% (24s) | val acc 1.0000
[05:58:14] epoch 12/500 kl=0.0006 task=0.0000 sparsity=9.9479 train_acc=1.0000 gates_open=9.1% (24s) | val acc 1.0000
[05:58:48] epoch 13/500 kl=0.0012 task=0.0078 sparsity=10.6349 train_acc=1.0000 gates_open=8.7% (24s) | val acc 1.0000
[05:59:22] epoch 14/500 kl=0.0013 task=0.0105 sparsity=11.2655 train_acc=1.0000 gates_open=8.3% (24s) | val acc 1.0000
[05:59:56] epoch 15/500 kl=0.0007 task=0.0022 sparsity=11.8260 train_acc=1.0000 gates_open=7.9% (24s) | val acc 1.0000
[06:00:30] epoch 16/500 kl=0.0004 task=0.0000 sparsity=12.2910 train_acc=1.0000 gates_open=7.5% (24s) | val acc 1.0000
[06:01:04] epoch 17/500 kl=0.0012 task=0.0098 sparsity=12.1348 train_acc=1.0000 gates_open=7.1% (24s) | val acc 1.0000
[06:01:38] epoch 18/500 kl=0.0006 task=0.0000 sparsity=11.8067 train_acc=1.0000 gates_open=6.7% (24s) | val acc 1.0000
[06:02:11] epoch 19/500 kl=0.0005 task=0.0000 sparsity=11.5095 train_acc=1.0000 gates_open=6.3% (24s) | val acc 1.0000
[06:02:45] epoch 20/500 kl=0.0019 task=0.0181 sparsity=11.2132 train_acc=1.0000 gates_open=5.9% (24s) | val acc 1.0000
[06:03:19] epoch 21/500 kl=0.0005 task=0.0000 sparsity=10.8852 train_acc=1.0000 gates_open=5.6% (24s) | val acc 1.0000
[06:03:53] epoch 22/500 kl=0.0010 task=0.0061 sparsity=10.5790 train_acc=1.0000 gates_open=5.3% (24s) | val acc 1.0000
[06:04:27] epoch 23/500 kl=0.0050 task=0.0503 sparsity=10.2972 train_acc=1.0000 gates_open=5.0% (24s) | val acc 1.0000
[06:05:01] epoch 24/500 kl=0.0005 task=0.0000 sparsity=9.9887 train_acc=1.0000 gates_open=4.8% (24s) | val acc 1.0000
[06:05:35] epoch 25/500 kl=0.0483 task=0.1458 sparsity=9.6616 train_acc=0.9863 gates_open=4.5% (24s) | val acc 1.0000
saved masks/sections/sec_03_fine.ep25.pt | gates open: 18133/402108 (4.5%)
[06:06:09] epoch 26/500 kl=0.0020 task=0.0171 sparsity=9.3851 train_acc=1.0000 gates_open=4.3% (24s) | val acc 1.0000
