loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 17403.75it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4851.87it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   6%|▋         | 16/254 [00:00<00:01, 159.70it/s]Loading weights:  22%|██▏       | 57/254 [00:00<00:00, 304.18it/s]Loading weights:  37%|███▋      | 95/254 [00:00<00:00, 337.37it/s]Loading weights:  54%|█████▍    | 138/254 [00:00<00:00, 372.44it/s]Loading weights:  69%|██████▉   | 176/254 [00:00<00:00, 374.11it/s]Loading weights:  85%|████████▌ | 216/254 [00:00<00:00, 380.33it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 359.56it/s]
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 100 epochs, lr=0.0025, kl=1.0, task=1.0, lambda_mult=4.0
[22:09:43] epoch 1/100 kl=0.2517 task=0.2521 sparsity=0.6761 train_acc=0.9141 gates_open=100.0% (17s) | val acc 1.0000
[22:10:09] epoch 2/100 kl=0.6796 task=0.6800 sparsity=2.0718 train_acc=0.9062 gates_open=100.0% (17s) | val acc 1.0000
[22:10:35] epoch 3/100 kl=0.2232 task=0.2236 sparsity=3.4669 train_acc=0.9414 gates_open=100.0% (17s) | val acc 1.0000
[22:11:01] epoch 4/100 kl=0.1107 task=0.1109 sparsity=4.3463 train_acc=0.9688 gates_open=100.0% (17s) | val acc 1.0000
[22:11:27] epoch 5/100 kl=0.1943 task=0.1946 sparsity=4.3588 train_acc=0.9375 gates_open=100.0% (17s) | val acc 1.0000
[22:11:53] epoch 6/100 kl=0.3728 task=0.3732 sparsity=4.3579 train_acc=0.9375 gates_open=100.0% (17s) | val acc 1.0000
[22:12:20] epoch 7/100 kl=0.0184 task=0.0187 sparsity=4.3569 train_acc=0.9941 gates_open=100.0% (17s) | val acc 1.0000
[22:12:46] epoch 8/100 kl=0.2588 task=0.2591 sparsity=4.3556 train_acc=0.9336 gates_open=100.0% (17s) | val acc 1.0000
[22:13:12] epoch 9/100 kl=0.3283 task=0.3287 sparsity=4.3545 train_acc=0.9180 gates_open=100.0% (17s) | val acc 1.0000
[22:13:38] epoch 10/100 kl=0.0167 task=0.0170 sparsity=4.3534 train_acc=0.9980 gates_open=100.0% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep10.pt | gates open: 700/700 (100.0%)
[22:14:04] epoch 11/100 kl=0.2594 task=0.2597 sparsity=4.3521 train_acc=0.9512 gates_open=100.0% (17s) | val acc 1.0000
[22:14:31] epoch 12/100 kl=0.3730 task=0.3734 sparsity=4.3507 train_acc=0.9238 gates_open=100.0% (17s) | val acc 1.0000
[22:14:57] epoch 13/100 kl=0.0177 task=0.0180 sparsity=4.3492 train_acc=0.9941 gates_open=100.0% (17s) | val acc 1.0000
[22:15:23] epoch 14/100 kl=0.5016 task=0.5019 sparsity=4.3474 train_acc=0.8809 gates_open=100.0% (17s) | val acc 1.0000
[22:15:49] epoch 15/100 kl=0.0191 task=0.0194 sparsity=4.3460 train_acc=0.9980 gates_open=100.0% (17s) | val acc 1.0000
[22:16:15] epoch 16/100 kl=0.2492 task=0.2496 sparsity=4.3441 train_acc=0.9238 gates_open=100.0% (17s) | val acc 1.0000
[22:16:42] epoch 17/100 kl=0.2555 task=0.2557 sparsity=4.3420 train_acc=0.9297 gates_open=100.0% (17s) | val acc 1.0000
[22:17:08] epoch 18/100 kl=0.2471 task=0.2475 sparsity=4.3397 train_acc=0.9453 gates_open=100.0% (17s) | val acc 1.0000
[22:17:34] epoch 19/100 kl=0.0417 task=0.0418 sparsity=4.3369 train_acc=0.9844 gates_open=100.0% (17s) | val acc 1.0000
[22:18:00] epoch 20/100 kl=0.4482 task=0.4486 sparsity=4.3337 train_acc=0.9180 gates_open=100.0% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep20.pt | gates open: 700/700 (100.0%)
[22:18:26] epoch 21/100 kl=0.2947 task=0.2950 sparsity=4.3304 train_acc=0.9258 gates_open=99.6% (17s) | val acc 1.0000
[22:18:52] epoch 22/100 kl=0.0197 task=0.0200 sparsity=4.3266 train_acc=0.9961 gates_open=98.7% (17s) | val acc 1.0000
[22:19:19] epoch 23/100 kl=0.3342 task=0.3346 sparsity=4.3220 train_acc=0.9355 gates_open=96.3% (17s) | val acc 1.0000
[22:19:45] epoch 24/100 kl=0.2860 task=0.2863 sparsity=4.3172 train_acc=0.9277 gates_open=94.7% (17s) | val acc 1.0000
[22:20:11] epoch 25/100 kl=0.1856 task=0.1860 sparsity=4.3117 train_acc=0.9316 gates_open=92.7% (17s) | val acc 1.0000
[22:20:37] epoch 26/100 kl=0.2523 task=0.2526 sparsity=4.3055 train_acc=0.9355 gates_open=91.4% (17s) | val acc 1.0000
[22:21:03] epoch 27/100 kl=0.1841 task=0.1843 sparsity=4.2987 train_acc=0.9551 gates_open=89.7% (17s) | val acc 1.0000
[22:21:30] epoch 28/100 kl=0.1633 task=0.1636 sparsity=4.2912 train_acc=0.9629 gates_open=88.3% (17s) | val acc 1.0000
[22:21:56] epoch 29/100 kl=0.1720 task=0.1722 sparsity=4.2830 train_acc=0.9590 gates_open=86.9% (17s) | val acc 1.0000
[22:22:22] epoch 30/100 kl=0.1430 task=0.1433 sparsity=4.2742 train_acc=0.9512 gates_open=86.4% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep30.pt | gates open: 605/700 (86.4%)
[22:22:48] epoch 31/100 kl=0.1428 task=0.1431 sparsity=4.2648 train_acc=0.9707 gates_open=85.7% (17s) | val acc 1.0000
[22:23:14] epoch 32/100 kl=0.1361 task=0.1363 sparsity=4.2549 train_acc=0.9629 gates_open=84.7% (17s) | val acc 1.0000
[22:23:41] epoch 33/100 kl=0.2634 task=0.2637 sparsity=4.2445 train_acc=0.9492 gates_open=83.4% (17s) | val acc 1.0000
[22:24:07] epoch 34/100 kl=0.1038 task=0.1040 sparsity=4.2337 train_acc=0.9766 gates_open=82.6% (17s) | val acc 1.0000
[22:24:33] epoch 35/100 kl=0.0503 task=0.0505 sparsity=4.2223 train_acc=0.9883 gates_open=82.0% (17s) | val acc 1.0000
[22:24:59] epoch 36/100 kl=0.0412 task=0.0415 sparsity=4.2104 train_acc=0.9805 gates_open=81.3% (17s) | val acc 1.0000
[22:25:25] epoch 37/100 kl=0.1593 task=0.1596 sparsity=4.1984 train_acc=0.9570 gates_open=80.3% (17s) | val acc 1.0000
[22:25:52] epoch 38/100 kl=0.0945 task=0.0947 sparsity=4.1861 train_acc=0.9570 gates_open=79.7% (17s) | val acc 1.0000
[22:26:18] epoch 39/100 kl=0.0394 task=0.0398 sparsity=4.1734 train_acc=0.9922 gates_open=79.3% (17s) | val acc 1.0000
[22:26:44] epoch 40/100 kl=0.1928 task=0.1930 sparsity=4.1605 train_acc=0.9570 gates_open=78.6% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep40.pt | gates open: 550/700 (78.6%)
[22:27:10] epoch 41/100 kl=0.2239 task=0.2242 sparsity=4.1473 train_acc=0.9688 gates_open=77.4% (17s) | val acc 1.0000
[22:27:37] epoch 42/100 kl=0.0054 task=0.0056 sparsity=4.1336 train_acc=1.0000 gates_open=76.9% (17s) | val acc 1.0000
[22:28:03] epoch 43/100 kl=0.3009 task=0.3012 sparsity=4.1194 train_acc=0.9238 gates_open=76.9% (17s) | val acc 1.0000
[22:28:29] epoch 44/100 kl=0.0281 task=0.0284 sparsity=4.1052 train_acc=0.9863 gates_open=76.6% (17s) | val acc 1.0000
[22:28:56] epoch 45/100 kl=0.3744 task=0.3747 sparsity=4.0907 train_acc=0.9355 gates_open=75.9% (17s) | val acc 1.0000
[22:29:22] epoch 46/100 kl=0.2632 task=0.2635 sparsity=4.0764 train_acc=0.9492 gates_open=75.6% (17s) | val acc 1.0000
[22:29:48] epoch 47/100 kl=0.0190 task=0.0192 sparsity=4.0618 train_acc=1.0000 gates_open=75.1% (17s) | val acc 1.0000
[22:30:15] epoch 48/100 kl=0.0936 task=0.0938 sparsity=4.0470 train_acc=0.9629 gates_open=74.7% (17s) | val acc 1.0000
[22:30:41] epoch 49/100 kl=0.1816 task=0.1818 sparsity=4.0319 train_acc=0.9805 gates_open=74.3% (17s) | val acc 1.0000
[22:31:07] epoch 50/100 kl=0.1189 task=0.1191 sparsity=4.0168 train_acc=0.9746 gates_open=73.9% (17s) | val acc 1.0000
