loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 11110.74it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3407.00it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   6%|▋         | 16/254 [00:00<00:01, 158.85it/s]Loading weights:  20%|██        | 52/254 [00:00<00:00, 275.84it/s]Loading weights:  34%|███▍      | 87/254 [00:00<00:00, 309.47it/s]Loading weights:  49%|████▉     | 124/254 [00:00<00:00, 333.30it/s]Loading weights:  63%|██████▎   | 161/254 [00:00<00:00, 343.27it/s]Loading weights:  78%|███████▊  | 197/254 [00:00<00:00, 345.73it/s]Loading weights:  91%|█████████▏| 232/254 [00:00<00:00, 339.64it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 328.32it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.pt | 279 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 150 epochs, lr=0.0025, kl=1.0, task=1.0, lambda_mult=4.0
[22:55:30] epoch 1/150 kl=0.0480 task=0.0481 sparsity=0.5262 train_acc=0.9922 gates_open=59.7% (17s) | val acc 1.0000
[22:55:56] epoch 2/150 kl=0.5419 task=0.5421 sparsity=1.6081 train_acc=0.9277 gates_open=59.6% (17s) | val acc 1.0000
[22:56:23] epoch 3/150 kl=0.1341 task=0.1342 sparsity=2.6818 train_acc=0.9844 gates_open=59.4% (17s) | val acc 1.0000
[22:56:49] epoch 4/150 kl=0.0174 task=0.0174 sparsity=3.3484 train_acc=0.9961 gates_open=59.3% (17s) | val acc 1.0000
[22:57:15] epoch 5/150 kl=0.1762 task=0.1763 sparsity=3.3441 train_acc=0.9746 gates_open=59.3% (17s) | val acc 1.0000
[22:57:41] epoch 6/150 kl=0.0148 task=0.0149 sparsity=3.3313 train_acc=0.9961 gates_open=59.1% (17s) | val acc 1.0000
[22:58:07] epoch 7/150 kl=0.0006 task=0.0005 sparsity=3.3188 train_acc=1.0000 gates_open=58.9% (17s) | val acc 1.0000
[22:58:34] epoch 8/150 kl=0.1184 task=0.1184 sparsity=3.3060 train_acc=0.9688 gates_open=58.9% (17s) | val acc 1.0000
[22:59:00] epoch 9/150 kl=0.1939 task=0.1940 sparsity=3.2935 train_acc=0.9512 gates_open=58.4% (17s) | val acc 1.0000
[22:59:26] epoch 10/150 kl=0.0022 task=0.0022 sparsity=3.2816 train_acc=1.0000 gates_open=57.4% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep10.pt | gates open: 402/700 (57.4%)
[22:59:52] epoch 11/150 kl=0.1045 task=0.1045 sparsity=3.2689 train_acc=0.9883 gates_open=57.1% (17s) | val acc 1.0000
[23:00:18] epoch 12/150 kl=0.2737 task=0.2738 sparsity=3.2557 train_acc=0.9609 gates_open=57.0% (17s) | val acc 1.0000
[23:00:45] epoch 13/150 kl=0.0118 task=0.0119 sparsity=3.2424 train_acc=0.9961 gates_open=56.7% (17s) | val acc 1.0000
[23:01:11] epoch 14/150 kl=0.3857 task=0.3858 sparsity=3.2291 train_acc=0.9141 gates_open=56.0% (17s) | val acc 1.0000
[23:01:37] epoch 15/150 kl=0.0085 task=0.0086 sparsity=3.2168 train_acc=0.9980 gates_open=55.6% (17s) | val acc 1.0000
[23:02:03] epoch 16/150 kl=0.2161 task=0.2162 sparsity=3.2045 train_acc=0.9688 gates_open=55.3% (17s) | val acc 1.0000
[23:02:29] epoch 17/150 kl=0.2325 task=0.2325 sparsity=3.1925 train_acc=0.9473 gates_open=55.1% (17s) | val acc 1.0000
[23:02:55] epoch 18/150 kl=0.1256 task=0.1257 sparsity=3.1805 train_acc=0.9824 gates_open=54.9% (17s) | val acc 1.0000
[23:03:22] epoch 19/150 kl=0.0028 task=0.0028 sparsity=3.1677 train_acc=1.0000 gates_open=54.6% (17s) | val acc 1.0000
[23:03:48] epoch 20/150 kl=0.1824 task=0.1824 sparsity=3.1544 train_acc=0.9707 gates_open=54.3% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep20.pt | gates open: 380/700 (54.3%)
[23:04:14] epoch 21/150 kl=0.0533 task=0.0533 sparsity=3.1416 train_acc=0.9844 gates_open=54.0% (17s) | val acc 1.0000
[23:04:40] epoch 22/150 kl=0.0019 task=0.0019 sparsity=3.1284 train_acc=1.0000 gates_open=53.9% (17s) | val acc 1.0000
[23:05:06] epoch 23/150 kl=0.0341 task=0.0342 sparsity=3.1150 train_acc=0.9883 gates_open=53.6% (17s) | val acc 1.0000
[23:05:33] epoch 24/150 kl=0.0240 task=0.0239 sparsity=3.1020 train_acc=0.9883 gates_open=53.4% (17s) | val acc 1.0000
[23:05:59] epoch 25/150 kl=0.0484 task=0.0485 sparsity=3.0885 train_acc=0.9785 gates_open=53.4% (17s) | val acc 1.0000
[23:06:25] epoch 26/150 kl=0.0050 task=0.0051 sparsity=3.0748 train_acc=1.0000 gates_open=53.4% (17s) | val acc 1.0000
[23:06:51] epoch 27/150 kl=0.0388 task=0.0389 sparsity=3.0608 train_acc=0.9844 gates_open=53.4% (17s) | val acc 1.0000
[23:07:18] epoch 28/150 kl=0.1175 task=0.1175 sparsity=3.0470 train_acc=0.9766 gates_open=53.0% (17s) | val acc 1.0000
[23:07:44] epoch 29/150 kl=0.1324 task=0.1324 sparsity=3.0330 train_acc=0.9629 gates_open=52.9% (17s) | val acc 1.0000
[23:08:10] epoch 30/150 kl=0.0206 task=0.0207 sparsity=3.0189 train_acc=0.9922 gates_open=52.7% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep30.pt | gates open: 369/700 (52.7%)
[23:08:36] epoch 31/150 kl=0.0954 task=0.0955 sparsity=3.0052 train_acc=0.9570 gates_open=52.3% (17s) | val acc 1.0000
[23:09:03] epoch 32/150 kl=0.0663 task=0.0663 sparsity=2.9915 train_acc=0.9785 gates_open=52.1% (17s) | val acc 1.0000
[23:09:29] epoch 33/150 kl=0.0563 task=0.0563 sparsity=2.9787 train_acc=0.9824 gates_open=51.7% (17s) | val acc 1.0000
[23:09:55] epoch 34/150 kl=0.0018 task=0.0018 sparsity=2.9649 train_acc=1.0000 gates_open=51.4% (17s) | val acc 1.0000
[23:10:22] epoch 35/150 kl=0.0577 task=0.0577 sparsity=2.9506 train_acc=0.9883 gates_open=51.3% (17s) | val acc 1.0000
[23:10:48] epoch 36/150 kl=0.0755 task=0.0756 sparsity=2.9364 train_acc=0.9727 gates_open=50.9% (17s) | val acc 1.0000
[23:11:14] epoch 37/150 kl=0.0418 task=0.0419 sparsity=2.9231 train_acc=0.9902 gates_open=50.4% (17s) | val acc 1.0000
[23:11:40] epoch 38/150 kl=0.0428 task=0.0428 sparsity=2.9092 train_acc=0.9746 gates_open=50.1% (17s) | val acc 1.0000
[23:12:07] epoch 39/150 kl=0.0601 task=0.0602 sparsity=2.8955 train_acc=0.9707 gates_open=49.9% (17s) | val acc 1.0000
[23:12:33] epoch 40/150 kl=0.0178 task=0.0178 sparsity=2.8817 train_acc=0.9922 gates_open=49.9% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep40.pt | gates open: 349/700 (49.9%)
[23:12:59] epoch 41/150 kl=0.2119 task=0.2120 sparsity=2.8678 train_acc=0.9746 gates_open=49.6% (17s) | val acc 1.0000
[23:13:25] epoch 42/150 kl=0.0096 task=0.0096 sparsity=2.8540 train_acc=1.0000 gates_open=49.6% (17s) | val acc 1.0000
[23:13:52] epoch 43/150 kl=0.1636 task=0.1636 sparsity=2.8403 train_acc=0.9570 gates_open=49.4% (17s) | val acc 1.0000
[23:14:18] epoch 44/150 kl=0.0040 task=0.0040 sparsity=2.8270 train_acc=1.0000 gates_open=49.0% (17s) | val acc 1.0000
[23:14:44] epoch 45/150 kl=0.2556 task=0.2556 sparsity=2.8135 train_acc=0.9688 gates_open=48.7% (17s) | val acc 1.0000
[23:15:10] epoch 46/150 kl=0.0766 task=0.0766 sparsity=2.8010 train_acc=0.9746 gates_open=48.6% (17s) | val acc 1.0000
[23:15:36] epoch 47/150 kl=0.0318 task=0.0318 sparsity=2.7897 train_acc=0.9805 gates_open=48.6% (17s) | val acc 1.0000
[23:16:02] epoch 48/150 kl=0.0129 task=0.0130 sparsity=2.7778 train_acc=0.9941 gates_open=48.3% (17s) | val acc 1.0000
[23:16:28] epoch 49/150 kl=0.1844 task=0.1844 sparsity=2.7658 train_acc=0.9805 gates_open=48.1% (17s) | val acc 1.0000
[23:16:55] epoch 50/150 kl=0.0011 task=0.0010 sparsity=2.7537 train_acc=1.0000 gates_open=47.9% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep50.pt | gates open: 335/700 (47.9%)
