loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 39756.44it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3794.43it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   4%|▎         | 9/254 [00:00<00:02, 89.25it/s]Loading weights:  19%|█▉        | 49/254 [00:00<00:00, 266.74it/s]Loading weights:  35%|███▌      | 89/254 [00:00<00:00, 325.67it/s]Loading weights:  51%|█████     | 129/254 [00:00<00:00, 353.79it/s]Loading weights:  66%|██████▌   | 167/254 [00:00<00:00, 360.27it/s]Loading weights:  81%|████████▏ | 207/254 [00:00<00:00, 370.82it/s]Loading weights:  96%|█████████▋| 245/254 [00:00<00:00, 371.72it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 344.89it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.ep60.pt | 541 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 200 epochs, lr=0.005, kl=1.0, task=1.0, lambda_mult=4.0
[00:54:11] epoch 1/200 kl=0.0046 task=0.0044 sparsity=0.2424 train_acc=1.0000 gates_open=22.7% (17s) | val acc 1.0000
[00:54:37] epoch 2/200 kl=0.1541 task=0.1539 sparsity=0.7379 train_acc=0.9785 gates_open=22.4% (17s) | val acc 1.0000
[00:55:04] epoch 3/200 kl=0.0810 task=0.0808 sparsity=1.2270 train_acc=0.9688 gates_open=22.3% (17s) | val acc 1.0000
[00:55:30] epoch 4/200 kl=0.0122 task=0.0120 sparsity=1.5303 train_acc=0.9961 gates_open=22.1% (17s) | val acc 1.0000
[00:55:56] epoch 5/200 kl=0.0233 task=0.0231 sparsity=1.5276 train_acc=0.9922 gates_open=22.1% (17s) | val acc 1.0000
[00:56:22] epoch 6/200 kl=0.0016 task=0.0013 sparsity=1.5207 train_acc=1.0000 gates_open=22.0% (17s) | val acc 1.0000
[00:56:48] epoch 7/200 kl=0.0143 task=0.0139 sparsity=1.5132 train_acc=0.9922 gates_open=22.0% (17s) | val acc 1.0000
[00:57:15] epoch 8/200 kl=0.0012 task=0.0009 sparsity=1.5054 train_acc=1.0000 gates_open=21.9% (17s) | val acc 1.0000
[00:57:41] epoch 9/200 kl=0.0209 task=0.0207 sparsity=1.4971 train_acc=0.9941 gates_open=21.1% (17s) | val acc 1.0000
[00:58:07] epoch 10/200 kl=0.0112 task=0.0110 sparsity=1.4884 train_acc=0.9980 gates_open=21.1% (17s) | val acc 1.0000
[00:58:33] epoch 11/200 kl=0.0993 task=0.0990 sparsity=1.4808 train_acc=0.9805 gates_open=21.1% (17s) | val acc 1.0000
[00:58:59] epoch 12/200 kl=0.1262 task=0.1259 sparsity=1.4728 train_acc=0.9824 gates_open=20.9% (17s) | val acc 1.0000
[00:59:25] epoch 13/200 kl=0.0085 task=0.0082 sparsity=1.4634 train_acc=0.9961 gates_open=20.9% (17s) | val acc 1.0000
[00:59:52] epoch 14/200 kl=0.0998 task=0.0996 sparsity=1.4546 train_acc=0.9707 gates_open=20.6% (17s) | val acc 1.0000
[01:00:18] epoch 15/200 kl=0.0011 task=0.0009 sparsity=1.4447 train_acc=1.0000 gates_open=20.6% (17s) | val acc 1.0000
[01:00:44] epoch 16/200 kl=0.0275 task=0.0272 sparsity=1.4351 train_acc=0.9863 gates_open=20.6% (17s) | val acc 1.0000
[01:01:10] epoch 17/200 kl=0.0527 task=0.0524 sparsity=1.4256 train_acc=0.9785 gates_open=20.4% (17s) | val acc 1.0000
[01:01:36] epoch 18/200 kl=0.0289 task=0.0288 sparsity=1.4161 train_acc=0.9844 gates_open=20.4% (17s) | val acc 1.0000
[01:02:03] epoch 19/200 kl=0.0059 task=0.0057 sparsity=1.4077 train_acc=1.0000 gates_open=20.4% (17s) | val acc 1.0000
[01:02:29] epoch 20/200 kl=0.0333 task=0.0331 sparsity=1.3988 train_acc=0.9863 gates_open=20.4% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep20.pt | gates open: 143/700 (20.4%)
[01:02:55] epoch 21/200 kl=0.0036 task=0.0033 sparsity=1.3903 train_acc=1.0000 gates_open=20.3% (17s) | val acc 1.0000
[01:03:21] epoch 22/200 kl=0.0053 task=0.0051 sparsity=1.3814 train_acc=0.9980 gates_open=20.3% (17s) | val acc 1.0000
[01:03:47] epoch 23/200 kl=0.0060 task=0.0058 sparsity=1.3727 train_acc=1.0000 gates_open=20.3% (17s) | val acc 1.0000
[01:04:13] epoch 24/200 kl=0.0129 task=0.0127 sparsity=1.3652 train_acc=0.9941 gates_open=20.1% (17s) | val acc 1.0000
[01:04:40] epoch 25/200 kl=0.0409 task=0.0407 sparsity=1.3575 train_acc=0.9766 gates_open=20.1% (17s) | val acc 1.0000
[01:05:06] epoch 26/200 kl=0.0129 task=0.0127 sparsity=1.3493 train_acc=0.9961 gates_open=20.0% (17s) | val acc 1.0000
[01:05:32] epoch 27/200 kl=0.0104 task=0.0102 sparsity=1.3413 train_acc=0.9941 gates_open=20.0% (17s) | val acc 1.0000
[01:05:58] epoch 28/200 kl=0.0209 task=0.0207 sparsity=1.3332 train_acc=0.9922 gates_open=19.7% (17s) | val acc 1.0000
[01:06:25] epoch 29/200 kl=0.0341 task=0.0339 sparsity=1.3253 train_acc=0.9863 gates_open=19.7% (17s) | val acc 1.0000
[01:06:51] epoch 30/200 kl=0.0047 task=0.0045 sparsity=1.3168 train_acc=1.0000 gates_open=19.6% (17s) | val acc 1.0000
[01:07:17] epoch 31/200 kl=0.0238 task=0.0236 sparsity=1.3082 train_acc=0.9883 gates_open=19.6% (17s) | val acc 1.0000
[01:07:43] epoch 32/200 kl=0.0084 task=0.0082 sparsity=1.2991 train_acc=0.9961 gates_open=19.4% (17s) | val acc 1.0000
[01:08:09] epoch 33/200 kl=0.0091 task=0.0089 sparsity=1.2894 train_acc=1.0000 gates_open=19.4% (17s) | val acc 1.0000
[01:08:36] epoch 34/200 kl=0.0028 task=0.0026 sparsity=1.2789 train_acc=1.0000 gates_open=19.4% (17s) | val acc 1.0000
[01:09:02] epoch 35/200 kl=0.0104 task=0.0102 sparsity=1.2683 train_acc=0.9941 gates_open=19.3% (17s) | val acc 1.0000
[01:09:28] epoch 36/200 kl=0.0140 task=0.0140 sparsity=1.2581 train_acc=0.9961 gates_open=19.3% (17s) | val acc 1.0000
[01:09:55] epoch 37/200 kl=0.0175 task=0.0174 sparsity=1.2482 train_acc=0.9961 gates_open=19.0% (17s) | val acc 1.0000
[01:10:21] epoch 38/200 kl=0.1653 task=0.1652 sparsity=1.2398 train_acc=0.9453 gates_open=18.9% (17s) | val acc 1.0000
[01:10:47] epoch 39/200 kl=0.0557 task=0.0556 sparsity=1.2316 train_acc=0.9766 gates_open=18.9% (17s) | val acc 1.0000
[01:11:13] epoch 40/200 kl=0.0181 task=0.0179 sparsity=1.2230 train_acc=0.9941 gates_open=18.9% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep40.pt | gates open: 132/700 (18.9%)
[01:11:39] epoch 41/200 kl=0.0031 task=0.0029 sparsity=1.2151 train_acc=1.0000 gates_open=18.7% (17s) | val acc 1.0000
[01:12:05] epoch 42/200 kl=0.0017 task=0.0015 sparsity=1.2072 train_acc=1.0000 gates_open=18.7% (17s) | val acc 1.0000
[01:12:32] epoch 43/200 kl=0.0552 task=0.0550 sparsity=1.1998 train_acc=0.9844 gates_open=18.7% (17s) | val acc 1.0000
[01:12:58] epoch 44/200 kl=0.0135 task=0.0134 sparsity=1.1932 train_acc=0.9961 gates_open=18.6% (17s) | val acc 1.0000
[01:13:24] epoch 45/200 kl=0.0115 task=0.0114 sparsity=1.1865 train_acc=0.9961 gates_open=18.6% (17s) | val acc 1.0000
[01:13:50] epoch 46/200 kl=0.0872 task=0.0871 sparsity=1.1802 train_acc=0.9707 gates_open=18.4% (17s) | val acc 1.0000
[01:14:17] epoch 47/200 kl=0.0091 task=0.0089 sparsity=1.1756 train_acc=0.9961 gates_open=18.3% (17s) | val acc 1.0000
[01:14:43] epoch 48/200 kl=0.0086 task=0.0084 sparsity=1.1697 train_acc=0.9980 gates_open=18.1% (17s) | val acc 1.0000
[01:15:09] epoch 49/200 kl=0.0606 task=0.0604 sparsity=1.1636 train_acc=0.9766 gates_open=18.1% (17s) | val acc 1.0000
[01:15:35] epoch 50/200 kl=0.0055 task=0.0053 sparsity=1.1575 train_acc=1.0000 gates_open=18.0% (17s) | val acc 1.0000
[01:16:01] epoch 51/200 kl=0.0079 task=0.0077 sparsity=1.1508 train_acc=1.0000 gates_open=18.0% (17s) | val acc 1.0000
[01:16:28] epoch 52/200 kl=0.0099 task=0.0097 sparsity=1.1437 train_acc=0.9980 gates_open=18.0% (17s) | val acc 1.0000
