loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 39199.10it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4245.75it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   7%|▋         | 17/254 [00:00<00:01, 167.59it/s]Loading weights:  21%|██▏       | 54/254 [00:00<00:00, 284.81it/s]Loading weights:  37%|███▋      | 93/254 [00:00<00:00, 324.75it/s]Loading weights:  51%|█████     | 130/254 [00:00<00:00, 341.25it/s]Loading weights:  66%|██████▌   | 167/254 [00:00<00:00, 345.97it/s]Loading weights:  80%|███████▉  | 203/254 [00:00<00:00, 345.14it/s]Loading weights:  94%|█████████▍| 239/254 [00:00<00:00, 340.92it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 333.71it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.pt | 617 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 200 epochs, lr=0.005, kl=1.0, task=1.0, lambda_mult=8.0
[03:04:36] epoch 1/200 kl=0.0125 task=0.0125 sparsity=0.1279 train_acc=0.9980 gates_open=11.7% (17s) | val acc 1.0000
[03:05:03] epoch 2/200 kl=0.2355 task=0.2357 sparsity=0.3910 train_acc=0.9473 gates_open=11.7% (17s) | val acc 1.0000
[03:05:29] epoch 3/200 kl=0.0143 task=0.0143 sparsity=0.6530 train_acc=0.9980 gates_open=11.7% (17s) | val acc 1.0000
[03:05:55] epoch 4/200 kl=0.0376 task=0.0377 sparsity=0.8166 train_acc=0.9805 gates_open=11.7% (17s) | val acc 1.0000
[03:06:21] epoch 5/200 kl=0.0078 task=0.0078 sparsity=0.8170 train_acc=1.0000 gates_open=11.7% (17s) | val acc 1.0000
[03:06:47] epoch 6/200 kl=0.0851 task=0.0852 sparsity=0.8144 train_acc=0.9727 gates_open=11.7% (17s) | val acc 1.0000
[03:07:13] epoch 7/200 kl=0.0071 task=0.0071 sparsity=0.8127 train_acc=1.0000 gates_open=11.7% (17s) | val acc 1.0000
[03:07:40] epoch 8/200 kl=0.0260 task=0.0261 sparsity=0.8109 train_acc=0.9922 gates_open=11.4% (17s) | val acc 1.0000
[03:08:06] epoch 9/200 kl=0.0200 task=0.0200 sparsity=0.8090 train_acc=0.9941 gates_open=11.4% (17s) | val acc 1.0000
[03:08:32] epoch 10/200 kl=0.0134 task=0.0134 sparsity=0.8070 train_acc=0.9941 gates_open=11.4% (17s) | val acc 1.0000
[03:08:58] epoch 11/200 kl=0.0086 task=0.0086 sparsity=0.8045 train_acc=1.0000 gates_open=11.4% (17s) | val acc 1.0000
[03:09:24] epoch 12/200 kl=0.0355 task=0.0355 sparsity=0.8017 train_acc=0.9844 gates_open=11.4% (17s) | val acc 1.0000
[03:09:50] epoch 13/200 kl=0.0050 task=0.0051 sparsity=0.7988 train_acc=1.0000 gates_open=11.3% (17s) | val acc 1.0000
[03:10:17] epoch 14/200 kl=0.0653 task=0.0653 sparsity=0.7955 train_acc=0.9785 gates_open=11.3% (17s) | val acc 1.0000
[03:10:43] epoch 15/200 kl=0.0086 task=0.0086 sparsity=0.7919 train_acc=1.0000 gates_open=11.1% (17s) | val acc 1.0000
[03:11:09] epoch 16/200 kl=0.0392 task=0.0393 sparsity=0.7876 train_acc=0.9844 gates_open=11.1% (17s) | val acc 1.0000
[03:11:35] epoch 17/200 kl=0.0489 task=0.0490 sparsity=0.7837 train_acc=0.9844 gates_open=11.1% (17s) | val acc 1.0000
[03:12:01] epoch 18/200 kl=0.0374 task=0.0375 sparsity=0.7791 train_acc=0.9883 gates_open=11.1% (17s) | val acc 1.0000
[03:12:27] epoch 19/200 kl=0.0087 task=0.0088 sparsity=0.7740 train_acc=1.0000 gates_open=11.1% (17s) | val acc 1.0000
[03:12:54] epoch 20/200 kl=0.2045 task=0.2047 sparsity=0.7679 train_acc=0.9590 gates_open=11.1% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep20.pt | gates open: 78/700 (11.1%)
[03:13:20] epoch 21/200 kl=0.0220 task=0.0221 sparsity=0.7619 train_acc=0.9941 gates_open=11.1% (17s) | val acc 1.0000
[03:13:46] epoch 22/200 kl=0.0181 task=0.0181 sparsity=0.7566 train_acc=0.9941 gates_open=11.1% (17s) | val acc 1.0000
[03:14:12] epoch 23/200 kl=0.0477 task=0.0478 sparsity=0.7506 train_acc=0.9863 gates_open=11.1% (17s) | val acc 1.0000
[03:14:39] epoch 24/200 kl=0.0232 task=0.0233 sparsity=0.7443 train_acc=1.0000 gates_open=11.1% (17s) | val acc 1.0000
[03:15:05] epoch 25/200 kl=0.1190 task=0.1191 sparsity=0.7381 train_acc=0.9707 gates_open=11.1% (17s) | val acc 1.0000
[03:15:31] epoch 26/200 kl=0.0288 task=0.0290 sparsity=0.7323 train_acc=0.9902 gates_open=11.0% (17s) | val acc 1.0000
[03:15:57] epoch 27/200 kl=0.0576 task=0.0577 sparsity=0.7265 train_acc=0.9844 gates_open=10.9% (17s) | val acc 1.0000
[03:16:24] epoch 28/200 kl=0.0370 task=0.0371 sparsity=0.7213 train_acc=0.9785 gates_open=10.7% (17s) | val acc 1.0000
[03:16:50] epoch 29/200 kl=0.1212 task=0.1214 sparsity=0.7166 train_acc=0.9551 gates_open=10.7% (17s) | val acc 1.0000
[03:17:16] epoch 30/200 kl=0.0312 task=0.0314 sparsity=0.7120 train_acc=0.9902 gates_open=10.6% (17s) | val acc 1.0000
[03:17:43] epoch 31/200 kl=0.0450 task=0.0451 sparsity=0.7072 train_acc=0.9844 gates_open=10.6% (17s) | val acc 1.0000
[03:18:09] epoch 32/200 kl=0.0496 task=0.0497 sparsity=0.7027 train_acc=0.9785 gates_open=10.6% (17s) | val acc 1.0000
[03:18:35] epoch 33/200 kl=0.0165 task=0.0166 sparsity=0.6981 train_acc=1.0000 gates_open=10.6% (17s) | val acc 1.0000
[03:19:01] epoch 34/200 kl=0.0259 task=0.0260 sparsity=0.6927 train_acc=0.9902 gates_open=10.6% (17s) | val acc 1.0000
[03:19:28] epoch 35/200 kl=0.0536 task=0.0538 sparsity=0.6880 train_acc=0.9785 gates_open=10.6% (17s) | val acc 1.0000
[03:19:54] epoch 36/200 kl=0.0272 task=0.0273 sparsity=0.6835 train_acc=0.9941 gates_open=10.6% (17s) | val acc 1.0000
[03:20:20] epoch 37/200 kl=0.0577 task=0.0578 sparsity=0.6782 train_acc=0.9785 gates_open=10.6% (17s) | val acc 1.0000
[03:20:46] epoch 38/200 kl=0.0741 task=0.0742 sparsity=0.6724 train_acc=0.9707 gates_open=10.6% (17s) | val acc 1.0000
[03:21:12] epoch 39/200 kl=0.0658 task=0.0660 sparsity=0.6664 train_acc=0.9785 gates_open=10.6% (17s) | val acc 1.0000
[03:21:39] epoch 40/200 kl=0.0450 task=0.0451 sparsity=0.6605 train_acc=0.9824 gates_open=10.6% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep40.pt | gates open: 74/700 (10.6%)
[03:22:05] epoch 41/200 kl=0.0677 task=0.0679 sparsity=0.6547 train_acc=0.9727 gates_open=10.6% (17s) | val acc 1.0000
[03:22:32] epoch 42/200 kl=0.0184 task=0.0185 sparsity=0.6487 train_acc=0.9961 gates_open=10.6% (17s) | val acc 1.0000
[03:22:58] epoch 43/200 kl=0.0180 task=0.0181 sparsity=0.6424 train_acc=0.9980 gates_open=10.6% (17s) | val acc 1.0000
[03:23:25] epoch 44/200 kl=0.0495 task=0.0497 sparsity=0.6368 train_acc=0.9863 gates_open=10.6% (17s) | val acc 1.0000
[03:23:51] epoch 45/200 kl=0.0809 task=0.0811 sparsity=0.6316 train_acc=0.9785 gates_open=10.6% (17s) | val acc 1.0000
[03:24:17] epoch 46/200 kl=0.0628 task=0.0630 sparsity=0.6271 train_acc=0.9746 gates_open=10.6% (17s) | val acc 1.0000
[03:24:43] epoch 47/200 kl=0.0493 task=0.0495 sparsity=0.6231 train_acc=0.9766 gates_open=10.6% (17s) | val acc 1.0000
[03:25:10] epoch 48/200 kl=0.0361 task=0.0363 sparsity=0.6192 train_acc=0.9883 gates_open=10.6% (17s) | val acc 1.0000
[03:25:36] epoch 49/200 kl=0.0257 task=0.0259 sparsity=0.6159 train_acc=0.9902 gates_open=10.6% (17s) | val acc 1.0000
[03:26:02] epoch 50/200 kl=0.0304 task=0.0306 sparsity=0.6130 train_acc=0.9961 gates_open=10.4% (17s) | val acc 1.0000
[03:26:29] epoch 51/200 kl=0.0157 task=0.0158 sparsity=0.6103 train_acc=0.9980 gates_open=10.4% (17s) | val acc 1.0000
[03:26:55] epoch 52/200 kl=0.0191 task=0.0192 sparsity=0.6077 train_acc=0.9961 gates_open=10.4% (17s) | val acc 1.0000
