MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3856.59it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3506.66it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON ANIMALS_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.0675 | Sparsity Loss: 0.0774
Epoch 2/600 | KL Loss: 0.0526 | Sparsity Loss: 0.2343
Epoch 3/600 | KL Loss: 0.0377 | Sparsity Loss: 0.3876
Epoch 4/600 | KL Loss: 0.0352 | Sparsity Loss: 0.5335
Epoch 5/600 | KL Loss: 0.0287 | Sparsity Loss: 0.6682
Epoch 6/600 | KL Loss: 0.0375 | Sparsity Loss: 0.7977
Epoch 7/600 | KL Loss: 0.0362 | Sparsity Loss: 0.9217
Epoch 8/600 | KL Loss: 0.0274 | Sparsity Loss: 1.0410
Epoch 9/600 | KL Loss: 0.0402 | Sparsity Loss: 1.1514
Epoch 10/600 | KL Loss: 0.0356 | Sparsity Loss: 1.2557
Epoch 11/600 | KL Loss: 0.0368 | Sparsity Loss: 1.3595
Epoch 12/600 | KL Loss: 0.0430 | Sparsity Loss: 1.4664
Epoch 13/600 | KL Loss: 0.0442 | Sparsity Loss: 1.5675
Epoch 14/600 | KL Loss: 0.1104 | Sparsity Loss: 1.6399
Epoch 15/600 | KL Loss: 0.0860 | Sparsity Loss: 1.6094
Epoch 16/600 | KL Loss: 0.0854 | Sparsity Loss: 1.6855
Epoch 17/600 | KL Loss: 0.1050 | Sparsity Loss: 1.6397
Epoch 18/600 | KL Loss: 0.1247 | Sparsity Loss: 1.5361
Epoch 19/600 | KL Loss: 0.1281 | Sparsity Loss: 1.4705
Epoch 20/600 | KL Loss: 0.1365 | Sparsity Loss: 1.3928
Epoch 21/600 | KL Loss: 0.1537 | Sparsity Loss: 1.3073
Epoch 22/600 | KL Loss: 0.1540 | Sparsity Loss: 1.2897
Epoch 23/600 | KL Loss: 0.1555 | Sparsity Loss: 1.2866
Epoch 24/600 | KL Loss: 0.1396 | Sparsity Loss: 1.2832
Epoch 25/600 | KL Loss: 0.1418 | Sparsity Loss: 1.2773
Epoch 26/600 | KL Loss: 0.1425 | Sparsity Loss: 1.2726
Epoch 27/600 | KL Loss: 0.1341 | Sparsity Loss: 1.2689
