MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4251.14it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4035.83it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1.5 on all levels): attention_heads=0.075
Finetuning from binary mask exp2_heads_mlp_overpruned/masks/all_300ep_l015_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from exp2_heads_mlp_overpruned/masks/all_300ep_l015_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON COLORS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 1.0067 | Sparsity Loss: 0.0694
Epoch 2/300 | KL Loss: 0.9222 | Sparsity Loss: 0.2106
Epoch 3/300 | KL Loss: 0.9121 | Sparsity Loss: 0.3519
Epoch 4/300 | KL Loss: 0.9305 | Sparsity Loss: 0.4932
Epoch 5/300 | KL Loss: 0.9151 | Sparsity Loss: 0.6345
Epoch 6/300 | KL Loss: 0.9046 | Sparsity Loss: 0.7754
Epoch 7/300 | KL Loss: 1.0235 | Sparsity Loss: 0.9159
Epoch 8/300 | KL Loss: 0.9248 | Sparsity Loss: 1.0569
Epoch 9/300 | KL Loss: 0.9302 | Sparsity Loss: 1.1976
Epoch 10/300 | KL Loss: 0.9236 | Sparsity Loss: 1.3383
Epoch 11/300 | KL Loss: 0.8941 | Sparsity Loss: 1.4792
Epoch 12/300 | KL Loss: 0.9091 | Sparsity Loss: 1.6200
Epoch 13/300 | KL Loss: 0.9305 | Sparsity Loss: 1.7609
Epoch 14/300 | KL Loss: 0.8997 | Sparsity Loss: 1.9017
Epoch 15/300 | KL Loss: 0.9590 | Sparsity Loss: 2.0426
Epoch 16/300 | KL Loss: 0.9200 | Sparsity Loss: 2.1826
Epoch 17/300 | KL Loss: 0.9011 | Sparsity Loss: 2.2370
Epoch 18/300 | KL Loss: 0.9211 | Sparsity Loss: 2.2369
Epoch 19/300 | KL Loss: 0.8869 | Sparsity Loss: 2.2371
Epoch 20/300 | KL Loss: 0.9277 | Sparsity Loss: 2.2371
Epoch 21/300 | KL Loss: 0.8961 | Sparsity Loss: 2.2370
Epoch 22/300 | KL Loss: 0.9184 | Sparsity Loss: 2.2372
Epoch 23/300 | KL Loss: 0.9106 | Sparsity Loss: 2.2371
Epoch 24/300 | KL Loss: 0.9234 | Sparsity Loss: 2.2372
Epoch 25/300 | KL Loss: 0.9404 | Sparsity Loss: 2.2373
