MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3375.31it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3772.39it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1.5 on all levels): attention_heads=0.075
Finetuning from binary mask exp2_heads_mlp_overpruned/masks/all_300ep_l015_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from exp2_heads_mlp_overpruned/masks/all_300ep_l015_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON FRUITS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 1.1288 | Sparsity Loss: 0.0695
Epoch 2/300 | KL Loss: 1.0081 | Sparsity Loss: 0.2107
Epoch 3/300 | KL Loss: 1.0389 | Sparsity Loss: 0.3520
Epoch 4/300 | KL Loss: 1.0475 | Sparsity Loss: 0.4933
Epoch 5/300 | KL Loss: 1.0443 | Sparsity Loss: 0.6346
Epoch 6/300 | KL Loss: 1.0204 | Sparsity Loss: 0.7758
Epoch 7/300 | KL Loss: 0.9979 | Sparsity Loss: 0.9171
Epoch 8/300 | KL Loss: 1.0388 | Sparsity Loss: 1.0583
Epoch 9/300 | KL Loss: 0.9971 | Sparsity Loss: 1.1995
Epoch 10/300 | KL Loss: 1.0175 | Sparsity Loss: 1.3408
Epoch 11/300 | KL Loss: 1.0255 | Sparsity Loss: 1.4820
Epoch 12/300 | KL Loss: 0.9967 | Sparsity Loss: 1.6232
Epoch 13/300 | KL Loss: 1.0355 | Sparsity Loss: 1.7644
Epoch 14/300 | KL Loss: 1.0182 | Sparsity Loss: 1.9055
Epoch 15/300 | KL Loss: 1.0290 | Sparsity Loss: 2.0465
Epoch 16/300 | KL Loss: 1.0258 | Sparsity Loss: 2.1862
Epoch 17/300 | KL Loss: 1.0111 | Sparsity Loss: 2.2405
Epoch 18/300 | KL Loss: 1.0229 | Sparsity Loss: 2.2402
Epoch 19/300 | KL Loss: 1.0606 | Sparsity Loss: 2.2400
Epoch 20/300 | KL Loss: 1.0294 | Sparsity Loss: 2.2400
Epoch 21/300 | KL Loss: 1.0253 | Sparsity Loss: 2.2400
Epoch 22/300 | KL Loss: 1.0798 | Sparsity Loss: 2.2399
Epoch 23/300 | KL Loss: 1.0993 | Sparsity Loss: 2.2400
Epoch 24/300 | KL Loss: 1.1129 | Sparsity Loss: 2.2399
Epoch 25/300 | KL Loss: 1.0528 | Sparsity Loss: 2.2397
Epoch 26/300 | KL Loss: 1.0699 | Sparsity Loss: 2.2394
Epoch 27/300 | KL Loss: 1.0664 | Sparsity Loss: 2.2395
Epoch 28/300 | KL Loss: 1.0546 | Sparsity Loss: 2.2395
Epoch 29/300 | KL Loss: 1.0469 | Sparsity Loss: 2.2397
Epoch 30/300 | KL Loss: 0.9907 | Sparsity Loss: 2.2397
Epoch 31/300 | KL Loss: 1.0035 | Sparsity Loss: 2.2395
Epoch 32/300 | KL Loss: 1.0561 | Sparsity Loss: 2.2396
Epoch 33/300 | KL Loss: 1.0123 | Sparsity Loss: 2.2397
Epoch 34/300 | KL Loss: 1.0205 | Sparsity Loss: 2.2395
Epoch 35/300 | KL Loss: 1.0174 | Sparsity Loss: 2.2397
Epoch 36/300 | KL Loss: 1.0141 | Sparsity Loss: 2.2395
Epoch 37/300 | KL Loss: 1.0088 | Sparsity Loss: 2.2395
Epoch 38/300 | KL Loss: 1.0199 | Sparsity Loss: 2.2393
Epoch 39/300 | KL Loss: 1.0253 | Sparsity Loss: 2.2393
Epoch 40/300 | KL Loss: 1.0098 | Sparsity Loss: 2.2394
Epoch 41/300 | KL Loss: 1.0616 | Sparsity Loss: 2.2393
Epoch 42/300 | KL Loss: 1.0080 | Sparsity Loss: 2.2394
Epoch 43/300 | KL Loss: 1.0568 | Sparsity Loss: 2.2396
Epoch 44/300 | KL Loss: 1.0059 | Sparsity Loss: 2.2398
Epoch 45/300 | KL Loss: 1.0563 | Sparsity Loss: 2.2398
Epoch 46/300 | KL Loss: 1.0044 | Sparsity Loss: 2.2397
Epoch 47/300 | KL Loss: 1.0131 | Sparsity Loss: 2.2397
Epoch 48/300 | KL Loss: 1.0352 | Sparsity Loss: 2.2396
Epoch 49/300 | KL Loss: 1.0304 | Sparsity Loss: 2.2395
Epoch 50/300 | KL Loss: 1.0365 | Sparsity Loss: 2.2396
Epoch 51/300 | KL Loss: 1.0239 | Sparsity Loss: 2.2399
Epoch 52/300 | KL Loss: 1.0259 | Sparsity Loss: 2.2399
Epoch 53/300 | KL Loss: 1.0031 | Sparsity Loss: 2.2399
Epoch 54/300 | KL Loss: 1.0258 | Sparsity Loss: 2.2398
Epoch 55/300 | KL Loss: 1.0154 | Sparsity Loss: 2.2396
Epoch 56/300 | KL Loss: 1.0688 | Sparsity Loss: 2.2397
Epoch 57/300 | KL Loss: 1.0123 | Sparsity Loss: 2.2397
Epoch 58/300 | KL Loss: 1.0124 | Sparsity Loss: 2.2396
Epoch 59/300 | KL Loss: 1.0398 | Sparsity Loss: 2.2397
Epoch 60/300 | KL Loss: 1.0088 | Sparsity Loss: 2.2398
Epoch 61/300 | KL Loss: 1.0553 | Sparsity Loss: 2.2396
Epoch 62/300 | KL Loss: 1.0554 | Sparsity Loss: 2.2394
Epoch 63/300 | KL Loss: 1.0437 | Sparsity Loss: 2.2395
Epoch 64/300 | KL Loss: 1.0222 | Sparsity Loss: 2.2394
Epoch 65/300 | KL Loss: 1.0957 | Sparsity Loss: 2.2393
Epoch 66/300 | KL Loss: 1.0213 | Sparsity Loss: 2.2397
Epoch 67/300 | KL Loss: 1.0196 | Sparsity Loss: 2.2395
Epoch 68/300 | KL Loss: 1.0323 | Sparsity Loss: 2.2393
Epoch 69/300 | KL Loss: 1.0306 | Sparsity Loss: 2.2395
Epoch 70/300 | KL Loss: 1.0064 | Sparsity Loss: 2.2393
Epoch 71/300 | KL Loss: 1.0234 | Sparsity Loss: 2.2393
Epoch 72/300 | KL Loss: 1.1167 | Sparsity Loss: 2.2394
Epoch 73/300 | KL Loss: 1.0415 | Sparsity Loss: 2.2397
Epoch 74/300 | KL Loss: 0.9921 | Sparsity Loss: 2.2396
Epoch 75/300 | KL Loss: 1.0347 | Sparsity Loss: 2.2395
Epoch 76/300 | KL Loss: 1.0044 | Sparsity Loss: 2.2396
Epoch 77/300 | KL Loss: 1.0822 | Sparsity Loss: 2.2397
Epoch 78/300 | KL Loss: 1.0013 | Sparsity Loss: 2.2396
Epoch 79/300 | KL Loss: 1.0241 | Sparsity Loss: 2.2394
Epoch 80/300 | KL Loss: 1.0756 | Sparsity Loss: 2.2394
