MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4229.21it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4226.17it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1.5 on all levels): attention_heads=0.075
Finetuning from binary mask exp2_heads_mlp_overpruned/masks/all_300ep_l015_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from exp2_heads_mlp_overpruned/masks/all_300ep_l015_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON METALS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.6428 | Sparsity Loss: 0.0694
Epoch 2/300 | KL Loss: 0.7340 | Sparsity Loss: 0.2105
Epoch 3/300 | KL Loss: 0.6166 | Sparsity Loss: 0.3518
Epoch 4/300 | KL Loss: 0.6354 | Sparsity Loss: 0.4932
Epoch 5/300 | KL Loss: 0.6647 | Sparsity Loss: 0.6345
Epoch 6/300 | KL Loss: 0.6465 | Sparsity Loss: 0.7757
Epoch 7/300 | KL Loss: 0.6161 | Sparsity Loss: 0.9169
Epoch 8/300 | KL Loss: 0.6359 | Sparsity Loss: 1.0577
Epoch 9/300 | KL Loss: 0.6215 | Sparsity Loss: 1.1986
Epoch 10/300 | KL Loss: 0.6330 | Sparsity Loss: 1.3395
Epoch 11/300 | KL Loss: 0.6342 | Sparsity Loss: 1.4806
Epoch 12/300 | KL Loss: 0.7018 | Sparsity Loss: 1.6216
Epoch 13/300 | KL Loss: 0.6196 | Sparsity Loss: 1.7627
Epoch 14/300 | KL Loss: 0.6237 | Sparsity Loss: 1.9038
Epoch 15/300 | KL Loss: 0.6458 | Sparsity Loss: 2.0448
Epoch 16/300 | KL Loss: 0.6220 | Sparsity Loss: 2.1847
Epoch 17/300 | KL Loss: 0.6248 | Sparsity Loss: 2.2395
Epoch 18/300 | KL Loss: 0.6218 | Sparsity Loss: 2.2399
Epoch 19/300 | KL Loss: 0.6426 | Sparsity Loss: 2.2398
Epoch 20/300 | KL Loss: 0.6250 | Sparsity Loss: 2.2396
Epoch 21/300 | KL Loss: 0.6316 | Sparsity Loss: 2.2392
Epoch 22/300 | KL Loss: 0.6323 | Sparsity Loss: 2.2384
Epoch 23/300 | KL Loss: 0.6456 | Sparsity Loss: 2.2378
Epoch 24/300 | KL Loss: 0.6303 | Sparsity Loss: 2.2377
Epoch 25/300 | KL Loss: 0.6189 | Sparsity Loss: 2.2375
Epoch 26/300 | KL Loss: 0.6614 | Sparsity Loss: 2.2376
Epoch 27/300 | KL Loss: 0.6343 | Sparsity Loss: 2.2375
Epoch 28/300 | KL Loss: 0.6366 | Sparsity Loss: 2.2374
Epoch 29/300 | KL Loss: 0.6136 | Sparsity Loss: 2.2374
Epoch 30/300 | KL Loss: 0.6537 | Sparsity Loss: 2.2374
Epoch 31/300 | KL Loss: 0.6392 | Sparsity Loss: 2.2374
Epoch 32/300 | KL Loss: 0.6695 | Sparsity Loss: 2.2375
Epoch 33/300 | KL Loss: 0.6127 | Sparsity Loss: 2.2375
Epoch 34/300 | KL Loss: 0.6504 | Sparsity Loss: 2.2373
Epoch 35/300 | KL Loss: 0.6292 | Sparsity Loss: 2.2375
Epoch 36/300 | KL Loss: 0.6303 | Sparsity Loss: 2.2374
Epoch 37/300 | KL Loss: 0.6372 | Sparsity Loss: 2.2376
Epoch 38/300 | KL Loss: 0.6201 | Sparsity Loss: 2.2374
Epoch 39/300 | KL Loss: 0.6404 | Sparsity Loss: 2.2374
Epoch 40/300 | KL Loss: 0.6201 | Sparsity Loss: 2.2375
Epoch 41/300 | KL Loss: 0.6463 | Sparsity Loss: 2.2374
Epoch 42/300 | KL Loss: 0.6427 | Sparsity Loss: 2.2375
Epoch 43/300 | KL Loss: 0.6299 | Sparsity Loss: 2.2377
Epoch 44/300 | KL Loss: 0.6428 | Sparsity Loss: 2.2377
Epoch 45/300 | KL Loss: 0.6700 | Sparsity Loss: 2.2376
Epoch 46/300 | KL Loss: 0.6189 | Sparsity Loss: 2.2376
Epoch 47/300 | KL Loss: 0.6461 | Sparsity Loss: 2.2374
Epoch 48/300 | KL Loss: 0.6144 | Sparsity Loss: 2.2373
Epoch 49/300 | KL Loss: 0.6953 | Sparsity Loss: 2.2373
Epoch 50/300 | KL Loss: 0.6278 | Sparsity Loss: 2.2371
Epoch 51/300 | KL Loss: 0.6411 | Sparsity Loss: 2.2370
Epoch 52/300 | KL Loss: 0.6654 | Sparsity Loss: 2.2375
Epoch 53/300 | KL Loss: 0.6533 | Sparsity Loss: 2.2376
Epoch 54/300 | KL Loss: 0.6289 | Sparsity Loss: 2.2374
Epoch 55/300 | KL Loss: 0.6570 | Sparsity Loss: 2.2374
Epoch 56/300 | KL Loss: 0.6418 | Sparsity Loss: 2.2373
Epoch 57/300 | KL Loss: 0.6330 | Sparsity Loss: 2.2371
Epoch 58/300 | KL Loss: 0.6418 | Sparsity Loss: 2.2371
Epoch 59/300 | KL Loss: 0.6223 | Sparsity Loss: 2.2373
Epoch 60/300 | KL Loss: 0.6214 | Sparsity Loss: 2.2375
Epoch 61/300 | KL Loss: 0.6542 | Sparsity Loss: 2.2375
Epoch 62/300 | KL Loss: 0.6582 | Sparsity Loss: 2.2374
Epoch 63/300 | KL Loss: 0.6116 | Sparsity Loss: 2.2375
Epoch 64/300 | KL Loss: 0.6201 | Sparsity Loss: 2.2372
Epoch 65/300 | KL Loss: 0.6206 | Sparsity Loss: 2.2371
