MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3686.08it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3822.95it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1.5 on all levels): attention_heads=0.075
Finetuning from binary mask exp2_heads_mlp_overpruned/masks/all_300ep_l015_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from exp2_heads_mlp_overpruned/masks/all_300ep_l015_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON VEHICLES_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.2054 | Sparsity Loss: 0.0694
Epoch 2/300 | KL Loss: 0.2032 | Sparsity Loss: 0.2104
Epoch 3/300 | KL Loss: 0.1926 | Sparsity Loss: 0.3510
Epoch 4/300 | KL Loss: 0.2017 | Sparsity Loss: 0.4915
Epoch 5/300 | KL Loss: 0.1918 | Sparsity Loss: 0.6305
Epoch 6/300 | KL Loss: 0.1964 | Sparsity Loss: 0.7697
Epoch 7/300 | KL Loss: 0.1964 | Sparsity Loss: 0.9087
Epoch 8/300 | KL Loss: 0.1935 | Sparsity Loss: 1.0465
Epoch 9/300 | KL Loss: 0.1987 | Sparsity Loss: 1.1848
Epoch 10/300 | KL Loss: 0.1963 | Sparsity Loss: 1.3238
Epoch 11/300 | KL Loss: 0.1989 | Sparsity Loss: 1.4623
Epoch 12/300 | KL Loss: 0.1931 | Sparsity Loss: 1.6008
Epoch 13/300 | KL Loss: 0.1937 | Sparsity Loss: 1.7384
Epoch 14/300 | KL Loss: 0.1994 | Sparsity Loss: 1.8743
Epoch 15/300 | KL Loss: 0.1953 | Sparsity Loss: 2.0118
Epoch 16/300 | KL Loss: 0.2008 | Sparsity Loss: 2.1485
Epoch 17/300 | KL Loss: 0.2107 | Sparsity Loss: 2.2005
Epoch 18/300 | KL Loss: 0.2011 | Sparsity Loss: 2.1901
Epoch 19/300 | KL Loss: 0.2230 | Sparsity Loss: 2.0634
