MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4102.83it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4072.71it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask exp2_heads_mlp_overpruned/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from exp2_heads_mlp_overpruned/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON VEHICLES_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.2036 | Sparsity Loss: 0.0466
Epoch 2/300 | KL Loss: 0.1805 | Sparsity Loss: 0.1412
Epoch 3/300 | KL Loss: 0.1894 | Sparsity Loss: 0.2355
Epoch 4/300 | KL Loss: 0.1968 | Sparsity Loss: 0.3299
Epoch 5/300 | KL Loss: 0.1889 | Sparsity Loss: 0.4240
Epoch 6/300 | KL Loss: 0.1812 | Sparsity Loss: 0.5180
Epoch 7/300 | KL Loss: 0.1818 | Sparsity Loss: 0.6112
Epoch 8/300 | KL Loss: 0.1761 | Sparsity Loss: 0.7039
Epoch 9/300 | KL Loss: 0.1894 | Sparsity Loss: 0.7966
Epoch 10/300 | KL Loss: 0.1847 | Sparsity Loss: 0.8895
Epoch 11/300 | KL Loss: 0.1775 | Sparsity Loss: 0.9821
Epoch 12/300 | KL Loss: 0.1876 | Sparsity Loss: 1.0743
Epoch 13/300 | KL Loss: 0.1773 | Sparsity Loss: 1.1673
Epoch 14/300 | KL Loss: 0.1813 | Sparsity Loss: 1.2601
Epoch 15/300 | KL Loss: 0.1900 | Sparsity Loss: 1.3530
Epoch 16/300 | KL Loss: 0.1739 | Sparsity Loss: 1.4457
Epoch 17/300 | KL Loss: 0.1833 | Sparsity Loss: 1.4811
Epoch 18/300 | KL Loss: 0.1945 | Sparsity Loss: 1.4804
Epoch 19/300 | KL Loss: 0.1721 | Sparsity Loss: 1.4793
Epoch 20/300 | KL Loss: 0.1839 | Sparsity Loss: 1.4773
Epoch 21/300 | KL Loss: 0.1841 | Sparsity Loss: 1.4762
Epoch 22/300 | KL Loss: 0.1822 | Sparsity Loss: 1.4755
Epoch 23/300 | KL Loss: 0.1889 | Sparsity Loss: 1.4753
Epoch 24/300 | KL Loss: 0.1836 | Sparsity Loss: 1.4754
Epoch 25/300 | KL Loss: 0.1881 | Sparsity Loss: 1.4755
Epoch 26/300 | KL Loss: 0.1766 | Sparsity Loss: 1.4753
Epoch 27/300 | KL Loss: 0.1881 | Sparsity Loss: 1.4746
Epoch 28/300 | KL Loss: 0.1825 | Sparsity Loss: 1.4726
Epoch 29/300 | KL Loss: 0.1931 | Sparsity Loss: 1.4720
Epoch 30/300 | KL Loss: 0.1809 | Sparsity Loss: 1.4713
Epoch 31/300 | KL Loss: 0.1921 | Sparsity Loss: 1.4710
