MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3608.56it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3926.09it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON METALS_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.3533 | Sparsity Loss: 0.0773
Epoch 2/600 | KL Loss: 0.2700 | Sparsity Loss: 0.2347
Epoch 3/600 | KL Loss: 0.2821 | Sparsity Loss: 0.3920
Epoch 4/600 | KL Loss: 0.1740 | Sparsity Loss: 0.5491
Epoch 5/600 | KL Loss: 0.2147 | Sparsity Loss: 0.7055
Epoch 6/600 | KL Loss: 0.2081 | Sparsity Loss: 0.8608
Epoch 7/600 | KL Loss: 0.1835 | Sparsity Loss: 1.0144
Epoch 8/600 | KL Loss: 0.1899 | Sparsity Loss: 1.1651
Epoch 9/600 | KL Loss: 0.1714 | Sparsity Loss: 1.3113
Epoch 10/600 | KL Loss: 0.2690 | Sparsity Loss: 1.4528
Epoch 11/600 | KL Loss: 0.1887 | Sparsity Loss: 1.5934
Epoch 12/600 | KL Loss: 0.1698 | Sparsity Loss: 1.7319
Epoch 13/600 | KL Loss: 0.2032 | Sparsity Loss: 1.8677
Epoch 14/600 | KL Loss: 0.2102 | Sparsity Loss: 1.9999
Epoch 15/600 | KL Loss: 0.1141 | Sparsity Loss: 2.1287
Epoch 16/600 | KL Loss: 0.1065 | Sparsity Loss: 2.2526
Epoch 17/600 | KL Loss: 0.1750 | Sparsity Loss: 2.2852
Epoch 18/600 | KL Loss: 0.2016 | Sparsity Loss: 2.2605
Epoch 19/600 | KL Loss: 0.2364 | Sparsity Loss: 2.2337
Epoch 20/600 | KL Loss: 0.3158 | Sparsity Loss: 2.2073
Epoch 21/600 | KL Loss: 0.2695 | Sparsity Loss: 2.1851
Epoch 22/600 | KL Loss: 0.2085 | Sparsity Loss: 2.1650
Epoch 23/600 | KL Loss: 0.2265 | Sparsity Loss: 2.1438
Epoch 24/600 | KL Loss: 0.2888 | Sparsity Loss: 2.0811
Epoch 25/600 | KL Loss: 0.2807 | Sparsity Loss: 2.0319
Epoch 26/600 | KL Loss: 0.2709 | Sparsity Loss: 2.0199
Epoch 27/600 | KL Loss: 0.2093 | Sparsity Loss: 2.0075
Epoch 28/600 | KL Loss: 0.1933 | Sparsity Loss: 2.0002
Epoch 29/600 | KL Loss: 0.2390 | Sparsity Loss: 1.9918
Epoch 30/600 | KL Loss: 0.2768 | Sparsity Loss: 1.9839
Epoch 31/600 | KL Loss: 0.3117 | Sparsity Loss: 1.9771
Epoch 32/600 | KL Loss: 0.3052 | Sparsity Loss: 1.9689
Epoch 33/600 | KL Loss: 0.3428 | Sparsity Loss: 1.9599
Epoch 34/600 | KL Loss: 0.3195 | Sparsity Loss: 1.9516
Epoch 35/600 | KL Loss: 0.4231 | Sparsity Loss: 1.9462
Epoch 36/600 | KL Loss: 0.4016 | Sparsity Loss: 1.9420
Epoch 37/600 | KL Loss: 0.4134 | Sparsity Loss: 1.9375
Epoch 38/600 | KL Loss: 0.3994 | Sparsity Loss: 1.9301
Epoch 39/600 | KL Loss: 0.3454 | Sparsity Loss: 1.9270
Epoch 40/600 | KL Loss: 0.3780 | Sparsity Loss: 1.9258
Epoch 41/600 | KL Loss: 0.4122 | Sparsity Loss: 1.9227
Epoch 42/600 | KL Loss: 0.4618 | Sparsity Loss: 1.9201
Epoch 43/600 | KL Loss: 0.3895 | Sparsity Loss: 1.9163
Epoch 44/600 | KL Loss: 0.3912 | Sparsity Loss: 1.9117
Epoch 45/600 | KL Loss: 0.3658 | Sparsity Loss: 1.9074
Epoch 46/600 | KL Loss: 0.3326 | Sparsity Loss: 1.9055
Epoch 47/600 | KL Loss: 0.3109 | Sparsity Loss: 1.9061
Epoch 48/600 | KL Loss: 0.3561 | Sparsity Loss: 1.9069
Epoch 49/600 | KL Loss: 0.3331 | Sparsity Loss: 1.9087
Epoch 50/600 | KL Loss: 0.3431 | Sparsity Loss: 1.9081
Epoch 51/600 | KL Loss: 0.3665 | Sparsity Loss: 1.9058
Epoch 52/600 | KL Loss: 0.2966 | Sparsity Loss: 1.9048
Epoch 53/600 | KL Loss: 0.3219 | Sparsity Loss: 1.9025
Epoch 54/600 | KL Loss: 0.3737 | Sparsity Loss: 1.8999
Epoch 55/600 | KL Loss: 0.3738 | Sparsity Loss: 1.8974
Epoch 56/600 | KL Loss: 0.3665 | Sparsity Loss: 1.8935
Epoch 57/600 | KL Loss: 0.3754 | Sparsity Loss: 1.8900
Epoch 58/600 | KL Loss: 0.3647 | Sparsity Loss: 1.8859
Epoch 59/600 | KL Loss: 0.3951 | Sparsity Loss: 1.8819
Epoch 60/600 | KL Loss: 0.3856 | Sparsity Loss: 1.8844
Epoch 61/600 | KL Loss: 0.4215 | Sparsity Loss: 1.8804
Epoch 62/600 | KL Loss: 0.4493 | Sparsity Loss: 1.8779
Epoch 63/600 | KL Loss: 0.4134 | Sparsity Loss: 1.8756
Epoch 64/600 | KL Loss: 0.5174 | Sparsity Loss: 1.8613
Epoch 65/600 | KL Loss: 0.4772 | Sparsity Loss: 1.8449
Epoch 66/600 | KL Loss: 0.4837 | Sparsity Loss: 1.8316
Epoch 67/600 | KL Loss: 0.4784 | Sparsity Loss: 1.8430
Epoch 68/600 | KL Loss: 0.4416 | Sparsity Loss: 1.8491
Epoch 69/600 | KL Loss: 0.4733 | Sparsity Loss: 1.8436
Epoch 70/600 | KL Loss: 0.4637 | Sparsity Loss: 1.8367
Epoch 71/600 | KL Loss: 0.5402 | Sparsity Loss: 1.8314
Epoch 72/600 | KL Loss: 0.4682 | Sparsity Loss: 1.8265
Epoch 73/600 | KL Loss: 0.5301 | Sparsity Loss: 1.8158
Epoch 74/600 | KL Loss: 0.5024 | Sparsity Loss: 1.8175
Epoch 75/600 | KL Loss: 0.5439 | Sparsity Loss: 1.7904
Epoch 76/600 | KL Loss: 0.5712 | Sparsity Loss: 1.7736
Epoch 77/600 | KL Loss: 0.5281 | Sparsity Loss: 1.7738
Epoch 78/600 | KL Loss: 0.5090 | Sparsity Loss: 1.7729
Epoch 79/600 | KL Loss: 0.5236 | Sparsity Loss: 1.7734
Epoch 80/600 | KL Loss: 0.5331 | Sparsity Loss: 1.7738
Epoch 81/600 | KL Loss: 0.5457 | Sparsity Loss: 1.7729
Epoch 82/600 | KL Loss: 0.5203 | Sparsity Loss: 1.7729
Epoch 83/600 | KL Loss: 0.5299 | Sparsity Loss: 1.7728
Epoch 84/600 | KL Loss: 0.5133 | Sparsity Loss: 1.7708
Epoch 85/600 | KL Loss: 0.5181 | Sparsity Loss: 1.7690
Epoch 86/600 | KL Loss: 0.5476 | Sparsity Loss: 1.7686
Epoch 87/600 | KL Loss: 0.5083 | Sparsity Loss: 1.7699
Epoch 88/600 | KL Loss: 0.5212 | Sparsity Loss: 1.7697
Epoch 89/600 | KL Loss: 0.5318 | Sparsity Loss: 1.7707
Epoch 90/600 | KL Loss: 0.4910 | Sparsity Loss: 1.7710
Epoch 91/600 | KL Loss: 0.5191 | Sparsity Loss: 1.7719
Epoch 92/600 | KL Loss: 0.5759 | Sparsity Loss: 1.7724
Epoch 93/600 | KL Loss: 0.4977 | Sparsity Loss: 1.7727
Epoch 94/600 | KL Loss: 0.4982 | Sparsity Loss: 1.7718
Epoch 95/600 | KL Loss: 0.5626 | Sparsity Loss: 1.7695
Epoch 96/600 | KL Loss: 0.5207 | Sparsity Loss: 1.7688
Epoch 97/600 | KL Loss: 0.5039 | Sparsity Loss: 1.7750
Epoch 98/600 | KL Loss: 0.4930 | Sparsity Loss: 1.7787
Epoch 99/600 | KL Loss: 0.5665 | Sparsity Loss: 1.7806
Epoch 100/600 | KL Loss: 0.4574 | Sparsity Loss: 1.7827
Epoch 101/600 | KL Loss: 0.4837 | Sparsity Loss: 1.7844
Epoch 102/600 | KL Loss: 0.4830 | Sparsity Loss: 1.7894
Epoch 103/600 | KL Loss: 0.4688 | Sparsity Loss: 1.7935
Epoch 104/600 | KL Loss: 0.5056 | Sparsity Loss: 1.7946
Epoch 105/600 | KL Loss: 0.5353 | Sparsity Loss: 1.7939
Epoch 106/600 | KL Loss: 0.4468 | Sparsity Loss: 1.7910
Epoch 107/600 | KL Loss: 0.5302 | Sparsity Loss: 1.7907
Epoch 108/600 | KL Loss: 0.4922 | Sparsity Loss: 1.7941
Epoch 109/600 | KL Loss: 0.4566 | Sparsity Loss: 1.7928
Epoch 110/600 | KL Loss: 0.5063 | Sparsity Loss: 1.7754
Epoch 111/600 | KL Loss: 0.4723 | Sparsity Loss: 1.7731
Epoch 112/600 | KL Loss: 0.5059 | Sparsity Loss: 1.7736
Epoch 113/600 | KL Loss: 0.5245 | Sparsity Loss: 1.7779
Epoch 114/600 | KL Loss: 0.5122 | Sparsity Loss: 1.7811
Epoch 115/600 | KL Loss: 0.4865 | Sparsity Loss: 1.7836
Epoch 116/600 | KL Loss: 0.4619 | Sparsity Loss: 1.7858
Epoch 117/600 | KL Loss: 0.5323 | Sparsity Loss: 1.7862
Epoch 118/600 | KL Loss: 0.4695 | Sparsity Loss: 1.7913
Epoch 119/600 | KL Loss: 0.4812 | Sparsity Loss: 1.7921
