Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4652.94it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 5017.60it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Gate init CLOSED: re-initialized 512 gate values ~ U(-3.5, -2.5).

--- TRAINING MASKS ON FRUITS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 1.2547 | Sparsity Loss: 0.0057
Epoch 2/300 | KL Loss: 1.0548 | Sparsity Loss: 0.0220
Epoch 3/300 | KL Loss: 0.9233 | Sparsity Loss: 0.0434
Epoch 4/300 | KL Loss: 0.7386 | Sparsity Loss: 0.0670
Epoch 5/300 | KL Loss: 0.5988 | Sparsity Loss: 0.0901
Epoch 6/300 | KL Loss: 0.5758 | Sparsity Loss: 0.1123
Epoch 7/300 | KL Loss: 0.5102 | Sparsity Loss: 0.1331
Epoch 8/300 | KL Loss: 0.4855 | Sparsity Loss: 0.1528
Epoch 9/300 | KL Loss: 0.4452 | Sparsity Loss: 0.1710
Epoch 10/300 | KL Loss: 0.3978 | Sparsity Loss: 0.1878
Epoch 11/300 | KL Loss: 0.3867 | Sparsity Loss: 0.2047
Epoch 12/300 | KL Loss: 0.3532 | Sparsity Loss: 0.2214
Epoch 13/300 | KL Loss: 0.3433 | Sparsity Loss: 0.2367
Epoch 14/300 | KL Loss: 0.3933 | Sparsity Loss: 0.2534
Epoch 15/300 | KL Loss: 0.4148 | Sparsity Loss: 0.2704
Epoch 16/300 | KL Loss: 0.3516 | Sparsity Loss: 0.2853
Epoch 17/300 | KL Loss: 0.3483 | Sparsity Loss: 0.2897
Epoch 18/300 | KL Loss: 0.3365 | Sparsity Loss: 0.2874
Epoch 19/300 | KL Loss: 0.3439 | Sparsity Loss: 0.2859
Epoch 20/300 | KL Loss: 0.3455 | Sparsity Loss: 0.2842
Epoch 21/300 | KL Loss: 0.3718 | Sparsity Loss: 0.2827
Epoch 22/300 | KL Loss: 0.3347 | Sparsity Loss: 0.2813
Epoch 23/300 | KL Loss: 0.3861 | Sparsity Loss: 0.2801
Epoch 24/300 | KL Loss: 0.3566 | Sparsity Loss: 0.2790
Epoch 25/300 | KL Loss: 0.3508 | Sparsity Loss: 0.2778
Epoch 26/300 | KL Loss: 0.3609 | Sparsity Loss: 0.2765
Epoch 27/300 | KL Loss: 0.3269 | Sparsity Loss: 0.2756
Epoch 28/300 | KL Loss: 0.3594 | Sparsity Loss: 0.2746
Epoch 29/300 | KL Loss: 0.3560 | Sparsity Loss: 0.2747
Epoch 30/300 | KL Loss: 0.3629 | Sparsity Loss: 0.2747
Epoch 31/300 | KL Loss: 0.4229 | Sparsity Loss: 0.2748
Epoch 32/300 | KL Loss: 0.3732 | Sparsity Loss: 0.2743
Epoch 33/300 | KL Loss: 0.3653 | Sparsity Loss: 0.2736
Epoch 34/300 | KL Loss: 0.3371 | Sparsity Loss: 0.2728
Epoch 35/300 | KL Loss: 0.3344 | Sparsity Loss: 0.2722
Epoch 36/300 | KL Loss: 0.3009 | Sparsity Loss: 0.2706
Epoch 37/300 | KL Loss: 0.3703 | Sparsity Loss: 0.2685
Epoch 38/300 | KL Loss: 0.3131 | Sparsity Loss: 0.2673
Epoch 39/300 | KL Loss: 0.3543 | Sparsity Loss: 0.2670
Epoch 40/300 | KL Loss: 0.3744 | Sparsity Loss: 0.2666
Epoch 41/300 | KL Loss: 0.3334 | Sparsity Loss: 0.2663
Epoch 42/300 | KL Loss: 0.3071 | Sparsity Loss: 0.2665
Epoch 43/300 | KL Loss: 0.3364 | Sparsity Loss: 0.2668
Epoch 44/300 | KL Loss: 0.3751 | Sparsity Loss: 0.2665
Epoch 45/300 | KL Loss: 0.3416 | Sparsity Loss: 0.2662
Epoch 46/300 | KL Loss: 0.3654 | Sparsity Loss: 0.2661
Epoch 47/300 | KL Loss: 0.3053 | Sparsity Loss: 0.2664
Epoch 48/300 | KL Loss: 0.3461 | Sparsity Loss: 0.2662
Epoch 49/300 | KL Loss: 0.3145 | Sparsity Loss: 0.2654
Epoch 50/300 | KL Loss: 0.3625 | Sparsity Loss: 0.2658
Epoch 51/300 | KL Loss: 0.3337 | Sparsity Loss: 0.2656
Epoch 52/300 | KL Loss: 0.3400 | Sparsity Loss: 0.2658
Epoch 53/300 | KL Loss: 0.3341 | Sparsity Loss: 0.2662
Epoch 54/300 | KL Loss: 0.3349 | Sparsity Loss: 0.2665
Epoch 55/300 | KL Loss: 0.2974 | Sparsity Loss: 0.2663
Epoch 56/300 | KL Loss: 0.3767 | Sparsity Loss: 0.2669
Epoch 57/300 | KL Loss: 0.3482 | Sparsity Loss: 0.2674
Epoch 58/300 | KL Loss: 0.3965 | Sparsity Loss: 0.2669
Epoch 59/300 | KL Loss: 0.3824 | Sparsity Loss: 0.2665
Epoch 60/300 | KL Loss: 0.2885 | Sparsity Loss: 0.2662
Epoch 61/300 | KL Loss: 0.3151 | Sparsity Loss: 0.2659
Epoch 62/300 | KL Loss: 0.3404 | Sparsity Loss: 0.2662
Epoch 63/300 | KL Loss: 0.4443 | Sparsity Loss: 0.2666
Epoch 64/300 | KL Loss: 0.3232 | Sparsity Loss: 0.2663
Epoch 65/300 | KL Loss: 0.3629 | Sparsity Loss: 0.2663
Epoch 66/300 | KL Loss: 0.3149 | Sparsity Loss: 0.2660
Epoch 67/300 | KL Loss: 0.3182 | Sparsity Loss: 0.2659
Epoch 68/300 | KL Loss: 0.3982 | Sparsity Loss: 0.2660
Epoch 69/300 | KL Loss: 0.3354 | Sparsity Loss: 0.2661
Epoch 70/300 | KL Loss: 0.3289 | Sparsity Loss: 0.2662
Epoch 71/300 | KL Loss: 0.3415 | Sparsity Loss: 0.2660
Epoch 72/300 | KL Loss: 0.3452 | Sparsity Loss: 0.2660
Epoch 73/300 | KL Loss: 0.3557 | Sparsity Loss: 0.2663
Epoch 74/300 | KL Loss: 0.3100 | Sparsity Loss: 0.2675
Epoch 75/300 | KL Loss: 0.3166 | Sparsity Loss: 0.2683
Epoch 76/300 | KL Loss: 0.3128 | Sparsity Loss: 0.2687
Epoch 77/300 | KL Loss: 0.3076 | Sparsity Loss: 0.2689
Epoch 78/300 | KL Loss: 0.3060 | Sparsity Loss: 0.2684
Epoch 79/300 | KL Loss: 0.3649 | Sparsity Loss: 0.2679
Epoch 80/300 | KL Loss: 0.3402 | Sparsity Loss: 0.2680
Epoch 81/300 | KL Loss: 0.2753 | Sparsity Loss: 0.2677
Epoch 82/300 | KL Loss: 0.3133 | Sparsity Loss: 0.2679
Epoch 83/300 | KL Loss: 0.3232 | Sparsity Loss: 0.2677
Epoch 84/300 | KL Loss: 0.3140 | Sparsity Loss: 0.2675
Epoch 85/300 | KL Loss: 0.2871 | Sparsity Loss: 0.2677
Epoch 86/300 | KL Loss: 0.3984 | Sparsity Loss: 0.2680
Epoch 87/300 | KL Loss: 0.3365 | Sparsity Loss: 0.2673
Epoch 88/300 | KL Loss: 0.3625 | Sparsity Loss: 0.2666
Epoch 89/300 | KL Loss: 0.3003 | Sparsity Loss: 0.2664
Epoch 90/300 | KL Loss: 0.3223 | Sparsity Loss: 0.2670
Epoch 91/300 | KL Loss: 0.3157 | Sparsity Loss: 0.2676
Epoch 92/300 | KL Loss: 0.3846 | Sparsity Loss: 0.2671
Epoch 93/300 | KL Loss: 0.2958 | Sparsity Loss: 0.2669
Epoch 94/300 | KL Loss: 0.3186 | Sparsity Loss: 0.2672
Epoch 95/300 | KL Loss: 0.3267 | Sparsity Loss: 0.2671
Epoch 96/300 | KL Loss: 0.2706 | Sparsity Loss: 0.2671
Epoch 97/300 | KL Loss: 0.3222 | Sparsity Loss: 0.2667
Epoch 98/300 | KL Loss: 0.3017 | Sparsity Loss: 0.2664
Epoch 99/300 | KL Loss: 0.3435 | Sparsity Loss: 0.2665
Epoch 100/300 | KL Loss: 0.2834 | Sparsity Loss: 0.2674
Epoch 101/300 | KL Loss: 0.2811 | Sparsity Loss: 0.2674
Epoch 102/300 | KL Loss: 0.2859 | Sparsity Loss: 0.2678
Epoch 103/300 | KL Loss: 0.2899 | Sparsity Loss: 0.2676
Epoch 104/300 | KL Loss: 0.2833 | Sparsity Loss: 0.2677
Epoch 105/300 | KL Loss: 0.2968 | Sparsity Loss: 0.2675
Epoch 106/300 | KL Loss: 0.3453 | Sparsity Loss: 0.2667
Epoch 107/300 | KL Loss: 0.3024 | Sparsity Loss: 0.2672
Epoch 108/300 | KL Loss: 0.3195 | Sparsity Loss: 0.2667
Epoch 109/300 | KL Loss: 0.3062 | Sparsity Loss: 0.2668
Epoch 110/300 | KL Loss: 0.3009 | Sparsity Loss: 0.2665
Epoch 111/300 | KL Loss: 0.2799 | Sparsity Loss: 0.2664
Epoch 112/300 | KL Loss: 0.2855 | Sparsity Loss: 0.2661
Epoch 113/300 | KL Loss: 0.2760 | Sparsity Loss: 0.2654
Epoch 114/300 | KL Loss: 0.3191 | Sparsity Loss: 0.2645
Epoch 115/300 | KL Loss: 0.3151 | Sparsity Loss: 0.2641
Epoch 116/300 | KL Loss: 0.3255 | Sparsity Loss: 0.2636
Epoch 117/300 | KL Loss: 0.2909 | Sparsity Loss: 0.2631
Epoch 118/300 | KL Loss: 0.2910 | Sparsity Loss: 0.2626
Epoch 119/300 | KL Loss: 0.2873 | Sparsity Loss: 0.2627
Epoch 120/300 | KL Loss: 0.2931 | Sparsity Loss: 0.2632
Epoch 121/300 | KL Loss: 0.2926 | Sparsity Loss: 0.2629
Epoch 122/300 | KL Loss: 0.2867 | Sparsity Loss: 0.2626
Epoch 123/300 | KL Loss: 0.2810 | Sparsity Loss: 0.2633
Epoch 124/300 | KL Loss: 0.2728 | Sparsity Loss: 0.2632
Epoch 125/300 | KL Loss: 0.3011 | Sparsity Loss: 0.2627
Epoch 126/300 | KL Loss: 0.3335 | Sparsity Loss: 0.2621
Epoch 127/300 | KL Loss: 0.2878 | Sparsity Loss: 0.2619
Epoch 128/300 | KL Loss: 0.3046 | Sparsity Loss: 0.2618
Epoch 129/300 | KL Loss: 0.3551 | Sparsity Loss: 0.2605
Epoch 130/300 | KL Loss: 0.2797 | Sparsity Loss: 0.2589
Epoch 131/300 | KL Loss: 0.2858 | Sparsity Loss: 0.2585
Epoch 132/300 | KL Loss: 0.3178 | Sparsity Loss: 0.2586
Epoch 133/300 | KL Loss: 0.3637 | Sparsity Loss: 0.2585
Epoch 134/300 | KL Loss: 0.3252 | Sparsity Loss: 0.2586
Epoch 135/300 | KL Loss: 0.2999 | Sparsity Loss: 0.2577
Epoch 136/300 | KL Loss: 0.3066 | Sparsity Loss: 0.2576
Epoch 137/300 | KL Loss: 0.3213 | Sparsity Loss: 0.2577
Epoch 138/300 | KL Loss: 0.3140 | Sparsity Loss: 0.2574
Epoch 139/300 | KL Loss: 0.3245 | Sparsity Loss: 0.2564
Epoch 140/300 | KL Loss: 0.3333 | Sparsity Loss: 0.2561
Epoch 141/300 | KL Loss: 0.3196 | Sparsity Loss: 0.2552
Epoch 142/300 | KL Loss: 0.3783 | Sparsity Loss: 0.2550
Epoch 143/300 | KL Loss: 0.3339 | Sparsity Loss: 0.2552
Epoch 144/300 | KL Loss: 0.2994 | Sparsity Loss: 0.2544
Epoch 145/300 | KL Loss: 0.3146 | Sparsity Loss: 0.2553
Epoch 146/300 | KL Loss: 0.2961 | Sparsity Loss: 0.2552
Epoch 147/300 | KL Loss: 0.3196 | Sparsity Loss: 0.2556
Epoch 148/300 | KL Loss: 0.3216 | Sparsity Loss: 0.2558
Epoch 149/300 | KL Loss: 0.3666 | Sparsity Loss: 0.2555
Epoch 150/300 | KL Loss: 0.3427 | Sparsity Loss: 0.2545
Epoch 151/300 | KL Loss: 0.3014 | Sparsity Loss: 0.2534
Epoch 152/300 | KL Loss: 0.3332 | Sparsity Loss: 0.2533
Epoch 153/300 | KL Loss: 0.3383 | Sparsity Loss: 0.2537
Epoch 154/300 | KL Loss: 0.3465 | Sparsity Loss: 0.2543
Epoch 155/300 | KL Loss: 0.3717 | Sparsity Loss: 0.2540
Epoch 156/300 | KL Loss: 0.3271 | Sparsity Loss: 0.2540
Epoch 157/300 | KL Loss: 0.3947 | Sparsity Loss: 0.2542
Epoch 158/300 | KL Loss: 0.3561 | Sparsity Loss: 0.2538
Epoch 159/300 | KL Loss: 0.3315 | Sparsity Loss: 0.2531
Epoch 160/300 | KL Loss: 0.3445 | Sparsity Loss: 0.2528
Epoch 161/300 | KL Loss: 0.3815 | Sparsity Loss: 0.2532
Epoch 162/300 | KL Loss: 0.3520 | Sparsity Loss: 0.2528
Epoch 163/300 | KL Loss: 0.3593 | Sparsity Loss: 0.2533
Epoch 164/300 | KL Loss: 0.3389 | Sparsity Loss: 0.2537
Epoch 165/300 | KL Loss: 0.3404 | Sparsity Loss: 0.2536
Epoch 166/300 | KL Loss: 0.3529 | Sparsity Loss: 0.2526
Epoch 167/300 | KL Loss: 0.3417 | Sparsity Loss: 0.2522
Epoch 168/300 | KL Loss: 0.3600 | Sparsity Loss: 0.2521
Epoch 169/300 | KL Loss: 0.3188 | Sparsity Loss: 0.2523
Epoch 170/300 | KL Loss: 0.3274 | Sparsity Loss: 0.2526
Epoch 171/300 | KL Loss: 0.3130 | Sparsity Loss: 0.2529
Epoch 172/300 | KL Loss: 0.3961 | Sparsity Loss: 0.2534
Epoch 173/300 | KL Loss: 0.3394 | Sparsity Loss: 0.2535
Epoch 174/300 | KL Loss: 0.3850 | Sparsity Loss: 0.2533
Epoch 175/300 | KL Loss: 0.3744 | Sparsity Loss: 0.2540
Epoch 176/300 | KL Loss: 0.3756 | Sparsity Loss: 0.2544
Epoch 177/300 | KL Loss: 0.3616 | Sparsity Loss: 0.2539
Epoch 178/300 | KL Loss: 0.3370 | Sparsity Loss: 0.2536
Epoch 179/300 | KL Loss: 0.3722 | Sparsity Loss: 0.2541
Epoch 180/300 | KL Loss: 0.3265 | Sparsity Loss: 0.2547
Epoch 181/300 | KL Loss: 0.3195 | Sparsity Loss: 0.2546
Epoch 182/300 | KL Loss: 0.3432 | Sparsity Loss: 0.2549
Epoch 183/300 | KL Loss: 0.3808 | Sparsity Loss: 0.2554
Epoch 184/300 | KL Loss: 0.3304 | Sparsity Loss: 0.2556
Epoch 185/300 | KL Loss: 0.3316 | Sparsity Loss: 0.2560
Epoch 186/300 | KL Loss: 0.3468 | Sparsity Loss: 0.2558
Epoch 187/300 | KL Loss: 0.3343 | Sparsity Loss: 0.2557
Epoch 188/300 | KL Loss: 0.3211 | Sparsity Loss: 0.2548
Epoch 189/300 | KL Loss: 0.3338 | Sparsity Loss: 0.2537
Epoch 190/300 | KL Loss: 0.3492 | Sparsity Loss: 0.2537
Epoch 191/300 | KL Loss: 0.3664 | Sparsity Loss: 0.2537
Epoch 192/300 | KL Loss: 0.3233 | Sparsity Loss: 0.2533
Epoch 193/300 | KL Loss: 0.3618 | Sparsity Loss: 0.2535
Epoch 194/300 | KL Loss: 0.3308 | Sparsity Loss: 0.2537
Epoch 195/300 | KL Loss: 0.3264 | Sparsity Loss: 0.2534
Epoch 196/300 | KL Loss: 0.2991 | Sparsity Loss: 0.2530
Epoch 197/300 | KL Loss: 0.3058 | Sparsity Loss: 0.2526
Epoch 198/300 | KL Loss: 0.3207 | Sparsity Loss: 0.2522
Epoch 199/300 | KL Loss: 0.2873 | Sparsity Loss: 0.2518
Epoch 200/300 | KL Loss: 0.3165 | Sparsity Loss: 0.2516
Epoch 201/300 | KL Loss: 0.3317 | Sparsity Loss: 0.2516
Epoch 202/300 | KL Loss: 0.2800 | Sparsity Loss: 0.2519
Epoch 203/300 | KL Loss: 0.3048 | Sparsity Loss: 0.2520
Epoch 204/300 | KL Loss: 0.3369 | Sparsity Loss: 0.2522
Epoch 205/300 | KL Loss: 0.3461 | Sparsity Loss: 0.2522
Epoch 206/300 | KL Loss: 0.3139 | Sparsity Loss: 0.2532
Epoch 207/300 | KL Loss: 0.3159 | Sparsity Loss: 0.2530
Epoch 208/300 | KL Loss: 0.3449 | Sparsity Loss: 0.2521
Epoch 209/300 | KL Loss: 0.4026 | Sparsity Loss: 0.2525
Epoch 210/300 | KL Loss: 0.3545 | Sparsity Loss: 0.2533
Epoch 211/300 | KL Loss: 0.4019 | Sparsity Loss: 0.2531
Epoch 212/300 | KL Loss: 0.3607 | Sparsity Loss: 0.2530
Epoch 213/300 | KL Loss: 0.3497 | Sparsity Loss: 0.2529
Epoch 214/300 | KL Loss: 0.3375 | Sparsity Loss: 0.2529
Epoch 215/300 | KL Loss: 0.4086 | Sparsity Loss: 0.2529
Epoch 216/300 | KL Loss: 0.3455 | Sparsity Loss: 0.2529
