Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 2928.61it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 5127.55it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Gate init OPEN (default U(2.5, 3.5)).

--- TRAINING MASKS ON FRUITS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.1141 | Sparsity Loss: 0.0257
Epoch 2/300 | KL Loss: 0.0923 | Sparsity Loss: 0.0781
Epoch 3/300 | KL Loss: 0.0883 | Sparsity Loss: 0.1303
Epoch 4/300 | KL Loss: 0.1227 | Sparsity Loss: 0.1824
Epoch 5/300 | KL Loss: 0.1143 | Sparsity Loss: 0.2339
Epoch 6/300 | KL Loss: 0.1091 | Sparsity Loss: 0.2839
Epoch 7/300 | KL Loss: 0.0755 | Sparsity Loss: 0.3339
Epoch 8/300 | KL Loss: 0.0747 | Sparsity Loss: 0.3823
Epoch 9/300 | KL Loss: 0.0925 | Sparsity Loss: 0.4277
Epoch 10/300 | KL Loss: 0.0882 | Sparsity Loss: 0.4712
Epoch 11/300 | KL Loss: 0.0867 | Sparsity Loss: 0.5145
Epoch 12/300 | KL Loss: 0.0927 | Sparsity Loss: 0.5538
Epoch 13/300 | KL Loss: 0.0878 | Sparsity Loss: 0.5876
Epoch 14/300 | KL Loss: 0.0938 | Sparsity Loss: 0.6187
Epoch 15/300 | KL Loss: 0.1666 | Sparsity Loss: 0.6422
Epoch 16/300 | KL Loss: 0.1567 | Sparsity Loss: 0.6627
Epoch 17/300 | KL Loss: 0.1312 | Sparsity Loss: 0.6631
Epoch 18/300 | KL Loss: 0.1251 | Sparsity Loss: 0.6479
Epoch 19/300 | KL Loss: 0.1889 | Sparsity Loss: 0.6344
Epoch 20/300 | KL Loss: 0.1413 | Sparsity Loss: 0.6186
