task,lambda_sparsity,seed,num_epochs,learning_rate,batch_size,training_time_seconds,baseline_accuracy,baseline_logit_diff,final_accuracy,final_logit_diff,final_kl_div,final_exact_match,accuracy_drop,metric_name,final_train_loss,final_train_kl,final_train_sparsity,final_train_task_loss,compression_ratio,reduction_percentage,active_prunable_params,total_prunable_params,effective_compression,pruned_pct_embedding,active_embedding,total_embedding,pruned_pct_layer_level,active_layer_level,total_layer_level,pruned_pct_attention_blocks,active_attention_blocks,total_attention_blocks,pruned_pct_mlp_blocks,active_mlp_blocks,total_mlp_blocks,pruned_pct_attention_heads,active_attention_heads,total_attention_heads,pruned_pct_attention_neurons,active_attention_neurons,total_attention_neurons,pruned_pct_mlp_hidden,active_mlp_hidden,total_mlp_hidden,pruned_pct_mlp_output,active_mlp_output,total_mlp_output,sparsity_attention_blocks,sparsity_mlp_blocks,sparsity_attention_heads,sparsity_attention_neurons,sparsity_mlp_hidden,sparsity_mlp_output,sparsity_total_sparsity
ioi,0.7,42,500,0.03,32,353.67851758003235,1.0,3.2700043355789896,0.9979317476732161,4.190669433530632,0.08928468277063432,0.8738366080661841,0.0020682523267838704,accuracy,0.6902902892657689,0.16418995495353425,0.9139904124396188,0.00413339478628976,1.2507738664563919,20.049496810072267,67971999,85017600,1.1586379993789093,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,27.083333333333332,105,144,35.49262152777778,5945,9216,10.150824652777777,33122,36864,4.947916666666666,8760,9216,11.959193229675293,11.965256690979004,8.933305740356445,10.327707290649414,11.169719696044922,11.452040672302246,0.9139893054962158
ioi,0.725,42,500,0.03,32,351.28437399864197,1.0,3.36184481113347,0.994824016563147,4.166093549866607,0.086770622372554,0.8788819875776398,0.005175983436852993,accuracy,0.7037950924464634,0.16599170650754655,0.9064585140773228,0.0035088402884347098,1.2784836437144755,21.782339186239085,66498778,85017600,1.1747446892706381,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,30.555555555555557,100,144,39.36631944444444,5588,9216,10.579427083333332,32964,36864,5.512152777777778,8708,9216,11.959360122680664,11.965462684631348,8.675904273986816,10.094771385192871,11.140581130981445,11.428831100463867,0.9064570665359497
ioi,0.75,42,500,0.03,32,351.214830160141,1.0,3.3541017169138643,0.9968782518210197,3.8922413201783623,0.08858115376485948,0.8699271592091571,0.003121748178980255,accuracy,0.7157657742500305,0.1685070310320173,0.8958041327340263,0.007143701825823102,1.3139990630189609,23.89644497139416,64701416,85017600,1.1950121103477878,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,35.41666666666667,93,144,43.40277777777778,5216,9216,11.4990234375,32625,36864,6.119791666666666,8652,9216,11.95654582977295,11.963798522949219,8.288961410522461,9.800420761108398,11.092466354370117,11.39557933807373,0.8958023190498352
ioi,0.775,42,500,0.03,32,350.9462697505951,1.0,3.2438311266825295,0.9948400412796697,4.182351886918547,0.10386117605609729,0.8544891640866873,0.00515995872033026,accuracy,0.7264277509280613,0.17759841041905539,0.8843034335545131,0.005035417420523507,1.3357174987404041,25.133869928109004,63649387,85017600,1.2072027749069933,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,36.80555555555556,91,144,45.60546875,5013,9216,12.074110243055555,32413,36864,6.586371527777778,8609,9216,11.955556869506836,11.963537216186523,7.9102301597595215,9.441628456115723,11.04539680480957,11.353375434875488,0.8843018412590027
ioi,0.8,42,500,0.03,32,350.71091318130493,1.0,3.2613113639280966,0.9917525773195877,4.020658068312812,0.11992654613190398,0.8762886597938144,0.008247422680412342,accuracy,0.73065356697355,0.16828744858503342,0.8704895802906581,0.003021989549909319,1.3721245053990636,27.12031626392653,61960558,85017600,1.2273013022082375,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,39.58333333333333,87,144,48.36154513888889,4759,9216,13.275824652777779,31970,36864,7.638888888888889,8512,9216,11.953118324279785,11.963101387023926,7.531524658203125,8.966789245605469,10.967070579528809,11.29350471496582,0.870487630367279
ioi,0.825,42,500,0.03,32,350.48014307022095,1.0,3.3085505575882763,0.9957894736842106,4.174697076897872,0.11406421163462495,0.8642105263157894,0.004210526315789442,accuracy,0.7355556658336094,0.1750191024371556,0.8526080676487514,0.008718115942818778,1.4141358293352346,29.285435015808492,60119826,85017600,1.2499839278092717,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,43.05555555555556,82,144,52.083333333333336,4416,9216,14.42599826388889,31546,36864,8.32248263888889,8449,9216,11.951799392700195,11.9631929397583,6.963833808898926,8.428604125976562,10.8690824508667,11.211126327514648,0.8526059985160828
ioi,0.85,42,500,0.03,32,350.51940989494324,1.0,3.230565683255021,0.9947643979057592,3.993814586219987,0.12538330683786988,0.8638743455497382,0.005235602094240788,accuracy,0.7365404622895377,0.17926648259162903,0.834813688482557,0.0003921985626220703,1.4661292340246639,31.793188704456487,57987794,85017600,1.277327004445585,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,45.13888888888889,79,144,54.231770833333336,4218,9216,16.26519097222222,30868,36864,10.590277777777777,8240,9216,11.945291519165039,11.96122932434082,6.6453351974487305,7.761922836303711,10.721519470214844,11.07114028930664,0.8348117470741272
ioi,0.875,42,500,0.03,32,350.49060797691345,1.0,3.3633553967154097,0.9948875255623721,4.248393712112021,0.1482814067302382,0.8650306748466258,0.005112474437627856,accuracy,0.7330213529723031,0.18125075101852417,0.8116326246942792,0.0014918361391339982,1.5486186822128911,35.4263246668925,54898989,85017600,1.319131979895623,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,50.0,72,144,58.34418402777778,3839,9216,18.958875868055554,29875,36864,12.79296875,8037,9216,11.92820930480957,11.960799217224121,6.1630659103393555,7.018651962280273,10.496007919311523,10.870650291442871,0.8116302490234375
ioi,0.9,42,500,0.03,32,350.3800046443939,1.0,3.296306752564996,0.9927385892116183,4.422570980436079,0.19226204272730593,0.8506224066390041,0.007261410788381717,accuracy,0.721985570022038,0.20981837383338384,0.7782258306230817,0.006005116871425084,1.6802615495203876,40.48545595264981,50597837,85017600,1.382121211414734,0.0,1,1,0.0,12,12,0.0,12,12,0.0,12,12,54.166666666666664,66,144,62.868923611111114,3422,9216,23.158094618055554,28327,36864,16.64496527777778,7682,9216,11.782350540161133,11.956469535827637,5.6064133644104,6.0641865730285645,10.109930038452148,10.512701988220215,0.7782228589057922
ioi,0.925,42,500,0.03,32,350.44541597366333,1.0,3.310110562603048,0.977296181630547,4.119484601252096,0.2223061354575204,0.8328173374613003,0.02270381836945301,accuracy,0.6738567437444415,0.2271600982972554,0.709422094481332,0.008057219641549247,1.9450418871858959,48.58722546860885,43709907,85017600,1.4965608207379035,0.0,1,1,0.0,12,12,16.666666666666664,10,12,0.0,12,12,59.72222222222222,58,144,69.22743055555556,2836,9216,30.27072482638889,25705,36864,24.0234375,7002,9216,9.961376190185547,11.952642440795898,5.091732501983643,4.93741512298584,9.3808012008667,9.754260063171387,0.7094196677207947
