MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 2639.31it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4292.05it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x2 on all levels): attention_heads=0.1

--- TRAINING MASKS ON FRUITS_1, ANIMALS_1, COLORS_1, METALS_1, VEHICLES_1 (2500 samples) ---
Epoch 1/300 | KL Loss: 0.2133 | Sparsity Loss: 0.7773
Epoch 2/300 | KL Loss: 0.1918 | Sparsity Loss: 2.2307
Epoch 3/300 | KL Loss: 0.2938 | Sparsity Loss: 3.3964
Epoch 4/300 | KL Loss: 0.3664 | Sparsity Loss: 3.8826
Epoch 5/300 | KL Loss: 0.4943 | Sparsity Loss: 3.7155
Epoch 6/300 | KL Loss: 0.5442 | Sparsity Loss: 3.5500
Epoch 7/300 | KL Loss: 0.5636 | Sparsity Loss: 3.4792
Epoch 8/300 | KL Loss: 0.5440 | Sparsity Loss: 3.4571
Epoch 9/300 | KL Loss: 0.4997 | Sparsity Loss: 3.4515
Epoch 10/300 | KL Loss: 0.5282 | Sparsity Loss: 3.4304
Epoch 11/300 | KL Loss: 0.4830 | Sparsity Loss: 3.4202
Epoch 12/300 | KL Loss: 0.4985 | Sparsity Loss: 3.4104
Epoch 13/300 | KL Loss: 0.4971 | Sparsity Loss: 3.4016
Epoch 14/300 | KL Loss: 0.4810 | Sparsity Loss: 3.3943
Epoch 15/300 | KL Loss: 0.4858 | Sparsity Loss: 3.3879
Epoch 16/300 | KL Loss: 0.4713 | Sparsity Loss: 3.3837
Epoch 17/300 | KL Loss: 0.4711 | Sparsity Loss: 3.3787
Epoch 18/300 | KL Loss: 0.4823 | Sparsity Loss: 3.3745
Epoch 19/300 | KL Loss: 0.4670 | Sparsity Loss: 3.3703
Epoch 20/300 | KL Loss: 0.5158 | Sparsity Loss: 3.3214
Epoch 21/300 | KL Loss: 0.5695 | Sparsity Loss: 3.1657
Epoch 22/300 | KL Loss: 0.5694 | Sparsity Loss: 3.1496
Epoch 23/300 | KL Loss: 0.5613 | Sparsity Loss: 3.1444
Epoch 24/300 | KL Loss: 0.5552 | Sparsity Loss: 3.1415
Epoch 25/300 | KL Loss: 0.5646 | Sparsity Loss: 3.1342
Epoch 26/300 | KL Loss: 0.5818 | Sparsity Loss: 3.1377
Epoch 27/300 | KL Loss: 0.5568 | Sparsity Loss: 3.1549
Epoch 28/300 | KL Loss: 0.5739 | Sparsity Loss: 3.1297
Epoch 29/300 | KL Loss: 0.5776 | Sparsity Loss: 3.1228
Epoch 30/300 | KL Loss: 0.5714 | Sparsity Loss: 3.1233
Epoch 31/300 | KL Loss: 0.5660 | Sparsity Loss: 3.1187
Epoch 32/300 | KL Loss: 0.5717 | Sparsity Loss: 3.1185
Epoch 33/300 | KL Loss: 0.5826 | Sparsity Loss: 3.1191
Epoch 34/300 | KL Loss: 0.5647 | Sparsity Loss: 3.1256
Epoch 35/300 | KL Loss: 0.5817 | Sparsity Loss: 3.1199
Epoch 36/300 | KL Loss: 0.5869 | Sparsity Loss: 3.1167
Epoch 37/300 | KL Loss: 0.5876 | Sparsity Loss: 3.1159
Epoch 38/300 | KL Loss: 0.5749 | Sparsity Loss: 3.1149
Epoch 39/300 | KL Loss: 0.5737 | Sparsity Loss: 3.1139
Epoch 40/300 | KL Loss: 0.5768 | Sparsity Loss: 3.1151
Epoch 41/300 | KL Loss: 0.5854 | Sparsity Loss: 3.1162
