MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3300.64it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4056.66it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON COLORS_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.4245 | Sparsity Loss: 0.0774
Epoch 2/600 | KL Loss: 0.3305 | Sparsity Loss: 0.2348
Epoch 3/600 | KL Loss: 0.2541 | Sparsity Loss: 0.3922
Epoch 4/600 | KL Loss: 0.2073 | Sparsity Loss: 0.5496
Epoch 5/600 | KL Loss: 0.2426 | Sparsity Loss: 0.7065
Epoch 6/600 | KL Loss: 0.2591 | Sparsity Loss: 0.8629
Epoch 7/600 | KL Loss: 0.4949 | Sparsity Loss: 1.0173
Epoch 8/600 | KL Loss: 0.5964 | Sparsity Loss: 1.1683
Epoch 9/600 | KL Loss: 0.5969 | Sparsity Loss: 1.3143
Epoch 10/600 | KL Loss: 1.0657 | Sparsity Loss: 1.4539
Epoch 11/600 | KL Loss: 1.1183 | Sparsity Loss: 1.5891
Epoch 12/600 | KL Loss: 0.9948 | Sparsity Loss: 1.7218
Epoch 13/600 | KL Loss: 0.4589 | Sparsity Loss: 1.8536
Epoch 14/600 | KL Loss: 0.4100 | Sparsity Loss: 1.9834
Epoch 15/600 | KL Loss: 0.3433 | Sparsity Loss: 2.1156
Epoch 16/600 | KL Loss: 0.1921 | Sparsity Loss: 2.2439
Epoch 17/600 | KL Loss: 0.2499 | Sparsity Loss: 2.2827
Epoch 18/600 | KL Loss: 0.2531 | Sparsity Loss: 2.2698
Epoch 19/600 | KL Loss: 0.2640 | Sparsity Loss: 2.2556
Epoch 20/600 | KL Loss: 0.2927 | Sparsity Loss: 2.2454
Epoch 21/600 | KL Loss: 0.2664 | Sparsity Loss: 2.2339
Epoch 22/600 | KL Loss: 0.2899 | Sparsity Loss: 2.2210
Epoch 23/600 | KL Loss: 0.2741 | Sparsity Loss: 2.2105
Epoch 24/600 | KL Loss: 0.3211 | Sparsity Loss: 2.1985
Epoch 25/600 | KL Loss: 0.3673 | Sparsity Loss: 2.1893
Epoch 26/600 | KL Loss: 0.2115 | Sparsity Loss: 2.1828
Epoch 27/600 | KL Loss: 0.2886 | Sparsity Loss: 2.1735
Epoch 28/600 | KL Loss: 0.3649 | Sparsity Loss: 2.1655
Epoch 29/600 | KL Loss: 0.2936 | Sparsity Loss: 2.1577
Epoch 30/600 | KL Loss: 0.2455 | Sparsity Loss: 2.1499
Epoch 31/600 | KL Loss: 0.2997 | Sparsity Loss: 2.1437
Epoch 32/600 | KL Loss: 0.3280 | Sparsity Loss: 2.1394
Epoch 33/600 | KL Loss: 0.2787 | Sparsity Loss: 2.1349
Epoch 34/600 | KL Loss: 0.2634 | Sparsity Loss: 2.1306
Epoch 35/600 | KL Loss: 0.2264 | Sparsity Loss: 2.1256
Epoch 36/600 | KL Loss: 0.3027 | Sparsity Loss: 2.1213
Epoch 37/600 | KL Loss: 0.2751 | Sparsity Loss: 2.1175
Epoch 38/600 | KL Loss: 0.2298 | Sparsity Loss: 2.1142
Epoch 39/600 | KL Loss: 0.4610 | Sparsity Loss: 2.1105
Epoch 40/600 | KL Loss: 0.2613 | Sparsity Loss: 2.1061
Epoch 41/600 | KL Loss: 0.2778 | Sparsity Loss: 2.1015
Epoch 42/600 | KL Loss: 0.2603 | Sparsity Loss: 2.0986
Epoch 43/600 | KL Loss: 0.3099 | Sparsity Loss: 2.0963
Epoch 44/600 | KL Loss: 0.3091 | Sparsity Loss: 2.0935
Epoch 45/600 | KL Loss: 0.2967 | Sparsity Loss: 2.0914
Epoch 46/600 | KL Loss: 0.3164 | Sparsity Loss: 2.0891
Epoch 47/600 | KL Loss: 0.2588 | Sparsity Loss: 2.0857
Epoch 48/600 | KL Loss: 0.3739 | Sparsity Loss: 2.0828
Epoch 49/600 | KL Loss: 0.2867 | Sparsity Loss: 2.0794
Epoch 50/600 | KL Loss: 0.2573 | Sparsity Loss: 2.0777
Epoch 51/600 | KL Loss: 0.3294 | Sparsity Loss: 2.0756
Epoch 52/600 | KL Loss: 0.3535 | Sparsity Loss: 2.0736
Epoch 53/600 | KL Loss: 0.2662 | Sparsity Loss: 2.0709
Epoch 54/600 | KL Loss: 0.2992 | Sparsity Loss: 2.0685
Epoch 55/600 | KL Loss: 0.4059 | Sparsity Loss: 2.0667
Epoch 56/600 | KL Loss: 0.3317 | Sparsity Loss: 2.0635
Epoch 57/600 | KL Loss: 0.3843 | Sparsity Loss: 2.0597
Epoch 58/600 | KL Loss: 0.3322 | Sparsity Loss: 2.0586
Epoch 59/600 | KL Loss: 0.3265 | Sparsity Loss: 2.0570
Epoch 60/600 | KL Loss: 0.3597 | Sparsity Loss: 2.0557
Epoch 61/600 | KL Loss: 0.2981 | Sparsity Loss: 2.0548
Epoch 62/600 | KL Loss: 0.4353 | Sparsity Loss: 2.0537
Epoch 63/600 | KL Loss: 0.3895 | Sparsity Loss: 2.0511
Epoch 64/600 | KL Loss: 0.5251 | Sparsity Loss: 2.0489
Epoch 65/600 | KL Loss: 0.4108 | Sparsity Loss: 2.0470
Epoch 66/600 | KL Loss: 0.4045 | Sparsity Loss: 2.0453
Epoch 67/600 | KL Loss: 0.3882 | Sparsity Loss: 2.0439
Epoch 68/600 | KL Loss: 0.3406 | Sparsity Loss: 2.0417
Epoch 69/600 | KL Loss: 0.3713 | Sparsity Loss: 2.0394
Epoch 70/600 | KL Loss: 0.3905 | Sparsity Loss: 2.0376
Epoch 71/600 | KL Loss: 0.3966 | Sparsity Loss: 2.0364
Epoch 72/600 | KL Loss: 0.3988 | Sparsity Loss: 2.0350
Epoch 73/600 | KL Loss: 0.3767 | Sparsity Loss: 2.0310
Epoch 74/600 | KL Loss: 0.4972 | Sparsity Loss: 2.0287
Epoch 75/600 | KL Loss: 0.4144 | Sparsity Loss: 2.0265
Epoch 76/600 | KL Loss: 0.4430 | Sparsity Loss: 2.0246
Epoch 77/600 | KL Loss: 0.3865 | Sparsity Loss: 2.0233
Epoch 78/600 | KL Loss: 0.3815 | Sparsity Loss: 2.0208
Epoch 79/600 | KL Loss: 0.4652 | Sparsity Loss: 2.0201
Epoch 80/600 | KL Loss: 0.5216 | Sparsity Loss: 2.0171
Epoch 81/600 | KL Loss: 0.4966 | Sparsity Loss: 2.0142
Epoch 82/600 | KL Loss: 0.4794 | Sparsity Loss: 2.0105
Epoch 83/600 | KL Loss: 0.5171 | Sparsity Loss: 1.9952
Epoch 84/600 | KL Loss: 0.5105 | Sparsity Loss: 1.9941
Epoch 85/600 | KL Loss: 0.5929 | Sparsity Loss: 1.9823
Epoch 86/600 | KL Loss: 0.6359 | Sparsity Loss: 1.9757
Epoch 87/600 | KL Loss: 0.6010 | Sparsity Loss: 1.9704
Epoch 88/600 | KL Loss: 0.5457 | Sparsity Loss: 1.9702
Epoch 89/600 | KL Loss: 0.5506 | Sparsity Loss: 1.9747
Epoch 90/600 | KL Loss: 0.5240 | Sparsity Loss: 1.9738
Epoch 91/600 | KL Loss: 0.5761 | Sparsity Loss: 1.9721
Epoch 92/600 | KL Loss: 0.5128 | Sparsity Loss: 1.9712
Epoch 93/600 | KL Loss: 0.5406 | Sparsity Loss: 1.9641
Epoch 94/600 | KL Loss: 0.5594 | Sparsity Loss: 1.9658
Epoch 95/600 | KL Loss: 0.5803 | Sparsity Loss: 1.9626
Epoch 96/600 | KL Loss: 0.6460 | Sparsity Loss: 1.9662
Epoch 97/600 | KL Loss: 0.5500 | Sparsity Loss: 1.9692
Epoch 98/600 | KL Loss: 0.5372 | Sparsity Loss: 1.9691
Epoch 99/600 | KL Loss: 0.5484 | Sparsity Loss: 1.9718
Epoch 100/600 | KL Loss: 0.5247 | Sparsity Loss: 1.9706
Epoch 101/600 | KL Loss: 0.4935 | Sparsity Loss: 1.9701
Epoch 102/600 | KL Loss: 0.5854 | Sparsity Loss: 1.9712
Epoch 103/600 | KL Loss: 0.5304 | Sparsity Loss: 1.9688
Epoch 104/600 | KL Loss: 0.5135 | Sparsity Loss: 1.9658
Epoch 105/600 | KL Loss: 0.5773 | Sparsity Loss: 1.9611
Epoch 106/600 | KL Loss: 0.4640 | Sparsity Loss: 1.9586
Epoch 107/600 | KL Loss: 0.5145 | Sparsity Loss: 1.9516
Epoch 108/600 | KL Loss: 0.5610 | Sparsity Loss: 1.9539
Epoch 109/600 | KL Loss: 0.5358 | Sparsity Loss: 1.9584
Epoch 110/600 | KL Loss: 0.5025 | Sparsity Loss: 1.9637
Epoch 111/600 | KL Loss: 0.5075 | Sparsity Loss: 1.9565
Epoch 112/600 | KL Loss: 0.5905 | Sparsity Loss: 1.9479
Epoch 113/600 | KL Loss: 0.5519 | Sparsity Loss: 1.9385
Epoch 114/600 | KL Loss: 0.5925 | Sparsity Loss: 1.9182
Epoch 115/600 | KL Loss: 0.5765 | Sparsity Loss: 1.9139
Epoch 116/600 | KL Loss: 0.6199 | Sparsity Loss: 1.9113
Epoch 117/600 | KL Loss: 0.6068 | Sparsity Loss: 1.9126
Epoch 118/600 | KL Loss: 0.5635 | Sparsity Loss: 1.9146
Epoch 119/600 | KL Loss: 0.5470 | Sparsity Loss: 1.9159
Epoch 120/600 | KL Loss: 0.6054 | Sparsity Loss: 1.9165
Epoch 121/600 | KL Loss: 0.6101 | Sparsity Loss: 1.9179
Epoch 122/600 | KL Loss: 0.5705 | Sparsity Loss: 1.9238
Epoch 123/600 | KL Loss: 0.5480 | Sparsity Loss: 1.9342
Epoch 124/600 | KL Loss: 0.6179 | Sparsity Loss: 1.9373
Epoch 125/600 | KL Loss: 0.5165 | Sparsity Loss: 1.9403
Epoch 126/600 | KL Loss: 0.5011 | Sparsity Loss: 1.9557
