MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3088.74it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3500.53it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1 on all levels): attention_heads=0.05
Finetuning from binary mask exp4_heads_mlp_main/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from exp4_heads_mlp_main/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON COLORS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.9272 | Sparsity Loss: 0.0469
Epoch 2/300 | KL Loss: 0.8754 | Sparsity Loss: 0.1421
Epoch 3/300 | KL Loss: 0.9138 | Sparsity Loss: 0.2374
Epoch 4/300 | KL Loss: 0.9137 | Sparsity Loss: 0.3327
Epoch 5/300 | KL Loss: 0.9110 | Sparsity Loss: 0.4280
Epoch 6/300 | KL Loss: 0.9049 | Sparsity Loss: 0.5231
Epoch 7/300 | KL Loss: 0.9226 | Sparsity Loss: 0.6183
Epoch 8/300 | KL Loss: 0.8881 | Sparsity Loss: 0.7134
Epoch 9/300 | KL Loss: 0.8556 | Sparsity Loss: 0.8086
Epoch 10/300 | KL Loss: 0.8843 | Sparsity Loss: 0.9037
Epoch 11/300 | KL Loss: 0.8748 | Sparsity Loss: 0.9988
Epoch 12/300 | KL Loss: 0.8764 | Sparsity Loss: 1.0940
Epoch 13/300 | KL Loss: 0.8706 | Sparsity Loss: 1.1891
Epoch 14/300 | KL Loss: 0.8996 | Sparsity Loss: 1.2842
Epoch 15/300 | KL Loss: 0.8944 | Sparsity Loss: 1.3794
Epoch 16/300 | KL Loss: 0.8769 | Sparsity Loss: 1.4739
Epoch 17/300 | KL Loss: 0.9148 | Sparsity Loss: 1.5104
Epoch 18/300 | KL Loss: 0.8916 | Sparsity Loss: 1.5094
Epoch 19/300 | KL Loss: 0.9313 | Sparsity Loss: 1.5092
Epoch 20/300 | KL Loss: 0.8587 | Sparsity Loss: 1.5092
Epoch 21/300 | KL Loss: 0.8704 | Sparsity Loss: 1.5091
Epoch 22/300 | KL Loss: 0.8809 | Sparsity Loss: 1.5091
Epoch 23/300 | KL Loss: 0.8856 | Sparsity Loss: 1.5092
Epoch 24/300 | KL Loss: 0.9146 | Sparsity Loss: 1.5093
Epoch 25/300 | KL Loss: 0.8559 | Sparsity Loss: 1.5093
Epoch 26/300 | KL Loss: 0.8572 | Sparsity Loss: 1.5091
Epoch 27/300 | KL Loss: 0.8728 | Sparsity Loss: 1.5078
Epoch 28/300 | KL Loss: 0.9014 | Sparsity Loss: 1.5076
Epoch 29/300 | KL Loss: 0.8822 | Sparsity Loss: 1.5075
Epoch 30/300 | KL Loss: 0.8813 | Sparsity Loss: 1.5076
Epoch 31/300 | KL Loss: 0.8615 | Sparsity Loss: 1.5077
Epoch 32/300 | KL Loss: 0.8745 | Sparsity Loss: 1.5077
Epoch 33/300 | KL Loss: 0.9099 | Sparsity Loss: 1.5079
Epoch 34/300 | KL Loss: 0.8573 | Sparsity Loss: 1.5079
Epoch 35/300 | KL Loss: 0.8726 | Sparsity Loss: 1.5079
Epoch 36/300 | KL Loss: 0.8527 | Sparsity Loss: 1.5078
Epoch 37/300 | KL Loss: 0.8911 | Sparsity Loss: 1.5077
Epoch 38/300 | KL Loss: 0.8734 | Sparsity Loss: 1.5078
Epoch 39/300 | KL Loss: 0.8967 | Sparsity Loss: 1.5079
Epoch 40/300 | KL Loss: 0.9109 | Sparsity Loss: 1.5078
Epoch 41/300 | KL Loss: 0.8831 | Sparsity Loss: 1.5076
Epoch 42/300 | KL Loss: 0.8645 | Sparsity Loss: 1.5076
Epoch 43/300 | KL Loss: 0.8722 | Sparsity Loss: 1.5077
Epoch 44/300 | KL Loss: 0.8558 | Sparsity Loss: 1.5076
