MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4144.96it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3761.87it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1 on all levels): attention_heads=0.05
Finetuning from binary mask exp4_heads_mlp_main/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from exp4_heads_mlp_main/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON FRUITS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 1.0177 | Sparsity Loss: 0.0468
Epoch 2/300 | KL Loss: 0.9990 | Sparsity Loss: 0.1421
Epoch 3/300 | KL Loss: 1.0065 | Sparsity Loss: 0.2374
Epoch 4/300 | KL Loss: 1.0161 | Sparsity Loss: 0.3327
Epoch 5/300 | KL Loss: 0.9900 | Sparsity Loss: 0.4281
Epoch 6/300 | KL Loss: 0.9759 | Sparsity Loss: 0.5234
Epoch 7/300 | KL Loss: 0.9831 | Sparsity Loss: 0.6186
Epoch 8/300 | KL Loss: 0.9778 | Sparsity Loss: 0.7137
Epoch 9/300 | KL Loss: 0.9848 | Sparsity Loss: 0.8089
Epoch 10/300 | KL Loss: 1.0424 | Sparsity Loss: 0.9041
Epoch 11/300 | KL Loss: 1.0296 | Sparsity Loss: 0.9992
Epoch 12/300 | KL Loss: 0.9710 | Sparsity Loss: 1.0944
Epoch 13/300 | KL Loss: 0.9760 | Sparsity Loss: 1.1894
Epoch 14/300 | KL Loss: 1.0987 | Sparsity Loss: 1.2845
Epoch 15/300 | KL Loss: 0.9871 | Sparsity Loss: 1.3797
Epoch 16/300 | KL Loss: 1.0239 | Sparsity Loss: 1.4744
Epoch 17/300 | KL Loss: 1.0451 | Sparsity Loss: 1.5111
