MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4290.70it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4028.58it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON VEHICLES_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.0912 | Sparsity Loss: 0.0774
Epoch 2/600 | KL Loss: 0.0635 | Sparsity Loss: 0.2345
Epoch 3/600 | KL Loss: 0.0420 | Sparsity Loss: 0.3893
Epoch 4/600 | KL Loss: 0.0502 | Sparsity Loss: 0.5364
Epoch 5/600 | KL Loss: 0.0357 | Sparsity Loss: 0.6766
Epoch 6/600 | KL Loss: 0.0421 | Sparsity Loss: 0.8120
Epoch 7/600 | KL Loss: 0.0396 | Sparsity Loss: 0.9409
Epoch 8/600 | KL Loss: 0.0280 | Sparsity Loss: 1.0617
Epoch 9/600 | KL Loss: 0.0432 | Sparsity Loss: 1.1751
Epoch 10/600 | KL Loss: 0.0335 | Sparsity Loss: 1.2915
Epoch 11/600 | KL Loss: 0.0392 | Sparsity Loss: 1.3995
Epoch 12/600 | KL Loss: 0.0548 | Sparsity Loss: 1.5040
Epoch 13/600 | KL Loss: 0.0457 | Sparsity Loss: 1.6165
Epoch 14/600 | KL Loss: 0.0590 | Sparsity Loss: 1.7272
Epoch 15/600 | KL Loss: 0.0480 | Sparsity Loss: 1.8367
Epoch 16/600 | KL Loss: 0.0481 | Sparsity Loss: 1.9461
Epoch 17/600 | KL Loss: 0.0545 | Sparsity Loss: 1.9712
Epoch 18/600 | KL Loss: 0.0718 | Sparsity Loss: 1.9126
Epoch 19/600 | KL Loss: 0.1050 | Sparsity Loss: 1.7456
Epoch 20/600 | KL Loss: 0.1066 | Sparsity Loss: 1.7325
Epoch 21/600 | KL Loss: 0.1180 | Sparsity Loss: 1.7280
Epoch 22/600 | KL Loss: 0.0980 | Sparsity Loss: 1.7245
Epoch 23/600 | KL Loss: 0.1173 | Sparsity Loss: 1.7175
Epoch 24/600 | KL Loss: 0.1132 | Sparsity Loss: 1.7091
Epoch 25/600 | KL Loss: 0.1224 | Sparsity Loss: 1.6798
Epoch 26/600 | KL Loss: 0.1358 | Sparsity Loss: 1.6056
Epoch 27/600 | KL Loss: 0.1375 | Sparsity Loss: 1.5967
Epoch 28/600 | KL Loss: 0.1521 | Sparsity Loss: 1.5816
Epoch 29/600 | KL Loss: 0.1631 | Sparsity Loss: 1.5109
Epoch 30/600 | KL Loss: 0.1716 | Sparsity Loss: 1.4984
Epoch 31/600 | KL Loss: 0.1635 | Sparsity Loss: 1.4966
Epoch 32/600 | KL Loss: 0.1680 | Sparsity Loss: 1.4946
Epoch 33/600 | KL Loss: 0.1665 | Sparsity Loss: 1.4922
Epoch 34/600 | KL Loss: 0.1566 | Sparsity Loss: 1.4892
Epoch 35/600 | KL Loss: 0.1776 | Sparsity Loss: 1.4871
Epoch 36/600 | KL Loss: 0.1653 | Sparsity Loss: 1.4848
Epoch 37/600 | KL Loss: 0.1759 | Sparsity Loss: 1.4842
Epoch 38/600 | KL Loss: 0.1705 | Sparsity Loss: 1.4823
Epoch 39/600 | KL Loss: 0.1588 | Sparsity Loss: 1.4813
Epoch 40/600 | KL Loss: 0.1692 | Sparsity Loss: 1.4794
Epoch 41/600 | KL Loss: 0.1638 | Sparsity Loss: 1.4782
Epoch 42/600 | KL Loss: 0.1649 | Sparsity Loss: 1.4779
Epoch 43/600 | KL Loss: 0.1607 | Sparsity Loss: 1.4766
Epoch 44/600 | KL Loss: 0.1591 | Sparsity Loss: 1.4761
Epoch 45/600 | KL Loss: 0.1628 | Sparsity Loss: 1.4757
Epoch 46/600 | KL Loss: 0.1668 | Sparsity Loss: 1.4754
Epoch 47/600 | KL Loss: 0.1607 | Sparsity Loss: 1.4750
Epoch 48/600 | KL Loss: 0.1680 | Sparsity Loss: 1.4745
Epoch 49/600 | KL Loss: 0.1759 | Sparsity Loss: 1.4750
Epoch 50/600 | KL Loss: 0.1626 | Sparsity Loss: 1.4753
Epoch 51/600 | KL Loss: 0.1560 | Sparsity Loss: 1.4751
