Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3896.66it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4079.87it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Sparsity lambda (attention heads) overridden to 0.1

--- TRAINING MASKS ON ALL (2500 samples) ---
Epoch 1/300 | KL Loss: 0.0738 | Sparsity Loss: 0.2560
Epoch 2/300 | KL Loss: 0.1357 | Sparsity Loss: 0.6624
Epoch 3/300 | KL Loss: 0.1911 | Sparsity Loss: 0.8354
Epoch 4/300 | KL Loss: 0.3931 | Sparsity Loss: 0.8181
Epoch 5/300 | KL Loss: 0.3497 | Sparsity Loss: 0.6805
Epoch 6/300 | KL Loss: 0.3004 | Sparsity Loss: 0.6144
Epoch 7/300 | KL Loss: 0.2809 | Sparsity Loss: 0.5881
Epoch 8/300 | KL Loss: 0.2625 | Sparsity Loss: 0.5717
Epoch 9/300 | KL Loss: 0.2535 | Sparsity Loss: 0.5479
Epoch 10/300 | KL Loss: 0.2274 | Sparsity Loss: 0.5300
Epoch 11/300 | KL Loss: 0.2271 | Sparsity Loss: 0.5156
Epoch 12/300 | KL Loss: 0.2223 | Sparsity Loss: 0.5030
Epoch 13/300 | KL Loss: 0.2748 | Sparsity Loss: 0.4903
Epoch 14/300 | KL Loss: 0.2439 | Sparsity Loss: 0.4867
Epoch 15/300 | KL Loss: 0.2425 | Sparsity Loss: 0.4828
Epoch 16/300 | KL Loss: 0.2432 | Sparsity Loss: 0.4789
Epoch 17/300 | KL Loss: 0.2577 | Sparsity Loss: 0.4753
Epoch 18/300 | KL Loss: 0.2593 | Sparsity Loss: 0.4722
Epoch 19/300 | KL Loss: 0.2715 | Sparsity Loss: 0.4698
Epoch 20/300 | KL Loss: 0.2684 | Sparsity Loss: 0.4665
Epoch 21/300 | KL Loss: 0.2551 | Sparsity Loss: 0.4631
Epoch 22/300 | KL Loss: 0.2673 | Sparsity Loss: 0.4566
Epoch 23/300 | KL Loss: 0.2661 | Sparsity Loss: 0.4523
Epoch 24/300 | KL Loss: 0.2636 | Sparsity Loss: 0.4484
Epoch 25/300 | KL Loss: 0.2551 | Sparsity Loss: 0.4487
Epoch 26/300 | KL Loss: 0.2629 | Sparsity Loss: 0.4472
Epoch 27/300 | KL Loss: 0.2648 | Sparsity Loss: 0.4447
Epoch 28/300 | KL Loss: 0.2454 | Sparsity Loss: 0.4439
Epoch 29/300 | KL Loss: 0.2423 | Sparsity Loss: 0.4398
Epoch 30/300 | KL Loss: 0.2537 | Sparsity Loss: 0.4392
Epoch 31/300 | KL Loss: 0.2492 | Sparsity Loss: 0.4386
Epoch 32/300 | KL Loss: 0.2469 | Sparsity Loss: 0.4383
Epoch 33/300 | KL Loss: 0.2385 | Sparsity Loss: 0.4337
Epoch 34/300 | KL Loss: 0.2427 | Sparsity Loss: 0.4304
Epoch 35/300 | KL Loss: 0.2496 | Sparsity Loss: 0.4301
Epoch 36/300 | KL Loss: 0.2418 | Sparsity Loss: 0.4308
Epoch 37/300 | KL Loss: 0.2572 | Sparsity Loss: 0.4313
Epoch 38/300 | KL Loss: 0.2402 | Sparsity Loss: 0.4298
Epoch 39/300 | KL Loss: 0.2242 | Sparsity Loss: 0.4285
Epoch 40/300 | KL Loss: 0.2153 | Sparsity Loss: 0.4284
Epoch 41/300 | KL Loss: 0.2209 | Sparsity Loss: 0.4285
