MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3821.52it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3635.72it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x3 on all levels): attention_heads=0.15

--- TRAINING MASKS ON FRUITS_1, ANIMALS_1, COLORS_1, METALS_1, VEHICLES_1 (2500 samples) ---
Epoch 1/300 | KL Loss: 0.1761 | Sparsity Loss: 1.1628
Epoch 2/300 | KL Loss: 0.1511 | Sparsity Loss: 3.2461
Epoch 3/300 | KL Loss: 0.2183 | Sparsity Loss: 4.8288
Epoch 4/300 | KL Loss: 0.3585 | Sparsity Loss: 5.3564
Epoch 5/300 | KL Loss: 0.5051 | Sparsity Loss: 5.1421
Epoch 6/300 | KL Loss: 0.5976 | Sparsity Loss: 4.8760
Epoch 7/300 | KL Loss: 0.5831 | Sparsity Loss: 4.8167
Epoch 8/300 | KL Loss: 0.5867 | Sparsity Loss: 4.7874
Epoch 9/300 | KL Loss: 0.6029 | Sparsity Loss: 4.7647
Epoch 10/300 | KL Loss: 0.6052 | Sparsity Loss: 4.7449
Epoch 11/300 | KL Loss: 0.5987 | Sparsity Loss: 4.7200
Epoch 12/300 | KL Loss: 0.5946 | Sparsity Loss: 4.6980
Epoch 13/300 | KL Loss: 0.6009 | Sparsity Loss: 4.6815
Epoch 14/300 | KL Loss: 0.5978 | Sparsity Loss: 4.6605
Epoch 15/300 | KL Loss: 0.5788 | Sparsity Loss: 4.6457
Epoch 16/300 | KL Loss: 0.5977 | Sparsity Loss: 4.6379
Epoch 17/300 | KL Loss: 0.6114 | Sparsity Loss: 4.6366
Epoch 18/300 | KL Loss: 0.5788 | Sparsity Loss: 4.6354
Epoch 19/300 | KL Loss: 0.5859 | Sparsity Loss: 4.6352
Epoch 20/300 | KL Loss: 0.5882 | Sparsity Loss: 4.6339
Epoch 21/300 | KL Loss: 0.5913 | Sparsity Loss: 4.6328
Epoch 22/300 | KL Loss: 0.5961 | Sparsity Loss: 4.6314
Epoch 23/300 | KL Loss: 0.5830 | Sparsity Loss: 4.6287
Epoch 24/300 | KL Loss: 0.5830 | Sparsity Loss: 4.6257
Epoch 25/300 | KL Loss: 0.5880 | Sparsity Loss: 4.6258
Epoch 26/300 | KL Loss: 0.5871 | Sparsity Loss: 4.6248
Epoch 27/300 | KL Loss: 0.5924 | Sparsity Loss: 4.6254
Epoch 28/300 | KL Loss: 0.5919 | Sparsity Loss: 4.6260
