nohup: ignoring input
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3816.47it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3497.31it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON ANIMALS (500 samples) ---
Epoch 1/600 | KL Loss: 0.0231 | Sparsity Loss: 0.0257
Epoch 2/600 | KL Loss: 0.0127 | Sparsity Loss: 0.0768
Epoch 3/600 | KL Loss: 0.0156 | Sparsity Loss: 0.1214
Epoch 4/600 | KL Loss: 0.0149 | Sparsity Loss: 0.1549
Epoch 5/600 | KL Loss: 0.0152 | Sparsity Loss: 0.1819
Epoch 6/600 | KL Loss: 0.0150 | Sparsity Loss: 0.2026
Epoch 7/600 | KL Loss: 0.0165 | Sparsity Loss: 0.2151
Epoch 8/600 | KL Loss: 0.0160 | Sparsity Loss: 0.2222
Epoch 9/600 | KL Loss: 0.0202 | Sparsity Loss: 0.2315
Epoch 10/600 | KL Loss: 0.0197 | Sparsity Loss: 0.2419
Epoch 11/600 | KL Loss: 0.0217 | Sparsity Loss: 0.2497
Epoch 12/600 | KL Loss: 0.0236 | Sparsity Loss: 0.2555
Epoch 13/600 | KL Loss: 0.0249 | Sparsity Loss: 0.2604
Epoch 14/600 | KL Loss: 0.0261 | Sparsity Loss: 0.2672
Epoch 15/600 | KL Loss: 0.0259 | Sparsity Loss: 0.2735
Epoch 16/600 | KL Loss: 0.0281 | Sparsity Loss: 0.2784
Epoch 17/600 | KL Loss: 0.0302 | Sparsity Loss: 0.2716
Epoch 18/600 | KL Loss: 0.0302 | Sparsity Loss: 0.2555
Epoch 19/600 | KL Loss: 0.0312 | Sparsity Loss: 0.2435
Epoch 20/600 | KL Loss: 0.0348 | Sparsity Loss: 0.2313
Epoch 21/600 | KL Loss: 0.0375 | Sparsity Loss: 0.2225
Epoch 22/600 | KL Loss: 0.0352 | Sparsity Loss: 0.2153
Epoch 23/600 | KL Loss: 0.0358 | Sparsity Loss: 0.2112
Epoch 24/600 | KL Loss: 0.0368 | Sparsity Loss: 0.2076
Epoch 25/600 | KL Loss: 0.0357 | Sparsity Loss: 0.2014
Epoch 26/600 | KL Loss: 0.0364 | Sparsity Loss: 0.1953
Epoch 27/600 | KL Loss: 0.0359 | Sparsity Loss: 0.1925
Epoch 28/600 | KL Loss: 0.0393 | Sparsity Loss: 0.1895
Epoch 29/600 | KL Loss: 0.0382 | Sparsity Loss: 0.1886
Epoch 30/600 | KL Loss: 0.0381 | Sparsity Loss: 0.1853
Epoch 31/600 | KL Loss: 0.0384 | Sparsity Loss: 0.1841
Epoch 32/600 | KL Loss: 0.0388 | Sparsity Loss: 0.1832
Epoch 33/600 | KL Loss: 0.0386 | Sparsity Loss: 0.1827
Epoch 34/600 | KL Loss: 0.0371 | Sparsity Loss: 0.1819
