MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3444.55it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3742.47it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON COLORS_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.3899 | Sparsity Loss: 0.0774
Epoch 2/600 | KL Loss: 0.2462 | Sparsity Loss: 0.2349
Epoch 3/600 | KL Loss: 0.3072 | Sparsity Loss: 0.3923
Epoch 4/600 | KL Loss: 0.1289 | Sparsity Loss: 0.5493
Epoch 5/600 | KL Loss: 0.1254 | Sparsity Loss: 0.7056
Epoch 6/600 | KL Loss: 0.1890 | Sparsity Loss: 0.8613
Epoch 7/600 | KL Loss: 0.1142 | Sparsity Loss: 1.0154
Epoch 8/600 | KL Loss: 0.2434 | Sparsity Loss: 1.1670
Epoch 9/600 | KL Loss: 0.1483 | Sparsity Loss: 1.3162
Epoch 10/600 | KL Loss: 0.1726 | Sparsity Loss: 1.4627
Epoch 11/600 | KL Loss: 0.1479 | Sparsity Loss: 1.6071
Epoch 12/600 | KL Loss: 0.1929 | Sparsity Loss: 1.7463
Epoch 13/600 | KL Loss: 0.1381 | Sparsity Loss: 1.8807
Epoch 14/600 | KL Loss: 0.1332 | Sparsity Loss: 2.0096
Epoch 15/600 | KL Loss: 0.1711 | Sparsity Loss: 2.1364
Epoch 16/600 | KL Loss: 0.3634 | Sparsity Loss: 2.2556
Epoch 17/600 | KL Loss: 0.2893 | Sparsity Loss: 2.2883
Epoch 18/600 | KL Loss: 0.3101 | Sparsity Loss: 2.2700
Epoch 19/600 | KL Loss: 0.3318 | Sparsity Loss: 2.2526
Epoch 20/600 | KL Loss: 0.1798 | Sparsity Loss: 2.2391
Epoch 21/600 | KL Loss: 0.2383 | Sparsity Loss: 2.2272
Epoch 22/600 | KL Loss: 0.3118 | Sparsity Loss: 2.2156
Epoch 23/600 | KL Loss: 0.3471 | Sparsity Loss: 2.2044
Epoch 24/600 | KL Loss: 0.4006 | Sparsity Loss: 2.1933
Epoch 25/600 | KL Loss: 0.4485 | Sparsity Loss: 2.1811
Epoch 26/600 | KL Loss: 0.5428 | Sparsity Loss: 2.1694
