nohup: ignoring input
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3738.90it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3724.32it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Resuming from checkpoint intersection_experiments_2/masks/all_300ep_checkpoint.pt...
Training checkpoint loaded from intersection_experiments_2/masks/all_300ep_checkpoint.pt

--- TRAINING MASKS ON ANIMALS (500 samples) ---
Epoch 1/300 | KL Loss: 0.0473 | Sparsity Loss: 0.0076
Epoch 2/300 | KL Loss: 0.0459 | Sparsity Loss: 0.0227
Epoch 3/300 | KL Loss: 0.0475 | Sparsity Loss: 0.0366
Epoch 4/300 | KL Loss: 0.0452 | Sparsity Loss: 0.0497
Epoch 5/300 | KL Loss: 0.0443 | Sparsity Loss: 0.0612
Epoch 6/300 | KL Loss: 0.0423 | Sparsity Loss: 0.0721
Epoch 7/300 | KL Loss: 0.0416 | Sparsity Loss: 0.0837
Epoch 8/300 | KL Loss: 0.0426 | Sparsity Loss: 0.0949
Epoch 9/300 | KL Loss: 0.0408 | Sparsity Loss: 0.1053
Epoch 10/300 | KL Loss: 0.0408 | Sparsity Loss: 0.1153
Epoch 11/300 | KL Loss: 0.0411 | Sparsity Loss: 0.1248
Epoch 12/300 | KL Loss: 0.0399 | Sparsity Loss: 0.1348
Epoch 13/300 | KL Loss: 0.0406 | Sparsity Loss: 0.1457
Epoch 14/300 | KL Loss: 0.0404 | Sparsity Loss: 0.1551
Epoch 15/300 | KL Loss: 0.0406 | Sparsity Loss: 0.1639
Epoch 16/300 | KL Loss: 0.0419 | Sparsity Loss: 0.1731
Epoch 17/300 | KL Loss: 0.0422 | Sparsity Loss: 0.1759
Epoch 18/300 | KL Loss: 0.0417 | Sparsity Loss: 0.1715
Epoch 19/300 | KL Loss: 0.0444 | Sparsity Loss: 0.1699
Epoch 20/300 | KL Loss: 0.0433 | Sparsity Loss: 0.1690
Epoch 21/300 | KL Loss: 0.0418 | Sparsity Loss: 0.1670
Epoch 22/300 | KL Loss: 0.0444 | Sparsity Loss: 0.1659
Epoch 23/300 | KL Loss: 0.0426 | Sparsity Loss: 0.1651
Epoch 24/300 | KL Loss: 0.0443 | Sparsity Loss: 0.1640
Epoch 25/300 | KL Loss: 0.0431 | Sparsity Loss: 0.1632
Epoch 26/300 | KL Loss: 0.0467 | Sparsity Loss: 0.1616
Epoch 27/300 | KL Loss: 0.0442 | Sparsity Loss: 0.1613
Epoch 28/300 | KL Loss: 0.0465 | Sparsity Loss: 0.1599
Epoch 29/300 | KL Loss: 0.0453 | Sparsity Loss: 0.1589
Epoch 30/300 | KL Loss: 0.0455 | Sparsity Loss: 0.1587
Epoch 31/300 | KL Loss: 0.0475 | Sparsity Loss: 0.1587
Epoch 32/300 | KL Loss: 0.0473 | Sparsity Loss: 0.1577
Epoch 33/300 | KL Loss: 0.0463 | Sparsity Loss: 0.1569
Epoch 34/300 | KL Loss: 0.0464 | Sparsity Loss: 0.1568
Epoch 35/300 | KL Loss: 0.0486 | Sparsity Loss: 0.1568
Epoch 36/300 | KL Loss: 0.0489 | Sparsity Loss: 0.1568
Epoch 37/300 | KL Loss: 0.0472 | Sparsity Loss: 0.1569
Epoch 38/300 | KL Loss: 0.0477 | Sparsity Loss: 0.1568
Epoch 39/300 | KL Loss: 0.0465 | Sparsity Loss: 0.1568
Epoch 40/300 | KL Loss: 0.0450 | Sparsity Loss: 0.1569
Epoch 41/300 | KL Loss: 0.0467 | Sparsity Loss: 0.1570
Epoch 42/300 | KL Loss: 0.0468 | Sparsity Loss: 0.1569
Epoch 43/300 | KL Loss: 0.0462 | Sparsity Loss: 0.1568
Epoch 44/300 | KL Loss: 0.0453 | Sparsity Loss: 0.1569
Epoch 45/300 | KL Loss: 0.0471 | Sparsity Loss: 0.1570
Epoch 46/300 | KL Loss: 0.0479 | Sparsity Loss: 0.1569
Epoch 47/300 | KL Loss: 0.0509 | Sparsity Loss: 0.1568
Epoch 48/300 | KL Loss: 0.0515 | Sparsity Loss: 0.1568
Epoch 49/300 | KL Loss: 0.0490 | Sparsity Loss: 0.1565
Epoch 50/300 | KL Loss: 0.0504 | Sparsity Loss: 0.1558
Epoch 51/300 | KL Loss: 0.0503 | Sparsity Loss: 0.1552
Epoch 52/300 | KL Loss: 0.0504 | Sparsity Loss: 0.1551
Epoch 53/300 | KL Loss: 0.0495 | Sparsity Loss: 0.1549
Epoch 54/300 | KL Loss: 0.0504 | Sparsity Loss: 0.1548
Epoch 55/300 | KL Loss: 0.0511 | Sparsity Loss: 0.1546
Epoch 56/300 | KL Loss: 0.0500 | Sparsity Loss: 0.1543
Epoch 57/300 | KL Loss: 0.0530 | Sparsity Loss: 0.1534
Epoch 58/300 | KL Loss: 0.0522 | Sparsity Loss: 0.1515
Epoch 59/300 | KL Loss: 0.0523 | Sparsity Loss: 0.1508
Epoch 60/300 | KL Loss: 0.0534 | Sparsity Loss: 0.1502
Epoch 61/300 | KL Loss: 0.0520 | Sparsity Loss: 0.1491
Epoch 62/300 | KL Loss: 0.0541 | Sparsity Loss: 0.1474
Epoch 63/300 | KL Loss: 0.0534 | Sparsity Loss: 0.1474
Epoch 64/300 | KL Loss: 0.0517 | Sparsity Loss: 0.1473
Epoch 65/300 | KL Loss: 0.0515 | Sparsity Loss: 0.1471
Epoch 66/300 | KL Loss: 0.0524 | Sparsity Loss: 0.1472
Epoch 67/300 | KL Loss: 0.0519 | Sparsity Loss: 0.1471
Epoch 68/300 | KL Loss: 0.0521 | Sparsity Loss: 0.1471
Epoch 69/300 | KL Loss: 0.0518 | Sparsity Loss: 0.1471
Epoch 70/300 | KL Loss: 0.0528 | Sparsity Loss: 0.1472
Epoch 71/300 | KL Loss: 0.0515 | Sparsity Loss: 0.1469
Epoch 72/300 | KL Loss: 0.0519 | Sparsity Loss: 0.1468
Epoch 73/300 | KL Loss: 0.0517 | Sparsity Loss: 0.1466
Epoch 74/300 | KL Loss: 0.0515 | Sparsity Loss: 0.1465
Epoch 75/300 | KL Loss: 0.0521 | Sparsity Loss: 0.1466
Epoch 76/300 | KL Loss: 0.0528 | Sparsity Loss: 0.1465
Epoch 77/300 | KL Loss: 0.0556 | Sparsity Loss: 0.1464
Epoch 78/300 | KL Loss: 0.0505 | Sparsity Loss: 0.1462
Epoch 79/300 | KL Loss: 0.0546 | Sparsity Loss: 0.1452
Epoch 80/300 | KL Loss: 0.0516 | Sparsity Loss: 0.1447
Epoch 81/300 | KL Loss: 0.0517 | Sparsity Loss: 0.1446
Epoch 82/300 | KL Loss: 0.0532 | Sparsity Loss: 0.1446
Epoch 83/300 | KL Loss: 0.0528 | Sparsity Loss: 0.1443
Epoch 84/300 | KL Loss: 0.0546 | Sparsity Loss: 0.1442
Epoch 85/300 | KL Loss: 0.0529 | Sparsity Loss: 0.1441
Epoch 86/300 | KL Loss: 0.0522 | Sparsity Loss: 0.1433
Epoch 87/300 | KL Loss: 0.0523 | Sparsity Loss: 0.1425
Epoch 88/300 | KL Loss: 0.0560 | Sparsity Loss: 0.1423
Epoch 89/300 | KL Loss: 0.0547 | Sparsity Loss: 0.1424
Epoch 90/300 | KL Loss: 0.0543 | Sparsity Loss: 0.1421
Epoch 91/300 | KL Loss: 0.0532 | Sparsity Loss: 0.1418
Epoch 92/300 | KL Loss: 0.0529 | Sparsity Loss: 0.1416
Epoch 93/300 | KL Loss: 0.0539 | Sparsity Loss: 0.1414
Epoch 94/300 | KL Loss: 0.0529 | Sparsity Loss: 0.1414
Epoch 95/300 | KL Loss: 0.0539 | Sparsity Loss: 0.1414
Epoch 96/300 | KL Loss: 0.0533 | Sparsity Loss: 0.1414
Epoch 97/300 | KL Loss: 0.0542 | Sparsity Loss: 0.1412
Epoch 98/300 | KL Loss: 0.0534 | Sparsity Loss: 0.1413
Epoch 99/300 | KL Loss: 0.0545 | Sparsity Loss: 0.1412
Epoch 100/300 | KL Loss: 0.0548 | Sparsity Loss: 0.1411
Epoch 101/300 | KL Loss: 0.0536 | Sparsity Loss: 0.1410
Epoch 102/300 | KL Loss: 0.0527 | Sparsity Loss: 0.1411
Epoch 103/300 | KL Loss: 0.0546 | Sparsity Loss: 0.1409
Epoch 104/300 | KL Loss: 0.0533 | Sparsity Loss: 0.1408
Epoch 105/300 | KL Loss: 0.0526 | Sparsity Loss: 0.1405
Epoch 106/300 | KL Loss: 0.0532 | Sparsity Loss: 0.1401
Epoch 107/300 | KL Loss: 0.0533 | Sparsity Loss: 0.1400
Epoch 108/300 | KL Loss: 0.0527 | Sparsity Loss: 0.1399
Epoch 109/300 | KL Loss: 0.0547 | Sparsity Loss: 0.1399
Epoch 110/300 | KL Loss: 0.0541 | Sparsity Loss: 0.1398
Epoch 111/300 | KL Loss: 0.0540 | Sparsity Loss: 0.1399
Epoch 112/300 | KL Loss: 0.0527 | Sparsity Loss: 0.1399
Epoch 113/300 | KL Loss: 0.0535 | Sparsity Loss: 0.1399
Epoch 114/300 | KL Loss: 0.0547 | Sparsity Loss: 0.1399
Epoch 115/300 | KL Loss: 0.0540 | Sparsity Loss: 0.1398
Epoch 116/300 | KL Loss: 0.0528 | Sparsity Loss: 0.1398
Epoch 117/300 | KL Loss: 0.0539 | Sparsity Loss: 0.1397
Epoch 118/300 | KL Loss: 0.0554 | Sparsity Loss: 0.1397
Epoch 119/300 | KL Loss: 0.0533 | Sparsity Loss: 0.1396
Epoch 120/300 | KL Loss: 0.0537 | Sparsity Loss: 0.1396
Epoch 121/300 | KL Loss: 0.0557 | Sparsity Loss: 0.1395
Epoch 122/300 | KL Loss: 0.0531 | Sparsity Loss: 0.1395
Epoch 123/300 | KL Loss: 0.0548 | Sparsity Loss: 0.1395
Epoch 124/300 | KL Loss: 0.0556 | Sparsity Loss: 0.1392
Epoch 125/300 | KL Loss: 0.0547 | Sparsity Loss: 0.1389
Epoch 126/300 | KL Loss: 0.0547 | Sparsity Loss: 0.1390
Epoch 127/300 | KL Loss: 0.0555 | Sparsity Loss: 0.1387
Epoch 128/300 | KL Loss: 0.0551 | Sparsity Loss: 0.1386
Epoch 129/300 | KL Loss: 0.0541 | Sparsity Loss: 0.1386
Epoch 130/300 | KL Loss: 0.0550 | Sparsity Loss: 0.1384
Epoch 131/300 | KL Loss: 0.0560 | Sparsity Loss: 0.1383
Epoch 132/300 | KL Loss: 0.0559 | Sparsity Loss: 0.1381
Epoch 133/300 | KL Loss: 0.0553 | Sparsity Loss: 0.1378
Epoch 134/300 | KL Loss: 0.0569 | Sparsity Loss: 0.1374
Epoch 135/300 | KL Loss: 0.0546 | Sparsity Loss: 0.1372
Epoch 136/300 | KL Loss: 0.0563 | Sparsity Loss: 0.1371
Epoch 137/300 | KL Loss: 0.0567 | Sparsity Loss: 0.1365
Epoch 138/300 | KL Loss: 0.0548 | Sparsity Loss: 0.1356
Epoch 139/300 | KL Loss: 0.0574 | Sparsity Loss: 0.1355
Epoch 140/300 | KL Loss: 0.0563 | Sparsity Loss: 0.1354
Epoch 141/300 | KL Loss: 0.0556 | Sparsity Loss: 0.1354
Epoch 142/300 | KL Loss: 0.0547 | Sparsity Loss: 0.1354
Epoch 143/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1354
Epoch 144/300 | KL Loss: 0.0559 | Sparsity Loss: 0.1355
Epoch 145/300 | KL Loss: 0.0554 | Sparsity Loss: 0.1354
Epoch 146/300 | KL Loss: 0.0564 | Sparsity Loss: 0.1354
Epoch 147/300 | KL Loss: 0.0561 | Sparsity Loss: 0.1354
Epoch 148/300 | KL Loss: 0.0554 | Sparsity Loss: 0.1354
Epoch 149/300 | KL Loss: 0.0553 | Sparsity Loss: 0.1354
Epoch 150/300 | KL Loss: 0.0557 | Sparsity Loss: 0.1354
Epoch 151/300 | KL Loss: 0.0559 | Sparsity Loss: 0.1355
Epoch 152/300 | KL Loss: 0.0559 | Sparsity Loss: 0.1355
Epoch 153/300 | KL Loss: 0.0552 | Sparsity Loss: 0.1354
Epoch 154/300 | KL Loss: 0.0574 | Sparsity Loss: 0.1354
Epoch 155/300 | KL Loss: 0.0550 | Sparsity Loss: 0.1354
Epoch 156/300 | KL Loss: 0.0571 | Sparsity Loss: 0.1355
Epoch 157/300 | KL Loss: 0.0557 | Sparsity Loss: 0.1354
Epoch 158/300 | KL Loss: 0.0551 | Sparsity Loss: 0.1354
Epoch 159/300 | KL Loss: 0.0560 | Sparsity Loss: 0.1354
Epoch 160/300 | KL Loss: 0.0552 | Sparsity Loss: 0.1354
Epoch 161/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1353
Epoch 162/300 | KL Loss: 0.0565 | Sparsity Loss: 0.1353
Epoch 163/300 | KL Loss: 0.0573 | Sparsity Loss: 0.1354
Epoch 164/300 | KL Loss: 0.0559 | Sparsity Loss: 0.1354
Epoch 165/300 | KL Loss: 0.0545 | Sparsity Loss: 0.1353
Epoch 166/300 | KL Loss: 0.0557 | Sparsity Loss: 0.1353
Epoch 167/300 | KL Loss: 0.0553 | Sparsity Loss: 0.1354
Epoch 168/300 | KL Loss: 0.0561 | Sparsity Loss: 0.1353
Epoch 169/300 | KL Loss: 0.0552 | Sparsity Loss: 0.1354
Epoch 170/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1354
Epoch 171/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1354
Epoch 172/300 | KL Loss: 0.0547 | Sparsity Loss: 0.1353
Epoch 173/300 | KL Loss: 0.0557 | Sparsity Loss: 0.1353
Epoch 174/300 | KL Loss: 0.0580 | Sparsity Loss: 0.1353
Epoch 175/300 | KL Loss: 0.0586 | Sparsity Loss: 0.1353
Epoch 176/300 | KL Loss: 0.0547 | Sparsity Loss: 0.1353
Epoch 177/300 | KL Loss: 0.0561 | Sparsity Loss: 0.1353
Epoch 178/300 | KL Loss: 0.0562 | Sparsity Loss: 0.1352
Epoch 179/300 | KL Loss: 0.0548 | Sparsity Loss: 0.1353
Epoch 180/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1353
Epoch 181/300 | KL Loss: 0.0544 | Sparsity Loss: 0.1352
Epoch 182/300 | KL Loss: 0.0568 | Sparsity Loss: 0.1353
Epoch 183/300 | KL Loss: 0.0568 | Sparsity Loss: 0.1353
Epoch 184/300 | KL Loss: 0.0571 | Sparsity Loss: 0.1352
Epoch 185/300 | KL Loss: 0.0565 | Sparsity Loss: 0.1352
Epoch 186/300 | KL Loss: 0.0571 | Sparsity Loss: 0.1352
Epoch 187/300 | KL Loss: 0.0549 | Sparsity Loss: 0.1353
Epoch 188/300 | KL Loss: 0.0581 | Sparsity Loss: 0.1353
Epoch 189/300 | KL Loss: 0.0566 | Sparsity Loss: 0.1353
Epoch 190/300 | KL Loss: 0.0554 | Sparsity Loss: 0.1351
Epoch 191/300 | KL Loss: 0.0556 | Sparsity Loss: 0.1350
Epoch 192/300 | KL Loss: 0.0561 | Sparsity Loss: 0.1349
Epoch 193/300 | KL Loss: 0.0565 | Sparsity Loss: 0.1349
Epoch 194/300 | KL Loss: 0.0568 | Sparsity Loss: 0.1346
Epoch 195/300 | KL Loss: 0.0557 | Sparsity Loss: 0.1341
Epoch 196/300 | KL Loss: 0.0576 | Sparsity Loss: 0.1340
Epoch 197/300 | KL Loss: 0.0581 | Sparsity Loss: 0.1341
Epoch 198/300 | KL Loss: 0.0576 | Sparsity Loss: 0.1341
Epoch 199/300 | KL Loss: 0.0562 | Sparsity Loss: 0.1341
Epoch 200/300 | KL Loss: 0.0562 | Sparsity Loss: 0.1340
Epoch 201/300 | KL Loss: 0.0580 | Sparsity Loss: 0.1339
Epoch 202/300 | KL Loss: 0.0553 | Sparsity Loss: 0.1338
Epoch 203/300 | KL Loss: 0.0571 | Sparsity Loss: 0.1339
Epoch 204/300 | KL Loss: 0.0580 | Sparsity Loss: 0.1339
Epoch 205/300 | KL Loss: 0.0573 | Sparsity Loss: 0.1339
Epoch 206/300 | KL Loss: 0.0555 | Sparsity Loss: 0.1339
Epoch 207/300 | KL Loss: 0.0566 | Sparsity Loss: 0.1338
Epoch 208/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1338
Epoch 209/300 | KL Loss: 0.0564 | Sparsity Loss: 0.1338
Epoch 210/300 | KL Loss: 0.0560 | Sparsity Loss: 0.1338
Epoch 211/300 | KL Loss: 0.0562 | Sparsity Loss: 0.1338
Epoch 212/300 | KL Loss: 0.0567 | Sparsity Loss: 0.1337
Epoch 213/300 | KL Loss: 0.0571 | Sparsity Loss: 0.1337
Epoch 214/300 | KL Loss: 0.0573 | Sparsity Loss: 0.1338
Epoch 215/300 | KL Loss: 0.0557 | Sparsity Loss: 0.1338
Epoch 216/300 | KL Loss: 0.0575 | Sparsity Loss: 0.1337
Epoch 217/300 | KL Loss: 0.0564 | Sparsity Loss: 0.1337
Epoch 218/300 | KL Loss: 0.0576 | Sparsity Loss: 0.1336
Epoch 219/300 | KL Loss: 0.0583 | Sparsity Loss: 0.1337
Epoch 220/300 | KL Loss: 0.0574 | Sparsity Loss: 0.1337
Epoch 221/300 | KL Loss: 0.0578 | Sparsity Loss: 0.1337
Epoch 222/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1337
Epoch 223/300 | KL Loss: 0.0565 | Sparsity Loss: 0.1337
Epoch 224/300 | KL Loss: 0.0587 | Sparsity Loss: 0.1337
Epoch 225/300 | KL Loss: 0.0568 | Sparsity Loss: 0.1337
Epoch 226/300 | KL Loss: 0.0567 | Sparsity Loss: 0.1338
Epoch 227/300 | KL Loss: 0.0579 | Sparsity Loss: 0.1338
Epoch 228/300 | KL Loss: 0.0576 | Sparsity Loss: 0.1338
Epoch 229/300 | KL Loss: 0.0565 | Sparsity Loss: 0.1339
Epoch 230/300 | KL Loss: 0.0572 | Sparsity Loss: 0.1339
Epoch 231/300 | KL Loss: 0.0586 | Sparsity Loss: 0.1339
Epoch 232/300 | KL Loss: 0.0572 | Sparsity Loss: 0.1339
Epoch 233/300 | KL Loss: 0.0556 | Sparsity Loss: 0.1338
Epoch 234/300 | KL Loss: 0.0574 | Sparsity Loss: 0.1339
Epoch 235/300 | KL Loss: 0.0583 | Sparsity Loss: 0.1339
Epoch 236/300 | KL Loss: 0.0598 | Sparsity Loss: 0.1339
Epoch 237/300 | KL Loss: 0.0571 | Sparsity Loss: 0.1338
Epoch 238/300 | KL Loss: 0.0593 | Sparsity Loss: 0.1337
Epoch 239/300 | KL Loss: 0.0555 | Sparsity Loss: 0.1337
Epoch 240/300 | KL Loss: 0.0570 | Sparsity Loss: 0.1337
Epoch 241/300 | KL Loss: 0.0570 | Sparsity Loss: 0.1337
Epoch 242/300 | KL Loss: 0.0572 | Sparsity Loss: 0.1337
Epoch 243/300 | KL Loss: 0.0575 | Sparsity Loss: 0.1337
Epoch 244/300 | KL Loss: 0.0567 | Sparsity Loss: 0.1338
Epoch 245/300 | KL Loss: 0.0564 | Sparsity Loss: 0.1339
Epoch 246/300 | KL Loss: 0.0572 | Sparsity Loss: 0.1339
Epoch 247/300 | KL Loss: 0.0563 | Sparsity Loss: 0.1339
Epoch 248/300 | KL Loss: 0.0556 | Sparsity Loss: 0.1337
Epoch 249/300 | KL Loss: 0.0565 | Sparsity Loss: 0.1337
Epoch 250/300 | KL Loss: 0.0573 | Sparsity Loss: 0.1337
Epoch 251/300 | KL Loss: 0.0573 | Sparsity Loss: 0.1338
Epoch 252/300 | KL Loss: 0.0582 | Sparsity Loss: 0.1338
Epoch 253/300 | KL Loss: 0.0574 | Sparsity Loss: 0.1337
Epoch 254/300 | KL Loss: 0.0568 | Sparsity Loss: 0.1337
Epoch 255/300 | KL Loss: 0.0581 | Sparsity Loss: 0.1338
Epoch 256/300 | KL Loss: 0.0564 | Sparsity Loss: 0.1338
Epoch 257/300 | KL Loss: 0.0584 | Sparsity Loss: 0.1338
Epoch 258/300 | KL Loss: 0.0593 | Sparsity Loss: 0.1338
Epoch 259/300 | KL Loss: 0.0562 | Sparsity Loss: 0.1338
Epoch 260/300 | KL Loss: 0.0570 | Sparsity Loss: 0.1337
Epoch 261/300 | KL Loss: 0.0573 | Sparsity Loss: 0.1338
Epoch 262/300 | KL Loss: 0.0563 | Sparsity Loss: 0.1337
Epoch 263/300 | KL Loss: 0.0575 | Sparsity Loss: 0.1338
Epoch 264/300 | KL Loss: 0.0560 | Sparsity Loss: 0.1339
Epoch 265/300 | KL Loss: 0.0566 | Sparsity Loss: 0.1338
Epoch 266/300 | KL Loss: 0.0551 | Sparsity Loss: 0.1338
Epoch 267/300 | KL Loss: 0.0579 | Sparsity Loss: 0.1338
Epoch 268/300 | KL Loss: 0.0568 | Sparsity Loss: 0.1338
Epoch 269/300 | KL Loss: 0.0571 | Sparsity Loss: 0.1337
Epoch 270/300 | KL Loss: 0.0569 | Sparsity Loss: 0.1337
Epoch 271/300 | KL Loss: 0.0592 | Sparsity Loss: 0.1337
Epoch 272/300 | KL Loss: 0.0567 | Sparsity Loss: 0.1335
Epoch 273/300 | KL Loss: 0.0564 | Sparsity Loss: 0.1333
Epoch 274/300 | KL Loss: 0.0586 | Sparsity Loss: 0.1329
Epoch 275/300 | KL Loss: 0.0566 | Sparsity Loss: 0.1325
Epoch 276/300 | KL Loss: 0.0575 | Sparsity Loss: 0.1324
Epoch 277/300 | KL Loss: 0.0574 | Sparsity Loss: 0.1323
Epoch 278/300 | KL Loss: 0.0578 | Sparsity Loss: 0.1323
Epoch 279/300 | KL Loss: 0.0568 | Sparsity Loss: 0.1322
Epoch 280/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1323
Epoch 281/300 | KL Loss: 0.0582 | Sparsity Loss: 0.1323
