nohup: ignoring input
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4643.52it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 5256.79it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Resuming from checkpoint intersection_experiments_2/masks/all_300ep_checkpoint.pt...
Training checkpoint loaded from intersection_experiments_2/masks/all_300ep_checkpoint.pt

--- TRAINING MASKS ON COLORS (500 samples) ---
Epoch 1/300 | KL Loss: 0.3341 | Sparsity Loss: 0.0078
Epoch 2/300 | KL Loss: 0.3719 | Sparsity Loss: 0.0240
Epoch 3/300 | KL Loss: 0.4177 | Sparsity Loss: 0.0412
Epoch 4/300 | KL Loss: 0.3074 | Sparsity Loss: 0.0593
Epoch 5/300 | KL Loss: 0.3430 | Sparsity Loss: 0.0785
Epoch 6/300 | KL Loss: 0.3067 | Sparsity Loss: 0.0981
Epoch 7/300 | KL Loss: 0.3193 | Sparsity Loss: 0.1179
Epoch 8/300 | KL Loss: 0.2866 | Sparsity Loss: 0.1372
Epoch 9/300 | KL Loss: 0.2917 | Sparsity Loss: 0.1553
Epoch 10/300 | KL Loss: 0.2954 | Sparsity Loss: 0.1733
Epoch 11/300 | KL Loss: 0.2954 | Sparsity Loss: 0.1904
Epoch 12/300 | KL Loss: 0.2421 | Sparsity Loss: 0.2077
Epoch 13/300 | KL Loss: 0.3047 | Sparsity Loss: 0.2247
Epoch 14/300 | KL Loss: 0.4003 | Sparsity Loss: 0.2415
Epoch 15/300 | KL Loss: 0.3821 | Sparsity Loss: 0.2584
Epoch 16/300 | KL Loss: 0.3303 | Sparsity Loss: 0.2745
Epoch 17/300 | KL Loss: 0.3041 | Sparsity Loss: 0.2799
Epoch 18/300 | KL Loss: 0.2751 | Sparsity Loss: 0.2794
Epoch 19/300 | KL Loss: 0.3095 | Sparsity Loss: 0.2790
Epoch 20/300 | KL Loss: 0.3399 | Sparsity Loss: 0.2784
Epoch 21/300 | KL Loss: 0.2731 | Sparsity Loss: 0.2774
Epoch 22/300 | KL Loss: 0.2786 | Sparsity Loss: 0.2762
Epoch 23/300 | KL Loss: 0.3134 | Sparsity Loss: 0.2750
Epoch 24/300 | KL Loss: 0.2737 | Sparsity Loss: 0.2745
Epoch 25/300 | KL Loss: 0.2890 | Sparsity Loss: 0.2733
Epoch 26/300 | KL Loss: 0.2914 | Sparsity Loss: 0.2731
Epoch 27/300 | KL Loss: 0.2950 | Sparsity Loss: 0.2733
Epoch 28/300 | KL Loss: 0.3241 | Sparsity Loss: 0.2735
Epoch 29/300 | KL Loss: 0.2888 | Sparsity Loss: 0.2734
Epoch 30/300 | KL Loss: 0.3105 | Sparsity Loss: 0.2733
Epoch 31/300 | KL Loss: 0.2569 | Sparsity Loss: 0.2734
Epoch 32/300 | KL Loss: 0.3274 | Sparsity Loss: 0.2737
Epoch 33/300 | KL Loss: 0.3098 | Sparsity Loss: 0.2733
Epoch 34/300 | KL Loss: 0.2509 | Sparsity Loss: 0.2732
Epoch 35/300 | KL Loss: 0.2677 | Sparsity Loss: 0.2734
Epoch 36/300 | KL Loss: 0.3331 | Sparsity Loss: 0.2733
Epoch 37/300 | KL Loss: 0.3055 | Sparsity Loss: 0.2721
Epoch 38/300 | KL Loss: 0.2518 | Sparsity Loss: 0.2713
Epoch 39/300 | KL Loss: 0.2698 | Sparsity Loss: 0.2716
Epoch 40/300 | KL Loss: 0.2637 | Sparsity Loss: 0.2719
Epoch 41/300 | KL Loss: 0.3008 | Sparsity Loss: 0.2721
Epoch 42/300 | KL Loss: 0.2652 | Sparsity Loss: 0.2723
Epoch 43/300 | KL Loss: 0.2698 | Sparsity Loss: 0.2726
Epoch 44/300 | KL Loss: 0.3029 | Sparsity Loss: 0.2729
Epoch 45/300 | KL Loss: 0.3078 | Sparsity Loss: 0.2722
Epoch 46/300 | KL Loss: 0.2726 | Sparsity Loss: 0.2720
Epoch 47/300 | KL Loss: 0.2778 | Sparsity Loss: 0.2716
Epoch 48/300 | KL Loss: 0.3193 | Sparsity Loss: 0.2716
Epoch 49/300 | KL Loss: 0.2972 | Sparsity Loss: 0.2713
Epoch 50/300 | KL Loss: 0.2955 | Sparsity Loss: 0.2714
Epoch 51/300 | KL Loss: 0.2995 | Sparsity Loss: 0.2715
Epoch 52/300 | KL Loss: 0.3123 | Sparsity Loss: 0.2713
Epoch 53/300 | KL Loss: 0.3147 | Sparsity Loss: 0.2709
Epoch 54/300 | KL Loss: 0.2967 | Sparsity Loss: 0.2712
Epoch 55/300 | KL Loss: 0.2864 | Sparsity Loss: 0.2709
Epoch 56/300 | KL Loss: 0.3009 | Sparsity Loss: 0.2701
Epoch 57/300 | KL Loss: 0.3127 | Sparsity Loss: 0.2701
Epoch 58/300 | KL Loss: 0.2603 | Sparsity Loss: 0.2701
Epoch 59/300 | KL Loss: 0.3312 | Sparsity Loss: 0.2707
Epoch 60/300 | KL Loss: 0.3794 | Sparsity Loss: 0.2709
Epoch 61/300 | KL Loss: 0.2834 | Sparsity Loss: 0.2709
Epoch 62/300 | KL Loss: 0.2764 | Sparsity Loss: 0.2708
Epoch 63/300 | KL Loss: 0.3291 | Sparsity Loss: 0.2708
Epoch 64/300 | KL Loss: 0.3423 | Sparsity Loss: 0.2708
Epoch 65/300 | KL Loss: 0.3097 | Sparsity Loss: 0.2706
Epoch 66/300 | KL Loss: 0.3013 | Sparsity Loss: 0.2707
Epoch 67/300 | KL Loss: 0.3536 | Sparsity Loss: 0.2708
Epoch 68/300 | KL Loss: 0.2757 | Sparsity Loss: 0.2709
Epoch 69/300 | KL Loss: 0.2932 | Sparsity Loss: 0.2710
Epoch 70/300 | KL Loss: 0.3313 | Sparsity Loss: 0.2712
Epoch 71/300 | KL Loss: 0.3017 | Sparsity Loss: 0.2708
Epoch 72/300 | KL Loss: 0.2886 | Sparsity Loss: 0.2701
Epoch 73/300 | KL Loss: 0.2766 | Sparsity Loss: 0.2702
Epoch 74/300 | KL Loss: 0.2933 | Sparsity Loss: 0.2705
Epoch 75/300 | KL Loss: 0.2918 | Sparsity Loss: 0.2708
Epoch 76/300 | KL Loss: 0.2859 | Sparsity Loss: 0.2715
Epoch 77/300 | KL Loss: 0.2966 | Sparsity Loss: 0.2721
Epoch 78/300 | KL Loss: 0.2618 | Sparsity Loss: 0.2722
Epoch 79/300 | KL Loss: 0.2764 | Sparsity Loss: 0.2724
Epoch 80/300 | KL Loss: 0.2660 | Sparsity Loss: 0.2730
Epoch 81/300 | KL Loss: 0.2847 | Sparsity Loss: 0.2735
Epoch 82/300 | KL Loss: 0.2887 | Sparsity Loss: 0.2735
Epoch 83/300 | KL Loss: 0.2770 | Sparsity Loss: 0.2728
Epoch 84/300 | KL Loss: 0.2929 | Sparsity Loss: 0.2723
Epoch 85/300 | KL Loss: 0.2998 | Sparsity Loss: 0.2724
Epoch 86/300 | KL Loss: 0.2729 | Sparsity Loss: 0.2725
Epoch 87/300 | KL Loss: 0.2612 | Sparsity Loss: 0.2721
Epoch 88/300 | KL Loss: 0.2737 | Sparsity Loss: 0.2720
Epoch 89/300 | KL Loss: 0.2634 | Sparsity Loss: 0.2718
Epoch 90/300 | KL Loss: 0.2770 | Sparsity Loss: 0.2715
Epoch 91/300 | KL Loss: 0.2504 | Sparsity Loss: 0.2717
