nohup: ignoring input
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 5077.56it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3816.88it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Resuming from checkpoint intersection_experiments_2/masks/all_300ep_checkpoint.pt...
Training checkpoint loaded from intersection_experiments_2/masks/all_300ep_checkpoint.pt

--- TRAINING MASKS ON FRUITS (500 samples) ---
Epoch 1/300 | KL Loss: 0.3693 | Sparsity Loss: 0.0077
Epoch 2/300 | KL Loss: 0.4038 | Sparsity Loss: 0.0240
Epoch 3/300 | KL Loss: 0.4162 | Sparsity Loss: 0.0413
Epoch 4/300 | KL Loss: 0.4941 | Sparsity Loss: 0.0598
Epoch 5/300 | KL Loss: 0.5826 | Sparsity Loss: 0.0797
Epoch 6/300 | KL Loss: 0.7117 | Sparsity Loss: 0.0998
Epoch 7/300 | KL Loss: 0.6745 | Sparsity Loss: 0.1185
Epoch 8/300 | KL Loss: 0.4314 | Sparsity Loss: 0.1377
Epoch 9/300 | KL Loss: 0.4574 | Sparsity Loss: 0.1569
Epoch 10/300 | KL Loss: 0.3514 | Sparsity Loss: 0.1752
Epoch 11/300 | KL Loss: 0.3193 | Sparsity Loss: 0.1920
Epoch 12/300 | KL Loss: 0.3328 | Sparsity Loss: 0.2090
Epoch 13/300 | KL Loss: 0.3871 | Sparsity Loss: 0.2262
Epoch 14/300 | KL Loss: 0.3246 | Sparsity Loss: 0.2429
Epoch 15/300 | KL Loss: 0.3135 | Sparsity Loss: 0.2595
Epoch 16/300 | KL Loss: 0.3358 | Sparsity Loss: 0.2768
Epoch 17/300 | KL Loss: 0.3881 | Sparsity Loss: 0.2828
Epoch 18/300 | KL Loss: 0.3372 | Sparsity Loss: 0.2825
Epoch 19/300 | KL Loss: 0.3295 | Sparsity Loss: 0.2818
Epoch 20/300 | KL Loss: 0.4009 | Sparsity Loss: 0.2814
Epoch 21/300 | KL Loss: 0.3199 | Sparsity Loss: 0.2812
Epoch 22/300 | KL Loss: 0.3063 | Sparsity Loss: 0.2812
Epoch 23/300 | KL Loss: 0.3265 | Sparsity Loss: 0.2811
Epoch 24/300 | KL Loss: 0.3447 | Sparsity Loss: 0.2810
Epoch 25/300 | KL Loss: 0.3479 | Sparsity Loss: 0.2812
Epoch 26/300 | KL Loss: 0.3536 | Sparsity Loss: 0.2812
Epoch 27/300 | KL Loss: 0.3138 | Sparsity Loss: 0.2808
Epoch 28/300 | KL Loss: 0.3413 | Sparsity Loss: 0.2807
Epoch 29/300 | KL Loss: 0.3378 | Sparsity Loss: 0.2797
Epoch 30/300 | KL Loss: 0.3383 | Sparsity Loss: 0.2784
Epoch 31/300 | KL Loss: 0.4308 | Sparsity Loss: 0.2781
Epoch 32/300 | KL Loss: 0.3413 | Sparsity Loss: 0.2773
Epoch 33/300 | KL Loss: 0.3556 | Sparsity Loss: 0.2770
Epoch 34/300 | KL Loss: 0.3673 | Sparsity Loss: 0.2769
Epoch 35/300 | KL Loss: 0.3213 | Sparsity Loss: 0.2764
Epoch 36/300 | KL Loss: 0.3750 | Sparsity Loss: 0.2765
Epoch 37/300 | KL Loss: 0.3309 | Sparsity Loss: 0.2768
Epoch 38/300 | KL Loss: 0.3600 | Sparsity Loss: 0.2767
Epoch 39/300 | KL Loss: 0.4145 | Sparsity Loss: 0.2765
Epoch 40/300 | KL Loss: 0.4722 | Sparsity Loss: 0.2761
Epoch 41/300 | KL Loss: 0.3848 | Sparsity Loss: 0.2755
Epoch 42/300 | KL Loss: 0.3502 | Sparsity Loss: 0.2756
Epoch 43/300 | KL Loss: 0.3618 | Sparsity Loss: 0.2756
Epoch 44/300 | KL Loss: 0.3555 | Sparsity Loss: 0.2752
Epoch 45/300 | KL Loss: 0.3874 | Sparsity Loss: 0.2751
Epoch 46/300 | KL Loss: 0.3256 | Sparsity Loss: 0.2743
Epoch 47/300 | KL Loss: 0.3715 | Sparsity Loss: 0.2733
Epoch 48/300 | KL Loss: 0.3664 | Sparsity Loss: 0.2727
Epoch 49/300 | KL Loss: 0.3507 | Sparsity Loss: 0.2724
Epoch 50/300 | KL Loss: 0.3620 | Sparsity Loss: 0.2729
Epoch 51/300 | KL Loss: 0.3872 | Sparsity Loss: 0.2727
Epoch 52/300 | KL Loss: 0.4048 | Sparsity Loss: 0.2717
Epoch 53/300 | KL Loss: 0.4303 | Sparsity Loss: 0.2715
Epoch 54/300 | KL Loss: 0.3852 | Sparsity Loss: 0.2715
Epoch 55/300 | KL Loss: 0.3786 | Sparsity Loss: 0.2713
Epoch 56/300 | KL Loss: 0.4162 | Sparsity Loss: 0.2705
Epoch 57/300 | KL Loss: 0.4176 | Sparsity Loss: 0.2694
Epoch 58/300 | KL Loss: 0.3958 | Sparsity Loss: 0.2693
Epoch 59/300 | KL Loss: 0.3790 | Sparsity Loss: 0.2698
Epoch 60/300 | KL Loss: 0.4130 | Sparsity Loss: 0.2698
Epoch 61/300 | KL Loss: 0.4078 | Sparsity Loss: 0.2689
Epoch 62/300 | KL Loss: 0.3615 | Sparsity Loss: 0.2693
Epoch 63/300 | KL Loss: 0.3708 | Sparsity Loss: 0.2692
Epoch 64/300 | KL Loss: 0.4262 | Sparsity Loss: 0.2691
Epoch 65/300 | KL Loss: 0.3299 | Sparsity Loss: 0.2691
Epoch 66/300 | KL Loss: 0.3342 | Sparsity Loss: 0.2688
Epoch 67/300 | KL Loss: 0.3769 | Sparsity Loss: 0.2688
Epoch 68/300 | KL Loss: 0.3429 | Sparsity Loss: 0.2688
Epoch 69/300 | KL Loss: 0.3599 | Sparsity Loss: 0.2688
Epoch 70/300 | KL Loss: 0.3534 | Sparsity Loss: 0.2688
Epoch 71/300 | KL Loss: 0.3898 | Sparsity Loss: 0.2688
Epoch 72/300 | KL Loss: 0.3878 | Sparsity Loss: 0.2682
Epoch 73/300 | KL Loss: 0.3727 | Sparsity Loss: 0.2683
Epoch 74/300 | KL Loss: 0.3703 | Sparsity Loss: 0.2678
Epoch 75/300 | KL Loss: 0.3411 | Sparsity Loss: 0.2675
Epoch 76/300 | KL Loss: 0.3489 | Sparsity Loss: 0.2674
Epoch 77/300 | KL Loss: 0.3515 | Sparsity Loss: 0.2668
Epoch 78/300 | KL Loss: 0.3214 | Sparsity Loss: 0.2665
Epoch 79/300 | KL Loss: 0.3480 | Sparsity Loss: 0.2655
Epoch 80/300 | KL Loss: 0.3405 | Sparsity Loss: 0.2655
Epoch 81/300 | KL Loss: 0.3864 | Sparsity Loss: 0.2652
Epoch 82/300 | KL Loss: 0.3200 | Sparsity Loss: 0.2643
Epoch 83/300 | KL Loss: 0.3282 | Sparsity Loss: 0.2645
Epoch 84/300 | KL Loss: 0.3210 | Sparsity Loss: 0.2648
Epoch 85/300 | KL Loss: 0.3256 | Sparsity Loss: 0.2651
Epoch 86/300 | KL Loss: 0.3324 | Sparsity Loss: 0.2651
Epoch 87/300 | KL Loss: 0.3647 | Sparsity Loss: 0.2653
Epoch 88/300 | KL Loss: 0.3675 | Sparsity Loss: 0.2652
Epoch 89/300 | KL Loss: 0.3262 | Sparsity Loss: 0.2651
Epoch 90/300 | KL Loss: 0.3457 | Sparsity Loss: 0.2646
Epoch 91/300 | KL Loss: 0.3513 | Sparsity Loss: 0.2641
Epoch 92/300 | KL Loss: 0.3551 | Sparsity Loss: 0.2639
Epoch 93/300 | KL Loss: 0.3197 | Sparsity Loss: 0.2630
Epoch 94/300 | KL Loss: 0.3190 | Sparsity Loss: 0.2632
Epoch 95/300 | KL Loss: 0.3327 | Sparsity Loss: 0.2634
Epoch 96/300 | KL Loss: 0.2993 | Sparsity Loss: 0.2635
Epoch 97/300 | KL Loss: 0.3894 | Sparsity Loss: 0.2635
Epoch 98/300 | KL Loss: 0.3258 | Sparsity Loss: 0.2634
Epoch 99/300 | KL Loss: 0.3793 | Sparsity Loss: 0.2629
Epoch 100/300 | KL Loss: 0.3597 | Sparsity Loss: 0.2632
Epoch 101/300 | KL Loss: 0.4709 | Sparsity Loss: 0.2646
Epoch 102/300 | KL Loss: 0.3729 | Sparsity Loss: 0.2647
Epoch 103/300 | KL Loss: 0.3629 | Sparsity Loss: 0.2637
Epoch 104/300 | KL Loss: 0.4250 | Sparsity Loss: 0.2639
Epoch 105/300 | KL Loss: 0.3128 | Sparsity Loss: 0.2640
Epoch 106/300 | KL Loss: 0.3251 | Sparsity Loss: 0.2640
Epoch 107/300 | KL Loss: 0.3354 | Sparsity Loss: 0.2638
Epoch 108/300 | KL Loss: 0.3422 | Sparsity Loss: 0.2634
Epoch 109/300 | KL Loss: 0.3852 | Sparsity Loss: 0.2626
Epoch 110/300 | KL Loss: 0.3661 | Sparsity Loss: 0.2624
Epoch 111/300 | KL Loss: 0.3355 | Sparsity Loss: 0.2623
Epoch 112/300 | KL Loss: 0.3160 | Sparsity Loss: 0.2628
Epoch 113/300 | KL Loss: 0.3595 | Sparsity Loss: 0.2628
Epoch 114/300 | KL Loss: 0.3503 | Sparsity Loss: 0.2627
Epoch 115/300 | KL Loss: 0.3499 | Sparsity Loss: 0.2620
Epoch 116/300 | KL Loss: 0.3373 | Sparsity Loss: 0.2625
Epoch 117/300 | KL Loss: 0.3284 | Sparsity Loss: 0.2622
Epoch 118/300 | KL Loss: 0.3041 | Sparsity Loss: 0.2624
Epoch 119/300 | KL Loss: 0.3120 | Sparsity Loss: 0.2627
Epoch 120/300 | KL Loss: 0.3371 | Sparsity Loss: 0.2622
Epoch 121/300 | KL Loss: 0.3612 | Sparsity Loss: 0.2622
Epoch 122/300 | KL Loss: 0.3446 | Sparsity Loss: 0.2625
Epoch 123/300 | KL Loss: 0.3379 | Sparsity Loss: 0.2616
Epoch 124/300 | KL Loss: 0.3339 | Sparsity Loss: 0.2614
Epoch 125/300 | KL Loss: 0.3255 | Sparsity Loss: 0.2612
Epoch 126/300 | KL Loss: 0.3406 | Sparsity Loss: 0.2611
Epoch 127/300 | KL Loss: 0.3260 | Sparsity Loss: 0.2604
Epoch 128/300 | KL Loss: 0.3242 | Sparsity Loss: 0.2601
Epoch 129/300 | KL Loss: 0.3348 | Sparsity Loss: 0.2602
Epoch 130/300 | KL Loss: 0.3423 | Sparsity Loss: 0.2608
Epoch 131/300 | KL Loss: 0.3634 | Sparsity Loss: 0.2613
Epoch 132/300 | KL Loss: 0.3119 | Sparsity Loss: 0.2606
Epoch 133/300 | KL Loss: 0.3239 | Sparsity Loss: 0.2606
Epoch 134/300 | KL Loss: 0.3201 | Sparsity Loss: 0.2608
Epoch 135/300 | KL Loss: 0.3689 | Sparsity Loss: 0.2608
Epoch 136/300 | KL Loss: 0.3502 | Sparsity Loss: 0.2607
Epoch 137/300 | KL Loss: 0.3152 | Sparsity Loss: 0.2612
Epoch 138/300 | KL Loss: 0.3042 | Sparsity Loss: 0.2609
Epoch 139/300 | KL Loss: 0.3698 | Sparsity Loss: 0.2609
Epoch 140/300 | KL Loss: 0.3156 | Sparsity Loss: 0.2596
Epoch 141/300 | KL Loss: 0.3059 | Sparsity Loss: 0.2592
Epoch 142/300 | KL Loss: 0.3230 | Sparsity Loss: 0.2590
Epoch 143/300 | KL Loss: 0.3060 | Sparsity Loss: 0.2591
Epoch 144/300 | KL Loss: 0.3432 | Sparsity Loss: 0.2589
Epoch 145/300 | KL Loss: 0.3268 | Sparsity Loss: 0.2593
Epoch 146/300 | KL Loss: 0.3033 | Sparsity Loss: 0.2592
Epoch 147/300 | KL Loss: 0.3083 | Sparsity Loss: 0.2592
Epoch 148/300 | KL Loss: 0.3125 | Sparsity Loss: 0.2592
Epoch 149/300 | KL Loss: 0.2951 | Sparsity Loss: 0.2590
Epoch 150/300 | KL Loss: 0.3116 | Sparsity Loss: 0.2592
Epoch 151/300 | KL Loss: 0.3121 | Sparsity Loss: 0.2595
Epoch 152/300 | KL Loss: 0.3483 | Sparsity Loss: 0.2598
Epoch 153/300 | KL Loss: 0.3320 | Sparsity Loss: 0.2603
Epoch 154/300 | KL Loss: 0.3026 | Sparsity Loss: 0.2605
Epoch 155/300 | KL Loss: 0.3698 | Sparsity Loss: 0.2610
Epoch 156/300 | KL Loss: 0.3199 | Sparsity Loss: 0.2614
Epoch 157/300 | KL Loss: 0.3104 | Sparsity Loss: 0.2619
Epoch 158/300 | KL Loss: 0.3374 | Sparsity Loss: 0.2615
Epoch 159/300 | KL Loss: 0.3260 | Sparsity Loss: 0.2611
Epoch 160/300 | KL Loss: 0.3004 | Sparsity Loss: 0.2611
Epoch 161/300 | KL Loss: 0.3752 | Sparsity Loss: 0.2602
Epoch 162/300 | KL Loss: 0.3751 | Sparsity Loss: 0.2598
Epoch 163/300 | KL Loss: 0.3627 | Sparsity Loss: 0.2596
Epoch 164/300 | KL Loss: 0.3261 | Sparsity Loss: 0.2591
Epoch 165/300 | KL Loss: 0.3622 | Sparsity Loss: 0.2590
Epoch 166/300 | KL Loss: 0.3218 | Sparsity Loss: 0.2592
Epoch 167/300 | KL Loss: 0.3042 | Sparsity Loss: 0.2592
Epoch 168/300 | KL Loss: 0.3372 | Sparsity Loss: 0.2594
Epoch 169/300 | KL Loss: 0.4290 | Sparsity Loss: 0.2603
Epoch 170/300 | KL Loss: 0.2948 | Sparsity Loss: 0.2601
Epoch 171/300 | KL Loss: 0.3063 | Sparsity Loss: 0.2599
Epoch 172/300 | KL Loss: 0.2964 | Sparsity Loss: 0.2612
Epoch 173/300 | KL Loss: 0.3217 | Sparsity Loss: 0.2616
Epoch 174/300 | KL Loss: 0.3104 | Sparsity Loss: 0.2619
Epoch 175/300 | KL Loss: 0.2832 | Sparsity Loss: 0.2620
Epoch 176/300 | KL Loss: 0.3020 | Sparsity Loss: 0.2622
Epoch 177/300 | KL Loss: 0.2830 | Sparsity Loss: 0.2625
Epoch 178/300 | KL Loss: 0.2938 | Sparsity Loss: 0.2629
Epoch 179/300 | KL Loss: 0.3509 | Sparsity Loss: 0.2631
Epoch 180/300 | KL Loss: 0.3538 | Sparsity Loss: 0.2632
Epoch 181/300 | KL Loss: 0.3182 | Sparsity Loss: 0.2628
Epoch 182/300 | KL Loss: 0.3390 | Sparsity Loss: 0.2629
Epoch 183/300 | KL Loss: 0.4120 | Sparsity Loss: 0.2626
Epoch 184/300 | KL Loss: 0.4409 | Sparsity Loss: 0.2618
Epoch 185/300 | KL Loss: 0.3421 | Sparsity Loss: 0.2613
Epoch 186/300 | KL Loss: 0.3299 | Sparsity Loss: 0.2614
Epoch 187/300 | KL Loss: 0.3786 | Sparsity Loss: 0.2612
Epoch 188/300 | KL Loss: 0.3004 | Sparsity Loss: 0.2610
Epoch 189/300 | KL Loss: 0.3461 | Sparsity Loss: 0.2611
Epoch 190/300 | KL Loss: 0.3308 | Sparsity Loss: 0.2616
