nohup: ignoring input
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4912.03it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4474.19it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Resuming from checkpoint intersection_experiments_2/masks/all_300ep_checkpoint.pt...
Training checkpoint loaded from intersection_experiments_2/masks/all_300ep_checkpoint.pt

--- TRAINING MASKS ON METALS (500 samples) ---
Epoch 1/300 | KL Loss: 0.2355 | Sparsity Loss: 0.0077
Epoch 2/300 | KL Loss: 0.2419 | Sparsity Loss: 0.0239
Epoch 3/300 | KL Loss: 0.2927 | Sparsity Loss: 0.0404
Epoch 4/300 | KL Loss: 0.3043 | Sparsity Loss: 0.0576
Epoch 5/300 | KL Loss: 0.3371 | Sparsity Loss: 0.0754
Epoch 6/300 | KL Loss: 0.3058 | Sparsity Loss: 0.0927
Epoch 7/300 | KL Loss: 0.3087 | Sparsity Loss: 0.1101
Epoch 8/300 | KL Loss: 0.2836 | Sparsity Loss: 0.1269
Epoch 9/300 | KL Loss: 0.2962 | Sparsity Loss: 0.1437
Epoch 10/300 | KL Loss: 0.2513 | Sparsity Loss: 0.1599
Epoch 11/300 | KL Loss: 0.2787 | Sparsity Loss: 0.1762
Epoch 12/300 | KL Loss: 0.2541 | Sparsity Loss: 0.1925
Epoch 13/300 | KL Loss: 0.2979 | Sparsity Loss: 0.2085
Epoch 14/300 | KL Loss: 0.2701 | Sparsity Loss: 0.2247
Epoch 15/300 | KL Loss: 0.2600 | Sparsity Loss: 0.2409
Epoch 16/300 | KL Loss: 0.2880 | Sparsity Loss: 0.2567
Epoch 17/300 | KL Loss: 0.2929 | Sparsity Loss: 0.2619
Epoch 18/300 | KL Loss: 0.2678 | Sparsity Loss: 0.2603
Epoch 19/300 | KL Loss: 0.2689 | Sparsity Loss: 0.2592
Epoch 20/300 | KL Loss: 0.2640 | Sparsity Loss: 0.2584
Epoch 21/300 | KL Loss: 0.2669 | Sparsity Loss: 0.2574
Epoch 22/300 | KL Loss: 0.2388 | Sparsity Loss: 0.2569
Epoch 23/300 | KL Loss: 0.2493 | Sparsity Loss: 0.2565
Epoch 24/300 | KL Loss: 0.2498 | Sparsity Loss: 0.2568
Epoch 25/300 | KL Loss: 0.2693 | Sparsity Loss: 0.2567
Epoch 26/300 | KL Loss: 0.2371 | Sparsity Loss: 0.2566
Epoch 27/300 | KL Loss: 0.2703 | Sparsity Loss: 0.2559
Epoch 28/300 | KL Loss: 0.2494 | Sparsity Loss: 0.2546
Epoch 29/300 | KL Loss: 0.2292 | Sparsity Loss: 0.2534
Epoch 30/300 | KL Loss: 0.2493 | Sparsity Loss: 0.2521
Epoch 31/300 | KL Loss: 0.2390 | Sparsity Loss: 0.2513
Epoch 32/300 | KL Loss: 0.2436 | Sparsity Loss: 0.2508
Epoch 33/300 | KL Loss: 0.2178 | Sparsity Loss: 0.2503
Epoch 34/300 | KL Loss: 0.2219 | Sparsity Loss: 0.2498
Epoch 35/300 | KL Loss: 0.2334 | Sparsity Loss: 0.2488
Epoch 36/300 | KL Loss: 0.2270 | Sparsity Loss: 0.2477
Epoch 37/300 | KL Loss: 0.2234 | Sparsity Loss: 0.2471
Epoch 38/300 | KL Loss: 0.2162 | Sparsity Loss: 0.2464
Epoch 39/300 | KL Loss: 0.2265 | Sparsity Loss: 0.2461
Epoch 40/300 | KL Loss: 0.2488 | Sparsity Loss: 0.2461
Epoch 41/300 | KL Loss: 0.2805 | Sparsity Loss: 0.2460
Epoch 42/300 | KL Loss: 0.2287 | Sparsity Loss: 0.2457
Epoch 43/300 | KL Loss: 0.2279 | Sparsity Loss: 0.2451
Epoch 44/300 | KL Loss: 0.2391 | Sparsity Loss: 0.2438
Epoch 45/300 | KL Loss: 0.2331 | Sparsity Loss: 0.2437
Epoch 46/300 | KL Loss: 0.2240 | Sparsity Loss: 0.2439
Epoch 47/300 | KL Loss: 0.2351 | Sparsity Loss: 0.2438
Epoch 48/300 | KL Loss: 0.2701 | Sparsity Loss: 0.2426
Epoch 49/300 | KL Loss: 0.2345 | Sparsity Loss: 0.2417
Epoch 50/300 | KL Loss: 0.2317 | Sparsity Loss: 0.2412
Epoch 51/300 | KL Loss: 0.2218 | Sparsity Loss: 0.2411
Epoch 52/300 | KL Loss: 0.2291 | Sparsity Loss: 0.2408
Epoch 53/300 | KL Loss: 0.2169 | Sparsity Loss: 0.2405
Epoch 54/300 | KL Loss: 0.2255 | Sparsity Loss: 0.2406
Epoch 55/300 | KL Loss: 0.2321 | Sparsity Loss: 0.2406
Epoch 56/300 | KL Loss: 0.2430 | Sparsity Loss: 0.2399
Epoch 57/300 | KL Loss: 0.2542 | Sparsity Loss: 0.2393
Epoch 58/300 | KL Loss: 0.2527 | Sparsity Loss: 0.2388
Epoch 59/300 | KL Loss: 0.2297 | Sparsity Loss: 0.2383
Epoch 60/300 | KL Loss: 0.2345 | Sparsity Loss: 0.2376
Epoch 61/300 | KL Loss: 0.2147 | Sparsity Loss: 0.2371
Epoch 62/300 | KL Loss: 0.2348 | Sparsity Loss: 0.2370
Epoch 63/300 | KL Loss: 0.2291 | Sparsity Loss: 0.2372
Epoch 64/300 | KL Loss: 0.2213 | Sparsity Loss: 0.2374
Epoch 65/300 | KL Loss: 0.2294 | Sparsity Loss: 0.2376
Epoch 66/300 | KL Loss: 0.2174 | Sparsity Loss: 0.2374
Epoch 67/300 | KL Loss: 0.2329 | Sparsity Loss: 0.2372
Epoch 68/300 | KL Loss: 0.2259 | Sparsity Loss: 0.2372
Epoch 69/300 | KL Loss: 0.2098 | Sparsity Loss: 0.2368
Epoch 70/300 | KL Loss: 0.2482 | Sparsity Loss: 0.2368
Epoch 71/300 | KL Loss: 0.2144 | Sparsity Loss: 0.2368
Epoch 72/300 | KL Loss: 0.2115 | Sparsity Loss: 0.2363
Epoch 73/300 | KL Loss: 0.2159 | Sparsity Loss: 0.2359
Epoch 74/300 | KL Loss: 0.2084 | Sparsity Loss: 0.2357
Epoch 75/300 | KL Loss: 0.2175 | Sparsity Loss: 0.2361
Epoch 76/300 | KL Loss: 0.2061 | Sparsity Loss: 0.2361
Epoch 77/300 | KL Loss: 0.2182 | Sparsity Loss: 0.2354
Epoch 78/300 | KL Loss: 0.2357 | Sparsity Loss: 0.2358
Epoch 79/300 | KL Loss: 0.2183 | Sparsity Loss: 0.2356
Epoch 80/300 | KL Loss: 0.2048 | Sparsity Loss: 0.2352
Epoch 81/300 | KL Loss: 0.2308 | Sparsity Loss: 0.2349
Epoch 82/300 | KL Loss: 0.2045 | Sparsity Loss: 0.2348
Epoch 83/300 | KL Loss: 0.2253 | Sparsity Loss: 0.2348
Epoch 84/300 | KL Loss: 0.2204 | Sparsity Loss: 0.2347
Epoch 85/300 | KL Loss: 0.2185 | Sparsity Loss: 0.2346
Epoch 86/300 | KL Loss: 0.2168 | Sparsity Loss: 0.2344
Epoch 87/300 | KL Loss: 0.2395 | Sparsity Loss: 0.2343
Epoch 88/300 | KL Loss: 0.2161 | Sparsity Loss: 0.2343
