nohup: ignoring input
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4827.16it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 5061.77it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Resuming from checkpoint intersection_experiments_2/masks/all_300ep_checkpoint.pt...
Training checkpoint loaded from intersection_experiments_2/masks/all_300ep_checkpoint.pt

--- TRAINING MASKS ON VEHICLES (500 samples) ---
Epoch 1/300 | KL Loss: 0.0622 | Sparsity Loss: 0.0077
Epoch 2/300 | KL Loss: 0.0639 | Sparsity Loss: 0.0230
Epoch 3/300 | KL Loss: 0.0616 | Sparsity Loss: 0.0377
Epoch 4/300 | KL Loss: 0.0619 | Sparsity Loss: 0.0513
Epoch 5/300 | KL Loss: 0.0574 | Sparsity Loss: 0.0645
Epoch 6/300 | KL Loss: 0.0552 | Sparsity Loss: 0.0772
Epoch 7/300 | KL Loss: 0.0534 | Sparsity Loss: 0.0897
Epoch 8/300 | KL Loss: 0.0549 | Sparsity Loss: 0.1024
Epoch 9/300 | KL Loss: 0.0544 | Sparsity Loss: 0.1139
Epoch 10/300 | KL Loss: 0.0567 | Sparsity Loss: 0.1253
Epoch 11/300 | KL Loss: 0.0540 | Sparsity Loss: 0.1364
Epoch 12/300 | KL Loss: 0.0559 | Sparsity Loss: 0.1449
Epoch 13/300 | KL Loss: 0.0562 | Sparsity Loss: 0.1539
Epoch 14/300 | KL Loss: 0.0558 | Sparsity Loss: 0.1651
Epoch 15/300 | KL Loss: 0.0578 | Sparsity Loss: 0.1759
Epoch 16/300 | KL Loss: 0.0570 | Sparsity Loss: 0.1861
Epoch 17/300 | KL Loss: 0.0567 | Sparsity Loss: 0.1883
Epoch 18/300 | KL Loss: 0.0584 | Sparsity Loss: 0.1872
Epoch 19/300 | KL Loss: 0.0602 | Sparsity Loss: 0.1868
Epoch 20/300 | KL Loss: 0.0575 | Sparsity Loss: 0.1864
Epoch 21/300 | KL Loss: 0.0593 | Sparsity Loss: 0.1858
Epoch 22/300 | KL Loss: 0.0600 | Sparsity Loss: 0.1840
Epoch 23/300 | KL Loss: 0.0596 | Sparsity Loss: 0.1826
Epoch 24/300 | KL Loss: 0.0592 | Sparsity Loss: 0.1822
Epoch 25/300 | KL Loss: 0.0581 | Sparsity Loss: 0.1818
Epoch 26/300 | KL Loss: 0.0584 | Sparsity Loss: 0.1800
Epoch 27/300 | KL Loss: 0.0597 | Sparsity Loss: 0.1794
Epoch 28/300 | KL Loss: 0.0591 | Sparsity Loss: 0.1786
Epoch 29/300 | KL Loss: 0.0589 | Sparsity Loss: 0.1771
Epoch 30/300 | KL Loss: 0.0622 | Sparsity Loss: 0.1766
Epoch 31/300 | KL Loss: 0.0610 | Sparsity Loss: 0.1764
Epoch 32/300 | KL Loss: 0.0603 | Sparsity Loss: 0.1763
Epoch 33/300 | KL Loss: 0.0599 | Sparsity Loss: 0.1762
Epoch 34/300 | KL Loss: 0.0600 | Sparsity Loss: 0.1761
Epoch 35/300 | KL Loss: 0.0611 | Sparsity Loss: 0.1761
Epoch 36/300 | KL Loss: 0.0607 | Sparsity Loss: 0.1761
Epoch 37/300 | KL Loss: 0.0610 | Sparsity Loss: 0.1760
Epoch 38/300 | KL Loss: 0.0601 | Sparsity Loss: 0.1761
Epoch 39/300 | KL Loss: 0.0611 | Sparsity Loss: 0.1760
Epoch 40/300 | KL Loss: 0.0592 | Sparsity Loss: 0.1760
Epoch 41/300 | KL Loss: 0.0588 | Sparsity Loss: 0.1761
Epoch 42/300 | KL Loss: 0.0620 | Sparsity Loss: 0.1759
Epoch 43/300 | KL Loss: 0.0607 | Sparsity Loss: 0.1759
Epoch 44/300 | KL Loss: 0.0607 | Sparsity Loss: 0.1760
Epoch 45/300 | KL Loss: 0.0597 | Sparsity Loss: 0.1760
Epoch 46/300 | KL Loss: 0.0615 | Sparsity Loss: 0.1760
Epoch 47/300 | KL Loss: 0.0608 | Sparsity Loss: 0.1760
Epoch 48/300 | KL Loss: 0.0611 | Sparsity Loss: 0.1761
Epoch 49/300 | KL Loss: 0.0601 | Sparsity Loss: 0.1760
Epoch 50/300 | KL Loss: 0.0609 | Sparsity Loss: 0.1760
Epoch 51/300 | KL Loss: 0.0601 | Sparsity Loss: 0.1761
Epoch 52/300 | KL Loss: 0.0600 | Sparsity Loss: 0.1760
Epoch 53/300 | KL Loss: 0.0601 | Sparsity Loss: 0.1760
Epoch 54/300 | KL Loss: 0.0601 | Sparsity Loss: 0.1760
Epoch 55/300 | KL Loss: 0.0607 | Sparsity Loss: 0.1760
Epoch 56/300 | KL Loss: 0.0610 | Sparsity Loss: 0.1760
Epoch 57/300 | KL Loss: 0.0615 | Sparsity Loss: 0.1760
Epoch 58/300 | KL Loss: 0.0599 | Sparsity Loss: 0.1761
Epoch 59/300 | KL Loss: 0.0609 | Sparsity Loss: 0.1760
Epoch 60/300 | KL Loss: 0.0601 | Sparsity Loss: 0.1761
