Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4065.71it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4440.15it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 16 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON ANIMALS (500 samples) ---
Epoch 1/300 | KL Loss: 0.0465 | Sparsity Loss: 0.0069
Epoch 2/300 | KL Loss: 0.0452 | Sparsity Loss: 0.0208
Epoch 3/300 | KL Loss: 0.0443 | Sparsity Loss: 0.0343
Epoch 4/300 | KL Loss: 0.0445 | Sparsity Loss: 0.0468
Epoch 5/300 | KL Loss: 0.0453 | Sparsity Loss: 0.0577
Epoch 6/300 | KL Loss: 0.0443 | Sparsity Loss: 0.0675
Epoch 7/300 | KL Loss: 0.0428 | Sparsity Loss: 0.0776
Epoch 8/300 | KL Loss: 0.0456 | Sparsity Loss: 0.0874
Epoch 9/300 | KL Loss: 0.0453 | Sparsity Loss: 0.0946
Epoch 10/300 | KL Loss: 0.0447 | Sparsity Loss: 0.1034
Epoch 11/300 | KL Loss: 0.0448 | Sparsity Loss: 0.1116
Epoch 12/300 | KL Loss: 0.0462 | Sparsity Loss: 0.1189
Epoch 13/300 | KL Loss: 0.0457 | Sparsity Loss: 0.1247
Epoch 14/300 | KL Loss: 0.0462 | Sparsity Loss: 0.1305
Epoch 15/300 | KL Loss: 0.0461 | Sparsity Loss: 0.1374
Epoch 16/300 | KL Loss: 0.0484 | Sparsity Loss: 0.1448
Epoch 17/300 | KL Loss: 0.0465 | Sparsity Loss: 0.1465
Epoch 18/300 | KL Loss: 0.0464 | Sparsity Loss: 0.1430
Epoch 19/300 | KL Loss: 0.0478 | Sparsity Loss: 0.1414
Epoch 20/300 | KL Loss: 0.0490 | Sparsity Loss: 0.1408
Epoch 21/300 | KL Loss: 0.0466 | Sparsity Loss: 0.1407
Epoch 22/300 | KL Loss: 0.0483 | Sparsity Loss: 0.1406
Epoch 23/300 | KL Loss: 0.0476 | Sparsity Loss: 0.1406
Epoch 24/300 | KL Loss: 0.0460 | Sparsity Loss: 0.1405
Epoch 25/300 | KL Loss: 0.0477 | Sparsity Loss: 0.1394
Epoch 26/300 | KL Loss: 0.0488 | Sparsity Loss: 0.1389
