Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4640.60it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3797.85it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 16 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON COLORS (500 samples) ---
Epoch 1/300 | KL Loss: 0.2468 | Sparsity Loss: 0.0069
Epoch 2/300 | KL Loss: 0.2444 | Sparsity Loss: 0.0209
Epoch 3/300 | KL Loss: 0.2491 | Sparsity Loss: 0.0350
Epoch 4/300 | KL Loss: 0.2479 | Sparsity Loss: 0.0489
Epoch 5/300 | KL Loss: 0.2489 | Sparsity Loss: 0.0628
Epoch 6/300 | KL Loss: 0.2517 | Sparsity Loss: 0.0766
Epoch 7/300 | KL Loss: 0.2552 | Sparsity Loss: 0.0905
Epoch 8/300 | KL Loss: 0.2640 | Sparsity Loss: 0.1043
Epoch 9/300 | KL Loss: 0.2709 | Sparsity Loss: 0.1182
Epoch 10/300 | KL Loss: 0.2672 | Sparsity Loss: 0.1318
Epoch 11/300 | KL Loss: 0.2738 | Sparsity Loss: 0.1454
Epoch 12/300 | KL Loss: 0.2697 | Sparsity Loss: 0.1592
Epoch 13/300 | KL Loss: 0.2703 | Sparsity Loss: 0.1729
Epoch 14/300 | KL Loss: 0.2553 | Sparsity Loss: 0.1866
Epoch 15/300 | KL Loss: 0.2498 | Sparsity Loss: 0.2000
Epoch 16/300 | KL Loss: 0.2550 | Sparsity Loss: 0.2132
Epoch 17/300 | KL Loss: 0.2547 | Sparsity Loss: 0.2181
Epoch 18/300 | KL Loss: 0.2636 | Sparsity Loss: 0.2178
Epoch 19/300 | KL Loss: 0.2511 | Sparsity Loss: 0.2169
Epoch 20/300 | KL Loss: 0.2498 | Sparsity Loss: 0.2152
Epoch 21/300 | KL Loss: 0.2645 | Sparsity Loss: 0.2145
Epoch 22/300 | KL Loss: 0.2516 | Sparsity Loss: 0.2138
Epoch 23/300 | KL Loss: 0.2676 | Sparsity Loss: 0.2132
Epoch 24/300 | KL Loss: 0.2763 | Sparsity Loss: 0.2127
Epoch 25/300 | KL Loss: 0.2969 | Sparsity Loss: 0.2118
Epoch 26/300 | KL Loss: 0.2599 | Sparsity Loss: 0.2110
Epoch 27/300 | KL Loss: 0.2611 | Sparsity Loss: 0.2107
Epoch 28/300 | KL Loss: 0.2770 | Sparsity Loss: 0.2104
Epoch 29/300 | KL Loss: 0.2820 | Sparsity Loss: 0.2101
Epoch 30/300 | KL Loss: 0.2756 | Sparsity Loss: 0.2101
Epoch 31/300 | KL Loss: 0.2642 | Sparsity Loss: 0.2098
Epoch 32/300 | KL Loss: 0.2667 | Sparsity Loss: 0.2099
Epoch 33/300 | KL Loss: 0.2510 | Sparsity Loss: 0.2097
Epoch 34/300 | KL Loss: 0.2576 | Sparsity Loss: 0.2094
Epoch 35/300 | KL Loss: 0.2608 | Sparsity Loss: 0.2092
Epoch 36/300 | KL Loss: 0.2678 | Sparsity Loss: 0.2091
Epoch 37/300 | KL Loss: 0.2758 | Sparsity Loss: 0.2085
Epoch 38/300 | KL Loss: 0.2762 | Sparsity Loss: 0.2077
Epoch 39/300 | KL Loss: 0.2687 | Sparsity Loss: 0.2073
Epoch 40/300 | KL Loss: 0.2776 | Sparsity Loss: 0.2070
Epoch 41/300 | KL Loss: 0.2790 | Sparsity Loss: 0.2068
Epoch 42/300 | KL Loss: 0.2682 | Sparsity Loss: 0.2068
Epoch 43/300 | KL Loss: 0.2666 | Sparsity Loss: 0.2066
Epoch 44/300 | KL Loss: 0.2713 | Sparsity Loss: 0.2064
Epoch 45/300 | KL Loss: 0.2581 | Sparsity Loss: 0.2064
Epoch 46/300 | KL Loss: 0.2663 | Sparsity Loss: 0.2062
Epoch 47/300 | KL Loss: 0.2656 | Sparsity Loss: 0.2060
Epoch 48/300 | KL Loss: 0.2771 | Sparsity Loss: 0.2058
Epoch 49/300 | KL Loss: 0.2699 | Sparsity Loss: 0.2056
Epoch 50/300 | KL Loss: 0.2759 | Sparsity Loss: 0.2053
Epoch 51/300 | KL Loss: 0.2770 | Sparsity Loss: 0.2046
Epoch 52/300 | KL Loss: 0.2985 | Sparsity Loss: 0.2039
Epoch 53/300 | KL Loss: 0.2891 | Sparsity Loss: 0.2036
Epoch 54/300 | KL Loss: 0.2635 | Sparsity Loss: 0.2033
Epoch 55/300 | KL Loss: 0.2920 | Sparsity Loss: 0.2032
Epoch 56/300 | KL Loss: 0.2619 | Sparsity Loss: 0.2030
Epoch 57/300 | KL Loss: 0.2763 | Sparsity Loss: 0.2029
Epoch 58/300 | KL Loss: 0.2770 | Sparsity Loss: 0.2027
Epoch 59/300 | KL Loss: 0.2928 | Sparsity Loss: 0.2026
Epoch 60/300 | KL Loss: 0.2684 | Sparsity Loss: 0.2026
Epoch 61/300 | KL Loss: 0.2785 | Sparsity Loss: 0.2023
Epoch 62/300 | KL Loss: 0.3007 | Sparsity Loss: 0.2019
Epoch 63/300 | KL Loss: 0.3115 | Sparsity Loss: 0.2018
Epoch 64/300 | KL Loss: 0.2804 | Sparsity Loss: 0.2014
Epoch 65/300 | KL Loss: 0.2703 | Sparsity Loss: 0.2016
Epoch 66/300 | KL Loss: 0.3045 | Sparsity Loss: 0.2018
Epoch 67/300 | KL Loss: 0.2953 | Sparsity Loss: 0.2019
Epoch 68/300 | KL Loss: 0.2696 | Sparsity Loss: 0.2018
Epoch 69/300 | KL Loss: 0.2842 | Sparsity Loss: 0.2018
Epoch 70/300 | KL Loss: 0.3056 | Sparsity Loss: 0.2017
Epoch 71/300 | KL Loss: 0.2935 | Sparsity Loss: 0.2016
Epoch 72/300 | KL Loss: 0.2749 | Sparsity Loss: 0.2015
Epoch 73/300 | KL Loss: 0.2722 | Sparsity Loss: 0.2016
Epoch 74/300 | KL Loss: 0.2895 | Sparsity Loss: 0.2016
Epoch 75/300 | KL Loss: 0.2867 | Sparsity Loss: 0.2014
Epoch 76/300 | KL Loss: 0.3058 | Sparsity Loss: 0.2017
Epoch 77/300 | KL Loss: 0.2755 | Sparsity Loss: 0.2017
Epoch 78/300 | KL Loss: 0.2711 | Sparsity Loss: 0.2017
Epoch 79/300 | KL Loss: 0.2807 | Sparsity Loss: 0.2019
Epoch 80/300 | KL Loss: 0.2902 | Sparsity Loss: 0.2020
Epoch 81/300 | KL Loss: 0.2742 | Sparsity Loss: 0.2020
Epoch 82/300 | KL Loss: 0.3203 | Sparsity Loss: 0.2020
Epoch 83/300 | KL Loss: 0.2808 | Sparsity Loss: 0.2020
Epoch 84/300 | KL Loss: 0.2733 | Sparsity Loss: 0.2021
Epoch 85/300 | KL Loss: 0.3294 | Sparsity Loss: 0.2019
Epoch 86/300 | KL Loss: 0.3191 | Sparsity Loss: 0.2021
Epoch 87/300 | KL Loss: 0.2876 | Sparsity Loss: 0.2021
Epoch 88/300 | KL Loss: 0.2911 | Sparsity Loss: 0.2021
Epoch 89/300 | KL Loss: 0.2752 | Sparsity Loss: 0.2020
Epoch 90/300 | KL Loss: 0.3022 | Sparsity Loss: 0.2019
Epoch 91/300 | KL Loss: 0.2759 | Sparsity Loss: 0.2015
Epoch 92/300 | KL Loss: 0.2712 | Sparsity Loss: 0.2014
Epoch 93/300 | KL Loss: 0.2636 | Sparsity Loss: 0.2014
Epoch 94/300 | KL Loss: 0.2822 | Sparsity Loss: 0.2017
Epoch 95/300 | KL Loss: 0.2707 | Sparsity Loss: 0.2017
Epoch 96/300 | KL Loss: 0.2987 | Sparsity Loss: 0.2015
Epoch 97/300 | KL Loss: 0.2758 | Sparsity Loss: 0.2012
Epoch 98/300 | KL Loss: 0.2709 | Sparsity Loss: 0.2011
Epoch 99/300 | KL Loss: 0.2664 | Sparsity Loss: 0.2012
Epoch 100/300 | KL Loss: 0.2696 | Sparsity Loss: 0.2014
Epoch 101/300 | KL Loss: 0.2697 | Sparsity Loss: 0.2015
Epoch 102/300 | KL Loss: 0.2660 | Sparsity Loss: 0.2013
Epoch 103/300 | KL Loss: 0.2647 | Sparsity Loss: 0.2014
Epoch 104/300 | KL Loss: 0.2728 | Sparsity Loss: 0.2014
Epoch 105/300 | KL Loss: 0.2696 | Sparsity Loss: 0.2013
Epoch 106/300 | KL Loss: 0.2972 | Sparsity Loss: 0.2014
Epoch 107/300 | KL Loss: 0.2668 | Sparsity Loss: 0.2014
Epoch 108/300 | KL Loss: 0.3418 | Sparsity Loss: 0.2016
Epoch 109/300 | KL Loss: 0.2665 | Sparsity Loss: 0.2018
Epoch 110/300 | KL Loss: 0.2659 | Sparsity Loss: 0.2017
Epoch 111/300 | KL Loss: 0.2824 | Sparsity Loss: 0.2008
