Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4297.83it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3966.66it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 16 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON FRUITS (500 samples) ---
Epoch 1/300 | KL Loss: 0.3046 | Sparsity Loss: 0.0069
Epoch 2/300 | KL Loss: 0.3059 | Sparsity Loss: 0.0210
Epoch 3/300 | KL Loss: 0.3069 | Sparsity Loss: 0.0350
Epoch 4/300 | KL Loss: 0.3028 | Sparsity Loss: 0.0490
Epoch 5/300 | KL Loss: 0.3160 | Sparsity Loss: 0.0628
Epoch 6/300 | KL Loss: 0.3455 | Sparsity Loss: 0.0767
Epoch 7/300 | KL Loss: 0.3276 | Sparsity Loss: 0.0905
Epoch 8/300 | KL Loss: 0.3099 | Sparsity Loss: 0.1043
Epoch 9/300 | KL Loss: 0.2982 | Sparsity Loss: 0.1181
Epoch 10/300 | KL Loss: 0.3166 | Sparsity Loss: 0.1318
Epoch 11/300 | KL Loss: 0.3133 | Sparsity Loss: 0.1453
Epoch 12/300 | KL Loss: 0.3114 | Sparsity Loss: 0.1591
Epoch 13/300 | KL Loss: 0.3050 | Sparsity Loss: 0.1730
Epoch 14/300 | KL Loss: 0.2987 | Sparsity Loss: 0.1867
Epoch 15/300 | KL Loss: 0.3322 | Sparsity Loss: 0.2005
Epoch 16/300 | KL Loss: 0.3606 | Sparsity Loss: 0.2139
Epoch 17/300 | KL Loss: 0.3095 | Sparsity Loss: 0.2185
Epoch 18/300 | KL Loss: 0.3126 | Sparsity Loss: 0.2172
Epoch 19/300 | KL Loss: 0.3340 | Sparsity Loss: 0.2162
Epoch 20/300 | KL Loss: 0.3469 | Sparsity Loss: 0.2152
