MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4048.34it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3827.47it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1.5 on all levels): attention_heads=0.075
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_l015_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_l015_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON ANIMALS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.1453 | Sparsity Loss: 0.0694
Epoch 2/300 | KL Loss: 0.1478 | Sparsity Loss: 0.2105
Epoch 3/300 | KL Loss: 0.1529 | Sparsity Loss: 0.3508
Epoch 4/300 | KL Loss: 0.1438 | Sparsity Loss: 0.4900
Epoch 5/300 | KL Loss: 0.1533 | Sparsity Loss: 0.6285
Epoch 6/300 | KL Loss: 0.1482 | Sparsity Loss: 0.7672
Epoch 7/300 | KL Loss: 0.1577 | Sparsity Loss: 0.9051
Epoch 8/300 | KL Loss: 0.1530 | Sparsity Loss: 1.0410
Epoch 9/300 | KL Loss: 0.1505 | Sparsity Loss: 1.1774
Epoch 10/300 | KL Loss: 0.1672 | Sparsity Loss: 1.2714
Epoch 11/300 | KL Loss: 0.1672 | Sparsity Loss: 1.3580
Epoch 12/300 | KL Loss: 0.1715 | Sparsity Loss: 1.4839
Epoch 13/300 | KL Loss: 0.1621 | Sparsity Loss: 1.6096
Epoch 14/300 | KL Loss: 0.1843 | Sparsity Loss: 1.7304
Epoch 15/300 | KL Loss: 0.1852 | Sparsity Loss: 1.8544
Epoch 16/300 | KL Loss: 0.1963 | Sparsity Loss: 1.9803
Epoch 17/300 | KL Loss: 0.1963 | Sparsity Loss: 2.0284
Epoch 18/300 | KL Loss: 0.2061 | Sparsity Loss: 1.9839
Epoch 19/300 | KL Loss: 0.2479 | Sparsity Loss: 1.7725
Epoch 20/300 | KL Loss: 0.2545 | Sparsity Loss: 1.7458
Epoch 21/300 | KL Loss: 0.2589 | Sparsity Loss: 1.7392
Epoch 22/300 | KL Loss: 0.2505 | Sparsity Loss: 1.7356
Epoch 23/300 | KL Loss: 0.2531 | Sparsity Loss: 1.7339
Epoch 24/300 | KL Loss: 0.2564 | Sparsity Loss: 1.7331
Epoch 25/300 | KL Loss: 0.2673 | Sparsity Loss: 1.7316
Epoch 26/300 | KL Loss: 0.2683 | Sparsity Loss: 1.7314
Epoch 27/300 | KL Loss: 0.2644 | Sparsity Loss: 1.7287
Epoch 28/300 | KL Loss: 0.2700 | Sparsity Loss: 1.7249
Epoch 29/300 | KL Loss: 0.2731 | Sparsity Loss: 1.7176
Epoch 30/300 | KL Loss: 0.3035 | Sparsity Loss: 1.6035
Epoch 31/300 | KL Loss: 0.3150 | Sparsity Loss: 1.5815
Epoch 32/300 | KL Loss: 0.3112 | Sparsity Loss: 1.5807
Epoch 33/300 | KL Loss: 0.3026 | Sparsity Loss: 1.5808
Epoch 34/300 | KL Loss: 0.3105 | Sparsity Loss: 1.5806
Epoch 35/300 | KL Loss: 0.3139 | Sparsity Loss: 1.5796
Epoch 36/300 | KL Loss: 0.3087 | Sparsity Loss: 1.5707
Epoch 37/300 | KL Loss: 0.3363 | Sparsity Loss: 1.4536
Epoch 38/300 | KL Loss: 0.3411 | Sparsity Loss: 1.4352
Epoch 39/300 | KL Loss: 0.3409 | Sparsity Loss: 1.4329
Epoch 40/300 | KL Loss: 0.3749 | Sparsity Loss: 1.3642
Epoch 41/300 | KL Loss: 0.3860 | Sparsity Loss: 1.2809
Epoch 42/300 | KL Loss: 0.3851 | Sparsity Loss: 1.2806
Epoch 43/300 | KL Loss: 0.3840 | Sparsity Loss: 1.2803
Epoch 44/300 | KL Loss: 0.3877 | Sparsity Loss: 1.2794
Epoch 45/300 | KL Loss: 0.3886 | Sparsity Loss: 1.2780
Epoch 46/300 | KL Loss: 0.3825 | Sparsity Loss: 1.2772
Epoch 47/300 | KL Loss: 0.3868 | Sparsity Loss: 1.2772
Epoch 48/300 | KL Loss: 0.3870 | Sparsity Loss: 1.2773
Epoch 49/300 | KL Loss: 0.3907 | Sparsity Loss: 1.2775
Epoch 50/300 | KL Loss: 0.3835 | Sparsity Loss: 1.2775
Epoch 51/300 | KL Loss: 0.3854 | Sparsity Loss: 1.2776
Epoch 52/300 | KL Loss: 0.3914 | Sparsity Loss: 1.2775
Epoch 53/300 | KL Loss: 0.3831 | Sparsity Loss: 1.2772
Epoch 54/300 | KL Loss: 0.3869 | Sparsity Loss: 1.2770
Epoch 55/300 | KL Loss: 0.3763 | Sparsity Loss: 1.2769
Epoch 56/300 | KL Loss: 0.3918 | Sparsity Loss: 1.2766
Epoch 57/300 | KL Loss: 0.3933 | Sparsity Loss: 1.2767
Epoch 58/300 | KL Loss: 0.3828 | Sparsity Loss: 1.2769
Epoch 59/300 | KL Loss: 0.3888 | Sparsity Loss: 1.2766
Epoch 60/300 | KL Loss: 0.3874 | Sparsity Loss: 1.2766
