Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4449.54it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3466.56it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 16 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON METALS (500 samples) ---
Epoch 1/300 | KL Loss: 0.1932 | Sparsity Loss: 0.0069
Epoch 2/300 | KL Loss: 0.1898 | Sparsity Loss: 0.0210
Epoch 3/300 | KL Loss: 0.1921 | Sparsity Loss: 0.0350
Epoch 4/300 | KL Loss: 0.1938 | Sparsity Loss: 0.0489
Epoch 5/300 | KL Loss: 0.1933 | Sparsity Loss: 0.0628
Epoch 6/300 | KL Loss: 0.1950 | Sparsity Loss: 0.0766
Epoch 7/300 | KL Loss: 0.1875 | Sparsity Loss: 0.0904
Epoch 8/300 | KL Loss: 0.1943 | Sparsity Loss: 0.1041
Epoch 9/300 | KL Loss: 0.1943 | Sparsity Loss: 0.1179
Epoch 10/300 | KL Loss: 0.1905 | Sparsity Loss: 0.1317
Epoch 11/300 | KL Loss: 0.2017 | Sparsity Loss: 0.1447
Epoch 12/300 | KL Loss: 0.2115 | Sparsity Loss: 0.1579
Epoch 13/300 | KL Loss: 0.1911 | Sparsity Loss: 0.1707
Epoch 14/300 | KL Loss: 0.1919 | Sparsity Loss: 0.1836
Epoch 15/300 | KL Loss: 0.1879 | Sparsity Loss: 0.1965
Epoch 16/300 | KL Loss: 0.2039 | Sparsity Loss: 0.2093
Epoch 17/300 | KL Loss: 0.1918 | Sparsity Loss: 0.2139
Epoch 18/300 | KL Loss: 0.1928 | Sparsity Loss: 0.2127
Epoch 19/300 | KL Loss: 0.1882 | Sparsity Loss: 0.2120
Epoch 20/300 | KL Loss: 0.2072 | Sparsity Loss: 0.2116
Epoch 21/300 | KL Loss: 0.1944 | Sparsity Loss: 0.2109
Epoch 22/300 | KL Loss: 0.1944 | Sparsity Loss: 0.2103
Epoch 23/300 | KL Loss: 0.1879 | Sparsity Loss: 0.2097
Epoch 24/300 | KL Loss: 0.1953 | Sparsity Loss: 0.2093
Epoch 25/300 | KL Loss: 0.2108 | Sparsity Loss: 0.2080
Epoch 26/300 | KL Loss: 0.2052 | Sparsity Loss: 0.2063
Epoch 27/300 | KL Loss: 0.2145 | Sparsity Loss: 0.2052
Epoch 28/300 | KL Loss: 0.1898 | Sparsity Loss: 0.2046
Epoch 29/300 | KL Loss: 0.1975 | Sparsity Loss: 0.2037
Epoch 30/300 | KL Loss: 0.1994 | Sparsity Loss: 0.2030
Epoch 31/300 | KL Loss: 0.1989 | Sparsity Loss: 0.2022
Epoch 32/300 | KL Loss: 0.2162 | Sparsity Loss: 0.2018
Epoch 33/300 | KL Loss: 0.2513 | Sparsity Loss: 0.2010
Epoch 34/300 | KL Loss: 0.2156 | Sparsity Loss: 0.2009
Epoch 35/300 | KL Loss: 0.2170 | Sparsity Loss: 0.2009
Epoch 36/300 | KL Loss: 0.2228 | Sparsity Loss: 0.2009
Epoch 37/300 | KL Loss: 0.2175 | Sparsity Loss: 0.2010
Epoch 38/300 | KL Loss: 0.2309 | Sparsity Loss: 0.2008
Epoch 39/300 | KL Loss: 0.2203 | Sparsity Loss: 0.2001
Epoch 40/300 | KL Loss: 0.2038 | Sparsity Loss: 0.2002
Epoch 41/300 | KL Loss: 0.2387 | Sparsity Loss: 0.2003
Epoch 42/300 | KL Loss: 0.2260 | Sparsity Loss: 0.2007
Epoch 43/300 | KL Loss: 0.2146 | Sparsity Loss: 0.2003
Epoch 44/300 | KL Loss: 0.2452 | Sparsity Loss: 0.2003
Epoch 45/300 | KL Loss: 0.2398 | Sparsity Loss: 0.2004
Epoch 46/300 | KL Loss: 0.2064 | Sparsity Loss: 0.2005
Epoch 47/300 | KL Loss: 0.2015 | Sparsity Loss: 0.2006
Epoch 48/300 | KL Loss: 0.2275 | Sparsity Loss: 0.2006
Epoch 49/300 | KL Loss: 0.2064 | Sparsity Loss: 0.2006
Epoch 50/300 | KL Loss: 0.2060 | Sparsity Loss: 0.2006
Epoch 51/300 | KL Loss: 0.2416 | Sparsity Loss: 0.2004
Epoch 52/300 | KL Loss: 0.2063 | Sparsity Loss: 0.2001
Epoch 53/300 | KL Loss: 0.2114 | Sparsity Loss: 0.1998
Epoch 54/300 | KL Loss: 0.2111 | Sparsity Loss: 0.1994
Epoch 55/300 | KL Loss: 0.2740 | Sparsity Loss: 0.1989
Epoch 56/300 | KL Loss: 0.4646 | Sparsity Loss: 0.1984
Epoch 57/300 | KL Loss: 0.2674 | Sparsity Loss: 0.1980
Epoch 58/300 | KL Loss: 0.2509 | Sparsity Loss: 0.1984
Epoch 59/300 | KL Loss: 0.2817 | Sparsity Loss: 0.1982
Epoch 60/300 | KL Loss: 0.2257 | Sparsity Loss: 0.1983
Epoch 61/300 | KL Loss: 0.2298 | Sparsity Loss: 0.1982
Epoch 62/300 | KL Loss: 0.1988 | Sparsity Loss: 0.1980
Epoch 63/300 | KL Loss: 0.2476 | Sparsity Loss: 0.1981
Epoch 64/300 | KL Loss: 0.2269 | Sparsity Loss: 0.1982
Epoch 65/300 | KL Loss: 0.2264 | Sparsity Loss: 0.1981
Epoch 66/300 | KL Loss: 0.2300 | Sparsity Loss: 0.1980
Epoch 67/300 | KL Loss: 0.2072 | Sparsity Loss: 0.1977
Epoch 68/300 | KL Loss: 0.2145 | Sparsity Loss: 0.1977
Epoch 69/300 | KL Loss: 0.2245 | Sparsity Loss: 0.1979
Epoch 70/300 | KL Loss: 0.2197 | Sparsity Loss: 0.1980
Epoch 71/300 | KL Loss: 0.2116 | Sparsity Loss: 0.1980
Epoch 72/300 | KL Loss: 0.2329 | Sparsity Loss: 0.1978
Epoch 73/300 | KL Loss: 0.2047 | Sparsity Loss: 0.1977
Epoch 74/300 | KL Loss: 0.2093 | Sparsity Loss: 0.1977
Epoch 75/300 | KL Loss: 0.2065 | Sparsity Loss: 0.1975
Epoch 76/300 | KL Loss: 0.1973 | Sparsity Loss: 0.1974
Epoch 77/300 | KL Loss: 0.2367 | Sparsity Loss: 0.1973
Epoch 78/300 | KL Loss: 0.2025 | Sparsity Loss: 0.1973
Epoch 79/300 | KL Loss: 0.2062 | Sparsity Loss: 0.1971
Epoch 80/300 | KL Loss: 0.2035 | Sparsity Loss: 0.1970
Epoch 81/300 | KL Loss: 0.2349 | Sparsity Loss: 0.1967
Epoch 82/300 | KL Loss: 0.2062 | Sparsity Loss: 0.1964
Epoch 83/300 | KL Loss: 0.2131 | Sparsity Loss: 0.1965
Epoch 84/300 | KL Loss: 0.2087 | Sparsity Loss: 0.1961
Epoch 85/300 | KL Loss: 0.2105 | Sparsity Loss: 0.1959
Epoch 86/300 | KL Loss: 0.2002 | Sparsity Loss: 0.1957
Epoch 87/300 | KL Loss: 0.2054 | Sparsity Loss: 0.1955
Epoch 88/300 | KL Loss: 0.2160 | Sparsity Loss: 0.1955
Epoch 89/300 | KL Loss: 0.2006 | Sparsity Loss: 0.1953
Epoch 90/300 | KL Loss: 0.2079 | Sparsity Loss: 0.1953
Epoch 91/300 | KL Loss: 0.2050 | Sparsity Loss: 0.1948
Epoch 92/300 | KL Loss: 0.2185 | Sparsity Loss: 0.1948
Epoch 93/300 | KL Loss: 0.2067 | Sparsity Loss: 0.1949
Epoch 94/300 | KL Loss: 0.2201 | Sparsity Loss: 0.1953
Epoch 95/300 | KL Loss: 0.2038 | Sparsity Loss: 0.1947
Epoch 96/300 | KL Loss: 0.2027 | Sparsity Loss: 0.1946
Epoch 97/300 | KL Loss: 0.2010 | Sparsity Loss: 0.1947
Epoch 98/300 | KL Loss: 0.2093 | Sparsity Loss: 0.1943
Epoch 99/300 | KL Loss: 0.2184 | Sparsity Loss: 0.1942
Epoch 100/300 | KL Loss: 0.2080 | Sparsity Loss: 0.1943
Epoch 101/300 | KL Loss: 0.2135 | Sparsity Loss: 0.1944
Epoch 102/300 | KL Loss: 0.2124 | Sparsity Loss: 0.1944
Epoch 103/300 | KL Loss: 0.2030 | Sparsity Loss: 0.1945
Epoch 104/300 | KL Loss: 0.2034 | Sparsity Loss: 0.1946
Epoch 105/300 | KL Loss: 0.2041 | Sparsity Loss: 0.1946
Epoch 106/300 | KL Loss: 0.2038 | Sparsity Loss: 0.1946
Epoch 107/300 | KL Loss: 0.2126 | Sparsity Loss: 0.1946
Epoch 108/300 | KL Loss: 0.1966 | Sparsity Loss: 0.1946
Epoch 109/300 | KL Loss: 0.2099 | Sparsity Loss: 0.1947
Epoch 110/300 | KL Loss: 0.2109 | Sparsity Loss: 0.1949
Epoch 111/300 | KL Loss: 0.2254 | Sparsity Loss: 0.1950
Epoch 112/300 | KL Loss: 0.2209 | Sparsity Loss: 0.1946
Epoch 113/300 | KL Loss: 0.1963 | Sparsity Loss: 0.1943
Epoch 114/300 | KL Loss: 0.2085 | Sparsity Loss: 0.1944
Epoch 115/300 | KL Loss: 0.2565 | Sparsity Loss: 0.1943
Epoch 116/300 | KL Loss: 0.2297 | Sparsity Loss: 0.1943
Epoch 117/300 | KL Loss: 0.2109 | Sparsity Loss: 0.1947
Epoch 118/300 | KL Loss: 0.2094 | Sparsity Loss: 0.1951
Epoch 119/300 | KL Loss: 0.2240 | Sparsity Loss: 0.1954
Epoch 120/300 | KL Loss: 0.2317 | Sparsity Loss: 0.1955
Epoch 121/300 | KL Loss: 0.2091 | Sparsity Loss: 0.1951
Epoch 122/300 | KL Loss: 0.2185 | Sparsity Loss: 0.1952
Epoch 123/300 | KL Loss: 0.2259 | Sparsity Loss: 0.1956
Epoch 124/300 | KL Loss: 0.2289 | Sparsity Loss: 0.1954
Epoch 125/300 | KL Loss: 0.2256 | Sparsity Loss: 0.1948
Epoch 126/300 | KL Loss: 0.2183 | Sparsity Loss: 0.1946
Epoch 127/300 | KL Loss: 0.2210 | Sparsity Loss: 0.1945
Epoch 128/300 | KL Loss: 0.2158 | Sparsity Loss: 0.1945
Epoch 129/300 | KL Loss: 0.2118 | Sparsity Loss: 0.1946
Epoch 130/300 | KL Loss: 0.2097 | Sparsity Loss: 0.1945
Epoch 131/300 | KL Loss: 0.2141 | Sparsity Loss: 0.1943
Epoch 132/300 | KL Loss: 0.2189 | Sparsity Loss: 0.1937
Epoch 133/300 | KL Loss: 0.2392 | Sparsity Loss: 0.1937
Epoch 134/300 | KL Loss: 0.2222 | Sparsity Loss: 0.1938
Epoch 135/300 | KL Loss: 0.2214 | Sparsity Loss: 0.1939
Epoch 136/300 | KL Loss: 0.2275 | Sparsity Loss: 0.1939
Epoch 137/300 | KL Loss: 0.2336 | Sparsity Loss: 0.1939
Epoch 138/300 | KL Loss: 0.2256 | Sparsity Loss: 0.1938
Epoch 139/300 | KL Loss: 0.2154 | Sparsity Loss: 0.1937
Epoch 140/300 | KL Loss: 0.2195 | Sparsity Loss: 0.1937
Epoch 141/300 | KL Loss: 0.2224 | Sparsity Loss: 0.1936
Epoch 142/300 | KL Loss: 0.2138 | Sparsity Loss: 0.1934
Epoch 143/300 | KL Loss: 0.2361 | Sparsity Loss: 0.1931
Epoch 144/300 | KL Loss: 0.2280 | Sparsity Loss: 0.1928
Epoch 145/300 | KL Loss: 0.2160 | Sparsity Loss: 0.1927
Epoch 146/300 | KL Loss: 0.2207 | Sparsity Loss: 0.1928
Epoch 147/300 | KL Loss: 0.2155 | Sparsity Loss: 0.1930
Epoch 148/300 | KL Loss: 0.2231 | Sparsity Loss: 0.1931
Epoch 149/300 | KL Loss: 0.2130 | Sparsity Loss: 0.1932
Epoch 150/300 | KL Loss: 0.2153 | Sparsity Loss: 0.1931
Epoch 151/300 | KL Loss: 0.2167 | Sparsity Loss: 0.1931
Epoch 152/300 | KL Loss: 0.2204 | Sparsity Loss: 0.1931
Epoch 153/300 | KL Loss: 0.2352 | Sparsity Loss: 0.1932
Epoch 154/300 | KL Loss: 0.2286 | Sparsity Loss: 0.1931
Epoch 155/300 | KL Loss: 0.2247 | Sparsity Loss: 0.1931
Epoch 156/300 | KL Loss: 0.2179 | Sparsity Loss: 0.1932
Epoch 157/300 | KL Loss: 0.2229 | Sparsity Loss: 0.1930
Epoch 158/300 | KL Loss: 0.2238 | Sparsity Loss: 0.1926
Epoch 159/300 | KL Loss: 0.2142 | Sparsity Loss: 0.1924
Epoch 160/300 | KL Loss: 0.2149 | Sparsity Loss: 0.1925
Epoch 161/300 | KL Loss: 0.2178 | Sparsity Loss: 0.1929
Epoch 162/300 | KL Loss: 0.2209 | Sparsity Loss: 0.1932
Epoch 163/300 | KL Loss: 0.2236 | Sparsity Loss: 0.1932
Epoch 164/300 | KL Loss: 0.2260 | Sparsity Loss: 0.1932
Epoch 165/300 | KL Loss: 0.2129 | Sparsity Loss: 0.1934
Epoch 166/300 | KL Loss: 0.2216 | Sparsity Loss: 0.1933
Epoch 167/300 | KL Loss: 0.2192 | Sparsity Loss: 0.1933
Epoch 168/300 | KL Loss: 0.2161 | Sparsity Loss: 0.1931
Epoch 169/300 | KL Loss: 0.2169 | Sparsity Loss: 0.1932
Epoch 170/300 | KL Loss: 0.2176 | Sparsity Loss: 0.1930
Epoch 171/300 | KL Loss: 0.2548 | Sparsity Loss: 0.1927
Epoch 172/300 | KL Loss: 0.2185 | Sparsity Loss: 0.1923
Epoch 173/300 | KL Loss: 0.2191 | Sparsity Loss: 0.1925
Epoch 174/300 | KL Loss: 0.2100 | Sparsity Loss: 0.1924
Epoch 175/300 | KL Loss: 0.2125 | Sparsity Loss: 0.1925
Epoch 176/300 | KL Loss: 0.2088 | Sparsity Loss: 0.1926
Epoch 177/300 | KL Loss: 0.2081 | Sparsity Loss: 0.1926
