Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4028.66it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3533.94it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 16 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON VEHICLES (500 samples) ---
Epoch 1/300 | KL Loss: 0.0622 | Sparsity Loss: 0.0069
Epoch 2/300 | KL Loss: 0.0629 | Sparsity Loss: 0.0209
Epoch 3/300 | KL Loss: 0.0613 | Sparsity Loss: 0.0346
Epoch 4/300 | KL Loss: 0.0606 | Sparsity Loss: 0.0474
Epoch 5/300 | KL Loss: 0.0621 | Sparsity Loss: 0.0592
Epoch 6/300 | KL Loss: 0.0601 | Sparsity Loss: 0.0708
Epoch 7/300 | KL Loss: 0.0599 | Sparsity Loss: 0.0817
Epoch 8/300 | KL Loss: 0.0602 | Sparsity Loss: 0.0923
Epoch 9/300 | KL Loss: 0.0598 | Sparsity Loss: 0.1033
Epoch 10/300 | KL Loss: 0.0618 | Sparsity Loss: 0.1128
Epoch 11/300 | KL Loss: 0.0614 | Sparsity Loss: 0.1214
Epoch 12/300 | KL Loss: 0.0635 | Sparsity Loss: 0.1308
Epoch 13/300 | KL Loss: 0.0614 | Sparsity Loss: 0.1390
Epoch 14/300 | KL Loss: 0.0641 | Sparsity Loss: 0.1487
Epoch 15/300 | KL Loss: 0.0612 | Sparsity Loss: 0.1575
Epoch 16/300 | KL Loss: 0.0620 | Sparsity Loss: 0.1669
Epoch 17/300 | KL Loss: 0.0627 | Sparsity Loss: 0.1699
Epoch 18/300 | KL Loss: 0.0627 | Sparsity Loss: 0.1682
Epoch 19/300 | KL Loss: 0.0634 | Sparsity Loss: 0.1670
Epoch 20/300 | KL Loss: 0.0641 | Sparsity Loss: 0.1656
Epoch 21/300 | KL Loss: 0.0643 | Sparsity Loss: 0.1632
Epoch 22/300 | KL Loss: 0.0654 | Sparsity Loss: 0.1618
Epoch 23/300 | KL Loss: 0.0654 | Sparsity Loss: 0.1597
Epoch 24/300 | KL Loss: 0.0649 | Sparsity Loss: 0.1589
Epoch 25/300 | KL Loss: 0.0660 | Sparsity Loss: 0.1580
Epoch 26/300 | KL Loss: 0.0663 | Sparsity Loss: 0.1569
Epoch 27/300 | KL Loss: 0.0668 | Sparsity Loss: 0.1562
Epoch 28/300 | KL Loss: 0.0670 | Sparsity Loss: 0.1553
Epoch 29/300 | KL Loss: 0.0687 | Sparsity Loss: 0.1541
Epoch 30/300 | KL Loss: 0.0661 | Sparsity Loss: 0.1533
Epoch 31/300 | KL Loss: 0.0680 | Sparsity Loss: 0.1528
Epoch 32/300 | KL Loss: 0.0672 | Sparsity Loss: 0.1517
Epoch 33/300 | KL Loss: 0.0674 | Sparsity Loss: 0.1512
Epoch 34/300 | KL Loss: 0.0665 | Sparsity Loss: 0.1512
Epoch 35/300 | KL Loss: 0.0674 | Sparsity Loss: 0.1511
Epoch 36/300 | KL Loss: 0.0696 | Sparsity Loss: 0.1511
Epoch 37/300 | KL Loss: 0.0675 | Sparsity Loss: 0.1510
Epoch 38/300 | KL Loss: 0.0688 | Sparsity Loss: 0.1510
Epoch 39/300 | KL Loss: 0.0664 | Sparsity Loss: 0.1510
Epoch 40/300 | KL Loss: 0.0677 | Sparsity Loss: 0.1506
Epoch 41/300 | KL Loss: 0.0698 | Sparsity Loss: 0.1503
Epoch 42/300 | KL Loss: 0.0700 | Sparsity Loss: 0.1501
Epoch 43/300 | KL Loss: 0.0685 | Sparsity Loss: 0.1494
Epoch 44/300 | KL Loss: 0.0699 | Sparsity Loss: 0.1487
Epoch 45/300 | KL Loss: 0.0692 | Sparsity Loss: 0.1485
Epoch 46/300 | KL Loss: 0.0702 | Sparsity Loss: 0.1484
Epoch 47/300 | KL Loss: 0.0690 | Sparsity Loss: 0.1484
Epoch 48/300 | KL Loss: 0.0692 | Sparsity Loss: 0.1484
Epoch 49/300 | KL Loss: 0.0666 | Sparsity Loss: 0.1483
Epoch 50/300 | KL Loss: 0.0690 | Sparsity Loss: 0.1483
Epoch 51/300 | KL Loss: 0.0701 | Sparsity Loss: 0.1482
Epoch 52/300 | KL Loss: 0.0690 | Sparsity Loss: 0.1482
Epoch 53/300 | KL Loss: 0.0685 | Sparsity Loss: 0.1483
Epoch 54/300 | KL Loss: 0.0689 | Sparsity Loss: 0.1483
Epoch 55/300 | KL Loss: 0.0707 | Sparsity Loss: 0.1483
Epoch 56/300 | KL Loss: 0.0687 | Sparsity Loss: 0.1483
Epoch 57/300 | KL Loss: 0.0683 | Sparsity Loss: 0.1483
Epoch 58/300 | KL Loss: 0.0683 | Sparsity Loss: 0.1483
Epoch 59/300 | KL Loss: 0.0701 | Sparsity Loss: 0.1483
Epoch 60/300 | KL Loss: 0.0691 | Sparsity Loss: 0.1483
Epoch 61/300 | KL Loss: 0.0690 | Sparsity Loss: 0.1483
Epoch 62/300 | KL Loss: 0.0682 | Sparsity Loss: 0.1483
Epoch 63/300 | KL Loss: 0.0688 | Sparsity Loss: 0.1483
Epoch 64/300 | KL Loss: 0.0733 | Sparsity Loss: 0.1481
Epoch 65/300 | KL Loss: 0.0709 | Sparsity Loss: 0.1481
Epoch 66/300 | KL Loss: 0.0682 | Sparsity Loss: 0.1480
Epoch 67/300 | KL Loss: 0.0691 | Sparsity Loss: 0.1480
Epoch 68/300 | KL Loss: 0.0706 | Sparsity Loss: 0.1480
Epoch 69/300 | KL Loss: 0.0712 | Sparsity Loss: 0.1481
Epoch 70/300 | KL Loss: 0.0701 | Sparsity Loss: 0.1481
Epoch 71/300 | KL Loss: 0.0677 | Sparsity Loss: 0.1480
Epoch 72/300 | KL Loss: 0.0695 | Sparsity Loss: 0.1479
Epoch 73/300 | KL Loss: 0.0687 | Sparsity Loss: 0.1480
Epoch 74/300 | KL Loss: 0.0699 | Sparsity Loss: 0.1480
Epoch 75/300 | KL Loss: 0.0720 | Sparsity Loss: 0.1480
Epoch 76/300 | KL Loss: 0.0701 | Sparsity Loss: 0.1480
Epoch 77/300 | KL Loss: 0.0688 | Sparsity Loss: 0.1482
Epoch 78/300 | KL Loss: 0.0673 | Sparsity Loss: 0.1482
Epoch 79/300 | KL Loss: 0.0696 | Sparsity Loss: 0.1482
Epoch 80/300 | KL Loss: 0.0678 | Sparsity Loss: 0.1483
Epoch 81/300 | KL Loss: 0.0684 | Sparsity Loss: 0.1483
Epoch 82/300 | KL Loss: 0.0681 | Sparsity Loss: 0.1483
Epoch 83/300 | KL Loss: 0.0687 | Sparsity Loss: 0.1483
Epoch 84/300 | KL Loss: 0.0710 | Sparsity Loss: 0.1483
Epoch 85/300 | KL Loss: 0.0685 | Sparsity Loss: 0.1482
Epoch 86/300 | KL Loss: 0.0709 | Sparsity Loss: 0.1481
Epoch 87/300 | KL Loss: 0.0690 | Sparsity Loss: 0.1482
Epoch 88/300 | KL Loss: 0.0690 | Sparsity Loss: 0.1481
Epoch 89/300 | KL Loss: 0.0700 | Sparsity Loss: 0.1482
Epoch 90/300 | KL Loss: 0.0689 | Sparsity Loss: 0.1482
Epoch 91/300 | KL Loss: 0.0695 | Sparsity Loss: 0.1482
Epoch 92/300 | KL Loss: 0.0698 | Sparsity Loss: 0.1482
Epoch 93/300 | KL Loss: 0.0695 | Sparsity Loss: 0.1482
Epoch 94/300 | KL Loss: 0.0686 | Sparsity Loss: 0.1481
Epoch 95/300 | KL Loss: 0.0698 | Sparsity Loss: 0.1481
Epoch 96/300 | KL Loss: 0.0684 | Sparsity Loss: 0.1481
Epoch 97/300 | KL Loss: 0.0706 | Sparsity Loss: 0.1467
Epoch 98/300 | KL Loss: 0.0694 | Sparsity Loss: 0.1466
Epoch 99/300 | KL Loss: 0.0697 | Sparsity Loss: 0.1466
Epoch 100/300 | KL Loss: 0.0700 | Sparsity Loss: 0.1467
Epoch 101/300 | KL Loss: 0.0700 | Sparsity Loss: 0.1467
Epoch 102/300 | KL Loss: 0.0717 | Sparsity Loss: 0.1466
Epoch 103/300 | KL Loss: 0.0690 | Sparsity Loss: 0.1466
Epoch 104/300 | KL Loss: 0.0696 | Sparsity Loss: 0.1466
Epoch 105/300 | KL Loss: 0.0726 | Sparsity Loss: 0.1464
Epoch 106/300 | KL Loss: 0.0717 | Sparsity Loss: 0.1463
Epoch 107/300 | KL Loss: 0.0703 | Sparsity Loss: 0.1460
Epoch 108/300 | KL Loss: 0.0696 | Sparsity Loss: 0.1453
Epoch 109/300 | KL Loss: 0.0717 | Sparsity Loss: 0.1452
Epoch 110/300 | KL Loss: 0.0692 | Sparsity Loss: 0.1451
Epoch 111/300 | KL Loss: 0.0705 | Sparsity Loss: 0.1451
Epoch 112/300 | KL Loss: 0.0697 | Sparsity Loss: 0.1450
Epoch 113/300 | KL Loss: 0.0703 | Sparsity Loss: 0.1450
Epoch 114/300 | KL Loss: 0.0714 | Sparsity Loss: 0.1450
Epoch 115/300 | KL Loss: 0.0719 | Sparsity Loss: 0.1450
Epoch 116/300 | KL Loss: 0.0716 | Sparsity Loss: 0.1450
Epoch 117/300 | KL Loss: 0.0703 | Sparsity Loss: 0.1450
Epoch 118/300 | KL Loss: 0.0702 | Sparsity Loss: 0.1450
Epoch 119/300 | KL Loss: 0.0720 | Sparsity Loss: 0.1450
Epoch 120/300 | KL Loss: 0.0709 | Sparsity Loss: 0.1450
Epoch 121/300 | KL Loss: 0.0740 | Sparsity Loss: 0.1450
Epoch 122/300 | KL Loss: 0.0712 | Sparsity Loss: 0.1450
Epoch 123/300 | KL Loss: 0.0703 | Sparsity Loss: 0.1450
Epoch 124/300 | KL Loss: 0.0693 | Sparsity Loss: 0.1451
Epoch 125/300 | KL Loss: 0.0693 | Sparsity Loss: 0.1451
Epoch 126/300 | KL Loss: 0.0716 | Sparsity Loss: 0.1451
Epoch 127/300 | KL Loss: 0.0712 | Sparsity Loss: 0.1452
Epoch 128/300 | KL Loss: 0.0704 | Sparsity Loss: 0.1452
Epoch 129/300 | KL Loss: 0.0702 | Sparsity Loss: 0.1451
Epoch 130/300 | KL Loss: 0.0707 | Sparsity Loss: 0.1451
Epoch 131/300 | KL Loss: 0.0688 | Sparsity Loss: 0.1451
Epoch 132/300 | KL Loss: 0.0725 | Sparsity Loss: 0.1451
Epoch 133/300 | KL Loss: 0.0706 | Sparsity Loss: 0.1451
Epoch 134/300 | KL Loss: 0.0706 | Sparsity Loss: 0.1451
Epoch 135/300 | KL Loss: 0.0711 | Sparsity Loss: 0.1451
Epoch 136/300 | KL Loss: 0.0705 | Sparsity Loss: 0.1451
Epoch 137/300 | KL Loss: 0.0731 | Sparsity Loss: 0.1451
Epoch 138/300 | KL Loss: 0.0686 | Sparsity Loss: 0.1450
Epoch 139/300 | KL Loss: 0.0725 | Sparsity Loss: 0.1449
Epoch 140/300 | KL Loss: 0.0716 | Sparsity Loss: 0.1448
Epoch 141/300 | KL Loss: 0.0709 | Sparsity Loss: 0.1448
Epoch 142/300 | KL Loss: 0.0723 | Sparsity Loss: 0.1448
Epoch 143/300 | KL Loss: 0.0711 | Sparsity Loss: 0.1448
Epoch 144/300 | KL Loss: 0.0704 | Sparsity Loss: 0.1449
Epoch 145/300 | KL Loss: 0.0716 | Sparsity Loss: 0.1449
Epoch 146/300 | KL Loss: 0.0709 | Sparsity Loss: 0.1448
Epoch 147/300 | KL Loss: 0.0713 | Sparsity Loss: 0.1447
Epoch 148/300 | KL Loss: 0.0716 | Sparsity Loss: 0.1448
Epoch 149/300 | KL Loss: 0.0711 | Sparsity Loss: 0.1448
Epoch 150/300 | KL Loss: 0.0747 | Sparsity Loss: 0.1447
Epoch 151/300 | KL Loss: 0.0732 | Sparsity Loss: 0.1446
Epoch 152/300 | KL Loss: 0.0728 | Sparsity Loss: 0.1436
Epoch 153/300 | KL Loss: 0.0767 | Sparsity Loss: 0.1423
Epoch 154/300 | KL Loss: 0.0732 | Sparsity Loss: 0.1405
Epoch 155/300 | KL Loss: 0.0740 | Sparsity Loss: 0.1399
Epoch 156/300 | KL Loss: 0.0741 | Sparsity Loss: 0.1397
Epoch 157/300 | KL Loss: 0.0738 | Sparsity Loss: 0.1392
Epoch 158/300 | KL Loss: 0.0723 | Sparsity Loss: 0.1380
Epoch 159/300 | KL Loss: 0.0742 | Sparsity Loss: 0.1378
Epoch 160/300 | KL Loss: 0.0744 | Sparsity Loss: 0.1377
Epoch 161/300 | KL Loss: 0.0722 | Sparsity Loss: 0.1375
Epoch 162/300 | KL Loss: 0.0739 | Sparsity Loss: 0.1373
Epoch 163/300 | KL Loss: 0.0742 | Sparsity Loss: 0.1370
Epoch 164/300 | KL Loss: 0.0737 | Sparsity Loss: 0.1367
Epoch 165/300 | KL Loss: 0.0725 | Sparsity Loss: 0.1365
Epoch 166/300 | KL Loss: 0.0721 | Sparsity Loss: 0.1364
Epoch 167/300 | KL Loss: 0.0757 | Sparsity Loss: 0.1364
Epoch 168/300 | KL Loss: 0.0731 | Sparsity Loss: 0.1363
Epoch 169/300 | KL Loss: 0.0727 | Sparsity Loss: 0.1362
Epoch 170/300 | KL Loss: 0.0737 | Sparsity Loss: 0.1361
Epoch 171/300 | KL Loss: 0.0758 | Sparsity Loss: 0.1358
Epoch 172/300 | KL Loss: 0.0743 | Sparsity Loss: 0.1348
Epoch 173/300 | KL Loss: 0.0726 | Sparsity Loss: 0.1346
Epoch 174/300 | KL Loss: 0.0758 | Sparsity Loss: 0.1345
Epoch 175/300 | KL Loss: 0.0740 | Sparsity Loss: 0.1344
Epoch 176/300 | KL Loss: 0.0717 | Sparsity Loss: 0.1345
