MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4284.96it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4196.26it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON FRUITS_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.3670 | Sparsity Loss: 0.0774
Epoch 2/600 | KL Loss: 0.5383 | Sparsity Loss: 0.2347
Epoch 3/600 | KL Loss: 0.3551 | Sparsity Loss: 0.3922
Epoch 4/600 | KL Loss: 0.3929 | Sparsity Loss: 0.5497
Epoch 5/600 | KL Loss: 0.1960 | Sparsity Loss: 0.7070
Epoch 6/600 | KL Loss: 0.1901 | Sparsity Loss: 0.8634
Epoch 7/600 | KL Loss: 0.2841 | Sparsity Loss: 1.0195
Epoch 8/600 | KL Loss: 0.2072 | Sparsity Loss: 1.1739
Epoch 9/600 | KL Loss: 0.2260 | Sparsity Loss: 1.3259
Epoch 10/600 | KL Loss: 0.2882 | Sparsity Loss: 1.4737
Epoch 11/600 | KL Loss: 0.2509 | Sparsity Loss: 1.6198
Epoch 12/600 | KL Loss: 0.2491 | Sparsity Loss: 1.7629
Epoch 13/600 | KL Loss: 0.2761 | Sparsity Loss: 1.8998
Epoch 14/600 | KL Loss: 0.2532 | Sparsity Loss: 2.0308
Epoch 15/600 | KL Loss: 0.2706 | Sparsity Loss: 2.1586
Epoch 16/600 | KL Loss: 0.2885 | Sparsity Loss: 2.2849
Epoch 17/600 | KL Loss: 0.3027 | Sparsity Loss: 2.3209
Epoch 18/600 | KL Loss: 0.2075 | Sparsity Loss: 2.3045
Epoch 19/600 | KL Loss: 0.2468 | Sparsity Loss: 2.2897
Epoch 20/600 | KL Loss: 0.3736 | Sparsity Loss: 2.2732
Epoch 21/600 | KL Loss: 0.3942 | Sparsity Loss: 2.2603
Epoch 22/600 | KL Loss: 0.2918 | Sparsity Loss: 2.2485
Epoch 23/600 | KL Loss: 0.4177 | Sparsity Loss: 2.2363
Epoch 24/600 | KL Loss: 0.4026 | Sparsity Loss: 2.2247
Epoch 25/600 | KL Loss: 0.3642 | Sparsity Loss: 2.2128
Epoch 26/600 | KL Loss: 0.2957 | Sparsity Loss: 2.1956
Epoch 27/600 | KL Loss: 0.4053 | Sparsity Loss: 2.1806
Epoch 28/600 | KL Loss: 0.3997 | Sparsity Loss: 2.1710
Epoch 29/600 | KL Loss: 0.3192 | Sparsity Loss: 2.1626
Epoch 30/600 | KL Loss: 0.3542 | Sparsity Loss: 2.1542
Epoch 31/600 | KL Loss: 0.3132 | Sparsity Loss: 2.1475
Epoch 32/600 | KL Loss: 0.3603 | Sparsity Loss: 2.1419
Epoch 33/600 | KL Loss: 0.3799 | Sparsity Loss: 2.1368
