MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3900.61it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4090.83it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON ANIMALS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.1412 | Sparsity Loss: 0.0466
Epoch 2/300 | KL Loss: 0.1405 | Sparsity Loss: 0.1411
Epoch 3/300 | KL Loss: 0.1486 | Sparsity Loss: 0.2354
Epoch 4/300 | KL Loss: 0.1460 | Sparsity Loss: 0.3296
Epoch 5/300 | KL Loss: 0.1483 | Sparsity Loss: 0.4230
Epoch 6/300 | KL Loss: 0.1503 | Sparsity Loss: 0.5160
Epoch 7/300 | KL Loss: 0.1374 | Sparsity Loss: 0.6081
Epoch 8/300 | KL Loss: 0.1414 | Sparsity Loss: 0.6999
Epoch 9/300 | KL Loss: 0.1470 | Sparsity Loss: 0.7904
Epoch 10/300 | KL Loss: 0.1653 | Sparsity Loss: 0.8824
Epoch 11/300 | KL Loss: 0.1500 | Sparsity Loss: 0.9738
Epoch 12/300 | KL Loss: 0.1552 | Sparsity Loss: 1.0624
Epoch 13/300 | KL Loss: 0.1561 | Sparsity Loss: 1.1540
Epoch 14/300 | KL Loss: 0.1493 | Sparsity Loss: 1.2449
Epoch 15/300 | KL Loss: 0.1462 | Sparsity Loss: 1.3328
Epoch 16/300 | KL Loss: 0.1702 | Sparsity Loss: 1.4202
Epoch 17/300 | KL Loss: 0.1709 | Sparsity Loss: 1.4519
Epoch 18/300 | KL Loss: 0.1720 | Sparsity Loss: 1.3851
Epoch 19/300 | KL Loss: 0.1855 | Sparsity Loss: 1.3566
Epoch 20/300 | KL Loss: 0.1712 | Sparsity Loss: 1.3576
Epoch 21/300 | KL Loss: 0.1750 | Sparsity Loss: 1.3548
Epoch 22/300 | KL Loss: 0.1753 | Sparsity Loss: 1.3574
Epoch 23/300 | KL Loss: 0.1704 | Sparsity Loss: 1.3564
Epoch 24/300 | KL Loss: 0.1810 | Sparsity Loss: 1.3498
Epoch 25/300 | KL Loss: 0.2112 | Sparsity Loss: 1.3271
Epoch 26/300 | KL Loss: 0.2320 | Sparsity Loss: 1.2845
Epoch 27/300 | KL Loss: 0.2316 | Sparsity Loss: 1.2136
Epoch 28/300 | KL Loss: 0.2477 | Sparsity Loss: 1.1652
Epoch 29/300 | KL Loss: 0.2441 | Sparsity Loss: 1.1646
Epoch 30/300 | KL Loss: 0.2519 | Sparsity Loss: 1.1643
Epoch 31/300 | KL Loss: 0.2366 | Sparsity Loss: 1.1643
Epoch 32/300 | KL Loss: 0.2543 | Sparsity Loss: 1.1639
Epoch 33/300 | KL Loss: 0.2425 | Sparsity Loss: 1.1636
Epoch 34/300 | KL Loss: 0.2458 | Sparsity Loss: 1.1633
Epoch 35/300 | KL Loss: 0.2362 | Sparsity Loss: 1.1632
Epoch 36/300 | KL Loss: 0.2480 | Sparsity Loss: 1.1630
Epoch 37/300 | KL Loss: 0.2345 | Sparsity Loss: 1.1629
Epoch 38/300 | KL Loss: 0.2377 | Sparsity Loss: 1.1627
Epoch 39/300 | KL Loss: 0.2394 | Sparsity Loss: 1.1626
Epoch 40/300 | KL Loss: 0.2351 | Sparsity Loss: 1.1622
Epoch 41/300 | KL Loss: 0.2502 | Sparsity Loss: 1.1623
Epoch 42/300 | KL Loss: 0.2458 | Sparsity Loss: 1.1625
Epoch 43/300 | KL Loss: 0.2503 | Sparsity Loss: 1.1622
Epoch 44/300 | KL Loss: 0.2368 | Sparsity Loss: 1.1617
Epoch 45/300 | KL Loss: 0.2381 | Sparsity Loss: 1.1616
Epoch 46/300 | KL Loss: 0.2517 | Sparsity Loss: 1.1611
Epoch 47/300 | KL Loss: 0.2380 | Sparsity Loss: 1.1601
Epoch 48/300 | KL Loss: 0.2365 | Sparsity Loss: 1.1610
Epoch 49/300 | KL Loss: 0.2446 | Sparsity Loss: 1.1611
Epoch 50/300 | KL Loss: 0.2521 | Sparsity Loss: 1.1611
Epoch 51/300 | KL Loss: 0.2404 | Sparsity Loss: 1.1606
Epoch 52/300 | KL Loss: 0.2422 | Sparsity Loss: 1.1601
Epoch 53/300 | KL Loss: 0.2471 | Sparsity Loss: 1.1607
Epoch 54/300 | KL Loss: 0.2426 | Sparsity Loss: 1.1617
Epoch 55/300 | KL Loss: 0.2368 | Sparsity Loss: 1.1619
Epoch 56/300 | KL Loss: 0.2398 | Sparsity Loss: 1.1623
Epoch 57/300 | KL Loss: 0.2401 | Sparsity Loss: 1.1621
Epoch 58/300 | KL Loss: 0.2473 | Sparsity Loss: 1.1620
Epoch 59/300 | KL Loss: 0.2360 | Sparsity Loss: 1.1621
Epoch 60/300 | KL Loss: 0.2397 | Sparsity Loss: 1.1622
Epoch 61/300 | KL Loss: 0.2364 | Sparsity Loss: 1.1620
Epoch 62/300 | KL Loss: 0.2429 | Sparsity Loss: 1.1617
Epoch 63/300 | KL Loss: 0.2356 | Sparsity Loss: 1.1614
Epoch 64/300 | KL Loss: 0.2411 | Sparsity Loss: 1.1617
Epoch 65/300 | KL Loss: 0.2523 | Sparsity Loss: 1.1618
Epoch 66/300 | KL Loss: 0.2476 | Sparsity Loss: 1.1610
Epoch 67/300 | KL Loss: 0.2437 | Sparsity Loss: 1.1613
Epoch 68/300 | KL Loss: 0.2451 | Sparsity Loss: 1.1620
Epoch 69/300 | KL Loss: 0.2397 | Sparsity Loss: 1.1619
Epoch 70/300 | KL Loss: 0.2449 | Sparsity Loss: 1.1620
Epoch 71/300 | KL Loss: 0.2410 | Sparsity Loss: 1.1616
Epoch 72/300 | KL Loss: 0.2451 | Sparsity Loss: 1.1618
Epoch 73/300 | KL Loss: 0.2542 | Sparsity Loss: 1.1619
Epoch 74/300 | KL Loss: 0.2416 | Sparsity Loss: 1.1615
Epoch 75/300 | KL Loss: 0.2480 | Sparsity Loss: 1.1613
Epoch 76/300 | KL Loss: 0.2648 | Sparsity Loss: 1.1612
Epoch 77/300 | KL Loss: 0.2394 | Sparsity Loss: 1.1619
Epoch 78/300 | KL Loss: 0.2416 | Sparsity Loss: 1.1617
Epoch 79/300 | KL Loss: 0.2483 | Sparsity Loss: 1.1619
Epoch 80/300 | KL Loss: 0.2390 | Sparsity Loss: 1.1620
Epoch 81/300 | KL Loss: 0.2400 | Sparsity Loss: 1.1619
Epoch 82/300 | KL Loss: 0.2396 | Sparsity Loss: 1.1617
Epoch 83/300 | KL Loss: 0.2398 | Sparsity Loss: 1.1615
Epoch 84/300 | KL Loss: 0.2399 | Sparsity Loss: 1.1613
Epoch 85/300 | KL Loss: 0.2389 | Sparsity Loss: 1.1605
Epoch 86/300 | KL Loss: 0.2474 | Sparsity Loss: 1.1611
Epoch 87/300 | KL Loss: 0.2497 | Sparsity Loss: 1.1614
Epoch 88/300 | KL Loss: 0.2361 | Sparsity Loss: 1.1619
Epoch 89/300 | KL Loss: 0.2402 | Sparsity Loss: 1.1612
Epoch 90/300 | KL Loss: 0.2407 | Sparsity Loss: 1.1614
Epoch 91/300 | KL Loss: 0.2432 | Sparsity Loss: 1.1617
Epoch 92/300 | KL Loss: 0.2391 | Sparsity Loss: 1.1616
Epoch 93/300 | KL Loss: 0.2503 | Sparsity Loss: 1.1608
Epoch 94/300 | KL Loss: 0.2524 | Sparsity Loss: 1.1609
Epoch 95/300 | KL Loss: 0.2370 | Sparsity Loss: 1.1614
Epoch 96/300 | KL Loss: 0.2377 | Sparsity Loss: 1.1612
Epoch 97/300 | KL Loss: 0.2399 | Sparsity Loss: 1.1611
Epoch 98/300 | KL Loss: 0.2523 | Sparsity Loss: 1.1610
Epoch 99/300 | KL Loss: 0.2475 | Sparsity Loss: 1.1611
Epoch 100/300 | KL Loss: 0.2425 | Sparsity Loss: 1.1618
Epoch 101/300 | KL Loss: 0.2382 | Sparsity Loss: 1.1621
Epoch 102/300 | KL Loss: 0.2433 | Sparsity Loss: 1.1621
Epoch 103/300 | KL Loss: 0.2350 | Sparsity Loss: 1.1620
Epoch 104/300 | KL Loss: 0.2412 | Sparsity Loss: 1.1620
Epoch 105/300 | KL Loss: 0.2363 | Sparsity Loss: 1.1617
Epoch 106/300 | KL Loss: 0.2380 | Sparsity Loss: 1.1616
Epoch 107/300 | KL Loss: 0.2466 | Sparsity Loss: 1.1611
Epoch 108/300 | KL Loss: 0.2512 | Sparsity Loss: 1.1618
Epoch 109/300 | KL Loss: 0.2428 | Sparsity Loss: 1.1622
Epoch 110/300 | KL Loss: 0.2392 | Sparsity Loss: 1.1619
Epoch 111/300 | KL Loss: 0.2398 | Sparsity Loss: 1.1620
Epoch 112/300 | KL Loss: 0.2481 | Sparsity Loss: 1.1618
Epoch 113/300 | KL Loss: 0.2524 | Sparsity Loss: 1.1618
Epoch 114/300 | KL Loss: 0.2475 | Sparsity Loss: 1.1622
Epoch 115/300 | KL Loss: 0.2443 | Sparsity Loss: 1.1624
Epoch 116/300 | KL Loss: 0.2412 | Sparsity Loss: 1.1621
Epoch 117/300 | KL Loss: 0.2461 | Sparsity Loss: 1.1625
Epoch 118/300 | KL Loss: 0.2374 | Sparsity Loss: 1.1625
Epoch 119/300 | KL Loss: 0.2362 | Sparsity Loss: 1.1623
Epoch 120/300 | KL Loss: 0.2432 | Sparsity Loss: 1.1624
Epoch 121/300 | KL Loss: 0.2344 | Sparsity Loss: 1.1622
Epoch 122/300 | KL Loss: 0.2433 | Sparsity Loss: 1.1620
Epoch 123/300 | KL Loss: 0.2367 | Sparsity Loss: 1.1620
Epoch 124/300 | KL Loss: 0.2413 | Sparsity Loss: 1.1621
Epoch 125/300 | KL Loss: 0.2437 | Sparsity Loss: 1.1620
Epoch 126/300 | KL Loss: 0.2486 | Sparsity Loss: 1.1619
Epoch 127/300 | KL Loss: 0.2473 | Sparsity Loss: 1.1621
Epoch 128/300 | KL Loss: 0.2416 | Sparsity Loss: 1.1620
Epoch 129/300 | KL Loss: 0.2403 | Sparsity Loss: 1.1618
Epoch 130/300 | KL Loss: 0.2431 | Sparsity Loss: 1.1614
Epoch 131/300 | KL Loss: 0.2455 | Sparsity Loss: 1.1617
Epoch 132/300 | KL Loss: 0.2501 | Sparsity Loss: 1.1619
Epoch 133/300 | KL Loss: 0.2483 | Sparsity Loss: 1.1622
Epoch 134/300 | KL Loss: 0.2372 | Sparsity Loss: 1.1620
Epoch 135/300 | KL Loss: 0.2369 | Sparsity Loss: 1.1617
Epoch 136/300 | KL Loss: 0.2453 | Sparsity Loss: 1.1613
Epoch 137/300 | KL Loss: 0.2277 | Sparsity Loss: 1.1620
Epoch 138/300 | KL Loss: 0.2438 | Sparsity Loss: 1.1605
Epoch 139/300 | KL Loss: 0.2444 | Sparsity Loss: 1.1599
Epoch 140/300 | KL Loss: 0.2368 | Sparsity Loss: 1.1608
Epoch 141/300 | KL Loss: 0.2461 | Sparsity Loss: 1.1609
Epoch 142/300 | KL Loss: 0.2444 | Sparsity Loss: 1.1609
Epoch 143/300 | KL Loss: 0.2351 | Sparsity Loss: 1.1605
Epoch 144/300 | KL Loss: 0.2403 | Sparsity Loss: 1.1601
Epoch 145/300 | KL Loss: 0.2390 | Sparsity Loss: 1.1603
Epoch 146/300 | KL Loss: 0.2541 | Sparsity Loss: 1.1602
Epoch 147/300 | KL Loss: 0.2460 | Sparsity Loss: 1.1600
Epoch 148/300 | KL Loss: 0.2426 | Sparsity Loss: 1.1590
Epoch 149/300 | KL Loss: 0.2667 | Sparsity Loss: 1.1392
Epoch 150/300 | KL Loss: 0.2926 | Sparsity Loss: 1.0577
Epoch 151/300 | KL Loss: 0.2937 | Sparsity Loss: 1.0571
Epoch 152/300 | KL Loss: 0.2813 | Sparsity Loss: 1.0571
Epoch 153/300 | KL Loss: 0.2820 | Sparsity Loss: 1.0574
Epoch 154/300 | KL Loss: 0.2822 | Sparsity Loss: 1.0576
Epoch 155/300 | KL Loss: 0.2876 | Sparsity Loss: 1.0570
Epoch 156/300 | KL Loss: 0.2884 | Sparsity Loss: 1.0570
Epoch 157/300 | KL Loss: 0.2965 | Sparsity Loss: 1.0572
Epoch 158/300 | KL Loss: 0.2801 | Sparsity Loss: 1.0573
Epoch 159/300 | KL Loss: 0.2825 | Sparsity Loss: 1.0573
Epoch 160/300 | KL Loss: 0.2901 | Sparsity Loss: 1.0574
Epoch 161/300 | KL Loss: 0.2887 | Sparsity Loss: 1.0572
Epoch 162/300 | KL Loss: 0.2901 | Sparsity Loss: 1.0578
Epoch 163/300 | KL Loss: 0.2907 | Sparsity Loss: 1.0571
Epoch 164/300 | KL Loss: 0.2938 | Sparsity Loss: 1.0569
Epoch 165/300 | KL Loss: 0.2879 | Sparsity Loss: 1.0566
Epoch 166/300 | KL Loss: 0.2937 | Sparsity Loss: 1.0565
Epoch 167/300 | KL Loss: 0.2914 | Sparsity Loss: 1.0562
Epoch 168/300 | KL Loss: 0.2894 | Sparsity Loss: 1.0559
Epoch 169/300 | KL Loss: 0.2857 | Sparsity Loss: 1.0550
Epoch 170/300 | KL Loss: 0.2911 | Sparsity Loss: 1.0557
Epoch 171/300 | KL Loss: 0.2859 | Sparsity Loss: 1.0556
Epoch 172/300 | KL Loss: 0.2928 | Sparsity Loss: 1.0553
Epoch 173/300 | KL Loss: 0.2881 | Sparsity Loss: 1.0551
Epoch 174/300 | KL Loss: 0.3044 | Sparsity Loss: 1.0507
Epoch 175/300 | KL Loss: 0.3040 | Sparsity Loss: 1.0473
Epoch 176/300 | KL Loss: 0.3326 | Sparsity Loss: 1.0000
Epoch 177/300 | KL Loss: 0.3308 | Sparsity Loss: 0.9550
Epoch 178/300 | KL Loss: 0.3326 | Sparsity Loss: 0.9544
Epoch 179/300 | KL Loss: 0.3373 | Sparsity Loss: 0.9541
Epoch 180/300 | KL Loss: 0.3340 | Sparsity Loss: 0.9538
Epoch 181/300 | KL Loss: 0.3390 | Sparsity Loss: 0.9537
Epoch 182/300 | KL Loss: 0.3318 | Sparsity Loss: 0.9537
Epoch 183/300 | KL Loss: 0.3327 | Sparsity Loss: 0.9523
Epoch 184/300 | KL Loss: 0.3341 | Sparsity Loss: 0.9515
Epoch 185/300 | KL Loss: 0.3260 | Sparsity Loss: 0.9513
Epoch 186/300 | KL Loss: 0.3422 | Sparsity Loss: 0.9509
Epoch 187/300 | KL Loss: 0.3287 | Sparsity Loss: 0.9502
Epoch 188/300 | KL Loss: 0.3208 | Sparsity Loss: 0.9497
Epoch 189/300 | KL Loss: 0.3259 | Sparsity Loss: 0.9492
Epoch 190/300 | KL Loss: 0.3305 | Sparsity Loss: 0.9484
Epoch 191/300 | KL Loss: 0.3344 | Sparsity Loss: 0.9479
Epoch 192/300 | KL Loss: 0.3276 | Sparsity Loss: 0.9477
Epoch 193/300 | KL Loss: 0.3260 | Sparsity Loss: 0.9475
Epoch 194/300 | KL Loss: 0.3381 | Sparsity Loss: 0.9475
Epoch 195/300 | KL Loss: 0.3288 | Sparsity Loss: 0.9475
Epoch 196/300 | KL Loss: 0.3447 | Sparsity Loss: 0.9476
Epoch 197/300 | KL Loss: 0.3324 | Sparsity Loss: 0.9476
Epoch 198/300 | KL Loss: 0.3359 | Sparsity Loss: 0.9477
Epoch 199/300 | KL Loss: 0.3351 | Sparsity Loss: 0.9475
Epoch 200/300 | KL Loss: 0.3315 | Sparsity Loss: 0.9475
Epoch 201/300 | KL Loss: 0.3285 | Sparsity Loss: 0.9476
Epoch 202/300 | KL Loss: 0.3305 | Sparsity Loss: 0.9478
Epoch 203/300 | KL Loss: 0.3332 | Sparsity Loss: 0.9478
Epoch 204/300 | KL Loss: 0.3382 | Sparsity Loss: 0.9475
Epoch 205/300 | KL Loss: 0.3319 | Sparsity Loss: 0.9475
Epoch 206/300 | KL Loss: 0.3336 | Sparsity Loss: 0.9474
Epoch 207/300 | KL Loss: 0.3323 | Sparsity Loss: 0.9470
Epoch 208/300 | KL Loss: 0.3254 | Sparsity Loss: 0.9473
Epoch 209/300 | KL Loss: 0.3250 | Sparsity Loss: 0.9473
Epoch 210/300 | KL Loss: 0.3289 | Sparsity Loss: 0.9475
Epoch 211/300 | KL Loss: 0.3287 | Sparsity Loss: 0.9477
Epoch 212/300 | KL Loss: 0.3389 | Sparsity Loss: 0.9479
Epoch 213/300 | KL Loss: 0.3284 | Sparsity Loss: 0.9477
Epoch 214/300 | KL Loss: 0.3303 | Sparsity Loss: 0.9477
Epoch 215/300 | KL Loss: 0.3289 | Sparsity Loss: 0.9475
Epoch 216/300 | KL Loss: 0.3283 | Sparsity Loss: 0.9473
Epoch 217/300 | KL Loss: 0.3317 | Sparsity Loss: 0.9472
Epoch 218/300 | KL Loss: 0.3273 | Sparsity Loss: 0.9469
Epoch 219/300 | KL Loss: 0.3305 | Sparsity Loss: 0.9469
Epoch 220/300 | KL Loss: 0.3270 | Sparsity Loss: 0.9471
Epoch 221/300 | KL Loss: 0.3342 | Sparsity Loss: 0.9467
Epoch 222/300 | KL Loss: 0.3349 | Sparsity Loss: 0.9470
Epoch 223/300 | KL Loss: 0.3307 | Sparsity Loss: 0.9473
Epoch 224/300 | KL Loss: 0.3303 | Sparsity Loss: 0.9478
Epoch 225/300 | KL Loss: 0.3321 | Sparsity Loss: 0.9475
Epoch 226/300 | KL Loss: 0.3249 | Sparsity Loss: 0.9473
Epoch 227/300 | KL Loss: 0.3318 | Sparsity Loss: 0.9470
Epoch 228/300 | KL Loss: 0.3312 | Sparsity Loss: 0.9467
Epoch 229/300 | KL Loss: 0.3294 | Sparsity Loss: 0.9461
Epoch 230/300 | KL Loss: 0.3372 | Sparsity Loss: 0.9443
Epoch 231/300 | KL Loss: 0.3369 | Sparsity Loss: 0.9460
Epoch 232/300 | KL Loss: 0.3338 | Sparsity Loss: 0.9469
Epoch 233/300 | KL Loss: 0.3237 | Sparsity Loss: 0.9471
Epoch 234/300 | KL Loss: 0.3304 | Sparsity Loss: 0.9468
Epoch 235/300 | KL Loss: 0.3372 | Sparsity Loss: 0.9464
Epoch 236/300 | KL Loss: 0.3339 | Sparsity Loss: 0.9464
Epoch 237/300 | KL Loss: 0.3401 | Sparsity Loss: 0.9467
Epoch 238/300 | KL Loss: 0.3364 | Sparsity Loss: 0.9472
Epoch 239/300 | KL Loss: 0.3350 | Sparsity Loss: 0.9473
Epoch 240/300 | KL Loss: 0.3335 | Sparsity Loss: 0.9471
Epoch 241/300 | KL Loss: 0.3295 | Sparsity Loss: 0.9469
Epoch 242/300 | KL Loss: 0.3309 | Sparsity Loss: 0.9467
Epoch 243/300 | KL Loss: 0.3309 | Sparsity Loss: 0.9466
Epoch 244/300 | KL Loss: 0.3278 | Sparsity Loss: 0.9467
Epoch 245/300 | KL Loss: 0.3383 | Sparsity Loss: 0.9471
Epoch 246/300 | KL Loss: 0.3342 | Sparsity Loss: 0.9469
Epoch 247/300 | KL Loss: 0.3269 | Sparsity Loss: 0.9467
Epoch 248/300 | KL Loss: 0.3254 | Sparsity Loss: 0.9464
Epoch 249/300 | KL Loss: 0.3340 | Sparsity Loss: 0.9464
Epoch 250/300 | KL Loss: 0.3371 | Sparsity Loss: 0.9466
Epoch 251/300 | KL Loss: 0.3284 | Sparsity Loss: 0.9466
Epoch 252/300 | KL Loss: 0.3261 | Sparsity Loss: 0.9465
Epoch 253/300 | KL Loss: 0.3297 | Sparsity Loss: 0.9466
Epoch 254/300 | KL Loss: 0.3351 | Sparsity Loss: 0.9467
Epoch 255/300 | KL Loss: 0.3414 | Sparsity Loss: 0.9467
Epoch 256/300 | KL Loss: 0.3307 | Sparsity Loss: 0.9469
Epoch 257/300 | KL Loss: 0.3267 | Sparsity Loss: 0.9469
Epoch 258/300 | KL Loss: 0.3253 | Sparsity Loss: 0.9469
Epoch 259/300 | KL Loss: 0.3280 | Sparsity Loss: 0.9466
Epoch 260/300 | KL Loss: 0.3288 | Sparsity Loss: 0.9457
Epoch 261/300 | KL Loss: 0.3406 | Sparsity Loss: 0.9463
Epoch 262/300 | KL Loss: 0.3289 | Sparsity Loss: 0.9463
Epoch 263/300 | KL Loss: 0.3328 | Sparsity Loss: 0.9453
Epoch 264/300 | KL Loss: 0.3328 | Sparsity Loss: 0.9453
Epoch 265/300 | KL Loss: 0.3308 | Sparsity Loss: 0.9455
Epoch 266/300 | KL Loss: 0.3272 | Sparsity Loss: 0.9463
Epoch 267/300 | KL Loss: 0.3331 | Sparsity Loss: 0.9455
Epoch 268/300 | KL Loss: 0.3310 | Sparsity Loss: 0.9449
Epoch 269/300 | KL Loss: 0.3304 | Sparsity Loss: 0.9450
Epoch 270/300 | KL Loss: 0.3304 | Sparsity Loss: 0.9451
Epoch 271/300 | KL Loss: 0.3396 | Sparsity Loss: 0.9454
Epoch 272/300 | KL Loss: 0.3314 | Sparsity Loss: 0.9455
Epoch 273/300 | KL Loss: 0.3336 | Sparsity Loss: 0.9454
Epoch 274/300 | KL Loss: 0.3314 | Sparsity Loss: 0.9453
Epoch 275/300 | KL Loss: 0.3338 | Sparsity Loss: 0.9451
Epoch 276/300 | KL Loss: 0.3255 | Sparsity Loss: 0.9452
Epoch 277/300 | KL Loss: 0.3290 | Sparsity Loss: 0.9451
Epoch 278/300 | KL Loss: 0.3395 | Sparsity Loss: 0.9449
Epoch 279/300 | KL Loss: 0.3295 | Sparsity Loss: 0.9451
Epoch 280/300 | KL Loss: 0.3280 | Sparsity Loss: 0.9452
Epoch 281/300 | KL Loss: 0.3306 | Sparsity Loss: 0.9453
Epoch 282/300 | KL Loss: 0.3353 | Sparsity Loss: 0.9453
Epoch 283/300 | KL Loss: 0.3285 | Sparsity Loss: 0.9455
