MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3911.27it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3876.51it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON COLORS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.9359 | Sparsity Loss: 0.0466
Epoch 2/300 | KL Loss: 0.8738 | Sparsity Loss: 0.1413
Epoch 3/300 | KL Loss: 0.8989 | Sparsity Loss: 0.2361
Epoch 4/300 | KL Loss: 0.8657 | Sparsity Loss: 0.3309
Epoch 5/300 | KL Loss: 0.8570 | Sparsity Loss: 0.4257
Epoch 6/300 | KL Loss: 0.8865 | Sparsity Loss: 0.5204
Epoch 7/300 | KL Loss: 0.8601 | Sparsity Loss: 0.6151
Epoch 8/300 | KL Loss: 0.8941 | Sparsity Loss: 0.7098
Epoch 9/300 | KL Loss: 0.9714 | Sparsity Loss: 0.8045
Epoch 10/300 | KL Loss: 0.8645 | Sparsity Loss: 0.8991
Epoch 11/300 | KL Loss: 0.8741 | Sparsity Loss: 0.9937
Epoch 12/300 | KL Loss: 0.9111 | Sparsity Loss: 1.0881
Epoch 13/300 | KL Loss: 0.8434 | Sparsity Loss: 1.1824
Epoch 14/300 | KL Loss: 0.8880 | Sparsity Loss: 1.2766
Epoch 15/300 | KL Loss: 0.8788 | Sparsity Loss: 1.3702
Epoch 16/300 | KL Loss: 0.8440 | Sparsity Loss: 1.4630
Epoch 17/300 | KL Loss: 0.9540 | Sparsity Loss: 1.4993
Epoch 18/300 | KL Loss: 0.9124 | Sparsity Loss: 1.4990
Epoch 19/300 | KL Loss: 0.8761 | Sparsity Loss: 1.4986
Epoch 20/300 | KL Loss: 0.8658 | Sparsity Loss: 1.4981
Epoch 21/300 | KL Loss: 0.8658 | Sparsity Loss: 1.4978
Epoch 22/300 | KL Loss: 0.8933 | Sparsity Loss: 1.4971
Epoch 23/300 | KL Loss: 0.8455 | Sparsity Loss: 1.4968
Epoch 24/300 | KL Loss: 0.8558 | Sparsity Loss: 1.4965
Epoch 25/300 | KL Loss: 0.8632 | Sparsity Loss: 1.4963
Epoch 26/300 | KL Loss: 0.8397 | Sparsity Loss: 1.4963
Epoch 27/300 | KL Loss: 0.9441 | Sparsity Loss: 1.4961
Epoch 28/300 | KL Loss: 0.8431 | Sparsity Loss: 1.4960
Epoch 29/300 | KL Loss: 0.9131 | Sparsity Loss: 1.4959
Epoch 30/300 | KL Loss: 0.8774 | Sparsity Loss: 1.4960
Epoch 31/300 | KL Loss: 0.8897 | Sparsity Loss: 1.4960
Epoch 32/300 | KL Loss: 0.8927 | Sparsity Loss: 1.4962
Epoch 33/300 | KL Loss: 0.9241 | Sparsity Loss: 1.4961
Epoch 34/300 | KL Loss: 0.9202 | Sparsity Loss: 1.4962
Epoch 35/300 | KL Loss: 0.8637 | Sparsity Loss: 1.4964
Epoch 36/300 | KL Loss: 0.8726 | Sparsity Loss: 1.4964
Epoch 37/300 | KL Loss: 0.8680 | Sparsity Loss: 1.4963
Epoch 38/300 | KL Loss: 0.8814 | Sparsity Loss: 1.4961
Epoch 39/300 | KL Loss: 0.8773 | Sparsity Loss: 1.4959
Epoch 40/300 | KL Loss: 0.8661 | Sparsity Loss: 1.4959
Epoch 41/300 | KL Loss: 0.8733 | Sparsity Loss: 1.4959
Epoch 42/300 | KL Loss: 0.8476 | Sparsity Loss: 1.4960
Epoch 43/300 | KL Loss: 0.9197 | Sparsity Loss: 1.4960
Epoch 44/300 | KL Loss: 0.8687 | Sparsity Loss: 1.4961
Epoch 45/300 | KL Loss: 0.8698 | Sparsity Loss: 1.4963
Epoch 46/300 | KL Loss: 0.8629 | Sparsity Loss: 1.4964
Epoch 47/300 | KL Loss: 0.8610 | Sparsity Loss: 1.4962
Epoch 48/300 | KL Loss: 0.9126 | Sparsity Loss: 1.4962
Epoch 49/300 | KL Loss: 0.8771 | Sparsity Loss: 1.4963
Epoch 50/300 | KL Loss: 0.9008 | Sparsity Loss: 1.4964
Epoch 51/300 | KL Loss: 0.8907 | Sparsity Loss: 1.4963
Epoch 52/300 | KL Loss: 0.8741 | Sparsity Loss: 1.4963
Epoch 53/300 | KL Loss: 0.8796 | Sparsity Loss: 1.4961
Epoch 54/300 | KL Loss: 0.8555 | Sparsity Loss: 1.4961
Epoch 55/300 | KL Loss: 0.8730 | Sparsity Loss: 1.4960
Epoch 56/300 | KL Loss: 0.8489 | Sparsity Loss: 1.4961
Epoch 57/300 | KL Loss: 0.8634 | Sparsity Loss: 1.4959
Epoch 58/300 | KL Loss: 0.8699 | Sparsity Loss: 1.4962
Epoch 59/300 | KL Loss: 0.8877 | Sparsity Loss: 1.4962
Epoch 60/300 | KL Loss: 0.8891 | Sparsity Loss: 1.4960
Epoch 61/300 | KL Loss: 0.9064 | Sparsity Loss: 1.4959
Epoch 62/300 | KL Loss: 0.8855 | Sparsity Loss: 1.4958
Epoch 63/300 | KL Loss: 0.8740 | Sparsity Loss: 1.4960
Epoch 64/300 | KL Loss: 0.8850 | Sparsity Loss: 1.4961
Epoch 65/300 | KL Loss: 0.8822 | Sparsity Loss: 1.4961
Epoch 66/300 | KL Loss: 0.8806 | Sparsity Loss: 1.4961
Epoch 67/300 | KL Loss: 0.8828 | Sparsity Loss: 1.4962
Epoch 68/300 | KL Loss: 0.8568 | Sparsity Loss: 1.4961
Epoch 69/300 | KL Loss: 0.8712 | Sparsity Loss: 1.4962
Epoch 70/300 | KL Loss: 0.8646 | Sparsity Loss: 1.4962
Epoch 71/300 | KL Loss: 0.8693 | Sparsity Loss: 1.4961
Epoch 72/300 | KL Loss: 0.8757 | Sparsity Loss: 1.4961
Epoch 73/300 | KL Loss: 0.8782 | Sparsity Loss: 1.4962
Epoch 74/300 | KL Loss: 0.9147 | Sparsity Loss: 1.4960
Epoch 75/300 | KL Loss: 0.8479 | Sparsity Loss: 1.4959
Epoch 76/300 | KL Loss: 0.8809 | Sparsity Loss: 1.4960
Epoch 77/300 | KL Loss: 0.9016 | Sparsity Loss: 1.4961
Epoch 78/300 | KL Loss: 0.8502 | Sparsity Loss: 1.4962
Epoch 79/300 | KL Loss: 0.8986 | Sparsity Loss: 1.4960
Epoch 80/300 | KL Loss: 0.8875 | Sparsity Loss: 1.4960
Epoch 81/300 | KL Loss: 0.8755 | Sparsity Loss: 1.4959
Epoch 82/300 | KL Loss: 0.8599 | Sparsity Loss: 1.4960
Epoch 83/300 | KL Loss: 0.8590 | Sparsity Loss: 1.4959
Epoch 84/300 | KL Loss: 0.8753 | Sparsity Loss: 1.4958
Epoch 85/300 | KL Loss: 0.9452 | Sparsity Loss: 1.4959
Epoch 86/300 | KL Loss: 0.8831 | Sparsity Loss: 1.4960
Epoch 87/300 | KL Loss: 0.8753 | Sparsity Loss: 1.4961
Epoch 88/300 | KL Loss: 0.8544 | Sparsity Loss: 1.4961
Epoch 89/300 | KL Loss: 0.8860 | Sparsity Loss: 1.4962
Epoch 90/300 | KL Loss: 0.8809 | Sparsity Loss: 1.4961
Epoch 91/300 | KL Loss: 0.8653 | Sparsity Loss: 1.4961
Epoch 92/300 | KL Loss: 0.8950 | Sparsity Loss: 1.4959
Epoch 93/300 | KL Loss: 0.9156 | Sparsity Loss: 1.4960
Epoch 94/300 | KL Loss: 0.8801 | Sparsity Loss: 1.4961
Epoch 95/300 | KL Loss: 0.8747 | Sparsity Loss: 1.4960
Epoch 96/300 | KL Loss: 0.8712 | Sparsity Loss: 1.4961
Epoch 97/300 | KL Loss: 0.9307 | Sparsity Loss: 1.4962
Epoch 98/300 | KL Loss: 0.8827 | Sparsity Loss: 1.4960
Epoch 99/300 | KL Loss: 0.8860 | Sparsity Loss: 1.4961
Epoch 100/300 | KL Loss: 0.8931 | Sparsity Loss: 1.4962
Epoch 101/300 | KL Loss: 0.8641 | Sparsity Loss: 1.4960
Epoch 102/300 | KL Loss: 0.8996 | Sparsity Loss: 1.4959
Epoch 103/300 | KL Loss: 0.8798 | Sparsity Loss: 1.4960
Epoch 104/300 | KL Loss: 0.9387 | Sparsity Loss: 1.4960
Epoch 105/300 | KL Loss: 0.8708 | Sparsity Loss: 1.4959
Epoch 106/300 | KL Loss: 0.8782 | Sparsity Loss: 1.4958
Epoch 107/300 | KL Loss: 0.8546 | Sparsity Loss: 1.4959
Epoch 108/300 | KL Loss: 0.8946 | Sparsity Loss: 1.4961
Epoch 109/300 | KL Loss: 0.8788 | Sparsity Loss: 1.4963
Epoch 110/300 | KL Loss: 0.8677 | Sparsity Loss: 1.4962
Epoch 111/300 | KL Loss: 0.8580 | Sparsity Loss: 1.4962
Epoch 112/300 | KL Loss: 0.9652 | Sparsity Loss: 1.4963
Epoch 113/300 | KL Loss: 0.8508 | Sparsity Loss: 1.4962
Epoch 114/300 | KL Loss: 0.8866 | Sparsity Loss: 1.4963
Epoch 115/300 | KL Loss: 0.8590 | Sparsity Loss: 1.4962
Epoch 116/300 | KL Loss: 0.9276 | Sparsity Loss: 1.4961
Epoch 117/300 | KL Loss: 0.8947 | Sparsity Loss: 1.4961
Epoch 118/300 | KL Loss: 0.8634 | Sparsity Loss: 1.4960
Epoch 119/300 | KL Loss: 0.8475 | Sparsity Loss: 1.4959
