MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3828.40it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3694.33it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON FRUITS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 1.0830 | Sparsity Loss: 0.0466
Epoch 2/300 | KL Loss: 0.9732 | Sparsity Loss: 0.1414
Epoch 3/300 | KL Loss: 1.0136 | Sparsity Loss: 0.2361
Epoch 4/300 | KL Loss: 1.0517 | Sparsity Loss: 0.3309
Epoch 5/300 | KL Loss: 0.9628 | Sparsity Loss: 0.4256
Epoch 6/300 | KL Loss: 0.9762 | Sparsity Loss: 0.5204
Epoch 7/300 | KL Loss: 0.9700 | Sparsity Loss: 0.6150
Epoch 8/300 | KL Loss: 0.9921 | Sparsity Loss: 0.7096
Epoch 9/300 | KL Loss: 0.9809 | Sparsity Loss: 0.8042
Epoch 10/300 | KL Loss: 1.0086 | Sparsity Loss: 0.8989
Epoch 11/300 | KL Loss: 0.9700 | Sparsity Loss: 0.9936
Epoch 12/300 | KL Loss: 1.0268 | Sparsity Loss: 1.0881
Epoch 13/300 | KL Loss: 1.0321 | Sparsity Loss: 1.1825
Epoch 14/300 | KL Loss: 0.9613 | Sparsity Loss: 1.2769
Epoch 15/300 | KL Loss: 1.0026 | Sparsity Loss: 1.3713
Epoch 16/300 | KL Loss: 1.0023 | Sparsity Loss: 1.4653
Epoch 17/300 | KL Loss: 0.9852 | Sparsity Loss: 1.5016
Epoch 18/300 | KL Loss: 0.9755 | Sparsity Loss: 1.5012
Epoch 19/300 | KL Loss: 0.9580 | Sparsity Loss: 1.5007
Epoch 20/300 | KL Loss: 0.9806 | Sparsity Loss: 1.5007
Epoch 21/300 | KL Loss: 0.9696 | Sparsity Loss: 1.5008
Epoch 22/300 | KL Loss: 0.9781 | Sparsity Loss: 1.5007
Epoch 23/300 | KL Loss: 0.9639 | Sparsity Loss: 1.5008
Epoch 24/300 | KL Loss: 1.0083 | Sparsity Loss: 1.5008
Epoch 25/300 | KL Loss: 1.0190 | Sparsity Loss: 1.5008
Epoch 26/300 | KL Loss: 0.9987 | Sparsity Loss: 1.5007
Epoch 27/300 | KL Loss: 1.0226 | Sparsity Loss: 1.5006
Epoch 28/300 | KL Loss: 0.9730 | Sparsity Loss: 1.5005
Epoch 29/300 | KL Loss: 0.9786 | Sparsity Loss: 1.5005
Epoch 30/300 | KL Loss: 0.9937 | Sparsity Loss: 1.5005
Epoch 31/300 | KL Loss: 1.0174 | Sparsity Loss: 1.5005
Epoch 32/300 | KL Loss: 0.9894 | Sparsity Loss: 1.5005
Epoch 33/300 | KL Loss: 0.9964 | Sparsity Loss: 1.5006
Epoch 34/300 | KL Loss: 0.9610 | Sparsity Loss: 1.5006
Epoch 35/300 | KL Loss: 0.9600 | Sparsity Loss: 1.5006
Epoch 36/300 | KL Loss: 1.0372 | Sparsity Loss: 1.5006
Epoch 37/300 | KL Loss: 0.9823 | Sparsity Loss: 1.5007
Epoch 38/300 | KL Loss: 1.0007 | Sparsity Loss: 1.5008
Epoch 39/300 | KL Loss: 1.0124 | Sparsity Loss: 1.5009
Epoch 40/300 | KL Loss: 1.0456 | Sparsity Loss: 1.5010
Epoch 41/300 | KL Loss: 1.0244 | Sparsity Loss: 1.5009
Epoch 42/300 | KL Loss: 1.0323 | Sparsity Loss: 1.5008
Epoch 43/300 | KL Loss: 0.9576 | Sparsity Loss: 1.5008
Epoch 44/300 | KL Loss: 0.9889 | Sparsity Loss: 1.5007
Epoch 45/300 | KL Loss: 1.0491 | Sparsity Loss: 1.5007
Epoch 46/300 | KL Loss: 0.9877 | Sparsity Loss: 1.5008
Epoch 47/300 | KL Loss: 1.0103 | Sparsity Loss: 1.5008
Epoch 48/300 | KL Loss: 0.9870 | Sparsity Loss: 1.5007
Epoch 49/300 | KL Loss: 1.0080 | Sparsity Loss: 1.5006
Epoch 50/300 | KL Loss: 0.9834 | Sparsity Loss: 1.5007
Epoch 51/300 | KL Loss: 1.0825 | Sparsity Loss: 1.5007
Epoch 52/300 | KL Loss: 1.0537 | Sparsity Loss: 1.5007
Epoch 53/300 | KL Loss: 0.9943 | Sparsity Loss: 1.5006
Epoch 54/300 | KL Loss: 1.0359 | Sparsity Loss: 1.5006
Epoch 55/300 | KL Loss: 1.0276 | Sparsity Loss: 1.5005
Epoch 56/300 | KL Loss: 1.0118 | Sparsity Loss: 1.5005
Epoch 57/300 | KL Loss: 0.9927 | Sparsity Loss: 1.5006
Epoch 58/300 | KL Loss: 0.9958 | Sparsity Loss: 1.5006
Epoch 59/300 | KL Loss: 1.0222 | Sparsity Loss: 1.5007
Epoch 60/300 | KL Loss: 0.9822 | Sparsity Loss: 1.5006
Epoch 61/300 | KL Loss: 1.0020 | Sparsity Loss: 1.5008
Epoch 62/300 | KL Loss: 1.0327 | Sparsity Loss: 1.5007
Epoch 63/300 | KL Loss: 1.0974 | Sparsity Loss: 1.5005
Epoch 64/300 | KL Loss: 0.9832 | Sparsity Loss: 1.5003
Epoch 65/300 | KL Loss: 0.9795 | Sparsity Loss: 1.5003
Epoch 66/300 | KL Loss: 0.9833 | Sparsity Loss: 1.5004
Epoch 67/300 | KL Loss: 0.9818 | Sparsity Loss: 1.5004
Epoch 68/300 | KL Loss: 1.0023 | Sparsity Loss: 1.5006
Epoch 69/300 | KL Loss: 0.9871 | Sparsity Loss: 1.5007
Epoch 70/300 | KL Loss: 0.9727 | Sparsity Loss: 1.5004
Epoch 71/300 | KL Loss: 0.9996 | Sparsity Loss: 1.5004
Epoch 72/300 | KL Loss: 1.0218 | Sparsity Loss: 1.5004
Epoch 73/300 | KL Loss: 0.9816 | Sparsity Loss: 1.5004
Epoch 74/300 | KL Loss: 1.0342 | Sparsity Loss: 1.5005
Epoch 75/300 | KL Loss: 0.9610 | Sparsity Loss: 1.5006
Epoch 76/300 | KL Loss: 1.0042 | Sparsity Loss: 1.5006
Epoch 77/300 | KL Loss: 1.0184 | Sparsity Loss: 1.5005
Epoch 78/300 | KL Loss: 1.0031 | Sparsity Loss: 1.5004
Epoch 79/300 | KL Loss: 0.9831 | Sparsity Loss: 1.5005
Epoch 80/300 | KL Loss: 1.0190 | Sparsity Loss: 1.5004
Epoch 81/300 | KL Loss: 0.9792 | Sparsity Loss: 1.5005
Epoch 82/300 | KL Loss: 0.9883 | Sparsity Loss: 1.5007
Epoch 83/300 | KL Loss: 0.9705 | Sparsity Loss: 1.5006
Epoch 84/300 | KL Loss: 0.9723 | Sparsity Loss: 1.5005
Epoch 85/300 | KL Loss: 0.9752 | Sparsity Loss: 1.5005
Epoch 86/300 | KL Loss: 1.0539 | Sparsity Loss: 1.5005
Epoch 87/300 | KL Loss: 1.0478 | Sparsity Loss: 1.5006
Epoch 88/300 | KL Loss: 0.9657 | Sparsity Loss: 1.5006
Epoch 89/300 | KL Loss: 0.9685 | Sparsity Loss: 1.5006
Epoch 90/300 | KL Loss: 0.9750 | Sparsity Loss: 1.5006
Epoch 91/300 | KL Loss: 0.9887 | Sparsity Loss: 1.5006
Epoch 92/300 | KL Loss: 1.0393 | Sparsity Loss: 1.5007
Epoch 93/300 | KL Loss: 1.0099 | Sparsity Loss: 1.5007
Epoch 94/300 | KL Loss: 0.9685 | Sparsity Loss: 1.5007
Epoch 95/300 | KL Loss: 1.0012 | Sparsity Loss: 1.5007
Epoch 96/300 | KL Loss: 1.0841 | Sparsity Loss: 1.5007
Epoch 97/300 | KL Loss: 0.9953 | Sparsity Loss: 1.5008
Epoch 98/300 | KL Loss: 1.0487 | Sparsity Loss: 1.5008
Epoch 99/300 | KL Loss: 0.9591 | Sparsity Loss: 1.5006
Epoch 100/300 | KL Loss: 0.9993 | Sparsity Loss: 1.5006
Epoch 101/300 | KL Loss: 0.9997 | Sparsity Loss: 1.5007
Epoch 102/300 | KL Loss: 0.9945 | Sparsity Loss: 1.5007
Epoch 103/300 | KL Loss: 0.9625 | Sparsity Loss: 1.5007
Epoch 104/300 | KL Loss: 1.0187 | Sparsity Loss: 1.5004
Epoch 105/300 | KL Loss: 1.0787 | Sparsity Loss: 1.5005
Epoch 106/300 | KL Loss: 0.9776 | Sparsity Loss: 1.5004
Epoch 107/300 | KL Loss: 0.9854 | Sparsity Loss: 1.5004
Epoch 108/300 | KL Loss: 0.9725 | Sparsity Loss: 1.5005
Epoch 109/300 | KL Loss: 0.9948 | Sparsity Loss: 1.5006
Epoch 110/300 | KL Loss: 1.0369 | Sparsity Loss: 1.5006
Epoch 111/300 | KL Loss: 0.9720 | Sparsity Loss: 1.5006
Epoch 112/300 | KL Loss: 0.9982 | Sparsity Loss: 1.5002
Epoch 113/300 | KL Loss: 0.9705 | Sparsity Loss: 1.5003
Epoch 114/300 | KL Loss: 0.9879 | Sparsity Loss: 1.5005
Epoch 115/300 | KL Loss: 1.0813 | Sparsity Loss: 1.5001
Epoch 116/300 | KL Loss: 1.0035 | Sparsity Loss: 1.4999
Epoch 117/300 | KL Loss: 1.0431 | Sparsity Loss: 1.4999
Epoch 118/300 | KL Loss: 0.9804 | Sparsity Loss: 1.5003
Epoch 119/300 | KL Loss: 1.0050 | Sparsity Loss: 1.5005
Epoch 120/300 | KL Loss: 1.0084 | Sparsity Loss: 1.5005
Epoch 121/300 | KL Loss: 0.9903 | Sparsity Loss: 1.5006
Epoch 122/300 | KL Loss: 0.9712 | Sparsity Loss: 1.5007
Epoch 123/300 | KL Loss: 0.9700 | Sparsity Loss: 1.5007
Epoch 124/300 | KL Loss: 0.9930 | Sparsity Loss: 1.5007
Epoch 125/300 | KL Loss: 0.9898 | Sparsity Loss: 1.5006
Epoch 126/300 | KL Loss: 0.9733 | Sparsity Loss: 1.5005
Epoch 127/300 | KL Loss: 1.0037 | Sparsity Loss: 1.5006
Epoch 128/300 | KL Loss: 0.9714 | Sparsity Loss: 1.5006
Epoch 129/300 | KL Loss: 0.9926 | Sparsity Loss: 1.5007
Epoch 130/300 | KL Loss: 0.9785 | Sparsity Loss: 1.5007
Epoch 131/300 | KL Loss: 1.0082 | Sparsity Loss: 1.5005
Epoch 132/300 | KL Loss: 1.0611 | Sparsity Loss: 1.5005
Epoch 133/300 | KL Loss: 1.0126 | Sparsity Loss: 1.5007
Epoch 134/300 | KL Loss: 0.9698 | Sparsity Loss: 1.5006
Epoch 135/300 | KL Loss: 0.9860 | Sparsity Loss: 1.5005
Epoch 136/300 | KL Loss: 1.0193 | Sparsity Loss: 1.5005
Epoch 137/300 | KL Loss: 0.9723 | Sparsity Loss: 1.5005
Epoch 138/300 | KL Loss: 1.0648 | Sparsity Loss: 1.5007
Epoch 139/300 | KL Loss: 1.0048 | Sparsity Loss: 1.5007
Epoch 140/300 | KL Loss: 0.9606 | Sparsity Loss: 1.5007
