MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3843.73it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4171.36it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON METALS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.6386 | Sparsity Loss: 0.0466
Epoch 2/300 | KL Loss: 0.6396 | Sparsity Loss: 0.1413
Epoch 3/300 | KL Loss: 0.6115 | Sparsity Loss: 0.2361
Epoch 4/300 | KL Loss: 0.6400 | Sparsity Loss: 0.3308
Epoch 5/300 | KL Loss: 0.6297 | Sparsity Loss: 0.4256
Epoch 6/300 | KL Loss: 0.5983 | Sparsity Loss: 0.5204
Epoch 7/300 | KL Loss: 0.6050 | Sparsity Loss: 0.6151
Epoch 8/300 | KL Loss: 0.6014 | Sparsity Loss: 0.7097
Epoch 9/300 | KL Loss: 0.6287 | Sparsity Loss: 0.8044
Epoch 10/300 | KL Loss: 0.6219 | Sparsity Loss: 0.8990
Epoch 11/300 | KL Loss: 0.6104 | Sparsity Loss: 0.9938
Epoch 12/300 | KL Loss: 0.6028 | Sparsity Loss: 1.0884
Epoch 13/300 | KL Loss: 0.6083 | Sparsity Loss: 1.1832
Epoch 14/300 | KL Loss: 0.6441 | Sparsity Loss: 1.2781
Epoch 15/300 | KL Loss: 0.6047 | Sparsity Loss: 1.3729
Epoch 16/300 | KL Loss: 0.6027 | Sparsity Loss: 1.4667
Epoch 17/300 | KL Loss: 0.6058 | Sparsity Loss: 1.5033
Epoch 18/300 | KL Loss: 0.6122 | Sparsity Loss: 1.5031
Epoch 19/300 | KL Loss: 0.6451 | Sparsity Loss: 1.5028
Epoch 20/300 | KL Loss: 0.5883 | Sparsity Loss: 1.5026
Epoch 21/300 | KL Loss: 0.5960 | Sparsity Loss: 1.5024
Epoch 22/300 | KL Loss: 0.6420 | Sparsity Loss: 1.5022
Epoch 23/300 | KL Loss: 0.6395 | Sparsity Loss: 1.5020
Epoch 24/300 | KL Loss: 0.5893 | Sparsity Loss: 1.5019
Epoch 25/300 | KL Loss: 0.6084 | Sparsity Loss: 1.5018
Epoch 26/300 | KL Loss: 0.6091 | Sparsity Loss: 1.5018
Epoch 27/300 | KL Loss: 0.6505 | Sparsity Loss: 1.5016
Epoch 28/300 | KL Loss: 0.6030 | Sparsity Loss: 1.5013
Epoch 29/300 | KL Loss: 0.6105 | Sparsity Loss: 1.5003
Epoch 30/300 | KL Loss: 0.6415 | Sparsity Loss: 1.4992
Epoch 31/300 | KL Loss: 0.6263 | Sparsity Loss: 1.4988
Epoch 32/300 | KL Loss: 0.6320 | Sparsity Loss: 1.4986
Epoch 33/300 | KL Loss: 0.6129 | Sparsity Loss: 1.4983
Epoch 34/300 | KL Loss: 0.6161 | Sparsity Loss: 1.4981
Epoch 35/300 | KL Loss: 0.6221 | Sparsity Loss: 1.4979
