Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 5054.96it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4590.85it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 16 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON VEHICLES (500 samples) ---
Epoch 1/300 | KL Loss: 0.0983 | Sparsity Loss: 0.0045
Epoch 2/300 | KL Loss: 0.1011 | Sparsity Loss: 0.0135
Epoch 3/300 | KL Loss: 0.1018 | Sparsity Loss: 0.0225
Epoch 4/300 | KL Loss: 0.1003 | Sparsity Loss: 0.0310
Epoch 5/300 | KL Loss: 0.1006 | Sparsity Loss: 0.0394
Epoch 6/300 | KL Loss: 0.1005 | Sparsity Loss: 0.0471
Epoch 7/300 | KL Loss: 0.0988 | Sparsity Loss: 0.0548
Epoch 8/300 | KL Loss: 0.0987 | Sparsity Loss: 0.0629
Epoch 9/300 | KL Loss: 0.0990 | Sparsity Loss: 0.0706
Epoch 10/300 | KL Loss: 0.0984 | Sparsity Loss: 0.0782
Epoch 11/300 | KL Loss: 0.0990 | Sparsity Loss: 0.0854
Epoch 12/300 | KL Loss: 0.0988 | Sparsity Loss: 0.0932
Epoch 13/300 | KL Loss: 0.0998 | Sparsity Loss: 0.1001
Epoch 14/300 | KL Loss: 0.0987 | Sparsity Loss: 0.1049
Epoch 15/300 | KL Loss: 0.0990 | Sparsity Loss: 0.1085
Epoch 16/300 | KL Loss: 0.0997 | Sparsity Loss: 0.1145
Epoch 17/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1170
Epoch 18/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1154
Epoch 19/300 | KL Loss: 0.0987 | Sparsity Loss: 0.1150
Epoch 20/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1149
Epoch 21/300 | KL Loss: 0.0999 | Sparsity Loss: 0.1149
Epoch 22/300 | KL Loss: 0.0999 | Sparsity Loss: 0.1149
Epoch 23/300 | KL Loss: 0.0999 | Sparsity Loss: 0.1149
Epoch 24/300 | KL Loss: 0.1006 | Sparsity Loss: 0.1149
Epoch 25/300 | KL Loss: 0.0993 | Sparsity Loss: 0.1149
Epoch 26/300 | KL Loss: 0.0991 | Sparsity Loss: 0.1149
Epoch 27/300 | KL Loss: 0.1006 | Sparsity Loss: 0.1149
Epoch 28/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1149
Epoch 29/300 | KL Loss: 0.0998 | Sparsity Loss: 0.1149
Epoch 30/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1149
Epoch 31/300 | KL Loss: 0.0981 | Sparsity Loss: 0.1149
Epoch 32/300 | KL Loss: 0.0984 | Sparsity Loss: 0.1149
Epoch 33/300 | KL Loss: 0.0981 | Sparsity Loss: 0.1149
Epoch 34/300 | KL Loss: 0.1011 | Sparsity Loss: 0.1148
Epoch 35/300 | KL Loss: 0.1002 | Sparsity Loss: 0.1148
Epoch 36/300 | KL Loss: 0.0991 | Sparsity Loss: 0.1148
Epoch 37/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1148
Epoch 38/300 | KL Loss: 0.0996 | Sparsity Loss: 0.1148
Epoch 39/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1149
Epoch 40/300 | KL Loss: 0.0967 | Sparsity Loss: 0.1148
Epoch 41/300 | KL Loss: 0.0995 | Sparsity Loss: 0.1148
Epoch 42/300 | KL Loss: 0.0997 | Sparsity Loss: 0.1148
Epoch 43/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1148
Epoch 44/300 | KL Loss: 0.0998 | Sparsity Loss: 0.1148
Epoch 45/300 | KL Loss: 0.1004 | Sparsity Loss: 0.1148
Epoch 46/300 | KL Loss: 0.1001 | Sparsity Loss: 0.1148
Epoch 47/300 | KL Loss: 0.1022 | Sparsity Loss: 0.1149
Epoch 48/300 | KL Loss: 0.0988 | Sparsity Loss: 0.1149
Epoch 49/300 | KL Loss: 0.1001 | Sparsity Loss: 0.1148
Epoch 50/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1148
Epoch 51/300 | KL Loss: 0.0995 | Sparsity Loss: 0.1148
Epoch 52/300 | KL Loss: 0.1021 | Sparsity Loss: 0.1148
Epoch 53/300 | KL Loss: 0.1002 | Sparsity Loss: 0.1148
Epoch 54/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1148
Epoch 55/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1148
Epoch 56/300 | KL Loss: 0.0995 | Sparsity Loss: 0.1149
Epoch 57/300 | KL Loss: 0.0994 | Sparsity Loss: 0.1149
Epoch 58/300 | KL Loss: 0.1012 | Sparsity Loss: 0.1148
Epoch 59/300 | KL Loss: 0.0999 | Sparsity Loss: 0.1147
Epoch 60/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1143
Epoch 61/300 | KL Loss: 0.0981 | Sparsity Loss: 0.1134
Epoch 62/300 | KL Loss: 0.1009 | Sparsity Loss: 0.1132
Epoch 63/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1132
Epoch 64/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1132
Epoch 65/300 | KL Loss: 0.1004 | Sparsity Loss: 0.1132
Epoch 66/300 | KL Loss: 0.1008 | Sparsity Loss: 0.1132
Epoch 67/300 | KL Loss: 0.1032 | Sparsity Loss: 0.1131
Epoch 68/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1131
Epoch 69/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1131
Epoch 70/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1131
Epoch 71/300 | KL Loss: 0.1013 | Sparsity Loss: 0.1131
Epoch 72/300 | KL Loss: 0.1013 | Sparsity Loss: 0.1131
Epoch 73/300 | KL Loss: 0.1051 | Sparsity Loss: 0.1131
Epoch 74/300 | KL Loss: 0.1025 | Sparsity Loss: 0.1131
Epoch 75/300 | KL Loss: 0.1019 | Sparsity Loss: 0.1132
Epoch 76/300 | KL Loss: 0.1001 | Sparsity Loss: 0.1132
Epoch 77/300 | KL Loss: 0.1012 | Sparsity Loss: 0.1132
Epoch 78/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1132
Epoch 79/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1132
Epoch 80/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1132
Epoch 81/300 | KL Loss: 0.1002 | Sparsity Loss: 0.1132
Epoch 82/300 | KL Loss: 0.1018 | Sparsity Loss: 0.1132
Epoch 83/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1132
Epoch 84/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1131
Epoch 85/300 | KL Loss: 0.1013 | Sparsity Loss: 0.1130
Epoch 86/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1131
Epoch 87/300 | KL Loss: 0.1012 | Sparsity Loss: 0.1130
Epoch 88/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1130
Epoch 89/300 | KL Loss: 0.1012 | Sparsity Loss: 0.1130
Epoch 90/300 | KL Loss: 0.1010 | Sparsity Loss: 0.1130
Epoch 91/300 | KL Loss: 0.1027 | Sparsity Loss: 0.1131
Epoch 92/300 | KL Loss: 0.1007 | Sparsity Loss: 0.1131
Epoch 93/300 | KL Loss: 0.0987 | Sparsity Loss: 0.1131
Epoch 94/300 | KL Loss: 0.0988 | Sparsity Loss: 0.1132
Epoch 95/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1132
Epoch 96/300 | KL Loss: 0.1009 | Sparsity Loss: 0.1131
Epoch 97/300 | KL Loss: 0.0990 | Sparsity Loss: 0.1131
Epoch 98/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1131
Epoch 99/300 | KL Loss: 0.1004 | Sparsity Loss: 0.1131
Epoch 100/300 | KL Loss: 0.1008 | Sparsity Loss: 0.1132
Epoch 101/300 | KL Loss: 0.1006 | Sparsity Loss: 0.1132
Epoch 102/300 | KL Loss: 0.1011 | Sparsity Loss: 0.1132
Epoch 103/300 | KL Loss: 0.1008 | Sparsity Loss: 0.1132
Epoch 104/300 | KL Loss: 0.0993 | Sparsity Loss: 0.1132
Epoch 105/300 | KL Loss: 0.1006 | Sparsity Loss: 0.1132
Epoch 106/300 | KL Loss: 0.0998 | Sparsity Loss: 0.1132
Epoch 107/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1132
Epoch 108/300 | KL Loss: 0.1031 | Sparsity Loss: 0.1132
Epoch 109/300 | KL Loss: 0.0991 | Sparsity Loss: 0.1132
Epoch 110/300 | KL Loss: 0.1002 | Sparsity Loss: 0.1132
Epoch 111/300 | KL Loss: 0.1008 | Sparsity Loss: 0.1132
Epoch 112/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1132
Epoch 113/300 | KL Loss: 0.1024 | Sparsity Loss: 0.1132
Epoch 114/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1132
Epoch 115/300 | KL Loss: 0.1001 | Sparsity Loss: 0.1132
Epoch 116/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1131
Epoch 117/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1131
Epoch 118/300 | KL Loss: 0.1002 | Sparsity Loss: 0.1132
Epoch 119/300 | KL Loss: 0.0999 | Sparsity Loss: 0.1131
Epoch 120/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1131
Epoch 121/300 | KL Loss: 0.1023 | Sparsity Loss: 0.1132
Epoch 122/300 | KL Loss: 0.1002 | Sparsity Loss: 0.1132
Epoch 123/300 | KL Loss: 0.1009 | Sparsity Loss: 0.1132
Epoch 124/300 | KL Loss: 0.1048 | Sparsity Loss: 0.1131
Epoch 125/300 | KL Loss: 0.1014 | Sparsity Loss: 0.1132
Epoch 126/300 | KL Loss: 0.1009 | Sparsity Loss: 0.1132
Epoch 127/300 | KL Loss: 0.1006 | Sparsity Loss: 0.1132
Epoch 128/300 | KL Loss: 0.1018 | Sparsity Loss: 0.1131
Epoch 129/300 | KL Loss: 0.0996 | Sparsity Loss: 0.1131
Epoch 130/300 | KL Loss: 0.1004 | Sparsity Loss: 0.1131
Epoch 131/300 | KL Loss: 0.0996 | Sparsity Loss: 0.1131
Epoch 132/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1131
Epoch 133/300 | KL Loss: 0.1020 | Sparsity Loss: 0.1132
Epoch 134/300 | KL Loss: 0.0999 | Sparsity Loss: 0.1131
Epoch 135/300 | KL Loss: 0.1014 | Sparsity Loss: 0.1130
Epoch 136/300 | KL Loss: 0.1014 | Sparsity Loss: 0.1130
Epoch 137/300 | KL Loss: 0.1014 | Sparsity Loss: 0.1130
Epoch 138/300 | KL Loss: 0.1011 | Sparsity Loss: 0.1131
Epoch 139/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1131
Epoch 140/300 | KL Loss: 0.0998 | Sparsity Loss: 0.1132
Epoch 141/300 | KL Loss: 0.1028 | Sparsity Loss: 0.1132
Epoch 142/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1132
Epoch 143/300 | KL Loss: 0.1032 | Sparsity Loss: 0.1132
Epoch 144/300 | KL Loss: 0.0998 | Sparsity Loss: 0.1132
Epoch 145/300 | KL Loss: 0.1020 | Sparsity Loss: 0.1132
Epoch 146/300 | KL Loss: 0.0985 | Sparsity Loss: 0.1132
Epoch 147/300 | KL Loss: 0.1015 | Sparsity Loss: 0.1132
Epoch 148/300 | KL Loss: 0.1023 | Sparsity Loss: 0.1132
Epoch 149/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1132
Epoch 150/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1132
Epoch 151/300 | KL Loss: 0.1017 | Sparsity Loss: 0.1132
Epoch 152/300 | KL Loss: 0.1024 | Sparsity Loss: 0.1132
Epoch 153/300 | KL Loss: 0.1001 | Sparsity Loss: 0.1132
Epoch 154/300 | KL Loss: 0.1022 | Sparsity Loss: 0.1132
Epoch 155/300 | KL Loss: 0.1010 | Sparsity Loss: 0.1132
Epoch 156/300 | KL Loss: 0.1019 | Sparsity Loss: 0.1132
Epoch 157/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1132
Epoch 158/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1132
Epoch 159/300 | KL Loss: 0.1010 | Sparsity Loss: 0.1132
Epoch 160/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1132
Epoch 161/300 | KL Loss: 0.1012 | Sparsity Loss: 0.1132
Epoch 162/300 | KL Loss: 0.1012 | Sparsity Loss: 0.1131
Epoch 163/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1132
Epoch 164/300 | KL Loss: 0.1004 | Sparsity Loss: 0.1132
Epoch 165/300 | KL Loss: 0.0997 | Sparsity Loss: 0.1132
Epoch 166/300 | KL Loss: 0.1007 | Sparsity Loss: 0.1132
Epoch 167/300 | KL Loss: 0.1022 | Sparsity Loss: 0.1132
Epoch 168/300 | KL Loss: 0.1003 | Sparsity Loss: 0.1131
Epoch 169/300 | KL Loss: 0.1016 | Sparsity Loss: 0.1131
Epoch 170/300 | KL Loss: 0.1004 | Sparsity Loss: 0.1131
Epoch 171/300 | KL Loss: 0.1024 | Sparsity Loss: 0.1131
Epoch 172/300 | KL Loss: 0.0996 | Sparsity Loss: 0.1131
Epoch 173/300 | KL Loss: 0.1009 | Sparsity Loss: 0.1131
Epoch 174/300 | KL Loss: 0.0999 | Sparsity Loss: 0.1131
Epoch 175/300 | KL Loss: 0.1005 | Sparsity Loss: 0.1131
Epoch 176/300 | KL Loss: 0.1009 | Sparsity Loss: 0.1131
Epoch 177/300 | KL Loss: 0.1008 | Sparsity Loss: 0.1131
Epoch 178/300 | KL Loss: 0.1029 | Sparsity Loss: 0.1132
Epoch 179/300 | KL Loss: 0.0999 | Sparsity Loss: 0.1132
Epoch 180/300 | KL Loss: 0.1007 | Sparsity Loss: 0.1131
Epoch 181/300 | KL Loss: 0.0986 | Sparsity Loss: 0.1131
Epoch 182/300 | KL Loss: 0.1011 | Sparsity Loss: 0.1131
Epoch 183/300 | KL Loss: 0.1027 | Sparsity Loss: 0.1131
Epoch 184/300 | KL Loss: 0.1013 | Sparsity Loss: 0.1131
Epoch 185/300 | KL Loss: 0.1018 | Sparsity Loss: 0.1131
Epoch 186/300 | KL Loss: 0.0997 | Sparsity Loss: 0.1131
Epoch 187/300 | KL Loss: 0.1001 | Sparsity Loss: 0.1131
Epoch 188/300 | KL Loss: 0.1030 | Sparsity Loss: 0.1130
Epoch 189/300 | KL Loss: 0.1010 | Sparsity Loss: 0.1131
Epoch 190/300 | KL Loss: 0.0995 | Sparsity Loss: 0.1131
Epoch 191/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1130
Epoch 192/300 | KL Loss: 0.1024 | Sparsity Loss: 0.1130
Epoch 193/300 | KL Loss: 0.1000 | Sparsity Loss: 0.1130
Epoch 194/300 | KL Loss: 0.1008 | Sparsity Loss: 0.1130
Epoch 195/300 | KL Loss: 0.1024 | Sparsity Loss: 0.1129
Epoch 196/300 | KL Loss: 0.1018 | Sparsity Loss: 0.1131
Epoch 197/300 | KL Loss: 0.1027 | Sparsity Loss: 0.1132
Epoch 198/300 | KL Loss: 0.0998 | Sparsity Loss: 0.1132
Epoch 199/300 | KL Loss: 0.0997 | Sparsity Loss: 0.1132
