nohup: ignoring input
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4081.83it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4733.39it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON METALS (500 samples) ---
Epoch 1/600 | KL Loss: 0.1167 | Sparsity Loss: 0.0257
Epoch 2/600 | KL Loss: 0.0558 | Sparsity Loss: 0.0780
Epoch 3/600 | KL Loss: 0.0625 | Sparsity Loss: 0.1302
Epoch 4/600 | KL Loss: 0.0631 | Sparsity Loss: 0.1819
Epoch 5/600 | KL Loss: 0.0471 | Sparsity Loss: 0.2325
Epoch 6/600 | KL Loss: 0.0546 | Sparsity Loss: 0.2815
Epoch 7/600 | KL Loss: 0.0713 | Sparsity Loss: 0.3275
Epoch 8/600 | KL Loss: 0.0913 | Sparsity Loss: 0.3674
Epoch 9/600 | KL Loss: 0.0613 | Sparsity Loss: 0.4034
Epoch 10/600 | KL Loss: 0.0612 | Sparsity Loss: 0.4381
Epoch 11/600 | KL Loss: 0.0656 | Sparsity Loss: 0.4706
Epoch 12/600 | KL Loss: 0.0752 | Sparsity Loss: 0.4993
Epoch 13/600 | KL Loss: 0.0524 | Sparsity Loss: 0.5265
Epoch 14/600 | KL Loss: 0.0656 | Sparsity Loss: 0.5489
Epoch 15/600 | KL Loss: 0.0532 | Sparsity Loss: 0.5688
Epoch 16/600 | KL Loss: 0.0644 | Sparsity Loss: 0.5856
Epoch 17/600 | KL Loss: 0.0561 | Sparsity Loss: 0.5821
Epoch 18/600 | KL Loss: 0.0668 | Sparsity Loss: 0.5619
Epoch 19/600 | KL Loss: 0.1324 | Sparsity Loss: 0.5415
Epoch 20/600 | KL Loss: 0.1075 | Sparsity Loss: 0.5290
Epoch 21/600 | KL Loss: 0.0995 | Sparsity Loss: 0.5181
Epoch 22/600 | KL Loss: 0.0955 | Sparsity Loss: 0.5055
Epoch 23/600 | KL Loss: 0.1315 | Sparsity Loss: 0.4923
Epoch 24/600 | KL Loss: 0.0976 | Sparsity Loss: 0.4846
Epoch 25/600 | KL Loss: 0.1493 | Sparsity Loss: 0.4768
Epoch 26/600 | KL Loss: 0.2090 | Sparsity Loss: 0.4668
Epoch 27/600 | KL Loss: 0.1906 | Sparsity Loss: 0.4584
Epoch 28/600 | KL Loss: 0.1955 | Sparsity Loss: 0.4511
Epoch 29/600 | KL Loss: 0.2099 | Sparsity Loss: 0.4401
Epoch 30/600 | KL Loss: 0.2233 | Sparsity Loss: 0.4275
Epoch 31/600 | KL Loss: 0.2273 | Sparsity Loss: 0.4171
Epoch 32/600 | KL Loss: 0.2344 | Sparsity Loss: 0.4092
Epoch 33/600 | KL Loss: 0.2280 | Sparsity Loss: 0.4038
Epoch 34/600 | KL Loss: 0.2417 | Sparsity Loss: 0.3986
