nohup: ignoring input
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4045.43it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3656.00it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON ALL (2500 samples) ---
Epoch 1/300 | KL Loss: 0.0785 | Sparsity Loss: 0.1292
Epoch 2/300 | KL Loss: 0.0894 | Sparsity Loss: 0.3662
Epoch 3/300 | KL Loss: 0.0860 | Sparsity Loss: 0.5168
Epoch 4/300 | KL Loss: 0.1475 | Sparsity Loss: 0.5352
Epoch 5/300 | KL Loss: 0.1598 | Sparsity Loss: 0.4632
Epoch 6/300 | KL Loss: 0.1864 | Sparsity Loss: 0.4122
Epoch 7/300 | KL Loss: 0.1757 | Sparsity Loss: 0.3857
Epoch 8/300 | KL Loss: 0.2049 | Sparsity Loss: 0.3649
Epoch 9/300 | KL Loss: 0.1818 | Sparsity Loss: 0.3507
Epoch 10/300 | KL Loss: 0.1904 | Sparsity Loss: 0.3435
Epoch 11/300 | KL Loss: 0.2000 | Sparsity Loss: 0.3374
Epoch 12/300 | KL Loss: 0.1914 | Sparsity Loss: 0.3328
Epoch 13/300 | KL Loss: 0.1857 | Sparsity Loss: 0.3236
Epoch 14/300 | KL Loss: 0.1803 | Sparsity Loss: 0.3166
Epoch 15/300 | KL Loss: 0.1756 | Sparsity Loss: 0.3106
Epoch 16/300 | KL Loss: 0.1682 | Sparsity Loss: 0.3059
Epoch 17/300 | KL Loss: 0.1677 | Sparsity Loss: 0.3026
Epoch 18/300 | KL Loss: 0.1988 | Sparsity Loss: 0.2996
Epoch 19/300 | KL Loss: 0.1886 | Sparsity Loss: 0.2979
Epoch 20/300 | KL Loss: 0.1955 | Sparsity Loss: 0.2952
Epoch 21/300 | KL Loss: 0.1915 | Sparsity Loss: 0.2928
Epoch 22/300 | KL Loss: 0.1954 | Sparsity Loss: 0.2910
Epoch 23/300 | KL Loss: 0.1841 | Sparsity Loss: 0.2900
Epoch 24/300 | KL Loss: 0.1958 | Sparsity Loss: 0.2887
Epoch 25/300 | KL Loss: 0.1924 | Sparsity Loss: 0.2874
Epoch 26/300 | KL Loss: 0.2044 | Sparsity Loss: 0.2848
Epoch 27/300 | KL Loss: 0.2069 | Sparsity Loss: 0.2830
Epoch 28/300 | KL Loss: 0.1967 | Sparsity Loss: 0.2811
Epoch 29/300 | KL Loss: 0.1993 | Sparsity Loss: 0.2776
Epoch 30/300 | KL Loss: 0.1917 | Sparsity Loss: 0.2760
Epoch 31/300 | KL Loss: 0.1920 | Sparsity Loss: 0.2748
Epoch 32/300 | KL Loss: 0.1965 | Sparsity Loss: 0.2734
Epoch 33/300 | KL Loss: 0.1960 | Sparsity Loss: 0.2718
Epoch 34/300 | KL Loss: 0.1914 | Sparsity Loss: 0.2703
Epoch 35/300 | KL Loss: 0.1888 | Sparsity Loss: 0.2686
Epoch 36/300 | KL Loss: 0.2171 | Sparsity Loss: 0.2669
Epoch 37/300 | KL Loss: 0.1935 | Sparsity Loss: 0.2637
Epoch 38/300 | KL Loss: 0.2027 | Sparsity Loss: 0.2623
Epoch 39/300 | KL Loss: 0.2084 | Sparsity Loss: 0.2609
Epoch 40/300 | KL Loss: 0.2130 | Sparsity Loss: 0.2600
Epoch 41/300 | KL Loss: 0.2180 | Sparsity Loss: 0.2601
