MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4018.80it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4304.54it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON VEHICLES_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.1104 | Sparsity Loss: 0.0774
Epoch 2/600 | KL Loss: 0.0729 | Sparsity Loss: 0.2345
Epoch 3/600 | KL Loss: 0.0463 | Sparsity Loss: 0.3894
Epoch 4/600 | KL Loss: 0.0575 | Sparsity Loss: 0.5383
Epoch 5/600 | KL Loss: 0.0403 | Sparsity Loss: 0.6816
Epoch 6/600 | KL Loss: 0.0602 | Sparsity Loss: 0.8162
Epoch 7/600 | KL Loss: 0.0564 | Sparsity Loss: 0.9391
Epoch 8/600 | KL Loss: 0.0296 | Sparsity Loss: 1.0601
Epoch 9/600 | KL Loss: 0.0299 | Sparsity Loss: 1.1765
Epoch 10/600 | KL Loss: 0.0413 | Sparsity Loss: 1.2929
Epoch 11/600 | KL Loss: 0.0570 | Sparsity Loss: 1.4017
Epoch 12/600 | KL Loss: 0.0515 | Sparsity Loss: 1.5086
Epoch 13/600 | KL Loss: 0.0561 | Sparsity Loss: 1.6037
Epoch 14/600 | KL Loss: 0.0901 | Sparsity Loss: 1.5903
Epoch 15/600 | KL Loss: 0.1022 | Sparsity Loss: 1.6538
Epoch 16/600 | KL Loss: 0.1040 | Sparsity Loss: 1.7555
Epoch 17/600 | KL Loss: 0.0946 | Sparsity Loss: 1.7798
Epoch 18/600 | KL Loss: 0.1116 | Sparsity Loss: 1.7610
Epoch 19/600 | KL Loss: 0.0988 | Sparsity Loss: 1.7488
Epoch 20/600 | KL Loss: 0.0939 | Sparsity Loss: 1.7362
Epoch 21/600 | KL Loss: 0.0985 | Sparsity Loss: 1.7263
Epoch 22/600 | KL Loss: 0.0971 | Sparsity Loss: 1.7163
Epoch 23/600 | KL Loss: 0.1075 | Sparsity Loss: 1.7096
Epoch 24/600 | KL Loss: 0.1028 | Sparsity Loss: 1.7036
