model,model_short,task,lambda_sparsity,seed,num_epochs,learning_rate,batch_size,training_time_seconds,baseline_accuracy,baseline_logit_diff,final_accuracy,final_logit_diff,final_kl_div,final_exact_match,accuracy_drop,final_train_loss,final_train_kl,final_train_sparsity,final_train_task_loss,compression_ratio,reduction_percentage,active_prunable_params,total_prunable_params,effective_compression,pruned_pct_embedding,active_embedding,total_embedding,pruned_pct_layer_level,active_layer_level,total_layer_level,pruned_pct_attention_blocks,active_attention_blocks,total_attention_blocks,pruned_pct_mlp_blocks,active_mlp_blocks,total_mlp_blocks,pruned_pct_attention_heads,active_attention_heads,total_attention_heads,pruned_pct_attention_neurons,active_attention_neurons,total_attention_neurons,pruned_pct_mlp_hidden,active_mlp_hidden,total_mlp_hidden,pruned_pct_mlp_output,active_mlp_output,total_mlp_output,sparsity_attention_blocks,sparsity_mlp_blocks,sparsity_attention_heads,sparsity_attention_neurons,sparsity_mlp_hidden,sparsity_mlp_output,sparsity_total_sparsity
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.7,42,500,0.01,32,366.88086915016174,1.0,5.87525025025025,0.964964964964965,6.073573573573573,0.8374860456159284,0.5425425425425425,0.03503503503503502,17.930901663643972,0.3521598790373121,25.352722440447128,0.2611607142857143,10.93515074282283,90.85517864802787,88986293,973078528,3.512201497026661,100.0,0,1,0.0,16,16,62.5,6,16,43.75,9,16,91.6015625,43,512,93.1060791015625,2259,32768,80.69686889648438,25301,131072,81.744384765625,5982,32768,6.006345748901367,9.003351211547852,1.465510368347168,1.37998628616333,4.0740885734558105,3.407637357711792,25.3369197845459
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.73,42,500,0.01,32,369.0339994430542,1.0,5.87525025025025,0.9169169169169169,4.2825325325325325,0.8939587781140516,0.5265265265265265,0.0830830830830831,17.5304320199149,0.31534971935408457,23.860605784824916,0.10016741071428571,11.195410919246816,91.06776868474896,86917625,973078528,3.5329691556467573,100.0,0,1,0.0,16,16,68.75,5,16,43.75,9,16,92.3828125,39,512,93.61572265625,2092,32768,81.2103271484375,24628,131072,80.6396484375,6344,32768,5.018413543701172,9.007062911987305,1.3069348335266113,1.2817293405532837,3.789426565170288,3.4443817138671875,23.847946166992188
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.75,42,500,0.01,32,368.6332893371582,1.0,5.87525025025025,0.9039039039039038,3.933933933933934,0.9091236011402027,0.5195195195195195,0.09609609609609615,17.58972958156041,0.3304033577442169,23.296428680419922,0.13922991071428573,11.957338871456914,91.63693518474184,81379188,973078528,3.589798760899018,100.0,0,1,0.0,16,16,68.75,5,16,43.75,9,16,92.7734375,37,512,93.9178466796875,1993,32768,82.293701171875,23208,131072,81.5216064453125,6055,32768,5.017702579498291,9.005411148071289,1.259319543838501,1.2227931022644043,3.511993885040283,3.267521619796753,23.284740447998047
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.78,42,500,0.01,32,367.82401061058044,1.0,5.87525025025025,0.8798798798798799,3.491116116116116,0.928076514014014,0.48848848848848847,0.12012012012012008,17.545307976858957,0.3406482296330588,22.33793749128069,0.21261160714285715,13.358121260070789,92.5139173351485,72845463,973078528,3.681032585032763,100.0,0,1,0.0,16,16,68.75,5,16,43.75,9,16,92.96875,36,512,94.15283203125,1916,32768,84.26742553710938,20621,131072,82.8277587890625,5627,32768,5.014227867126465,9.002098083496094,1.1929333209991455,1.1083600521087646,3.0421249866485596,2.9702017307281494,22.329944610595703
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.8,42,500,0.01,32,366.0016052722931,1.0,5.87525025025025,0.8408408408408409,3.0521771771771773,0.9532272751266891,0.47347347347347346,0.15915915915915912,17.50126620701381,0.36605964388166157,21.713708060128347,0.28543526785714285,14.44915409257377,93.079179628142,67345017,973078528,3.7423364516080557,100.0,0,1,0.0,16,16,68.75,5,16,43.75,9,16,93.359375,34,512,94.3634033203125,1847,32768,85.44921875,19072,131072,83.831787109375,5298,32768,5.010667324066162,9.002009391784668,1.1221065521240234,1.0403389930725098,2.7667441368103027,2.7652475833892822,21.707111358642578
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.83,42,500,0.01,32,365.38216400146484,1.0,5.87525025025025,0.8108108108108109,2.674299299299299,0.9878862016313188,0.44844844844844844,0.18918918918918914,17.627456665039062,0.39039161801338196,21.047358649117605,0.5398995535714286,15.820189973280181,93.67896338988994,61508650,973078528,3.8096571773945413,100.0,0,1,0.0,16,16,68.75,5,16,43.75,9,16,93.359375,34,512,94.451904296875,1818,32768,86.87591552734375,17202,131072,84.7991943359375,4981,32768,5.008162498474121,8.953545570373535,1.0937329530715942,0.9793209433555603,2.4384279251098633,2.569108247756958,21.04229736328125
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.85,42,500,0.01,32,364.90237188339233,1.0,5.87525025025025,0.6536536536536537,1.1507757757757757,1.1601649256678555,0.37537537537537535,0.3463463463463463,17.056270326886857,0.48184884446007864,19.76663534981864,1.2156808035714286,17.092499531179858,94.14948060594756,56930148,973078528,3.8641883786483553,100.0,0,1,0.0,16,16,68.75,5,16,50.0,8,16,93.359375,34,512,94.5037841796875,1801,32768,88.16452026367188,15513,131072,85.9710693359375,4597,32768,5.008162021636963,8.015209197998047,1.0915077924728394,0.9551835656166077,2.239910125732422,2.4528064727783203,19.762773513793945
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.88,42,500,0.01,32,365.3352997303009,1.0,5.87525025025025,0.2702702702702703,-1.6499624624624625,1.8373640974959333,0.2022022022022022,0.7297297297297297,15.652210235595703,1.2177854350634985,17.044610159737722,4.223493303571429,20.26389475070247,95.06511451869176,48020311,973078528,3.9749101002566833,100.0,0,1,0.0,16,16,75.0,4,16,56.25,7,16,94.140625,30,512,95.25146484375,1556,32768,90.09017944335938,12989,131072,87.6068115234375,4061,32768,4.0241827964782715,7.013864994049072,1.0877705812454224,0.9195178747177124,1.8131016492843628,2.1829891204833984,17.04142951965332
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.9,42,500,0.01,32,364.99902057647705,1.0,5.87525025025025,0.036036036036036036,-3.718093093093093,3.1044015206612863,0.1871871871871872,0.963963963963964,11.231134687151227,2.9476113319396973,11.32399068559919,7.447823660714286,36.76335295524414,97.2798999013572,26468710,973078528,4.2709196483252585,100.0,0,1,0.0,16,16,75.0,4,16,81.25,3,16,94.53125,28,512,95.6207275390625,1435,32768,95.58944702148438,5781,131072,95.1080322265625,1603,32768,4.004631042480469,3.1331257820129395,0.9630065560340881,0.8196748495101929,1.1249055862426758,1.2696800231933594,11.315025329589844
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.93,42,500,0.01,32,366.29775977134705,1.0,5.87525025025025,0.0,-6.915071321321322,3.4117822656641015,0.1881881881881882,1.0,2.304964917046683,3.2538911615099226,1.4330215454101562,10.635463169642858,inf,100.0,0,973078528,4.700860824542146,100.0,0,1,0.0,16,16,100.0,0,16,100.0,0,16,100.0,0,512,100.0,0,32768,100.0,0,131072,100.0,0,32768,0.0336843878030777,0.04927396401762962,0.3525698482990265,0.2762746512889862,0.33539947867393494,0.38034915924072266,1.427551507949829
meta-llama/Llama-3.2-1B,Llama-3.2-1B,ioi,0.95,42,500,0.01,32,365.52686953544617,1.0,5.87525025025025,0.0,-6.915071321321322,3.4117822656641015,0.1881881881881882,1.0,1.0347133704594202,3.2538911615099226,0.3581533006259373,10.635463169642858,inf,100.0,0,973078528,4.700860824542146,100.0,0,1,0.0,16,16,100.0,0,16,100.0,0,16,100.0,0,512,100.0,0,32768,100.0,0,131072,100.0,0,32768,0.025254756212234497,0.031118551269173622,0.025896402075886726,0.04321886599063873,0.13766597211360931,0.09396965056657791,0.3571242392063141
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.7,42,500,0.01,32,260.7612636089325,1.0,4.617788461538462,0.9911242603550295,10.775147928994082,0.7921917255108173,0.849112426035503,0.00887573964497046,15.089124488830567,0.8533353567123413,20.67488670349121,1.20234375,12.782501056934262,92.17680487139471,76125832,973078528,3.6454188708759165,100.0,0,1,0.0,16,16,68.75,5,16,68.75,5,16,95.8984375,21,512,97.3358154296875,873,32768,83.99505615234375,20978,131072,83.502197265625,5406,32768,5.013766765594482,5.037123680114746,0.8766376972198486,0.9217461347579956,4.938284873962402,3.8627736568450928,20.65033531188965
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.73,42,500,0.01,32,261.1244978904724,1.0,4.617788461538462,0.9792899408284024,9.043361686390533,0.7340996194873336,0.8461538461538461,0.020710059171597628,13.768000411987305,0.9100674390792847,18.10428123474121,1.1339133530855179,14.41512332239023,93.06284117287603,67504003,973078528,3.7405358691839337,100.0,0,1,0.0,16,16,75.0,4,16,68.75,5,16,97.0703125,15,512,98.0224609375,648,32768,85.26458740234375,19314,131072,84.4390869140625,5099,32768,4.047120094299316,5.032435894012451,0.7302907109260559,0.7762285470962524,4.146255016326904,3.3510053157806396,18.08333396911621
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.75,42,500,0.01,32,261.0706877708435,1.0,4.617788461538462,0.9763313609467456,9.03698224852071,0.7541625795985115,0.849112426035503,0.023668639053254448,13.457120513916015,1.0002303719520569,17.193093490600585,1.2489701703190803,15.465902891790314,93.53416346270463,62917667,973078528,3.793183768329035,100.0,0,1,0.0,16,16,75.0,4,16,68.75,5,16,97.0703125,15,512,98.0682373046875,633,32768,86.09161376953125,18230,131072,85.29052734375,4820,32768,4.045137882232666,5.019404411315918,0.7425187230110168,0.7022297382354736,3.6745007038116455,2.9918408393859863,17.175630569458008
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.78,42,500,0.01,32,261.1569917201996,1.0,4.617788461538462,0.9733727810650887,8.331360946745562,0.803089661005686,0.8165680473372781,0.026627218934911268,11.89956111907959,1.2043612360954286,14.569221305847169,1.2300426136702298,24.315524569354462,95.88740108342006,40018817,973078528,4.079894507061272,100.0,0,1,0.0,16,16,68.75,5,16,81.25,3,16,96.484375,18,512,97.772216796875,730,32768,91.72897338867188,10841,131072,90.8477783203125,2999,32768,5.017476558685303,3.059380531311035,0.7504878640174866,0.6291432976722717,2.8759469985961914,2.220771551132202,14.553205490112305
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.8,42,500,0.01,32,260.8801791667938,1.0,4.617788461538462,0.9763313609467456,8.13590976331361,0.8010990661982249,0.8165680473372781,0.023668639053254448,11.401108169555664,1.2434130787849427,13.637646102905274,1.2115411933511495,26.671907278060974,96.25073681617606,36483275,973078528,4.1280703693421845,100.0,0,1,0.0,16,16,68.75,5,16,81.25,3,16,96.6796875,17,512,97.91259765625,684,32768,92.32025146484375,10066,131072,91.5008544921875,2785,32768,5.01475715637207,3.0499730110168457,0.6618297696113586,0.5798709392547607,2.438610553741455,1.879172682762146,13.624216079711914
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.83,42,500,0.01,32,261.06969690322876,1.0,4.617788461538462,0.9644970414201184,5.886649408284024,0.7528951972193972,0.7869822485207101,0.035502958579881616,10.143147850036621,1.3949352622032165,11.582102966308593,1.7227272748947144,30.69171227892396,96.7417914291908,31704928,973078528,4.195018135341913,100.0,0,1,0.0,16,16,75.0,4,16,81.25,3,16,97.265625,14,512,98.3154296875,552,32768,93.16558837890625,8958,131072,91.7755126953125,2695,32768,4.038207530975342,3.0420682430267334,0.5903468728065491,0.49469295144081116,1.820700764656067,1.5870819091796875,11.573098182678223
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.85,42,500,0.01,32,261.0813522338867,1.0,4.617788461538462,0.9615384615384616,5.671227810650888,0.7595286171817215,0.7840236686390533,0.038461538461538436,9.901340866088868,1.4307098150253297,11.086018562316895,1.7574573874473571,33.96142691118735,97.05548296714652,28652463,973078528,4.238933716203784,100.0,0,1,0.0,16,16,75.0,4,16,81.25,3,16,97.265625,14,512,98.3642578125,536,32768,93.78433227539062,8147,131072,92.2698974609375,2533,32768,4.028584003448486,3.0394785404205322,0.5769765973091125,0.44744744896888733,1.531224012374878,1.455674171447754,11.079380989074707
