Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3476.13it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3964.83it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x2 on all levels): attention_heads=0.1

--- TRAINING MASKS ON ALL (2500 samples) ---
Epoch 1/300 | KL Loss: 0.3636 | Sparsity Loss: 0.5650
Epoch 2/300 | KL Loss: 0.2852 | Sparsity Loss: 1.5705
Epoch 3/300 | KL Loss: 0.2742 | Sparsity Loss: 2.1763
Epoch 4/300 | KL Loss: 0.2753 | Sparsity Loss: 2.3919
Epoch 5/300 | KL Loss: 0.2657 | Sparsity Loss: 2.1546
Epoch 6/300 | KL Loss: 0.2543 | Sparsity Loss: 1.9290
Epoch 7/300 | KL Loss: 0.2477 | Sparsity Loss: 1.7137
Epoch 8/300 | KL Loss: 0.2483 | Sparsity Loss: 1.5425
Epoch 9/300 | KL Loss: 0.2486 | Sparsity Loss: 1.4037
Epoch 10/300 | KL Loss: 0.2431 | Sparsity Loss: 1.2989
Epoch 11/300 | KL Loss: 0.2377 | Sparsity Loss: 1.2166
Epoch 12/300 | KL Loss: 0.2388 | Sparsity Loss: 1.1565
Epoch 13/300 | KL Loss: 0.2388 | Sparsity Loss: 1.1057
Epoch 14/300 | KL Loss: 0.2398 | Sparsity Loss: 1.0667
Epoch 15/300 | KL Loss: 0.2290 | Sparsity Loss: 1.0378
Epoch 16/300 | KL Loss: 0.2317 | Sparsity Loss: 1.0154
Epoch 17/300 | KL Loss: 0.2285 | Sparsity Loss: 0.9972
Epoch 18/300 | KL Loss: 0.2321 | Sparsity Loss: 0.9819
Epoch 19/300 | KL Loss: 0.2313 | Sparsity Loss: 0.9694
Epoch 20/300 | KL Loss: 0.2329 | Sparsity Loss: 0.9561
Epoch 21/300 | KL Loss: 0.2277 | Sparsity Loss: 0.9464
Epoch 22/300 | KL Loss: 0.2323 | Sparsity Loss: 0.9387
Epoch 23/300 | KL Loss: 0.2300 | Sparsity Loss: 0.9303
Epoch 24/300 | KL Loss: 0.2283 | Sparsity Loss: 0.9238
Epoch 25/300 | KL Loss: 0.2300 | Sparsity Loss: 0.9186
Epoch 26/300 | KL Loss: 0.2283 | Sparsity Loss: 0.9137
Epoch 27/300 | KL Loss: 0.2267 | Sparsity Loss: 0.9096
Epoch 28/300 | KL Loss: 0.2278 | Sparsity Loss: 0.9054
Epoch 29/300 | KL Loss: 0.2319 | Sparsity Loss: 0.9020
Epoch 30/300 | KL Loss: 0.2315 | Sparsity Loss: 0.8993
Epoch 31/300 | KL Loss: 0.2335 | Sparsity Loss: 0.8963
Epoch 32/300 | KL Loss: 0.2307 | Sparsity Loss: 0.8931
Epoch 33/300 | KL Loss: 0.2338 | Sparsity Loss: 0.8907
Epoch 34/300 | KL Loss: 0.2300 | Sparsity Loss: 0.8886
Epoch 35/300 | KL Loss: 0.2291 | Sparsity Loss: 0.8865
Epoch 36/300 | KL Loss: 0.2299 | Sparsity Loss: 0.8839
Epoch 37/300 | KL Loss: 0.2458 | Sparsity Loss: 0.8825
Epoch 38/300 | KL Loss: 0.2383 | Sparsity Loss: 0.8806
Epoch 39/300 | KL Loss: 0.2314 | Sparsity Loss: 0.8787
Epoch 40/300 | KL Loss: 0.2290 | Sparsity Loss: 0.8773
Epoch 41/300 | KL Loss: 0.2342 | Sparsity Loss: 0.8759
Epoch 42/300 | KL Loss: 0.2341 | Sparsity Loss: 0.8746
Epoch 43/300 | KL Loss: 0.2338 | Sparsity Loss: 0.8728
Epoch 44/300 | KL Loss: 0.2362 | Sparsity Loss: 0.8713
Epoch 45/300 | KL Loss: 0.2350 | Sparsity Loss: 0.8700
Epoch 46/300 | KL Loss: 0.2316 | Sparsity Loss: 0.8686
Epoch 47/300 | KL Loss: 0.2360 | Sparsity Loss: 0.8677
Epoch 48/300 | KL Loss: 0.2352 | Sparsity Loss: 0.8667
Epoch 49/300 | KL Loss: 0.2372 | Sparsity Loss: 0.8656
Epoch 50/300 | KL Loss: 0.2440 | Sparsity Loss: 0.8648
Epoch 51/300 | KL Loss: 0.2357 | Sparsity Loss: 0.8637
Epoch 52/300 | KL Loss: 0.2384 | Sparsity Loss: 0.8628
