Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3750.95it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3735.50it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON ANIMALS (500 samples) ---
Epoch 1/600 | KL Loss: 0.0864 | Sparsity Loss: 0.0566
Epoch 2/600 | KL Loss: 0.0583 | Sparsity Loss: 0.1709
Epoch 3/600 | KL Loss: 0.0550 | Sparsity Loss: 0.2814
Epoch 4/600 | KL Loss: 0.0516 | Sparsity Loss: 0.3804
Epoch 5/600 | KL Loss: 0.0507 | Sparsity Loss: 0.4687
Epoch 6/600 | KL Loss: 0.0517 | Sparsity Loss: 0.5479
Epoch 7/600 | KL Loss: 0.0500 | Sparsity Loss: 0.6155
Epoch 8/600 | KL Loss: 0.0501 | Sparsity Loss: 0.6736
Epoch 9/600 | KL Loss: 0.0516 | Sparsity Loss: 0.7306
Epoch 10/600 | KL Loss: 0.0516 | Sparsity Loss: 0.7849
Epoch 11/600 | KL Loss: 0.0512 | Sparsity Loss: 0.8335
Epoch 12/600 | KL Loss: 0.0536 | Sparsity Loss: 0.8774
Epoch 13/600 | KL Loss: 0.0553 | Sparsity Loss: 0.9216
Epoch 14/600 | KL Loss: 0.0534 | Sparsity Loss: 0.9619
Epoch 15/600 | KL Loss: 0.0528 | Sparsity Loss: 0.9981
Epoch 16/600 | KL Loss: 0.0538 | Sparsity Loss: 1.0279
Epoch 17/600 | KL Loss: 0.0545 | Sparsity Loss: 1.0114
Epoch 18/600 | KL Loss: 0.0532 | Sparsity Loss: 0.9749
Epoch 19/600 | KL Loss: 0.0532 | Sparsity Loss: 0.9410
Epoch 20/600 | KL Loss: 0.0539 | Sparsity Loss: 0.9055
Epoch 21/600 | KL Loss: 0.0522 | Sparsity Loss: 0.8716
Epoch 22/600 | KL Loss: 0.0537 | Sparsity Loss: 0.8400
Epoch 23/600 | KL Loss: 0.0560 | Sparsity Loss: 0.8078
Epoch 24/600 | KL Loss: 0.0533 | Sparsity Loss: 0.7750
Epoch 25/600 | KL Loss: 0.0542 | Sparsity Loss: 0.7432
Epoch 26/600 | KL Loss: 0.0540 | Sparsity Loss: 0.7144
Epoch 27/600 | KL Loss: 0.0530 | Sparsity Loss: 0.6877
Epoch 28/600 | KL Loss: 0.0531 | Sparsity Loss: 0.6631
Epoch 29/600 | KL Loss: 0.0538 | Sparsity Loss: 0.6401
Epoch 30/600 | KL Loss: 0.0539 | Sparsity Loss: 0.6183
Epoch 31/600 | KL Loss: 0.0526 | Sparsity Loss: 0.5970
Epoch 32/600 | KL Loss: 0.0539 | Sparsity Loss: 0.5776
Epoch 33/600 | KL Loss: 0.0532 | Sparsity Loss: 0.5593
Epoch 34/600 | KL Loss: 0.0526 | Sparsity Loss: 0.5416
Epoch 35/600 | KL Loss: 0.0550 | Sparsity Loss: 0.5257
Epoch 36/600 | KL Loss: 0.0551 | Sparsity Loss: 0.5113
Epoch 37/600 | KL Loss: 0.0546 | Sparsity Loss: 0.4978
Epoch 38/600 | KL Loss: 0.0524 | Sparsity Loss: 0.4852
Epoch 39/600 | KL Loss: 0.0537 | Sparsity Loss: 0.4734
Epoch 40/600 | KL Loss: 0.0536 | Sparsity Loss: 0.4633
Epoch 41/600 | KL Loss: 0.0540 | Sparsity Loss: 0.4540
Epoch 42/600 | KL Loss: 0.0540 | Sparsity Loss: 0.4455
Epoch 43/600 | KL Loss: 0.0534 | Sparsity Loss: 0.4374
Epoch 44/600 | KL Loss: 0.0531 | Sparsity Loss: 0.4294
Epoch 45/600 | KL Loss: 0.0549 | Sparsity Loss: 0.4222
Epoch 46/600 | KL Loss: 0.0536 | Sparsity Loss: 0.4153
Epoch 47/600 | KL Loss: 0.0539 | Sparsity Loss: 0.4092
Epoch 48/600 | KL Loss: 0.0533 | Sparsity Loss: 0.4037
Epoch 49/600 | KL Loss: 0.0535 | Sparsity Loss: 0.3979
Epoch 50/600 | KL Loss: 0.0543 | Sparsity Loss: 0.3930
Epoch 51/600 | KL Loss: 0.0532 | Sparsity Loss: 0.3889
Epoch 52/600 | KL Loss: 0.0540 | Sparsity Loss: 0.3849
Epoch 53/600 | KL Loss: 0.0543 | Sparsity Loss: 0.3813
Epoch 54/600 | KL Loss: 0.0532 | Sparsity Loss: 0.3780
Epoch 55/600 | KL Loss: 0.0527 | Sparsity Loss: 0.3748
Epoch 56/600 | KL Loss: 0.0535 | Sparsity Loss: 0.3718
Epoch 57/600 | KL Loss: 0.0546 | Sparsity Loss: 0.3689
Epoch 58/600 | KL Loss: 0.0543 | Sparsity Loss: 0.3664
Epoch 59/600 | KL Loss: 0.0539 | Sparsity Loss: 0.3638
Epoch 60/600 | KL Loss: 0.0542 | Sparsity Loss: 0.3610
Epoch 61/600 | KL Loss: 0.0534 | Sparsity Loss: 0.3583
Epoch 62/600 | KL Loss: 0.0542 | Sparsity Loss: 0.3561
Epoch 63/600 | KL Loss: 0.0535 | Sparsity Loss: 0.3542
Epoch 64/600 | KL Loss: 0.0537 | Sparsity Loss: 0.3523
Epoch 65/600 | KL Loss: 0.0533 | Sparsity Loss: 0.3505
