Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3398.50it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3039.41it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON COLORS (500 samples) ---
Epoch 1/600 | KL Loss: 0.7731 | Sparsity Loss: 0.0566
Epoch 2/600 | KL Loss: 0.4917 | Sparsity Loss: 0.1713
Epoch 3/600 | KL Loss: 0.4419 | Sparsity Loss: 0.2854
Epoch 4/600 | KL Loss: 0.3885 | Sparsity Loss: 0.3990
Epoch 5/600 | KL Loss: 0.4553 | Sparsity Loss: 0.5118
Epoch 6/600 | KL Loss: 0.4177 | Sparsity Loss: 0.6230
Epoch 7/600 | KL Loss: 0.3471 | Sparsity Loss: 0.7312
Epoch 8/600 | KL Loss: 0.3382 | Sparsity Loss: 0.8363
Epoch 9/600 | KL Loss: 0.3073 | Sparsity Loss: 0.9376
Epoch 10/600 | KL Loss: 0.3193 | Sparsity Loss: 1.0317
Epoch 11/600 | KL Loss: 0.2923 | Sparsity Loss: 1.1164
Epoch 12/600 | KL Loss: 0.3073 | Sparsity Loss: 1.1935
Epoch 13/600 | KL Loss: 0.2986 | Sparsity Loss: 1.2603
Epoch 14/600 | KL Loss: 0.2707 | Sparsity Loss: 1.3186
Epoch 15/600 | KL Loss: 0.3022 | Sparsity Loss: 1.3711
Epoch 16/600 | KL Loss: 0.2585 | Sparsity Loss: 1.4215
Epoch 17/600 | KL Loss: 0.2679 | Sparsity Loss: 1.4164
Epoch 18/600 | KL Loss: 0.2665 | Sparsity Loss: 1.3809
Epoch 19/600 | KL Loss: 0.2678 | Sparsity Loss: 1.3456
Epoch 20/600 | KL Loss: 0.2608 | Sparsity Loss: 1.3105
Epoch 21/600 | KL Loss: 0.2873 | Sparsity Loss: 1.2784
Epoch 22/600 | KL Loss: 0.2551 | Sparsity Loss: 1.2511
Epoch 23/600 | KL Loss: 0.3004 | Sparsity Loss: 1.2302
Epoch 24/600 | KL Loss: 0.2736 | Sparsity Loss: 1.2116
Epoch 25/600 | KL Loss: 0.2569 | Sparsity Loss: 1.1939
Epoch 26/600 | KL Loss: 0.2694 | Sparsity Loss: 1.1753
Epoch 27/600 | KL Loss: 0.2659 | Sparsity Loss: 1.1574
