Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4177.17it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3387.37it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 64 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON ANIMALS (500 samples) ---
Epoch 1/300 | KL Loss: 0.1085 | Sparsity Loss: 0.0107
Epoch 2/300 | KL Loss: 0.1085 | Sparsity Loss: 0.0325
Epoch 3/300 | KL Loss: 0.1086 | Sparsity Loss: 0.0540
Epoch 4/300 | KL Loss: 0.1081 | Sparsity Loss: 0.0755
Epoch 5/300 | KL Loss: 0.1066 | Sparsity Loss: 0.0966
Epoch 6/300 | KL Loss: 0.1049 | Sparsity Loss: 0.1177
Epoch 7/300 | KL Loss: 0.1046 | Sparsity Loss: 0.1385
Epoch 8/300 | KL Loss: 0.1040 | Sparsity Loss: 0.1585
Epoch 9/300 | KL Loss: 0.0982 | Sparsity Loss: 0.1777
Epoch 10/300 | KL Loss: 0.1004 | Sparsity Loss: 0.1968
Epoch 11/300 | KL Loss: 0.0980 | Sparsity Loss: 0.2148
Epoch 12/300 | KL Loss: 0.0954 | Sparsity Loss: 0.2334
Epoch 13/300 | KL Loss: 0.0947 | Sparsity Loss: 0.2515
Epoch 14/300 | KL Loss: 0.0974 | Sparsity Loss: 0.2687
Epoch 15/300 | KL Loss: 0.0923 | Sparsity Loss: 0.2842
Epoch 16/300 | KL Loss: 0.0909 | Sparsity Loss: 0.3012
