Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4337.99it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3697.14it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 64 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON COLORS (500 samples) ---
Epoch 1/300 | KL Loss: 0.2450 | Sparsity Loss: 0.0107
Epoch 2/300 | KL Loss: 0.2525 | Sparsity Loss: 0.0326
Epoch 3/300 | KL Loss: 0.2579 | Sparsity Loss: 0.0544
Epoch 4/300 | KL Loss: 0.2525 | Sparsity Loss: 0.0762
Epoch 5/300 | KL Loss: 0.2477 | Sparsity Loss: 0.0980
Epoch 6/300 | KL Loss: 0.2534 | Sparsity Loss: 0.1198
Epoch 7/300 | KL Loss: 0.2511 | Sparsity Loss: 0.1415
Epoch 8/300 | KL Loss: 0.2544 | Sparsity Loss: 0.1632
Epoch 9/300 | KL Loss: 0.2499 | Sparsity Loss: 0.1848
Epoch 10/300 | KL Loss: 0.2497 | Sparsity Loss: 0.2063
Epoch 11/300 | KL Loss: 0.2565 | Sparsity Loss: 0.2278
Epoch 12/300 | KL Loss: 0.2478 | Sparsity Loss: 0.2491
Epoch 13/300 | KL Loss: 0.2446 | Sparsity Loss: 0.2704
Epoch 14/300 | KL Loss: 0.2549 | Sparsity Loss: 0.2917
Epoch 15/300 | KL Loss: 0.2332 | Sparsity Loss: 0.3129
Epoch 16/300 | KL Loss: 0.2539 | Sparsity Loss: 0.3338
Epoch 17/300 | KL Loss: 0.2414 | Sparsity Loss: 0.3417
Epoch 18/300 | KL Loss: 0.2471 | Sparsity Loss: 0.3412
Epoch 19/300 | KL Loss: 0.2346 | Sparsity Loss: 0.3407
Epoch 20/300 | KL Loss: 0.2516 | Sparsity Loss: 0.3402
Epoch 21/300 | KL Loss: 0.2616 | Sparsity Loss: 0.3397
Epoch 22/300 | KL Loss: 0.2490 | Sparsity Loss: 0.3391
Epoch 23/300 | KL Loss: 0.2404 | Sparsity Loss: 0.3380
Epoch 24/300 | KL Loss: 0.2357 | Sparsity Loss: 0.3372
Epoch 25/300 | KL Loss: 0.2368 | Sparsity Loss: 0.3368
Epoch 26/300 | KL Loss: 0.2480 | Sparsity Loss: 0.3364
Epoch 27/300 | KL Loss: 0.2364 | Sparsity Loss: 0.3360
Epoch 28/300 | KL Loss: 0.2646 | Sparsity Loss: 0.3357
Epoch 29/300 | KL Loss: 0.2513 | Sparsity Loss: 0.3355
Epoch 30/300 | KL Loss: 0.2469 | Sparsity Loss: 0.3352
Epoch 31/300 | KL Loss: 0.2341 | Sparsity Loss: 0.3349
Epoch 32/300 | KL Loss: 0.2328 | Sparsity Loss: 0.3346
Epoch 33/300 | KL Loss: 0.2597 | Sparsity Loss: 0.3343
Epoch 34/300 | KL Loss: 0.2374 | Sparsity Loss: 0.3341
Epoch 35/300 | KL Loss: 0.2524 | Sparsity Loss: 0.3338
Epoch 36/300 | KL Loss: 0.2441 | Sparsity Loss: 0.3336
Epoch 37/300 | KL Loss: 0.2458 | Sparsity Loss: 0.3333
Epoch 38/300 | KL Loss: 0.2383 | Sparsity Loss: 0.3331
Epoch 39/300 | KL Loss: 0.2463 | Sparsity Loss: 0.3329
Epoch 40/300 | KL Loss: 0.2381 | Sparsity Loss: 0.3327
Epoch 41/300 | KL Loss: 0.2447 | Sparsity Loss: 0.3325
Epoch 42/300 | KL Loss: 0.2409 | Sparsity Loss: 0.3324
Epoch 43/300 | KL Loss: 0.2464 | Sparsity Loss: 0.3322
Epoch 44/300 | KL Loss: 0.2333 | Sparsity Loss: 0.3320
Epoch 45/300 | KL Loss: 0.2510 | Sparsity Loss: 0.3319
Epoch 46/300 | KL Loss: 0.2322 | Sparsity Loss: 0.3317
Epoch 47/300 | KL Loss: 0.2454 | Sparsity Loss: 0.3316
Epoch 48/300 | KL Loss: 0.2394 | Sparsity Loss: 0.3315
Epoch 49/300 | KL Loss: 0.2422 | Sparsity Loss: 0.3313
Epoch 50/300 | KL Loss: 0.2468 | Sparsity Loss: 0.3312
Epoch 51/300 | KL Loss: 0.2529 | Sparsity Loss: 0.3310
Epoch 52/300 | KL Loss: 0.2490 | Sparsity Loss: 0.3309
Epoch 53/300 | KL Loss: 0.2487 | Sparsity Loss: 0.3308
Epoch 54/300 | KL Loss: 0.2435 | Sparsity Loss: 0.3306
Epoch 55/300 | KL Loss: 0.2391 | Sparsity Loss: 0.3296
Epoch 56/300 | KL Loss: 0.2401 | Sparsity Loss: 0.3290
Epoch 57/300 | KL Loss: 0.2390 | Sparsity Loss: 0.3289
Epoch 58/300 | KL Loss: 0.2456 | Sparsity Loss: 0.3287
Epoch 59/300 | KL Loss: 0.2375 | Sparsity Loss: 0.3286
Epoch 60/300 | KL Loss: 0.2679 | Sparsity Loss: 0.3285
Epoch 61/300 | KL Loss: 0.2775 | Sparsity Loss: 0.3284
Epoch 62/300 | KL Loss: 0.2425 | Sparsity Loss: 0.3283
Epoch 63/300 | KL Loss: 0.2429 | Sparsity Loss: 0.3282
Epoch 64/300 | KL Loss: 0.2510 | Sparsity Loss: 0.3281
Epoch 65/300 | KL Loss: 0.2492 | Sparsity Loss: 0.3280
Epoch 66/300 | KL Loss: 0.2426 | Sparsity Loss: 0.3279
Epoch 67/300 | KL Loss: 0.2740 | Sparsity Loss: 0.3278
Epoch 68/300 | KL Loss: 0.2741 | Sparsity Loss: 0.3277
Epoch 69/300 | KL Loss: 0.2426 | Sparsity Loss: 0.3277
Epoch 70/300 | KL Loss: 0.2433 | Sparsity Loss: 0.3276
Epoch 71/300 | KL Loss: 0.2563 | Sparsity Loss: 0.3275
Epoch 72/300 | KL Loss: 0.2305 | Sparsity Loss: 0.3274
Epoch 73/300 | KL Loss: 0.2632 | Sparsity Loss: 0.3273
Epoch 74/300 | KL Loss: 0.2439 | Sparsity Loss: 0.3272
Epoch 75/300 | KL Loss: 0.2553 | Sparsity Loss: 0.3271
Epoch 76/300 | KL Loss: 0.2606 | Sparsity Loss: 0.3270
Epoch 77/300 | KL Loss: 0.2541 | Sparsity Loss: 0.3269
Epoch 78/300 | KL Loss: 0.2543 | Sparsity Loss: 0.3269
Epoch 79/300 | KL Loss: 0.2427 | Sparsity Loss: 0.3268
Epoch 80/300 | KL Loss: 0.2482 | Sparsity Loss: 0.3267
Epoch 81/300 | KL Loss: 0.2393 | Sparsity Loss: 0.3266
Epoch 82/300 | KL Loss: 0.2479 | Sparsity Loss: 0.3265
Epoch 83/300 | KL Loss: 0.2341 | Sparsity Loss: 0.3264
Epoch 84/300 | KL Loss: 0.2521 | Sparsity Loss: 0.3263
Epoch 85/300 | KL Loss: 0.2424 | Sparsity Loss: 0.3262
Epoch 86/300 | KL Loss: 0.2489 | Sparsity Loss: 0.3262
Epoch 87/300 | KL Loss: 0.2440 | Sparsity Loss: 0.3261
Epoch 88/300 | KL Loss: 0.2546 | Sparsity Loss: 0.3261
Epoch 89/300 | KL Loss: 0.2510 | Sparsity Loss: 0.3260
Epoch 90/300 | KL Loss: 0.2648 | Sparsity Loss: 0.3259
Epoch 91/300 | KL Loss: 0.2409 | Sparsity Loss: 0.3259
Epoch 92/300 | KL Loss: 0.2389 | Sparsity Loss: 0.3258
Epoch 93/300 | KL Loss: 0.2518 | Sparsity Loss: 0.3257
Epoch 94/300 | KL Loss: 0.2411 | Sparsity Loss: 0.3257
Epoch 95/300 | KL Loss: 0.2645 | Sparsity Loss: 0.3256
Epoch 96/300 | KL Loss: 0.2547 | Sparsity Loss: 0.3256
Epoch 97/300 | KL Loss: 0.2569 | Sparsity Loss: 0.3255
Epoch 98/300 | KL Loss: 0.2603 | Sparsity Loss: 0.3255
Epoch 99/300 | KL Loss: 0.2352 | Sparsity Loss: 0.3254
Epoch 100/300 | KL Loss: 0.2643 | Sparsity Loss: 0.3254
Epoch 101/300 | KL Loss: 0.2420 | Sparsity Loss: 0.3253
Epoch 102/300 | KL Loss: 0.2495 | Sparsity Loss: 0.3253
Epoch 103/300 | KL Loss: 0.2450 | Sparsity Loss: 0.3252
Epoch 104/300 | KL Loss: 0.2637 | Sparsity Loss: 0.3252
Epoch 105/300 | KL Loss: 0.2576 | Sparsity Loss: 0.3251
Epoch 106/300 | KL Loss: 0.2476 | Sparsity Loss: 0.3251
Epoch 107/300 | KL Loss: 0.2403 | Sparsity Loss: 0.3250
Epoch 108/300 | KL Loss: 0.2564 | Sparsity Loss: 0.3250
Epoch 109/300 | KL Loss: 0.2499 | Sparsity Loss: 0.3249
Epoch 110/300 | KL Loss: 0.2620 | Sparsity Loss: 0.3249
Epoch 111/300 | KL Loss: 0.2474 | Sparsity Loss: 0.3249
Epoch 112/300 | KL Loss: 0.2587 | Sparsity Loss: 0.3248
Epoch 113/300 | KL Loss: 0.2559 | Sparsity Loss: 0.3248
Epoch 114/300 | KL Loss: 0.2453 | Sparsity Loss: 0.3248
Epoch 115/300 | KL Loss: 0.2507 | Sparsity Loss: 0.3247
Epoch 116/300 | KL Loss: 0.2361 | Sparsity Loss: 0.3247
Epoch 117/300 | KL Loss: 0.2438 | Sparsity Loss: 0.3246
Epoch 118/300 | KL Loss: 0.2504 | Sparsity Loss: 0.3246
Epoch 119/300 | KL Loss: 0.2480 | Sparsity Loss: 0.3245
Epoch 120/300 | KL Loss: 0.2507 | Sparsity Loss: 0.3245
Epoch 121/300 | KL Loss: 0.2481 | Sparsity Loss: 0.3245
Epoch 122/300 | KL Loss: 0.2476 | Sparsity Loss: 0.3244
Epoch 123/300 | KL Loss: 0.2595 | Sparsity Loss: 0.3244
Epoch 124/300 | KL Loss: 0.2410 | Sparsity Loss: 0.3243
Epoch 125/300 | KL Loss: 0.2315 | Sparsity Loss: 0.3243
Epoch 126/300 | KL Loss: 0.2515 | Sparsity Loss: 0.3243
Epoch 127/300 | KL Loss: 0.2377 | Sparsity Loss: 0.3242
Epoch 128/300 | KL Loss: 0.2320 | Sparsity Loss: 0.3242
Epoch 129/300 | KL Loss: 0.2554 | Sparsity Loss: 0.3241
Epoch 130/300 | KL Loss: 0.2528 | Sparsity Loss: 0.3241
Epoch 131/300 | KL Loss: 0.2672 | Sparsity Loss: 0.3241
