Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4331.12it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3512.41it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 64 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON FRUITS (500 samples) ---
Epoch 1/300 | KL Loss: 0.3244 | Sparsity Loss: 0.0107
Epoch 2/300 | KL Loss: 0.3264 | Sparsity Loss: 0.0326
Epoch 3/300 | KL Loss: 0.3419 | Sparsity Loss: 0.0544
Epoch 4/300 | KL Loss: 0.3304 | Sparsity Loss: 0.0762
Epoch 5/300 | KL Loss: 0.3332 | Sparsity Loss: 0.0980
Epoch 6/300 | KL Loss: 0.3216 | Sparsity Loss: 0.1198
Epoch 7/300 | KL Loss: 0.3371 | Sparsity Loss: 0.1416
Epoch 8/300 | KL Loss: 0.3230 | Sparsity Loss: 0.1633
Epoch 9/300 | KL Loss: 0.3284 | Sparsity Loss: 0.1849
Epoch 10/300 | KL Loss: 0.3225 | Sparsity Loss: 0.2065
Epoch 11/300 | KL Loss: 0.3158 | Sparsity Loss: 0.2281
Epoch 12/300 | KL Loss: 0.3179 | Sparsity Loss: 0.2495
Epoch 13/300 | KL Loss: 0.3186 | Sparsity Loss: 0.2710
Epoch 14/300 | KL Loss: 0.3138 | Sparsity Loss: 0.2924
Epoch 15/300 | KL Loss: 0.3183 | Sparsity Loss: 0.3136
Epoch 16/300 | KL Loss: 0.3276 | Sparsity Loss: 0.3348
Epoch 17/300 | KL Loss: 0.3181 | Sparsity Loss: 0.3428
Epoch 18/300 | KL Loss: 0.3238 | Sparsity Loss: 0.3424
Epoch 19/300 | KL Loss: 0.3503 | Sparsity Loss: 0.3421
Epoch 20/300 | KL Loss: 0.3276 | Sparsity Loss: 0.3418
Epoch 21/300 | KL Loss: 0.3189 | Sparsity Loss: 0.3415
Epoch 22/300 | KL Loss: 0.3121 | Sparsity Loss: 0.3411
Epoch 23/300 | KL Loss: 0.3282 | Sparsity Loss: 0.3408
Epoch 24/300 | KL Loss: 0.3161 | Sparsity Loss: 0.3406
Epoch 25/300 | KL Loss: 0.3105 | Sparsity Loss: 0.3403
Epoch 26/300 | KL Loss: 0.3248 | Sparsity Loss: 0.3400
Epoch 27/300 | KL Loss: 0.3255 | Sparsity Loss: 0.3397
Epoch 28/300 | KL Loss: 0.3427 | Sparsity Loss: 0.3395
Epoch 29/300 | KL Loss: 0.3209 | Sparsity Loss: 0.3392
Epoch 30/300 | KL Loss: 0.3196 | Sparsity Loss: 0.3390
Epoch 31/300 | KL Loss: 0.3148 | Sparsity Loss: 0.3388
Epoch 32/300 | KL Loss: 0.3268 | Sparsity Loss: 0.3386
Epoch 33/300 | KL Loss: 0.3156 | Sparsity Loss: 0.3385
Epoch 34/300 | KL Loss: 0.3237 | Sparsity Loss: 0.3383
Epoch 35/300 | KL Loss: 0.3085 | Sparsity Loss: 0.3381
Epoch 36/300 | KL Loss: 0.3243 | Sparsity Loss: 0.3379
Epoch 37/300 | KL Loss: 0.3284 | Sparsity Loss: 0.3378
Epoch 38/300 | KL Loss: 0.3364 | Sparsity Loss: 0.3376
Epoch 39/300 | KL Loss: 0.3142 | Sparsity Loss: 0.3374
Epoch 40/300 | KL Loss: 0.3326 | Sparsity Loss: 0.3373
Epoch 41/300 | KL Loss: 0.3175 | Sparsity Loss: 0.3372
Epoch 42/300 | KL Loss: 0.3249 | Sparsity Loss: 0.3370
Epoch 43/300 | KL Loss: 0.3232 | Sparsity Loss: 0.3369
Epoch 44/300 | KL Loss: 0.3298 | Sparsity Loss: 0.3367
Epoch 45/300 | KL Loss: 0.3221 | Sparsity Loss: 0.3366
Epoch 46/300 | KL Loss: 0.3194 | Sparsity Loss: 0.3365
Epoch 47/300 | KL Loss: 0.3118 | Sparsity Loss: 0.3364
Epoch 48/300 | KL Loss: 0.3196 | Sparsity Loss: 0.3363
Epoch 49/300 | KL Loss: 0.3094 | Sparsity Loss: 0.3362
Epoch 50/300 | KL Loss: 0.3391 | Sparsity Loss: 0.3361
Epoch 51/300 | KL Loss: 0.3229 | Sparsity Loss: 0.3360
Epoch 52/300 | KL Loss: 0.3274 | Sparsity Loss: 0.3359
Epoch 53/300 | KL Loss: 0.3105 | Sparsity Loss: 0.3358
Epoch 54/300 | KL Loss: 0.3421 | Sparsity Loss: 0.3357
Epoch 55/300 | KL Loss: 0.3133 | Sparsity Loss: 0.3356
Epoch 56/300 | KL Loss: 0.3278 | Sparsity Loss: 0.3355
Epoch 57/300 | KL Loss: 0.3064 | Sparsity Loss: 0.3354
Epoch 58/300 | KL Loss: 0.3278 | Sparsity Loss: 0.3353
Epoch 59/300 | KL Loss: 0.3244 | Sparsity Loss: 0.3352
Epoch 60/300 | KL Loss: 0.3323 | Sparsity Loss: 0.3351
Epoch 61/300 | KL Loss: 0.3367 | Sparsity Loss: 0.3350
Epoch 62/300 | KL Loss: 0.3065 | Sparsity Loss: 0.3349
Epoch 63/300 | KL Loss: 0.3219 | Sparsity Loss: 0.3348
Epoch 64/300 | KL Loss: 0.3411 | Sparsity Loss: 0.3348
Epoch 65/300 | KL Loss: 0.3262 | Sparsity Loss: 0.3347
Epoch 66/300 | KL Loss: 0.3109 | Sparsity Loss: 0.3346
Epoch 67/300 | KL Loss: 0.3212 | Sparsity Loss: 0.3345
Epoch 68/300 | KL Loss: 0.3121 | Sparsity Loss: 0.3345
Epoch 69/300 | KL Loss: 0.3298 | Sparsity Loss: 0.3344
Epoch 70/300 | KL Loss: 0.3228 | Sparsity Loss: 0.3343
Epoch 71/300 | KL Loss: 0.3398 | Sparsity Loss: 0.3343
Epoch 72/300 | KL Loss: 0.3279 | Sparsity Loss: 0.3342
Epoch 73/300 | KL Loss: 0.3028 | Sparsity Loss: 0.3341
Epoch 74/300 | KL Loss: 0.3174 | Sparsity Loss: 0.3340
Epoch 75/300 | KL Loss: 0.3370 | Sparsity Loss: 0.3340
Epoch 76/300 | KL Loss: 0.3350 | Sparsity Loss: 0.3339
Epoch 77/300 | KL Loss: 0.3333 | Sparsity Loss: 0.3339
Epoch 78/300 | KL Loss: 0.3307 | Sparsity Loss: 0.3338
Epoch 79/300 | KL Loss: 0.3275 | Sparsity Loss: 0.3338
Epoch 80/300 | KL Loss: 0.3353 | Sparsity Loss: 0.3338
Epoch 81/300 | KL Loss: 0.3287 | Sparsity Loss: 0.3337
Epoch 82/300 | KL Loss: 0.3193 | Sparsity Loss: 0.3336
Epoch 83/300 | KL Loss: 0.3280 | Sparsity Loss: 0.3336
Epoch 84/300 | KL Loss: 0.3287 | Sparsity Loss: 0.3335
Epoch 85/300 | KL Loss: 0.3276 | Sparsity Loss: 0.3335
Epoch 86/300 | KL Loss: 0.3136 | Sparsity Loss: 0.3334
Epoch 87/300 | KL Loss: 0.3323 | Sparsity Loss: 0.3334
Epoch 88/300 | KL Loss: 0.3238 | Sparsity Loss: 0.3333
Epoch 89/300 | KL Loss: 0.3251 | Sparsity Loss: 0.3332
Epoch 90/300 | KL Loss: 0.3368 | Sparsity Loss: 0.3332
Epoch 91/300 | KL Loss: 0.3262 | Sparsity Loss: 0.3331
Epoch 92/300 | KL Loss: 0.3180 | Sparsity Loss: 0.3331
Epoch 93/300 | KL Loss: 0.3081 | Sparsity Loss: 0.3331
Epoch 94/300 | KL Loss: 0.3407 | Sparsity Loss: 0.3330
Epoch 95/300 | KL Loss: 0.3249 | Sparsity Loss: 0.3330
Epoch 96/300 | KL Loss: 0.3188 | Sparsity Loss: 0.3330
Epoch 97/300 | KL Loss: 0.3336 | Sparsity Loss: 0.3329
Epoch 98/300 | KL Loss: 0.3232 | Sparsity Loss: 0.3329
Epoch 99/300 | KL Loss: 0.3102 | Sparsity Loss: 0.3328
Epoch 100/300 | KL Loss: 0.3358 | Sparsity Loss: 0.3328
Epoch 101/300 | KL Loss: 0.3326 | Sparsity Loss: 0.3328
Epoch 102/300 | KL Loss: 0.3146 | Sparsity Loss: 0.3327
Epoch 103/300 | KL Loss: 0.3318 | Sparsity Loss: 0.3327
Epoch 104/300 | KL Loss: 0.3077 | Sparsity Loss: 0.3327
