Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3288.70it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3939.15it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 64 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON METALS (500 samples) ---
Epoch 1/300 | KL Loss: 0.2732 | Sparsity Loss: 0.0107
Epoch 2/300 | KL Loss: 0.2695 | Sparsity Loss: 0.0326
Epoch 3/300 | KL Loss: 0.2649 | Sparsity Loss: 0.0544
Epoch 4/300 | KL Loss: 0.2598 | Sparsity Loss: 0.0762
Epoch 5/300 | KL Loss: 0.2630 | Sparsity Loss: 0.0980
Epoch 6/300 | KL Loss: 0.2692 | Sparsity Loss: 0.1198
Epoch 7/300 | KL Loss: 0.2562 | Sparsity Loss: 0.1414
Epoch 8/300 | KL Loss: 0.2564 | Sparsity Loss: 0.1630
Epoch 9/300 | KL Loss: 0.2714 | Sparsity Loss: 0.1845
Epoch 10/300 | KL Loss: 0.2540 | Sparsity Loss: 0.2059
Epoch 11/300 | KL Loss: 0.2558 | Sparsity Loss: 0.2272
Epoch 12/300 | KL Loss: 0.2748 | Sparsity Loss: 0.2484
Epoch 13/300 | KL Loss: 0.2522 | Sparsity Loss: 0.2695
Epoch 14/300 | KL Loss: 0.2632 | Sparsity Loss: 0.2904
Epoch 15/300 | KL Loss: 0.2627 | Sparsity Loss: 0.3113
Epoch 16/300 | KL Loss: 0.2507 | Sparsity Loss: 0.3320
Epoch 17/300 | KL Loss: 0.2623 | Sparsity Loss: 0.3396
Epoch 18/300 | KL Loss: 0.2608 | Sparsity Loss: 0.3390
Epoch 19/300 | KL Loss: 0.2430 | Sparsity Loss: 0.3383
Epoch 20/300 | KL Loss: 0.2523 | Sparsity Loss: 0.3378
Epoch 21/300 | KL Loss: 0.2497 | Sparsity Loss: 0.3372
Epoch 22/300 | KL Loss: 0.2678 | Sparsity Loss: 0.3367
Epoch 23/300 | KL Loss: 0.2473 | Sparsity Loss: 0.3362
Epoch 24/300 | KL Loss: 0.2622 | Sparsity Loss: 0.3358
Epoch 25/300 | KL Loss: 0.2622 | Sparsity Loss: 0.3353
Epoch 26/300 | KL Loss: 0.2543 | Sparsity Loss: 0.3349
Epoch 27/300 | KL Loss: 0.2547 | Sparsity Loss: 0.3345
Epoch 28/300 | KL Loss: 0.2485 | Sparsity Loss: 0.3341
Epoch 29/300 | KL Loss: 0.2518 | Sparsity Loss: 0.3337
Epoch 30/300 | KL Loss: 0.2537 | Sparsity Loss: 0.3334
Epoch 31/300 | KL Loss: 0.2417 | Sparsity Loss: 0.3330
Epoch 32/300 | KL Loss: 0.2499 | Sparsity Loss: 0.3327
Epoch 33/300 | KL Loss: 0.2600 | Sparsity Loss: 0.3324
Epoch 34/300 | KL Loss: 0.2555 | Sparsity Loss: 0.3321
Epoch 35/300 | KL Loss: 0.2508 | Sparsity Loss: 0.3317
Epoch 36/300 | KL Loss: 0.2546 | Sparsity Loss: 0.3314
Epoch 37/300 | KL Loss: 0.2465 | Sparsity Loss: 0.3312
Epoch 38/300 | KL Loss: 0.2489 | Sparsity Loss: 0.3309
Epoch 39/300 | KL Loss: 0.2650 | Sparsity Loss: 0.3306
Epoch 40/300 | KL Loss: 0.2567 | Sparsity Loss: 0.3304
Epoch 41/300 | KL Loss: 0.2526 | Sparsity Loss: 0.3302
Epoch 42/300 | KL Loss: 0.2667 | Sparsity Loss: 0.3299
Epoch 43/300 | KL Loss: 0.2522 | Sparsity Loss: 0.3297
Epoch 44/300 | KL Loss: 0.2591 | Sparsity Loss: 0.3295
Epoch 45/300 | KL Loss: 0.2471 | Sparsity Loss: 0.3293
Epoch 46/300 | KL Loss: 0.2469 | Sparsity Loss: 0.3291
Epoch 47/300 | KL Loss: 0.2471 | Sparsity Loss: 0.3289
Epoch 48/300 | KL Loss: 0.2651 | Sparsity Loss: 0.3287
Epoch 49/300 | KL Loss: 0.2513 | Sparsity Loss: 0.3284
Epoch 50/300 | KL Loss: 0.2568 | Sparsity Loss: 0.3283
Epoch 51/300 | KL Loss: 0.2539 | Sparsity Loss: 0.3281
Epoch 52/300 | KL Loss: 0.2504 | Sparsity Loss: 0.3279
Epoch 53/300 | KL Loss: 0.2504 | Sparsity Loss: 0.3277
Epoch 54/300 | KL Loss: 0.2494 | Sparsity Loss: 0.3275
Epoch 55/300 | KL Loss: 0.2620 | Sparsity Loss: 0.3274
Epoch 56/300 | KL Loss: 0.2563 | Sparsity Loss: 0.3272
Epoch 57/300 | KL Loss: 0.2585 | Sparsity Loss: 0.3271
Epoch 58/300 | KL Loss: 0.2712 | Sparsity Loss: 0.3269
Epoch 59/300 | KL Loss: 0.2547 | Sparsity Loss: 0.3268
Epoch 60/300 | KL Loss: 0.2526 | Sparsity Loss: 0.3266
Epoch 61/300 | KL Loss: 0.2467 | Sparsity Loss: 0.3265
Epoch 62/300 | KL Loss: 0.2505 | Sparsity Loss: 0.3263
Epoch 63/300 | KL Loss: 0.2539 | Sparsity Loss: 0.3262
