Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4456.51it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3537.00it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Finetuning from binary mask intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 64 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_2_full/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON VEHICLES (500 samples) ---
Epoch 1/300 | KL Loss: 0.1694 | Sparsity Loss: 0.0107
Epoch 2/300 | KL Loss: 0.1733 | Sparsity Loss: 0.0325
Epoch 3/300 | KL Loss: 0.1713 | Sparsity Loss: 0.0541
Epoch 4/300 | KL Loss: 0.1712 | Sparsity Loss: 0.0758
Epoch 5/300 | KL Loss: 0.1691 | Sparsity Loss: 0.0972
Epoch 6/300 | KL Loss: 0.1697 | Sparsity Loss: 0.1180
Epoch 7/300 | KL Loss: 0.1641 | Sparsity Loss: 0.1391
Epoch 8/300 | KL Loss: 0.1619 | Sparsity Loss: 0.1593
Epoch 9/300 | KL Loss: 0.1592 | Sparsity Loss: 0.1792
Epoch 10/300 | KL Loss: 0.1559 | Sparsity Loss: 0.1996
Epoch 11/300 | KL Loss: 0.1563 | Sparsity Loss: 0.2197
Epoch 12/300 | KL Loss: 0.1548 | Sparsity Loss: 0.2394
Epoch 13/300 | KL Loss: 0.1523 | Sparsity Loss: 0.2587
Epoch 14/300 | KL Loss: 0.1505 | Sparsity Loss: 0.2772
Epoch 15/300 | KL Loss: 0.1532 | Sparsity Loss: 0.2959
Epoch 16/300 | KL Loss: 0.1482 | Sparsity Loss: 0.3144
Epoch 17/300 | KL Loss: 0.1486 | Sparsity Loss: 0.3204
Epoch 18/300 | KL Loss: 0.1479 | Sparsity Loss: 0.3173
Epoch 19/300 | KL Loss: 0.1475 | Sparsity Loss: 0.3156
Epoch 20/300 | KL Loss: 0.1481 | Sparsity Loss: 0.3132
Epoch 21/300 | KL Loss: 0.1490 | Sparsity Loss: 0.3092
Epoch 22/300 | KL Loss: 0.1452 | Sparsity Loss: 0.3059
Epoch 23/300 | KL Loss: 0.1483 | Sparsity Loss: 0.3022
Epoch 24/300 | KL Loss: 0.1459 | Sparsity Loss: 0.3005
Epoch 25/300 | KL Loss: 0.1465 | Sparsity Loss: 0.2993
Epoch 26/300 | KL Loss: 0.1469 | Sparsity Loss: 0.2982
Epoch 27/300 | KL Loss: 0.1452 | Sparsity Loss: 0.2971
Epoch 28/300 | KL Loss: 0.1478 | Sparsity Loss: 0.2960
Epoch 29/300 | KL Loss: 0.1479 | Sparsity Loss: 0.2951
Epoch 30/300 | KL Loss: 0.1451 | Sparsity Loss: 0.2941
Epoch 31/300 | KL Loss: 0.1462 | Sparsity Loss: 0.2932
Epoch 32/300 | KL Loss: 0.1458 | Sparsity Loss: 0.2924
Epoch 33/300 | KL Loss: 0.1421 | Sparsity Loss: 0.2916
Epoch 34/300 | KL Loss: 0.1434 | Sparsity Loss: 0.2907
Epoch 35/300 | KL Loss: 0.1459 | Sparsity Loss: 0.2897
Epoch 36/300 | KL Loss: 0.1462 | Sparsity Loss: 0.2878
Epoch 37/300 | KL Loss: 0.1443 | Sparsity Loss: 0.2871
Epoch 38/300 | KL Loss: 0.1435 | Sparsity Loss: 0.2864
Epoch 39/300 | KL Loss: 0.1453 | Sparsity Loss: 0.2857
Epoch 40/300 | KL Loss: 0.1438 | Sparsity Loss: 0.2850
Epoch 41/300 | KL Loss: 0.1452 | Sparsity Loss: 0.2844
Epoch 42/300 | KL Loss: 0.1477 | Sparsity Loss: 0.2838
Epoch 43/300 | KL Loss: 0.1453 | Sparsity Loss: 0.2832
Epoch 44/300 | KL Loss: 0.1430 | Sparsity Loss: 0.2826
Epoch 45/300 | KL Loss: 0.1452 | Sparsity Loss: 0.2821
Epoch 46/300 | KL Loss: 0.1446 | Sparsity Loss: 0.2815
Epoch 47/300 | KL Loss: 0.1455 | Sparsity Loss: 0.2810
Epoch 48/300 | KL Loss: 0.1434 | Sparsity Loss: 0.2806
Epoch 49/300 | KL Loss: 0.1458 | Sparsity Loss: 0.2801
Epoch 50/300 | KL Loss: 0.1446 | Sparsity Loss: 0.2796
Epoch 51/300 | KL Loss: 0.1435 | Sparsity Loss: 0.2792
Epoch 52/300 | KL Loss: 0.1439 | Sparsity Loss: 0.2789
Epoch 53/300 | KL Loss: 0.1441 | Sparsity Loss: 0.2785
Epoch 54/300 | KL Loss: 0.1461 | Sparsity Loss: 0.2781
Epoch 55/300 | KL Loss: 0.1445 | Sparsity Loss: 0.2777
Epoch 56/300 | KL Loss: 0.1421 | Sparsity Loss: 0.2774
Epoch 57/300 | KL Loss: 0.1445 | Sparsity Loss: 0.2770
Epoch 58/300 | KL Loss: 0.1421 | Sparsity Loss: 0.2767
Epoch 59/300 | KL Loss: 0.1457 | Sparsity Loss: 0.2763
Epoch 60/300 | KL Loss: 0.1448 | Sparsity Loss: 0.2760
Epoch 61/300 | KL Loss: 0.1449 | Sparsity Loss: 0.2758
Epoch 62/300 | KL Loss: 0.1440 | Sparsity Loss: 0.2755
Epoch 63/300 | KL Loss: 0.1428 | Sparsity Loss: 0.2752
Epoch 64/300 | KL Loss: 0.1439 | Sparsity Loss: 0.2749
Epoch 65/300 | KL Loss: 0.1450 | Sparsity Loss: 0.2746
Epoch 66/300 | KL Loss: 0.1445 | Sparsity Loss: 0.2744
Epoch 67/300 | KL Loss: 0.1434 | Sparsity Loss: 0.2742
Epoch 68/300 | KL Loss: 0.1434 | Sparsity Loss: 0.2739
Epoch 69/300 | KL Loss: 0.1441 | Sparsity Loss: 0.2737
Epoch 70/300 | KL Loss: 0.1438 | Sparsity Loss: 0.2735
Epoch 71/300 | KL Loss: 0.1469 | Sparsity Loss: 0.2732
Epoch 72/300 | KL Loss: 0.1433 | Sparsity Loss: 0.2730
Epoch 73/300 | KL Loss: 0.1463 | Sparsity Loss: 0.2728
Epoch 74/300 | KL Loss: 0.1450 | Sparsity Loss: 0.2726
Epoch 75/300 | KL Loss: 0.1430 | Sparsity Loss: 0.2724
Epoch 76/300 | KL Loss: 0.1452 | Sparsity Loss: 0.2722
Epoch 77/300 | KL Loss: 0.1442 | Sparsity Loss: 0.2720
Epoch 78/300 | KL Loss: 0.1463 | Sparsity Loss: 0.2717
Epoch 79/300 | KL Loss: 0.1429 | Sparsity Loss: 0.2716
Epoch 80/300 | KL Loss: 0.1447 | Sparsity Loss: 0.2714
Epoch 81/300 | KL Loss: 0.1469 | Sparsity Loss: 0.2713
Epoch 82/300 | KL Loss: 0.1454 | Sparsity Loss: 0.2711
Epoch 83/300 | KL Loss: 0.1444 | Sparsity Loss: 0.2709
Epoch 84/300 | KL Loss: 0.1449 | Sparsity Loss: 0.2707
Epoch 85/300 | KL Loss: 0.1438 | Sparsity Loss: 0.2705
Epoch 86/300 | KL Loss: 0.1458 | Sparsity Loss: 0.2703
Epoch 87/300 | KL Loss: 0.1468 | Sparsity Loss: 0.2702
Epoch 88/300 | KL Loss: 0.1465 | Sparsity Loss: 0.2700
Epoch 89/300 | KL Loss: 0.1473 | Sparsity Loss: 0.2699
Epoch 90/300 | KL Loss: 0.1455 | Sparsity Loss: 0.2697
Epoch 91/300 | KL Loss: 0.1470 | Sparsity Loss: 0.2696
Epoch 92/300 | KL Loss: 0.1467 | Sparsity Loss: 0.2694
Epoch 93/300 | KL Loss: 0.1435 | Sparsity Loss: 0.2693
Epoch 94/300 | KL Loss: 0.1465 | Sparsity Loss: 0.2692
Epoch 95/300 | KL Loss: 0.1469 | Sparsity Loss: 0.2691
Epoch 96/300 | KL Loss: 0.1452 | Sparsity Loss: 0.2689
Epoch 97/300 | KL Loss: 0.1462 | Sparsity Loss: 0.2688
Epoch 98/300 | KL Loss: 0.1444 | Sparsity Loss: 0.2687
Epoch 99/300 | KL Loss: 0.1457 | Sparsity Loss: 0.2685
Epoch 100/300 | KL Loss: 0.1467 | Sparsity Loss: 0.2684
Epoch 101/300 | KL Loss: 0.1453 | Sparsity Loss: 0.2683
Epoch 102/300 | KL Loss: 0.1426 | Sparsity Loss: 0.2682
Epoch 103/300 | KL Loss: 0.1442 | Sparsity Loss: 0.2680
Epoch 104/300 | KL Loss: 0.1445 | Sparsity Loss: 0.2679
Epoch 105/300 | KL Loss: 0.1448 | Sparsity Loss: 0.2678
Epoch 106/300 | KL Loss: 0.1441 | Sparsity Loss: 0.2677
Epoch 107/300 | KL Loss: 0.1488 | Sparsity Loss: 0.2676
Epoch 108/300 | KL Loss: 0.1449 | Sparsity Loss: 0.2675
Epoch 109/300 | KL Loss: 0.1450 | Sparsity Loss: 0.2674
Epoch 110/300 | KL Loss: 0.1470 | Sparsity Loss: 0.2673
Epoch 111/300 | KL Loss: 0.1466 | Sparsity Loss: 0.2672
Epoch 112/300 | KL Loss: 0.1454 | Sparsity Loss: 0.2671
Epoch 113/300 | KL Loss: 0.1463 | Sparsity Loss: 0.2670
Epoch 114/300 | KL Loss: 0.1444 | Sparsity Loss: 0.2669
Epoch 115/300 | KL Loss: 0.1464 | Sparsity Loss: 0.2668
Epoch 116/300 | KL Loss: 0.1464 | Sparsity Loss: 0.2667
Epoch 117/300 | KL Loss: 0.1465 | Sparsity Loss: 0.2666
Epoch 118/300 | KL Loss: 0.1452 | Sparsity Loss: 0.2665
Epoch 119/300 | KL Loss: 0.1452 | Sparsity Loss: 0.2664
Epoch 120/300 | KL Loss: 0.1463 | Sparsity Loss: 0.2663
Epoch 121/300 | KL Loss: 0.1456 | Sparsity Loss: 0.2662
Epoch 122/300 | KL Loss: 0.1453 | Sparsity Loss: 0.2662
Epoch 123/300 | KL Loss: 0.1452 | Sparsity Loss: 0.2661
Epoch 124/300 | KL Loss: 0.1487 | Sparsity Loss: 0.2660
