Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3903.79it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4763.81it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON FRUITS (500 samples) ---
Epoch 1/600 | KL Loss: 0.8526 | Sparsity Loss: 0.0566
Epoch 2/600 | KL Loss: 0.5729 | Sparsity Loss: 0.1713
Epoch 3/600 | KL Loss: 0.5578 | Sparsity Loss: 0.2854
Epoch 4/600 | KL Loss: 0.5070 | Sparsity Loss: 0.3989
Epoch 5/600 | KL Loss: 0.4423 | Sparsity Loss: 0.5113
Epoch 6/600 | KL Loss: 0.3656 | Sparsity Loss: 0.6224
Epoch 7/600 | KL Loss: 0.4327 | Sparsity Loss: 0.7318
Epoch 8/600 | KL Loss: 0.3587 | Sparsity Loss: 0.8374
Epoch 9/600 | KL Loss: 0.3470 | Sparsity Loss: 0.9376
Epoch 10/600 | KL Loss: 0.3757 | Sparsity Loss: 1.0274
Epoch 11/600 | KL Loss: 0.3520 | Sparsity Loss: 1.1109
Epoch 12/600 | KL Loss: 0.3537 | Sparsity Loss: 1.1909
Epoch 13/600 | KL Loss: 0.3300 | Sparsity Loss: 1.2618
Epoch 14/600 | KL Loss: 0.3651 | Sparsity Loss: 1.3243
Epoch 15/600 | KL Loss: 0.3593 | Sparsity Loss: 1.3818
Epoch 16/600 | KL Loss: 0.3200 | Sparsity Loss: 1.4346
Epoch 17/600 | KL Loss: 0.3508 | Sparsity Loss: 1.4280
Epoch 18/600 | KL Loss: 0.3598 | Sparsity Loss: 1.3874
Epoch 19/600 | KL Loss: 0.3425 | Sparsity Loss: 1.3509
Epoch 20/600 | KL Loss: 0.3223 | Sparsity Loss: 1.3209
Epoch 21/600 | KL Loss: 0.3162 | Sparsity Loss: 1.2918
Epoch 22/600 | KL Loss: 0.3194 | Sparsity Loss: 1.2656
Epoch 23/600 | KL Loss: 0.3141 | Sparsity Loss: 1.2443
Epoch 24/600 | KL Loss: 0.2995 | Sparsity Loss: 1.2269
Epoch 25/600 | KL Loss: 0.3189 | Sparsity Loss: 1.2109
Epoch 26/600 | KL Loss: 0.3017 | Sparsity Loss: 1.1949
Epoch 27/600 | KL Loss: 0.3154 | Sparsity Loss: 1.1774
Epoch 28/600 | KL Loss: 0.3193 | Sparsity Loss: 1.1615
Epoch 29/600 | KL Loss: 0.2873 | Sparsity Loss: 1.1473
Epoch 30/600 | KL Loss: 0.3042 | Sparsity Loss: 1.1317
Epoch 31/600 | KL Loss: 0.2905 | Sparsity Loss: 1.1156
Epoch 32/600 | KL Loss: 0.3058 | Sparsity Loss: 1.0979
Epoch 33/600 | KL Loss: 0.2786 | Sparsity Loss: 1.0800
Epoch 34/600 | KL Loss: 0.2829 | Sparsity Loss: 1.0639
Epoch 35/600 | KL Loss: 0.2840 | Sparsity Loss: 1.0491
Epoch 36/600 | KL Loss: 0.2772 | Sparsity Loss: 1.0324
Epoch 37/600 | KL Loss: 0.2706 | Sparsity Loss: 1.0141
Epoch 38/600 | KL Loss: 0.2804 | Sparsity Loss: 0.9989
Epoch 39/600 | KL Loss: 0.2688 | Sparsity Loss: 0.9847
Epoch 40/600 | KL Loss: 0.2718 | Sparsity Loss: 0.9700
Epoch 41/600 | KL Loss: 0.2695 | Sparsity Loss: 0.9539
Epoch 42/600 | KL Loss: 0.2793 | Sparsity Loss: 0.9387
Epoch 43/600 | KL Loss: 0.2656 | Sparsity Loss: 0.9254
Epoch 44/600 | KL Loss: 0.2493 | Sparsity Loss: 0.9119
Epoch 45/600 | KL Loss: 0.2622 | Sparsity Loss: 0.8999
Epoch 46/600 | KL Loss: 0.2566 | Sparsity Loss: 0.8880
Epoch 47/600 | KL Loss: 0.2529 | Sparsity Loss: 0.8762
Epoch 48/600 | KL Loss: 0.2585 | Sparsity Loss: 0.8651
Epoch 49/600 | KL Loss: 0.2424 | Sparsity Loss: 0.8545
Epoch 50/600 | KL Loss: 0.2431 | Sparsity Loss: 0.8441
Epoch 51/600 | KL Loss: 0.2411 | Sparsity Loss: 0.8338
Epoch 52/600 | KL Loss: 0.2358 | Sparsity Loss: 0.8237
Epoch 53/600 | KL Loss: 0.2399 | Sparsity Loss: 0.8136
Epoch 54/600 | KL Loss: 0.2465 | Sparsity Loss: 0.8037
Epoch 55/600 | KL Loss: 0.2480 | Sparsity Loss: 0.7936
Epoch 56/600 | KL Loss: 0.2450 | Sparsity Loss: 0.7832
Epoch 57/600 | KL Loss: 0.2455 | Sparsity Loss: 0.7743
Epoch 58/600 | KL Loss: 0.2380 | Sparsity Loss: 0.7659
Epoch 59/600 | KL Loss: 0.2426 | Sparsity Loss: 0.7575
Epoch 60/600 | KL Loss: 0.2339 | Sparsity Loss: 0.7491
Epoch 61/600 | KL Loss: 0.2365 | Sparsity Loss: 0.7409
Epoch 62/600 | KL Loss: 0.2380 | Sparsity Loss: 0.7334
Epoch 63/600 | KL Loss: 0.2446 | Sparsity Loss: 0.7270
Epoch 64/600 | KL Loss: 0.2343 | Sparsity Loss: 0.7212
Epoch 65/600 | KL Loss: 0.2436 | Sparsity Loss: 0.7156
Epoch 66/600 | KL Loss: 0.2396 | Sparsity Loss: 0.7103
Epoch 67/600 | KL Loss: 0.2183 | Sparsity Loss: 0.7052
Epoch 68/600 | KL Loss: 0.2163 | Sparsity Loss: 0.7003
Epoch 69/600 | KL Loss: 0.2285 | Sparsity Loss: 0.6954
Epoch 70/600 | KL Loss: 0.2233 | Sparsity Loss: 0.6907
Epoch 71/600 | KL Loss: 0.2266 | Sparsity Loss: 0.6861
Epoch 72/600 | KL Loss: 0.2181 | Sparsity Loss: 0.6820
Epoch 73/600 | KL Loss: 0.2363 | Sparsity Loss: 0.6775
Epoch 74/600 | KL Loss: 0.2245 | Sparsity Loss: 0.6732
Epoch 75/600 | KL Loss: 0.2259 | Sparsity Loss: 0.6691
Epoch 76/600 | KL Loss: 0.2332 | Sparsity Loss: 0.6648
Epoch 77/600 | KL Loss: 0.2146 | Sparsity Loss: 0.6606
Epoch 78/600 | KL Loss: 0.2291 | Sparsity Loss: 0.6565
Epoch 79/600 | KL Loss: 0.2429 | Sparsity Loss: 0.6524
Epoch 80/600 | KL Loss: 0.2118 | Sparsity Loss: 0.6485
Epoch 81/600 | KL Loss: 0.2189 | Sparsity Loss: 0.6447
Epoch 82/600 | KL Loss: 0.2170 | Sparsity Loss: 0.6409
Epoch 83/600 | KL Loss: 0.2271 | Sparsity Loss: 0.6361
Epoch 84/600 | KL Loss: 0.2090 | Sparsity Loss: 0.6323
Epoch 85/600 | KL Loss: 0.2045 | Sparsity Loss: 0.6292
Epoch 86/600 | KL Loss: 0.2109 | Sparsity Loss: 0.6263
Epoch 87/600 | KL Loss: 0.2166 | Sparsity Loss: 0.6235
Epoch 88/600 | KL Loss: 0.2073 | Sparsity Loss: 0.6205
Epoch 89/600 | KL Loss: 0.2066 | Sparsity Loss: 0.6167
Epoch 90/600 | KL Loss: 0.2041 | Sparsity Loss: 0.6139
Epoch 91/600 | KL Loss: 0.2094 | Sparsity Loss: 0.6112
Epoch 92/600 | KL Loss: 0.2199 | Sparsity Loss: 0.6079
Epoch 93/600 | KL Loss: 0.2030 | Sparsity Loss: 0.6050
Epoch 94/600 | KL Loss: 0.1968 | Sparsity Loss: 0.6024
Epoch 95/600 | KL Loss: 0.2043 | Sparsity Loss: 0.6001
Epoch 96/600 | KL Loss: 0.1935 | Sparsity Loss: 0.5979
Epoch 97/600 | KL Loss: 0.1941 | Sparsity Loss: 0.5958
Epoch 98/600 | KL Loss: 0.2119 | Sparsity Loss: 0.5940
Epoch 99/600 | KL Loss: 0.2013 | Sparsity Loss: 0.5921
Epoch 100/600 | KL Loss: 0.1965 | Sparsity Loss: 0.5903
