Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3916.90it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3808.31it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON METALS (500 samples) ---
Epoch 1/600 | KL Loss: 0.4576 | Sparsity Loss: 0.0566
Epoch 2/600 | KL Loss: 0.3844 | Sparsity Loss: 0.1713
Epoch 3/600 | KL Loss: 0.3570 | Sparsity Loss: 0.2852
Epoch 4/600 | KL Loss: 0.3057 | Sparsity Loss: 0.3982
Epoch 5/600 | KL Loss: 0.3088 | Sparsity Loss: 0.5096
Epoch 6/600 | KL Loss: 0.2961 | Sparsity Loss: 0.6183
Epoch 7/600 | KL Loss: 0.2801 | Sparsity Loss: 0.7225
Epoch 8/600 | KL Loss: 0.2880 | Sparsity Loss: 0.8203
Epoch 9/600 | KL Loss: 0.2611 | Sparsity Loss: 0.9083
Epoch 10/600 | KL Loss: 0.2748 | Sparsity Loss: 0.9855
Epoch 11/600 | KL Loss: 0.2604 | Sparsity Loss: 1.0540
Epoch 12/600 | KL Loss: 0.2577 | Sparsity Loss: 1.1100
Epoch 13/600 | KL Loss: 0.2407 | Sparsity Loss: 1.1628
Epoch 14/600 | KL Loss: 0.2525 | Sparsity Loss: 1.2140
Epoch 15/600 | KL Loss: 0.2256 | Sparsity Loss: 1.2706
Epoch 16/600 | KL Loss: 0.2394 | Sparsity Loss: 1.3213
Epoch 17/600 | KL Loss: 0.2255 | Sparsity Loss: 1.3190
Epoch 18/600 | KL Loss: 0.2320 | Sparsity Loss: 1.2872
Epoch 19/600 | KL Loss: 0.2115 | Sparsity Loss: 1.2538
Epoch 20/600 | KL Loss: 0.2135 | Sparsity Loss: 1.2214
Epoch 21/600 | KL Loss: 0.2093 | Sparsity Loss: 1.1916
Epoch 22/600 | KL Loss: 0.2069 | Sparsity Loss: 1.1674
Epoch 23/600 | KL Loss: 0.2038 | Sparsity Loss: 1.1441
Epoch 24/600 | KL Loss: 0.2068 | Sparsity Loss: 1.1200
Epoch 25/600 | KL Loss: 0.2098 | Sparsity Loss: 1.0979
Epoch 26/600 | KL Loss: 0.1979 | Sparsity Loss: 1.0774
Epoch 27/600 | KL Loss: 0.1904 | Sparsity Loss: 1.0604
Epoch 28/600 | KL Loss: 0.1829 | Sparsity Loss: 1.0433
Epoch 29/600 | KL Loss: 0.1927 | Sparsity Loss: 1.0256
Epoch 30/600 | KL Loss: 0.2067 | Sparsity Loss: 1.0068
Epoch 31/600 | KL Loss: 0.1842 | Sparsity Loss: 0.9896
Epoch 32/600 | KL Loss: 0.2062 | Sparsity Loss: 0.9722
Epoch 33/600 | KL Loss: 0.1842 | Sparsity Loss: 0.9564
Epoch 34/600 | KL Loss: 0.1788 | Sparsity Loss: 0.9410
Epoch 35/600 | KL Loss: 0.1924 | Sparsity Loss: 0.9263
Epoch 36/600 | KL Loss: 0.1854 | Sparsity Loss: 0.9115
Epoch 37/600 | KL Loss: 0.1885 | Sparsity Loss: 0.8954
Epoch 38/600 | KL Loss: 0.1927 | Sparsity Loss: 0.8797
Epoch 39/600 | KL Loss: 0.1828 | Sparsity Loss: 0.8644
Epoch 40/600 | KL Loss: 0.1789 | Sparsity Loss: 0.8495
Epoch 41/600 | KL Loss: 0.1816 | Sparsity Loss: 0.8344
Epoch 42/600 | KL Loss: 0.1846 | Sparsity Loss: 0.8189
Epoch 43/600 | KL Loss: 0.1813 | Sparsity Loss: 0.8048
Epoch 44/600 | KL Loss: 0.1663 | Sparsity Loss: 0.7921
Epoch 45/600 | KL Loss: 0.1654 | Sparsity Loss: 0.7791
Epoch 46/600 | KL Loss: 0.1749 | Sparsity Loss: 0.7666
Epoch 47/600 | KL Loss: 0.1682 | Sparsity Loss: 0.7551
Epoch 48/600 | KL Loss: 0.1769 | Sparsity Loss: 0.7438
Epoch 49/600 | KL Loss: 0.1779 | Sparsity Loss: 0.7324
Epoch 50/600 | KL Loss: 0.1710 | Sparsity Loss: 0.7217
Epoch 51/600 | KL Loss: 0.1647 | Sparsity Loss: 0.7127
Epoch 52/600 | KL Loss: 0.1763 | Sparsity Loss: 0.7042
Epoch 53/600 | KL Loss: 0.1744 | Sparsity Loss: 0.6962
Epoch 54/600 | KL Loss: 0.1693 | Sparsity Loss: 0.6883
Epoch 55/600 | KL Loss: 0.1670 | Sparsity Loss: 0.6798
Epoch 56/600 | KL Loss: 0.1641 | Sparsity Loss: 0.6706
Epoch 57/600 | KL Loss: 0.1658 | Sparsity Loss: 0.6611
Epoch 58/600 | KL Loss: 0.1681 | Sparsity Loss: 0.6533
Epoch 59/600 | KL Loss: 0.1659 | Sparsity Loss: 0.6467
Epoch 60/600 | KL Loss: 0.1596 | Sparsity Loss: 0.6402
Epoch 61/600 | KL Loss: 0.1671 | Sparsity Loss: 0.6339
Epoch 62/600 | KL Loss: 0.1670 | Sparsity Loss: 0.6284
Epoch 63/600 | KL Loss: 0.1704 | Sparsity Loss: 0.6230
Epoch 64/600 | KL Loss: 0.1684 | Sparsity Loss: 0.6178
Epoch 65/600 | KL Loss: 0.1636 | Sparsity Loss: 0.6128
Epoch 66/600 | KL Loss: 0.1637 | Sparsity Loss: 0.6082
Epoch 67/600 | KL Loss: 0.1692 | Sparsity Loss: 0.6039
Epoch 68/600 | KL Loss: 0.1709 | Sparsity Loss: 0.5996
Epoch 69/600 | KL Loss: 0.1562 | Sparsity Loss: 0.5955
Epoch 70/600 | KL Loss: 0.1560 | Sparsity Loss: 0.5916
Epoch 71/600 | KL Loss: 0.1740 | Sparsity Loss: 0.5880
Epoch 72/600 | KL Loss: 0.1616 | Sparsity Loss: 0.5845
Epoch 73/600 | KL Loss: 0.1562 | Sparsity Loss: 0.5806
Epoch 74/600 | KL Loss: 0.1547 | Sparsity Loss: 0.5765
Epoch 75/600 | KL Loss: 0.1540 | Sparsity Loss: 0.5726
Epoch 76/600 | KL Loss: 0.1609 | Sparsity Loss: 0.5694
Epoch 77/600 | KL Loss: 0.1579 | Sparsity Loss: 0.5667
Epoch 78/600 | KL Loss: 0.1582 | Sparsity Loss: 0.5639
Epoch 79/600 | KL Loss: 0.1550 | Sparsity Loss: 0.5611
