Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4038.78it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3797.16it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON VEHICLES (500 samples) ---
Epoch 1/600 | KL Loss: 0.1040 | Sparsity Loss: 0.0566
Epoch 2/600 | KL Loss: 0.0766 | Sparsity Loss: 0.1711
Epoch 3/600 | KL Loss: 0.0685 | Sparsity Loss: 0.2828
Epoch 4/600 | KL Loss: 0.0688 | Sparsity Loss: 0.3874
Epoch 5/600 | KL Loss: 0.0677 | Sparsity Loss: 0.4827
Epoch 6/600 | KL Loss: 0.0708 | Sparsity Loss: 0.5656
Epoch 7/600 | KL Loss: 0.0677 | Sparsity Loss: 0.6376
Epoch 8/600 | KL Loss: 0.0672 | Sparsity Loss: 0.7001
Epoch 9/600 | KL Loss: 0.0688 | Sparsity Loss: 0.7625
Epoch 10/600 | KL Loss: 0.0715 | Sparsity Loss: 0.8194
Epoch 11/600 | KL Loss: 0.0693 | Sparsity Loss: 0.8745
Epoch 12/600 | KL Loss: 0.0716 | Sparsity Loss: 0.9247
Epoch 13/600 | KL Loss: 0.0729 | Sparsity Loss: 0.9714
Epoch 14/600 | KL Loss: 0.0719 | Sparsity Loss: 1.0146
Epoch 15/600 | KL Loss: 0.0714 | Sparsity Loss: 1.0559
Epoch 16/600 | KL Loss: 0.0736 | Sparsity Loss: 1.0927
Epoch 17/600 | KL Loss: 0.0726 | Sparsity Loss: 1.0845
Epoch 18/600 | KL Loss: 0.0716 | Sparsity Loss: 1.0499
Epoch 19/600 | KL Loss: 0.0714 | Sparsity Loss: 1.0204
Epoch 20/600 | KL Loss: 0.0736 | Sparsity Loss: 0.9873
Epoch 21/600 | KL Loss: 0.0728 | Sparsity Loss: 0.9590
Epoch 22/600 | KL Loss: 0.0758 | Sparsity Loss: 0.9311
Epoch 23/600 | KL Loss: 0.0740 | Sparsity Loss: 0.9036
Epoch 24/600 | KL Loss: 0.0740 | Sparsity Loss: 0.8760
Epoch 25/600 | KL Loss: 0.0756 | Sparsity Loss: 0.8519
Epoch 26/600 | KL Loss: 0.0759 | Sparsity Loss: 0.8277
Epoch 27/600 | KL Loss: 0.0757 | Sparsity Loss: 0.8032
Epoch 28/600 | KL Loss: 0.0768 | Sparsity Loss: 0.7798
Epoch 29/600 | KL Loss: 0.0764 | Sparsity Loss: 0.7556
Epoch 30/600 | KL Loss: 0.0744 | Sparsity Loss: 0.7324
Epoch 31/600 | KL Loss: 0.0758 | Sparsity Loss: 0.7116
Epoch 32/600 | KL Loss: 0.0739 | Sparsity Loss: 0.6935
Epoch 33/600 | KL Loss: 0.0736 | Sparsity Loss: 0.6761
Epoch 34/600 | KL Loss: 0.0743 | Sparsity Loss: 0.6582
Epoch 35/600 | KL Loss: 0.0739 | Sparsity Loss: 0.6400
Epoch 36/600 | KL Loss: 0.0759 | Sparsity Loss: 0.6227
Epoch 37/600 | KL Loss: 0.0752 | Sparsity Loss: 0.6070
Epoch 38/600 | KL Loss: 0.0747 | Sparsity Loss: 0.5939
Epoch 39/600 | KL Loss: 0.0750 | Sparsity Loss: 0.5818
Epoch 40/600 | KL Loss: 0.0737 | Sparsity Loss: 0.5705
Epoch 41/600 | KL Loss: 0.0734 | Sparsity Loss: 0.5599
Epoch 42/600 | KL Loss: 0.0732 | Sparsity Loss: 0.5499
Epoch 43/600 | KL Loss: 0.0718 | Sparsity Loss: 0.5404
Epoch 44/600 | KL Loss: 0.0727 | Sparsity Loss: 0.5316
Epoch 45/600 | KL Loss: 0.0735 | Sparsity Loss: 0.5230
Epoch 46/600 | KL Loss: 0.0753 | Sparsity Loss: 0.5141
Epoch 47/600 | KL Loss: 0.0729 | Sparsity Loss: 0.5069
Epoch 48/600 | KL Loss: 0.0736 | Sparsity Loss: 0.5001
Epoch 49/600 | KL Loss: 0.0730 | Sparsity Loss: 0.4936
Epoch 50/600 | KL Loss: 0.0718 | Sparsity Loss: 0.4875
Epoch 51/600 | KL Loss: 0.0730 | Sparsity Loss: 0.4818
Epoch 52/600 | KL Loss: 0.0719 | Sparsity Loss: 0.4764
Epoch 53/600 | KL Loss: 0.0752 | Sparsity Loss: 0.4714
Epoch 54/600 | KL Loss: 0.0738 | Sparsity Loss: 0.4668
Epoch 55/600 | KL Loss: 0.0715 | Sparsity Loss: 0.4624
Epoch 56/600 | KL Loss: 0.0722 | Sparsity Loss: 0.4583
Epoch 57/600 | KL Loss: 0.0729 | Sparsity Loss: 0.4543
Epoch 58/600 | KL Loss: 0.0735 | Sparsity Loss: 0.4501
Epoch 59/600 | KL Loss: 0.0734 | Sparsity Loss: 0.4459
Epoch 60/600 | KL Loss: 0.0724 | Sparsity Loss: 0.4425
Epoch 61/600 | KL Loss: 0.0741 | Sparsity Loss: 0.4390
Epoch 62/600 | KL Loss: 0.0737 | Sparsity Loss: 0.4353
Epoch 63/600 | KL Loss: 0.0724 | Sparsity Loss: 0.4325
Epoch 64/600 | KL Loss: 0.0730 | Sparsity Loss: 0.4299
Epoch 65/600 | KL Loss: 0.0726 | Sparsity Loss: 0.4276
Epoch 66/600 | KL Loss: 0.0725 | Sparsity Loss: 0.4254
Epoch 67/600 | KL Loss: 0.0733 | Sparsity Loss: 0.4232
Epoch 68/600 | KL Loss: 0.0724 | Sparsity Loss: 0.4211
Epoch 69/600 | KL Loss: 0.0722 | Sparsity Loss: 0.4192
Epoch 70/600 | KL Loss: 0.0731 | Sparsity Loss: 0.4172
Epoch 71/600 | KL Loss: 0.0740 | Sparsity Loss: 0.4155
Epoch 72/600 | KL Loss: 0.0738 | Sparsity Loss: 0.4138
Epoch 73/600 | KL Loss: 0.0726 | Sparsity Loss: 0.4122
Epoch 74/600 | KL Loss: 0.0731 | Sparsity Loss: 0.4102
Epoch 75/600 | KL Loss: 0.0726 | Sparsity Loss: 0.4080
Epoch 76/600 | KL Loss: 0.0732 | Sparsity Loss: 0.4064
Epoch 77/600 | KL Loss: 0.0754 | Sparsity Loss: 0.4051
Epoch 78/600 | KL Loss: 0.0725 | Sparsity Loss: 0.4039
Epoch 79/600 | KL Loss: 0.0723 | Sparsity Loss: 0.4026
Epoch 80/600 | KL Loss: 0.0724 | Sparsity Loss: 0.4014
Epoch 81/600 | KL Loss: 0.0724 | Sparsity Loss: 0.4003
Epoch 82/600 | KL Loss: 0.0740 | Sparsity Loss: 0.3991
Epoch 83/600 | KL Loss: 0.0729 | Sparsity Loss: 0.3981
Epoch 84/600 | KL Loss: 0.0722 | Sparsity Loss: 0.3971
Epoch 85/600 | KL Loss: 0.0716 | Sparsity Loss: 0.3959
Epoch 86/600 | KL Loss: 0.0731 | Sparsity Loss: 0.3949
Epoch 87/600 | KL Loss: 0.0726 | Sparsity Loss: 0.3940
Epoch 88/600 | KL Loss: 0.0714 | Sparsity Loss: 0.3930
Epoch 89/600 | KL Loss: 0.0719 | Sparsity Loss: 0.3921
Epoch 90/600 | KL Loss: 0.0713 | Sparsity Loss: 0.3912
Epoch 91/600 | KL Loss: 0.0719 | Sparsity Loss: 0.3903
Epoch 92/600 | KL Loss: 0.0710 | Sparsity Loss: 0.3895
Epoch 93/600 | KL Loss: 0.0739 | Sparsity Loss: 0.3888
Epoch 94/600 | KL Loss: 0.0734 | Sparsity Loss: 0.3882
Epoch 95/600 | KL Loss: 0.0714 | Sparsity Loss: 0.3873
Epoch 96/600 | KL Loss: 0.0733 | Sparsity Loss: 0.3866
Epoch 97/600 | KL Loss: 0.0728 | Sparsity Loss: 0.3860
Epoch 98/600 | KL Loss: 0.0728 | Sparsity Loss: 0.3853
Epoch 99/600 | KL Loss: 0.0730 | Sparsity Loss: 0.3848
Epoch 100/600 | KL Loss: 0.0733 | Sparsity Loss: 0.3842
Epoch 101/600 | KL Loss: 0.0748 | Sparsity Loss: 0.3837
Epoch 102/600 | KL Loss: 0.0733 | Sparsity Loss: 0.3831
Epoch 103/600 | KL Loss: 0.0736 | Sparsity Loss: 0.3825
Epoch 104/600 | KL Loss: 0.0740 | Sparsity Loss: 0.3820
Epoch 105/600 | KL Loss: 0.0740 | Sparsity Loss: 0.3815
Epoch 106/600 | KL Loss: 0.0731 | Sparsity Loss: 0.3811
Epoch 107/600 | KL Loss: 0.0734 | Sparsity Loss: 0.3806
