MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3958.04it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3964.86it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON ANIMALS_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.0792 | Sparsity Loss: 0.0773
Epoch 2/600 | KL Loss: 0.0598 | Sparsity Loss: 0.2341
Epoch 3/600 | KL Loss: 0.0362 | Sparsity Loss: 0.3870
Epoch 4/600 | KL Loss: 0.0339 | Sparsity Loss: 0.5311
Epoch 5/600 | KL Loss: 0.0307 | Sparsity Loss: 0.6659
Epoch 6/600 | KL Loss: 0.0284 | Sparsity Loss: 0.7959
Epoch 7/600 | KL Loss: 0.0442 | Sparsity Loss: 0.9168
Epoch 8/600 | KL Loss: 0.0405 | Sparsity Loss: 1.0306
Epoch 9/600 | KL Loss: 0.0635 | Sparsity Loss: 1.1391
Epoch 10/600 | KL Loss: 0.0425 | Sparsity Loss: 1.2455
Epoch 11/600 | KL Loss: 0.0319 | Sparsity Loss: 1.3572
Epoch 12/600 | KL Loss: 0.0743 | Sparsity Loss: 1.4223
Epoch 13/600 | KL Loss: 0.0594 | Sparsity Loss: 1.5028
Epoch 14/600 | KL Loss: 0.0621 | Sparsity Loss: 1.6108
Epoch 15/600 | KL Loss: 0.0722 | Sparsity Loss: 1.6975
Epoch 16/600 | KL Loss: 0.1094 | Sparsity Loss: 1.7090
Epoch 17/600 | KL Loss: 0.1177 | Sparsity Loss: 1.6465
Epoch 18/600 | KL Loss: 0.1346 | Sparsity Loss: 1.5339
Epoch 19/600 | KL Loss: 0.1252 | Sparsity Loss: 1.5080
Epoch 20/600 | KL Loss: 0.1111 | Sparsity Loss: 1.4944
Epoch 21/600 | KL Loss: 0.1311 | Sparsity Loss: 1.4751
Epoch 22/600 | KL Loss: 0.1288 | Sparsity Loss: 1.3880
Epoch 23/600 | KL Loss: 0.1534 | Sparsity Loss: 1.3532
Epoch 24/600 | KL Loss: 0.1402 | Sparsity Loss: 1.2809
