MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4040.20it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4088.07it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1 on all levels): attention_heads=0.05
Finetuning from binary mask intersection_experiments_4/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_4/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON ANIMALS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.1402 | Sparsity Loss: 0.0468
Epoch 2/300 | KL Loss: 0.1383 | Sparsity Loss: 0.1418
Epoch 3/300 | KL Loss: 0.1478 | Sparsity Loss: 0.2366
Epoch 4/300 | KL Loss: 0.1360 | Sparsity Loss: 0.3308
Epoch 5/300 | KL Loss: 0.1343 | Sparsity Loss: 0.4242
Epoch 6/300 | KL Loss: 0.1311 | Sparsity Loss: 0.5164
Epoch 7/300 | KL Loss: 0.1608 | Sparsity Loss: 0.6082
Epoch 8/300 | KL Loss: 0.1412 | Sparsity Loss: 0.7007
Epoch 9/300 | KL Loss: 0.1360 | Sparsity Loss: 0.7937
Epoch 10/300 | KL Loss: 0.1390 | Sparsity Loss: 0.8868
Epoch 11/300 | KL Loss: 0.1435 | Sparsity Loss: 0.9783
Epoch 12/300 | KL Loss: 0.1344 | Sparsity Loss: 1.0679
Epoch 13/300 | KL Loss: 0.1433 | Sparsity Loss: 1.1586
Epoch 14/300 | KL Loss: 0.1546 | Sparsity Loss: 1.2489
Epoch 15/300 | KL Loss: 0.1603 | Sparsity Loss: 1.2726
Epoch 16/300 | KL Loss: 0.1826 | Sparsity Loss: 1.2404
Epoch 17/300 | KL Loss: 0.1882 | Sparsity Loss: 1.2699
Epoch 18/300 | KL Loss: 0.1781 | Sparsity Loss: 1.2692
Epoch 19/300 | KL Loss: 0.1787 | Sparsity Loss: 1.2690
