MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3800.11it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4075.64it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1 on all levels): attention_heads=0.05
Finetuning from binary mask intersection_experiments_4/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_4/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON METALS_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.6569 | Sparsity Loss: 0.0468
Epoch 2/300 | KL Loss: 0.6766 | Sparsity Loss: 0.1420
Epoch 3/300 | KL Loss: 0.6353 | Sparsity Loss: 0.2374
Epoch 4/300 | KL Loss: 0.6082 | Sparsity Loss: 0.3327
Epoch 5/300 | KL Loss: 0.6186 | Sparsity Loss: 0.4280
Epoch 6/300 | KL Loss: 0.6217 | Sparsity Loss: 0.5233
Epoch 7/300 | KL Loss: 0.6164 | Sparsity Loss: 0.6186
Epoch 8/300 | KL Loss: 0.6438 | Sparsity Loss: 0.7139
Epoch 9/300 | KL Loss: 0.6333 | Sparsity Loss: 0.8093
Epoch 10/300 | KL Loss: 0.6471 | Sparsity Loss: 0.9046
Epoch 11/300 | KL Loss: 0.6310 | Sparsity Loss: 0.9999
Epoch 12/300 | KL Loss: 0.5966 | Sparsity Loss: 1.0952
Epoch 13/300 | KL Loss: 0.6340 | Sparsity Loss: 1.1904
Epoch 14/300 | KL Loss: 0.6061 | Sparsity Loss: 1.2858
Epoch 15/300 | KL Loss: 0.6250 | Sparsity Loss: 1.3811
Epoch 16/300 | KL Loss: 0.6146 | Sparsity Loss: 1.4758
Epoch 17/300 | KL Loss: 0.6188 | Sparsity Loss: 1.5127
Epoch 18/300 | KL Loss: 0.6423 | Sparsity Loss: 1.5126
Epoch 19/300 | KL Loss: 0.6203 | Sparsity Loss: 1.5125
Epoch 20/300 | KL Loss: 0.6057 | Sparsity Loss: 1.5123
Epoch 21/300 | KL Loss: 0.6161 | Sparsity Loss: 1.5124
Epoch 22/300 | KL Loss: 0.5900 | Sparsity Loss: 1.5122
Epoch 23/300 | KL Loss: 0.6356 | Sparsity Loss: 1.5119
Epoch 24/300 | KL Loss: 0.6145 | Sparsity Loss: 1.5121
Epoch 25/300 | KL Loss: 0.6344 | Sparsity Loss: 1.5118
Epoch 26/300 | KL Loss: 0.6186 | Sparsity Loss: 1.5113
Epoch 27/300 | KL Loss: 0.6302 | Sparsity Loss: 1.5110
Epoch 28/300 | KL Loss: 0.6234 | Sparsity Loss: 1.5110
Epoch 29/300 | KL Loss: 0.6087 | Sparsity Loss: 1.5110
Epoch 30/300 | KL Loss: 0.6381 | Sparsity Loss: 1.5108
Epoch 31/300 | KL Loss: 0.6252 | Sparsity Loss: 1.5108
Epoch 32/300 | KL Loss: 0.6134 | Sparsity Loss: 1.5107
Epoch 33/300 | KL Loss: 0.6507 | Sparsity Loss: 1.5105
Epoch 34/300 | KL Loss: 0.6112 | Sparsity Loss: 1.5104
Epoch 35/300 | KL Loss: 0.6230 | Sparsity Loss: 1.5104
Epoch 36/300 | KL Loss: 0.6312 | Sparsity Loss: 1.5102
Epoch 37/300 | KL Loss: 0.6019 | Sparsity Loss: 1.5102
Epoch 38/300 | KL Loss: 0.6475 | Sparsity Loss: 1.5104
Epoch 39/300 | KL Loss: 0.6520 | Sparsity Loss: 1.5106
Epoch 40/300 | KL Loss: 0.6096 | Sparsity Loss: 1.5106
Epoch 41/300 | KL Loss: 0.6840 | Sparsity Loss: 1.5105
Epoch 42/300 | KL Loss: 0.6086 | Sparsity Loss: 1.5107
Epoch 43/300 | KL Loss: 0.6150 | Sparsity Loss: 1.5105
Epoch 44/300 | KL Loss: 0.6253 | Sparsity Loss: 1.5105
Epoch 45/300 | KL Loss: 0.6400 | Sparsity Loss: 1.5106
Epoch 46/300 | KL Loss: 0.6467 | Sparsity Loss: 1.5107
Epoch 47/300 | KL Loss: 0.6198 | Sparsity Loss: 1.5106
Epoch 48/300 | KL Loss: 0.6108 | Sparsity Loss: 1.5106
Epoch 49/300 | KL Loss: 0.6427 | Sparsity Loss: 1.5108
Epoch 50/300 | KL Loss: 0.6533 | Sparsity Loss: 1.5108
Epoch 51/300 | KL Loss: 0.6163 | Sparsity Loss: 1.5107
Epoch 52/300 | KL Loss: 0.6457 | Sparsity Loss: 1.5109
Epoch 53/300 | KL Loss: 0.6257 | Sparsity Loss: 1.5110
Epoch 54/300 | KL Loss: 0.6305 | Sparsity Loss: 1.5108
Epoch 55/300 | KL Loss: 0.5978 | Sparsity Loss: 1.5107
Epoch 56/300 | KL Loss: 0.6467 | Sparsity Loss: 1.5107
Epoch 57/300 | KL Loss: 0.6463 | Sparsity Loss: 1.5108
Epoch 58/300 | KL Loss: 0.6060 | Sparsity Loss: 1.5108
Epoch 59/300 | KL Loss: 0.6472 | Sparsity Loss: 1.5107
Epoch 60/300 | KL Loss: 0.6808 | Sparsity Loss: 1.5107
Epoch 61/300 | KL Loss: 0.6108 | Sparsity Loss: 1.5106
Epoch 62/300 | KL Loss: 0.6441 | Sparsity Loss: 1.5106
Epoch 63/300 | KL Loss: 0.6496 | Sparsity Loss: 1.5105
Epoch 64/300 | KL Loss: 0.6291 | Sparsity Loss: 1.5102
Epoch 65/300 | KL Loss: 0.6300 | Sparsity Loss: 1.5102
Epoch 66/300 | KL Loss: 0.6233 | Sparsity Loss: 1.5104
Epoch 67/300 | KL Loss: 0.6105 | Sparsity Loss: 1.5107
Epoch 68/300 | KL Loss: 0.6337 | Sparsity Loss: 1.5107
Epoch 69/300 | KL Loss: 0.6119 | Sparsity Loss: 1.5106
Epoch 70/300 | KL Loss: 0.6414 | Sparsity Loss: 1.5106
Epoch 71/300 | KL Loss: 0.6100 | Sparsity Loss: 1.5106
Epoch 72/300 | KL Loss: 0.6224 | Sparsity Loss: 1.5107
Epoch 73/300 | KL Loss: 0.6471 | Sparsity Loss: 1.5109
