MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4300.82it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4355.73it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Global sparsity lambda set (x1 on all levels): attention_heads=0.05
Finetuning from binary mask intersection_experiments_4/masks/all_300ep_l01_mask.pt (off-gates frozen)...

--- Setting final circuit mode to: False ---
    Updated 32 HardConcreteGate modules.
Binary mask loaded from intersection_experiments_4/masks/all_300ep_l01_mask.pt (off-gates frozen for finetuning)

--- TRAINING MASKS ON VEHICLES_1 (500 samples) ---
Epoch 1/300 | KL Loss: 0.2250 | Sparsity Loss: 0.0468
Epoch 2/300 | KL Loss: 0.2031 | Sparsity Loss: 0.1420
Epoch 3/300 | KL Loss: 0.2109 | Sparsity Loss: 0.2369
Epoch 4/300 | KL Loss: 0.1990 | Sparsity Loss: 0.3318
Epoch 5/300 | KL Loss: 0.1998 | Sparsity Loss: 0.4263
Epoch 6/300 | KL Loss: 0.1991 | Sparsity Loss: 0.5199
Epoch 7/300 | KL Loss: 0.1912 | Sparsity Loss: 0.6136
Epoch 8/300 | KL Loss: 0.2023 | Sparsity Loss: 0.7075
Epoch 9/300 | KL Loss: 0.2103 | Sparsity Loss: 0.8012
Epoch 10/300 | KL Loss: 0.1965 | Sparsity Loss: 0.8939
Epoch 11/300 | KL Loss: 0.2048 | Sparsity Loss: 0.9865
Epoch 12/300 | KL Loss: 0.2064 | Sparsity Loss: 1.0794
Epoch 13/300 | KL Loss: 0.1988 | Sparsity Loss: 1.1717
Epoch 14/300 | KL Loss: 0.1880 | Sparsity Loss: 1.2640
Epoch 15/300 | KL Loss: 0.2125 | Sparsity Loss: 1.3543
Epoch 16/300 | KL Loss: 0.1989 | Sparsity Loss: 1.4430
Epoch 17/300 | KL Loss: 0.1957 | Sparsity Loss: 1.4776
Epoch 18/300 | KL Loss: 0.1935 | Sparsity Loss: 1.4770
Epoch 19/300 | KL Loss: 0.1950 | Sparsity Loss: 1.4756
Epoch 20/300 | KL Loss: 0.2026 | Sparsity Loss: 1.4748
Epoch 21/300 | KL Loss: 0.1961 | Sparsity Loss: 1.4734
Epoch 22/300 | KL Loss: 0.1996 | Sparsity Loss: 1.4713
Epoch 23/300 | KL Loss: 0.1929 | Sparsity Loss: 1.4701
Epoch 24/300 | KL Loss: 0.1961 | Sparsity Loss: 1.4699
Epoch 25/300 | KL Loss: 0.1968 | Sparsity Loss: 1.4695
Epoch 26/300 | KL Loss: 0.1983 | Sparsity Loss: 1.4683
Epoch 27/300 | KL Loss: 0.2131 | Sparsity Loss: 1.4670
Epoch 28/300 | KL Loss: 0.2028 | Sparsity Loss: 1.4653
Epoch 29/300 | KL Loss: 0.2039 | Sparsity Loss: 1.4648
Epoch 30/300 | KL Loss: 0.2176 | Sparsity Loss: 1.4507
Epoch 31/300 | KL Loss: 0.2307 | Sparsity Loss: 1.3704
Epoch 32/300 | KL Loss: 0.2332 | Sparsity Loss: 1.3689
Epoch 33/300 | KL Loss: 0.2401 | Sparsity Loss: 1.3687
Epoch 34/300 | KL Loss: 0.2409 | Sparsity Loss: 1.3686
Epoch 35/300 | KL Loss: 0.2413 | Sparsity Loss: 1.3686
Epoch 36/300 | KL Loss: 0.2320 | Sparsity Loss: 1.3685
Epoch 37/300 | KL Loss: 0.2335 | Sparsity Loss: 1.3686
Epoch 38/300 | KL Loss: 0.2359 | Sparsity Loss: 1.3688
Epoch 39/300 | KL Loss: 0.2354 | Sparsity Loss: 1.3687
Epoch 40/300 | KL Loss: 0.2351 | Sparsity Loss: 1.3681
Epoch 41/300 | KL Loss: 0.2423 | Sparsity Loss: 1.3671
Epoch 42/300 | KL Loss: 0.2384 | Sparsity Loss: 1.3672
Epoch 43/300 | KL Loss: 0.2356 | Sparsity Loss: 1.3671
Epoch 44/300 | KL Loss: 0.2364 | Sparsity Loss: 1.3671
Epoch 45/300 | KL Loss: 0.2325 | Sparsity Loss: 1.3673
Epoch 46/300 | KL Loss: 0.2397 | Sparsity Loss: 1.3673
Epoch 47/300 | KL Loss: 0.2253 | Sparsity Loss: 1.3670
Epoch 48/300 | KL Loss: 0.2496 | Sparsity Loss: 1.3667
Epoch 49/300 | KL Loss: 0.2365 | Sparsity Loss: 1.3667
Epoch 50/300 | KL Loss: 0.2363 | Sparsity Loss: 1.3669
Epoch 51/300 | KL Loss: 0.2325 | Sparsity Loss: 1.3672
Epoch 52/300 | KL Loss: 0.2304 | Sparsity Loss: 1.3672
Epoch 53/300 | KL Loss: 0.2381 | Sparsity Loss: 1.3673
Epoch 54/300 | KL Loss: 0.2400 | Sparsity Loss: 1.3662
Epoch 55/300 | KL Loss: 0.2349 | Sparsity Loss: 1.3656
Epoch 56/300 | KL Loss: 0.2301 | Sparsity Loss: 1.3654
Epoch 57/300 | KL Loss: 0.2359 | Sparsity Loss: 1.3654
Epoch 58/300 | KL Loss: 0.2372 | Sparsity Loss: 1.3656
Epoch 59/300 | KL Loss: 0.2403 | Sparsity Loss: 1.3660
Epoch 60/300 | KL Loss: 0.2348 | Sparsity Loss: 1.3660
Epoch 61/300 | KL Loss: 0.2327 | Sparsity Loss: 1.3659
Epoch 62/300 | KL Loss: 0.2347 | Sparsity Loss: 1.3660
Epoch 63/300 | KL Loss: 0.2458 | Sparsity Loss: 1.3659
Epoch 64/300 | KL Loss: 0.2425 | Sparsity Loss: 1.3656
Epoch 65/300 | KL Loss: 0.2310 | Sparsity Loss: 1.3657
Epoch 66/300 | KL Loss: 0.2354 | Sparsity Loss: 1.3657
Epoch 67/300 | KL Loss: 0.2434 | Sparsity Loss: 1.3656
Epoch 68/300 | KL Loss: 0.2435 | Sparsity Loss: 1.3654
Epoch 69/300 | KL Loss: 0.2333 | Sparsity Loss: 1.3655
Epoch 70/300 | KL Loss: 0.2402 | Sparsity Loss: 1.3657
Epoch 71/300 | KL Loss: 0.2403 | Sparsity Loss: 1.3656
Epoch 72/300 | KL Loss: 0.2391 | Sparsity Loss: 1.3654
Epoch 73/300 | KL Loss: 0.2467 | Sparsity Loss: 1.3657
Epoch 74/300 | KL Loss: 0.2391 | Sparsity Loss: 1.3658
Epoch 75/300 | KL Loss: 0.2358 | Sparsity Loss: 1.3658
Epoch 76/300 | KL Loss: 0.2405 | Sparsity Loss: 1.3654
Epoch 77/300 | KL Loss: 0.2429 | Sparsity Loss: 1.3651
Epoch 78/300 | KL Loss: 0.2399 | Sparsity Loss: 1.3645
Epoch 79/300 | KL Loss: 0.2421 | Sparsity Loss: 1.3640
Epoch 80/300 | KL Loss: 0.2312 | Sparsity Loss: 1.3639
Epoch 81/300 | KL Loss: 0.2420 | Sparsity Loss: 1.3633
Epoch 82/300 | KL Loss: 0.2420 | Sparsity Loss: 1.3631
Epoch 83/300 | KL Loss: 0.2423 | Sparsity Loss: 1.3642
Epoch 84/300 | KL Loss: 0.2329 | Sparsity Loss: 1.3648
Epoch 85/300 | KL Loss: 0.2424 | Sparsity Loss: 1.3647
Epoch 86/300 | KL Loss: 0.2319 | Sparsity Loss: 1.3653
Epoch 87/300 | KL Loss: 0.2329 | Sparsity Loss: 1.3651
Epoch 88/300 | KL Loss: 0.2387 | Sparsity Loss: 1.3654
Epoch 89/300 | KL Loss: 0.2444 | Sparsity Loss: 1.3656
Epoch 90/300 | KL Loss: 0.2293 | Sparsity Loss: 1.3653
Epoch 91/300 | KL Loss: 0.2351 | Sparsity Loss: 1.3649
Epoch 92/300 | KL Loss: 0.2412 | Sparsity Loss: 1.3648
Epoch 93/300 | KL Loss: 0.2389 | Sparsity Loss: 1.3645
Epoch 94/300 | KL Loss: 0.2334 | Sparsity Loss: 1.3646
Epoch 95/300 | KL Loss: 0.2384 | Sparsity Loss: 1.3645
Epoch 96/300 | KL Loss: 0.2445 | Sparsity Loss: 1.3643
Epoch 97/300 | KL Loss: 0.2371 | Sparsity Loss: 1.3647
Epoch 98/300 | KL Loss: 0.2461 | Sparsity Loss: 1.3648
Epoch 99/300 | KL Loss: 0.2431 | Sparsity Loss: 1.3651
Epoch 100/300 | KL Loss: 0.2395 | Sparsity Loss: 1.3650
Epoch 101/300 | KL Loss: 0.2443 | Sparsity Loss: 1.3654
Epoch 102/300 | KL Loss: 0.2319 | Sparsity Loss: 1.3654
Epoch 103/300 | KL Loss: 0.2383 | Sparsity Loss: 1.3653
Epoch 104/300 | KL Loss: 0.2328 | Sparsity Loss: 1.3653
Epoch 105/300 | KL Loss: 0.2282 | Sparsity Loss: 1.3653
