MLP block pruning ENABLED (heads + whole MLP blocks).
Initializing Prunable Llama...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3623.42it/s]
Llama model successfully adapted for pruning with block-level gates.
Initializing Baseline Llama (for KL divergence)...

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 146/146 [00:00<00:00, 4122.97it/s]
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

--- TRAINING MASKS ON METALS_1 (500 samples) ---
Epoch 1/600 | KL Loss: 0.2621 | Sparsity Loss: 0.0774
Epoch 2/600 | KL Loss: 0.2358 | Sparsity Loss: 0.2348
Epoch 3/600 | KL Loss: 0.2405 | Sparsity Loss: 0.3923
Epoch 4/600 | KL Loss: 0.1585 | Sparsity Loss: 0.5495
Epoch 5/600 | KL Loss: 0.2517 | Sparsity Loss: 0.7058
Epoch 6/600 | KL Loss: 0.1641 | Sparsity Loss: 0.8606
Epoch 7/600 | KL Loss: 0.1802 | Sparsity Loss: 1.0133
Epoch 8/600 | KL Loss: 0.1051 | Sparsity Loss: 1.1635
Epoch 9/600 | KL Loss: 0.1442 | Sparsity Loss: 1.3111
Epoch 10/600 | KL Loss: 0.1347 | Sparsity Loss: 1.4548
Epoch 11/600 | KL Loss: 0.1223 | Sparsity Loss: 1.5911
Epoch 12/600 | KL Loss: 0.1433 | Sparsity Loss: 1.7220
Epoch 13/600 | KL Loss: 0.1403 | Sparsity Loss: 1.8527
Epoch 14/600 | KL Loss: 0.1448 | Sparsity Loss: 1.9810
Epoch 15/600 | KL Loss: 0.0917 | Sparsity Loss: 2.1034
Epoch 16/600 | KL Loss: 0.1430 | Sparsity Loss: 2.2174
Epoch 17/600 | KL Loss: 0.1993 | Sparsity Loss: 2.2498
Epoch 18/600 | KL Loss: 0.2258 | Sparsity Loss: 2.2207
Epoch 19/600 | KL Loss: 0.1984 | Sparsity Loss: 2.1360
Epoch 20/600 | KL Loss: 0.1748 | Sparsity Loss: 2.0988
Epoch 21/600 | KL Loss: 0.1875 | Sparsity Loss: 2.0835
Epoch 22/600 | KL Loss: 0.1927 | Sparsity Loss: 2.0641
Epoch 23/600 | KL Loss: 0.2026 | Sparsity Loss: 2.0450
Epoch 24/600 | KL Loss: 0.2118 | Sparsity Loss: 2.0326
